remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
53cee47ac2ab10ec386bf109c3845093,2014-07-31T08:53:12+02:00,2018-08-22T12:03:09+02:00,"Dolomiti park - Canazei Belvedere","
Lo snowpark si trova al centro dell’area sciistica del Belvedere, completamente immerso nelle Dolomiti e facilmente raggiungibile con la telecabina che parte da Canazei. Il park, con il nuovo boardercross, è diviso su due linee, una easy e l’altra medium-pro. Ad attendere gli amanti del freestyle paraboliche, box, rail ed il BigAirBag, un enorme materasso ad aria (17x11 metri) in grado di ammortizzare qualsiasi salto e dove i riders possono esercitarsi nel controllo delle evoluzioni aeree.","Snow park",46.480317,11.804018,"Belvedere, 38032 Canazei",,"Comune di Canazei",,http://www.fassa.com/IT/DolomitiSnowpark/|www.fassa.com
628d472b2e4ed2e36d2116c777a9478a,2014-07-31T09:07:14+02:00,2018-08-13T15:01:15+02:00,"Il Catinaccio","Il gruppo del Catinaccio (in tedesco Rosengarten-Gruppe o solo Rosengarten, in ladino Ciadenac o Vaiolon) è un massiccio delle Dolomiti situato tra la valle di Tires, la val d'Ega e la val di Fassa nel Parco naturale dello Sciliar. Caratteristica del gruppo è la colorazione rosata che assume al sorgere e al calar del sole, fenomeno visivo chiamato enrosadira.Esistono due nomi originari, relativi ai due versanti della catena che funge da confine linguistico tra il mondo ladino e quello germanofono. Quello ladino, &quot;Ciadenac&quot;, &quot;Catenaccio&quot;, costituisce anche la base della forma italiana più recente ed è da riferirsi, secondo Karl Felix Wolff alla ghiaia dolomitica tipica della catena. L'altro nome, quello tedesco di &quot;Rosengarten&quot;, in uso dal versante sudtirolese, è attestato già dal XV secolo (1497 Rosengarten, 1506 Kofl am Rosengarten), ed è riferito alla leggenda del mitico Re Laurino e pertanto di carattere eziologico, volendo dare una spiegazione al fenomeno dell'enrosadira. La saga del giardino ha anche dato il nome al cosiddettoGartl (la zona ghiaiosa centrale della cima più alta) che da lontano appare come zona bianca, perché spesso imbiancata di neve già nelle stagioni intermedie.",Dolomiti,46.466667,11.616667,Catinaccio,/var/comunitafassa/storage/images/guida-alla-val-di-fassa/montagna/il-catinaccio/2173815-4-ita-IT/Il-Catinaccio.jpg,,,http://it.wikipedia.org/wiki/Gruppo_del_Catinaccio|www.wikipedia.irg
d5f41d471ade9a1fa728cc3433cd0fd1,2014-07-31T09:27:37+02:00,2018-08-21T15:53:46+02:00,"Pozza di Fassa - Buffaure","
Partendo da Pozza di Fassa, con una moderna cabinovia ad agganciamento automatico, si raggiunge il Buffaure dove gli amanti dello sci e dello snowboard si possono sfogare su circa 16 km di piste, quasi tutte rosse. 
Dall’abitato di Pozza, salendo verso Meida si trova lo Skistadium Aloch con l’omonima pista nera; illuminata a giorno per lo sci notturno, è un vero e proprio stadio dello sci con i suoi 1.000 m di lunghezza, i 500 m di dislivello ed una pendenza media del 27% (massima del 49%). Pozza offre un campo scuola con tanti giochi in località Fraine-Pera di Fassa, ed un anello per lo sci di fondo, illuminato anche alla sera.","Piste da sci",46.431975,11.720761,"Buffaure, 38036 Pozza di Fassa",,"Comune di San Giovanni di Fassa / Sèn Jan",,http://www.fassa.com/IT/Area-sci-pozza-di-fassa-buffaure|www.fassa.com
ba91198ba77790116e962ce6f0fb8583,2014-07-31T09:32:58+02:00,2018-08-21T14:32:49+02:00,"Canazei - Belvedere","Si raggiunge in pochi minuti da Canazei con la moderna telecabina ad agganciamento automatico oppure in macchina percorrendo alcuni chilometri lungo la Strada Statale 48 delle Dolomiti. In questa zona sciistica si trovano 17 km di piste per ogni livello di difficoltà (prevalentemente rosse).","Piste da sci",46.480317,11.804018,"Belvedere, 38032 Canazei",,"Comune di Canazei",,http://www.fassa.com/IT/Area-sci-Canazei-Belvedere|www.fassa.com
389ed63755cd4b156129c152f86509c0,2014-07-31T09:54:10+02:00,2018-08-13T10:18:05+02:00,Dòlaondes,"Il nome del nuovo centro acquatico di Canazei &quot;Dòlaondes&quot; (dal ladino &quot;Segui le onde&quot;), richiama il movimento dell’acqua.Su una superficie complessiva di 2.400 mq il centro acquatico di Canazei &quot;Dòlaondes&quot; è articolato in quattro aree tematiche che identificano le attività da poter svolgere: &quot;Water &amp; Fun&quot;, le cinque piscine; &quot;Eghes Wellness&quot;, il benessere in tutto il suo comprovato percorso; &quot;Sport &amp; Fitness&quot;, la palestra d’avanguardia; &quot;Eat &amp; Drink&quot; dove ristorarsi dopo un’intensa giornata di attività e relax nell’acqua.",Piscina,46.476778,11.770365,"Str&egrave;da del Piz, 7 38032 Canazei",,"Comune di Canazei",,http://www.fassa.com/IT/Attivita-e-sport-in-val-di-fassa--piscina-coperta/|www.fassa.com
3cc200a9c5caed8d1c0ffeb0ea7da75b,2014-07-31T11:13:18+02:00,2018-08-20T15:55:18+02:00,"Golf Campitello","
D’estate la Val di Fassa dispone di uno splendido campo pratica di golf, immerso nel verde ai piedi del Col Rodella. Al campo si accede da località Ischia (partenza funivia) e dispone di campo pratica con 10 postazioni di cui 2 coperte, putting green, bunker di pratica oltre ad un nuovo percorso di allenamento a 5 buche. ",Golf,46.477716,11.741218,"Localit&agrave; Ischia, 38031 Campitello",,"Comune di Campitello di Fassa",,http://fassa.com/IT/Attivita-e-sport-in-val-di-fassa--golf/|www.fassa.com
86195bac2f781857365855b08ae0cdf0,2014-07-31T11:17:02+02:00,2018-08-20T16:06:50+02:00,"Golf Carezza","Il campo a 9 buche del Golf Club Carezza al Passo Costalunga è il più alto d’Europa. Al campo fanno da sfondo le più belle cime delle Dolomiti, il Catinaccio con la Roda de Vael e il gruppo del Latemar.",Golf,46.41691,11.568514,"Via Carezza, 11, Vigo di Fassa",,,,http://www.fassa.com/IT/Attivita-e-sport-in-val-di-fassa--golf|www.fassa.com
5bf60cefa13bf3f43e5283676631a06f,2016-07-28T10:38:03+02:00,2018-02-22T15:14:23+01:00,"Biblioteca Istituto culturale ladino","Circa 8000 tra volumi e riviste di interesse ladino e argomenti attinenti: storia locale, etnografia, antropologia, minoranze, alpinismo, letteratura di montagna.Orari per il pubblico:lunedì e martedì 9.00 12.00 / 14.00 – 17.00mercoledì e giovedì 9.00 – 12.00Chiusa il mese di novembre.",Biblioteca,0,0,,,,,
22db40f47ba3a3ad9a78c7923a0b50ed,2016-07-28T10:39:15+02:00,2018-02-22T15:37:54+01:00,"Biblioteca di Moena","La biblioteca inaugurata nel 1970 è dotata di un patrimonio bibliografico di circa 13.000 libri, la maggior parte dei quali è ammessa al prestito.Orario per il pubblico:dal lunedì al venerdì dalle 10.00 alle 12.00 e dalle 15.00 alle 19.00.Chiuso il lunedì mattina e festivi.",Biblioteca,0,0,,,,,
93a002b405370a2ffb94893d686a545a,2016-07-28T10:40:29+02:00,2018-08-09T11:22:00+02:00,"Biblioteca di Canazei","Orario per il pubblico:Dal lunedì al venerdì dalle 9.30 alle 12.30 e dalle 14.30 alle 18.30.Chiuso il lunedì mattina, sabato e festivi.",Biblioteca,0,0,,,,,
