remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono
476997d6bb9468fb0986ce477e1d3e46,2014-05-08T12:41:26+02:00,2014-11-12T15:47:05+01:00,Vela,"Lo sport della vela è favorito dalla presenza di un vento teso e costante e da una organizzazione a terra che offre ai velisti ogni indispensabile supporto tecnico e logistico.","Il Circolo Vela Torbole è uno dei più attivi e meglio organizzati dell'Alta Italia, con la sua sede elegante, il ricco calendario di regate prestigiose, la fama di cui gode anche all'estero. Fondato nel 1964, raccoglie oggi centinaia di soci di varie nazionalità, alcuni dei quali hanno partecipato con successo a regate di grande prestigio, come le Olimpiadi e i Campionati del Mondo.",Vela/Windsurf,45.877824,10.890852,"nago  torbole",/var/nagotorbole/storage/images/territorio/turismo-e-manifestazioni/quali-sport-praticare/vela/12741-1-ita-IT/Vela.jpg,,,,,,,
ec3941f59026263afecd8d2fd946fd66,2014-05-08T15:06:08+02:00,2015-08-26T11:06:35+02:00,"Castel Penede","Sul promontorio sovrastante la valletta di Santa Lucia e l'omonima strada che collega Nago a Torbole sono perfettamente visibili delle antiche mura, guardiane immobili e silenziose dei monti circostanti, della Valle del Sarca e di gran parte del lago di Garda. Si tratta dei resti di Castel Penede che per cinque secoli, dal Basso Medioevo agli inizi del 1700, fu simbolo di potere e importante baluardo difensivo della regione.","

  







  
  







  




Cenni storiciProbabilmente luogo d'insediamento prima gallico e poi romano, il castello viene nominato per la prima volta in un documento ufficiale l'11 settembre 1210, all'interno di un trattato di pace che metteva fine ad un decennale periodo di tensione tra le due entità politiche e terriere più importanti dell'epoca, il Principe Vescovo di Trento Federico Vanga e i conti Odorico e Federico d'Arco.Nel corso del XIII secolo il castello divenne teatro di una serie di battaglie cruenti per assicurarsene il dominio: prima venne espugnato e conquistato dai guelfi bresciano-lagarini, poi fu preso dal Principe Vescovo che lo riconsegnò ai d'Arco e infine nel 1272 fu assegnato da Mainardo del Tirolo ad un'altra potente famiglia locale, i Castelbarco.Costoro ne conservarono il possesso fino al 1340 quando vendettero il castello nuovamente al Principe Vescovo nelle cui mani rimase solo otto anni. Nel 1348, infatti, la fortezza ritornò ai conti d'Arco che ne mantennero la signoria anche durante i periodi della dominazione altogardesana degli Scaligeri di Verona (1348-1387) e dei Visconti di Milano (1387 - 1438), prima che il celebre capitano di ventura Erasmo da Narni detto il Gattamelata conquistasse la fortezza per conto della Repubblica di Venezia.Infine, nel 1509, Castel Penede passò definitivamente sotto il controllo dei conti di Tirolo che la ressero direttamente o per mezzo dei conti d'Arco sino alla sua distruzione avvenuta nel 1703 ad opera delle truppe franco-spagnole al comando del duca di Vendôme.Visitare il castello oggi.Grazie a recenti opere di pulizia e messa in sicurezza dei ruderi si può visitare il castello percorrendo i sentieri che partono dal centro di Nago o dal Forte Alto, passeggiando tra campi delimitati da muri a secco e zone boschive oppure costeggiando il parco attrezzato ai piedi della struttura e risalendo la strada che attraversa un pregiato lecceto. Qualunque via si scelga, nessun visitatore può rimanere insensibile agli scorci del panorama che si intravede tra gli alberi durante il cammino o si mostra in tutto il suo splendore una volta giunti in cima alla rupe.Narra una leggenda, come ricorda Ferdinando Martinelli nel suo libro Saluti dal Garda, che un viaggiatore in particolare ne rimase profondamente affascinato durante il suo soggiorno presso la famiglia dei Castelbarco agli inizi del 1300. Nientemeno che Dante Alighieri, il quale avrebbe immortalato il momento nei celebri versi del Canto XX dell'Inferno della sua Divina Commedia:
&quot;Suso in Italia bella giace un laco
a piè dell'Alpe che serra Lamagna
sovra Tiralli, ch'ha nome Benaco.
Per mille fonti credo e più si bagna
tra Garda e Valcamonica, penninodell'acqua che nel detto laco stagna&quot;.Per ulteriori informazioni: www.gruppoculturalenagotorbole.itwww.cultura.trentino.it",Castello,0,0,,/var/nagotorbole/storage/images/territorio/turismo-e-manifestazioni/cosa-visitare/a-nago/castel-penede/13730-1-ita-IT/Castel-Penede.jpg,,,,,,,
7f856fc9f70a97811b33a710fa78bb20,2014-05-08T15:13:48+02:00,2014-08-19T10:03:29+02:00,"Chiesa della SS. Trinità","Sorge in piazza Primone, al centro del paese. Fu fatta costruire &quot;a tutte sue spese&quot; da un sacerdote di Nago al posto di una chiesa di minori dimensioni preesistente di cui lui stesso era cappellano. All'interno, sull'altare maggiore, è di pregio notevole una bella statua lignea di Dio Padre con in grembo il Figlio crocifisso, di artista altoatesino del XV secolo. Era di pertinenza della antica confraternita della SS. Trinità.",,Chiesa,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/chiesa-della-ss.-trinita/13776-1-ita-IT/Chiesa-della-SS.-Trinita.jpg,,,,,,,
f3c9e5685ef4c787794d94ac248b6e2c,2014-05-08T15:15:31+02:00,2014-08-19T10:02:51+02:00,"Chiesa di San Zeno","Conserva, più di qualsiasi altra chiesa, la bellezza e il fascino delle cose antiche. Costruita presumibilmente nel XII secolo, sorge su un piccolo dosso all'interno del paese, circondato dalle antiche case del villaggio. Le è contigua una modesta costruzione che serviva, fino a tutto il XVIII secolo, da dimora ad un eremita. Al suo interno, un unico altare di marmo e una pregevole pittura del santo vescovo di Verona.",,Chiesa,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/chiesa-di-san-zeno/13785-1-ita-IT/Chiesa-di-San-Zeno.jpg,,,,,,,
594806908c91263e6b3dcb58e8b37add,2014-05-08T15:16:39+02:00,2014-08-19T10:02:16+02:00,"Chiesa di San Rocco","Si trova a fianco della statale per Rovereto, subito dopo l'abitato. La sua costruzione risale al XVI secolo, anche se documenti d'archivio la dicono fondata &quot;ab antiquo&quot;. Una radicata tradizione popolare ritiene che essa sia sorta sulle rovine di un antico lazzaretto convertito in chiesa dopo che le pestilenze si fecero più rare.",,Chiesa,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/chiesa-di-san-rocco/13794-1-ita-IT/Chiesa-di-San-Rocco.jpg,,,,,,,
75950b11f7a7cdf2bfda8a33d25612d0,2014-05-08T15:18:33+02:00,2014-08-19T10:01:45+02:00,"Lago di Loppio","Un tempo, nella valletta del Rio Cameras che collega l'asta dell'Adige con il Basso Sarca, si apriva un piccolo lago - oggi Lago di Loppio - storicamente chiamato di Sant'Andrea dal nome dell'isola ove nel 1138 venne consacrata una chiesetta; poi, per ovviare alle piene dell'Adige, tra il 1954 ed il 1958 sotto il lago venne scavata una galleria in collegamento con il Lago di Garda, che causò il prosciugamento del bacino.","Oggi, in qualità di biotopo, è la più estesa area palustre del Trentino e presenta forti variazioni del livello dell'acqua: salici, pioppi, betulle e ontani si mescolano a cannucce d'acqua che danno riparo a folaghe, germani reali, piccoli anfibi e altro ancora.",Lago,45.865304,10.918798,"lago di loppio",/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/lago-di-loppio/13803-1-ita-IT/Lago-di-Loppio.jpg,,,,,,,
359fa1f8dbaf09dbfbeb76ac98f6f1d8,2014-05-08T15:20:56+02:00,2014-08-19T10:00:59+02:00,"Le Sacre Edicole","Sono il segno e la testimonianza di una intensa religiosità che animava un tempo le nostre comunità. Varie per forma e per ubicazione, ce ne sono di incorporate in vecchie case, entro vecchi cortili, e la loro forma preminente è di nicchia scavata nel muro, con o senza tettuccio. ","







Molte sono costruzioni vere e proprie, sia pure di dimensioni generalmente minuscole. Ce ne sono numerose lungo le strade di campagna fiancheggiate da alti muri, e queste sono sovrastanti o addossate ai muretti stessi che delimitano e, una volta, difendevano le minuscole proprietà campestri. Qui hanno l'aspetto di vere e proprie edicole: un muretto un pò alto con nicchia e tetto a due spioventi di arenaria.Sul territorio comunale i &quot;capitelli&quot; sono più di quaranta, con dedicazione varia e popolaresca. Ma la Madonna compare, sia a Torbole sia a Nago, con maggiore frequenza. Tra tutti, il più famoso è quello di San Giovanni Nepomuceno, protettore dei viandanti, presso l'omonimo passo, a Nago.",Monumento,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/le-sacre-edicole/13812-1-ita-IT/Le-Sacre-Edicole.jpg,,,,,,,
6661e4d13a890b072b6fb03033aad4fe,2014-05-08T15:23:00+02:00,2014-08-19T10:00:12+02:00,Murales,"Da qualche anno il centro storico di Nago si è abbellito con la realizzazione di tredici murales che raffigurano, tranne qualcuno, le arti e i mestieri di un tempo. L'idea è venuta ai ragazzi del Gruppo popolare 900, ora sciolto, nato nel 1992 dall'unità d'intenti di otto giovani che volevano un sodalizio in grado di dar vita ad appuntamenti culturali di vario genere, dalla cinematografia al teatro, dalla musica alla pittura.","I Murales sono stati realizzati fra il 1996 ed il 1998 per mano di alcuni giovani artisti per la maggior parte locali. Gli affreschi hanno visto la luce sulle pareti di alcune case private grazie alla disponibilità dei legittimi proprietari che hanno messo a disposizione i muri per un minimo di tre anni.
Guida ai Murales di Nago:
1. I giochi - Casa della Comunità
Sulla facciata est dell'edificio, Ivan Maggi, unico artista naghese partecipante alla rassegna pittorica ha realizzato &quot;Giochi in una piazza in festa&quot;. Questo è l'unico murale che non rappresenta un omaggio alla memoria e alle tradizioni, ma vuole invece essere un richiamo alla nuova dimensione di spazio ludico e d'incontro rivestita dalla zona racchiusa fra la casa della comunità e la parte posteriore dell'antica chiesa parrocchiale di San Vigilio.
2. Mons. Rosà e Mazzoldi
Sulla facciata posteriore del teatro parrocchiale, il grande murale che commemora i due vescovi missionari, fatto eccezionale per una comunità di appena mille anime, nati a Nago sul finire del 1800: mons. Maurzio Rosà (Nago 1888 - Vicenza 1961) e mons. Sisto Mazzoldi (Nago 1898 - Kenya 1987). Già una prima occhiata al murale è sufficiente per capire quale parte del mondo scelsero per portare il Vangelo: l'Africa con i volti scuri dei nativi per il vescovo Mazzoldi, la lontana Cina con i mandarini e le pagode per il vescovo Rosà; al centro della raffigurazione, a ricordare la loro comune origine, un panorama di Nago.
3. Il calzolaio
Il terzo murale rappresenta un omaggio alla vecchia arte del ciabattino. 
4. Il &quot;Pesaròl&quot; (la pesa pubblica)
Il &quot;pesaròl&quot; è una grossa pietra cilindrica del peso di alcuni quintali, ora utilizzata come pianerottolo di una scala esterna, che la tradizione vuole facesse parte di un'antica pesa per i carri e per carichi molto pesanti. La stessa ipotesi che ci propone anche il murale realizzato proprio sopra di esso dalla torbolana Tiziana Giammetta.
5. Il forno
Sotto il portico di via dei Forni, così chiamata per la presenza, un tempo, di alcuni forni per la cottura casalinga del pane posti esternamente alle case. Ubicato proprio sopra l'unico forno rimasto, appena iniziata la via, troviamo il quinto murale che raffigura un fornaio intento a cuocere il pane.
6. La masera e il tabacco
Poco prima di giungere all'antica chiesa di San Rocco, sulla sinistra, alziamo lo sguardo per osservare il murale dedicato allo scomparso mestiere della lavorazione delle foglie di tabacco. Questa industria, che diede lavoro a molta manodopera soprattutto femminile, fu attiva a Nago dalla fine del 1800 fino ai primi anni del 1960, dopo di che fu abbandonata per l'invincibile concorrenza dei paesi orientali.
L'edificio sul quale è realizzato il dipinto è ciò che resta delle due &quot;masere&quot; (edificio per l'essicazione e macerazione del tabacco) sorte in paese nel 1922. La prima era situata nella grande costruzione, ora trasformata in residence, ad esso attaccata, mentre la seconda, pure trasformata in abitazione, si trovava in contrada Portadosso.
7. La vendemmia
Il sesto murale è dedicato al momento della vendemma, quando ancora l'occasione era una festa per tutti e l'uva si pigiava nei tini con i piedi.
8. Il pastore
Lungo la stradina verso il &quot;Doss&quot;, così chiamato in quanto punto abitato più elevato del paese, subito dopo averlo superato, rivolgiamo il nostro sguardo a sinistra alla facciata di una caratteristica casa con un bel cortile lastricato e osserviamo il murale che rievoca il mestiere del pastore. In realtà, più che le pecore raffigurate nel dipinto, le vere protagoniste dell'attività pastorizia in paese erano le capre. Nel periodo compreso fra le due guerre mondiali se ne contavano oltre cinquecento. Non mancavano le famiglie che possedevano una sola capra, ma mediamente ogni famiglia, per la quale rappresentavano un'assoluta necessità, ne possedeva quattro o cinque. A fronte di un misurato bisogno di spazio e di cibo esse fornivano il loro preziosissimo latte che ha fatto crescere intere generazioni di bambini. La loro presenza numerosa richiedeva la presenza di un pastore, il capraio, che veniva nominato ogni anno dalla rappresentazione comunale e il cui compito, oltre che di custodirle, era quello di portarle a pascolare in luoghi dove non potessero fare danni.
9. La battitura del grano
Proprio di fronte a piazza Portadosso, ufficialmente piazza Bronzetti, si vede il murale che ci riporta al momento della battitura del grano. Nei fatti, la produzione di frumento fu predominante nel Trentino solo fino al 1700 in quanto fu posta in secondo piano, nel secolo successivo, dalla produzione del granoturco importato dall'America già tre secoli prima. Poco o tanto che fosse, comunque, la lavorazione del frumento dall'età medioevale a quella moderna è sempre avvenuta seguendo le stesse fasi: dopo la mietitura con falcetti, il cereale veniva raccolto in covoni e trasportato nelle case dove rimaneva a seccare per parecchi giorni, successivamente, ed è quello che raffigura il nostro murale, avveniva la trebbiatura, cioè la separazione dei chicchi di grano dalla pula, tramite la battitura delle spighe col correggiato sulle grandi aie delle case contadine. Tali aie, come ad esempio quella prospiciente il murale, erano pavimentate con lastre di pietra posate il più perfettamente possibile al fine di realizzare una superficie regolare ed efficace per la battitura. Di cortili così lastricati a Nago se ne trovano una decina.
10. &quot;El broz&quot; che scende dal Baldo
Lungo via Monte Baldo, troviamo a sinistra, sul muro dell'antica casa Mazzoldi con il suo artistico camino sul tetto, il decimo murale. In esso rivive il mezzo di trasporto più usato in montagna dall'antichità fino all'avvento dei mezzi meccanici e di nuove strade più comode negli anni 60 e 70 del secolo scorso; uno speciale carretto a due ruote e a trazione animale, comunemente detto in tutto il Trentino, &quot;broz&quot;. Essendo le strade di montagna sempre accidentate, ripide e tortuose e quindi non praticabili dai carri a quattro ruote, l'uso di questi mezzi leggeri a due ruote per il trasporto a valle di fieno o altro materiale si rendeva obbligatorio. Il piano di carico del broz veniva quindi realizzato direttamente sul monte con l'utilizzo di due grossi e lunghi pali (palanchi) e di un paio di traverse sulle quali era adagiato il carico che, opportunamente legato, veniva portato con funzionamento a strascico verso valle. Testimone di questa attività è, sul monte Baldo, la vecchia strada detta appunto &quot;dei brozi&quot; che porta impressi nel suo selciato i solchi dovuti al secolare passaggio di carri.
11. Veneziani con le barche
Dove inizia la strada che, unica per secoli, univa Torbole con Nago, ci imbattiamo nell'unico murale che non intende rievocare un mestiere scomparso ma bensì uno straordinario avvenimento storico: quello notissimo delle &quot;Galeas per montes&quot;. Protagonista ne fu la Serenissima repubblica di Venezia che impegnata dal 1438 nella guerra contro il ducato di Milano, doveva portare aiuto alla città di Brescia assediata dal nemico. Preclusa la possibilità di passare attraverso la pianura Padana controllata dai milanesi, l'unica via d'accesso restava il lago di Garda. Ecco quindi che nel novembre 1438 sei galee e venticinque imbarcazioni più leggere risalirono l'Adige fino a Mori. Qui la flotta fu levata dal fiume e trainata con l'aiuto di numerosi buoi nel lago di Loppio. Con grande sforzo la si dovette quindi issare fino a superare il passo di San Giovanni, attraversare la piana di Nago ed infine far scendere con enormi difficoltà verso Torbole attraverso la valletta di S. Lucia che si apre alla nostra sinistra sotto le rovine di castel Penede. Nel porto del piccolo centro gardesano la flotta fu rimessa in sesto e varata nel febbraio 1439.
12. La stalla a far &quot;filò&quot;
Imboccata via Castel Penede, al primo slargo che si incontra, sul muro di casa Rosà, troviamo il murale che ricorda l'antica usanza del filò nella stalla. Le famiglie contadine trascorrevano le serate invernali in stalla, a far filò. Chi giocava a carte, chi fumava la pipa, chi raccontava storie, mentre le donne, nonostante la poca luce, erano occupate a lavorare a maglia, tutti immersi nel caldo umido del fiato bovino, mescolato a odori non proprio gradevoli. Qualche pia donna intonava il rosario accompagnato dalle tacite invocazioni di ognuno. La conversazione in stalla formava l'unico passatempo dopo cena prima che arrivasse la tv. 
13.&quot;M.A.R.&quot; treninoL'ultimo murale, un pò isolato rispetto al circuito nel centro storico è stato realizzato sul muro di casa Rigatti, ultima casa del paese prima di imboccare la discesa per Torbole, stretta fra via Scipio Sighele e la statale. Quest'ultimo murale ci ricorda la presenza, un tempo, del piccolo trenino a scartamento ridotto della M.A.R., acronimo di Mori-Arco-Riva, ossia il tragitto che la sbuffante locomotiva a vapore con i suoi pochi vagoni percorreva quotidianamente. Il servizio fu attivo dal 1891 al 1936 e negli anni a cavallo dei due secoli il trenino trasportò i primi turisti nordici che sceglievano il Garda richiamati dal suo fascino e dal clima mite che già avevano attirato artisti e poeti. La lunghezza della M.A.R. era pari a 24 Km, che il convoglio percorreva in circa un'ora e mezza, con una velocità massima di 25 Km/h. Nel 1936 le Ferrovie Italiane, che avevano in gestione la linea, ne decisero la dismissione e la sostituzione con una linea di autobus.",,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-nago/murales/13825-1-ita-IT/Murales.jpg,,,,,,,
86d35c59f36d76196ef29136a2d2a5ff,2014-05-08T15:53:10+02:00,2014-08-19T09:51:30+02:00,"Marmitte dei Giganti","A Torbole, in zona panoramica e poco distante dalla strada statale, è consigliabile una sosta alle Marmitte dei Giganti. Enormi cavità di 4 o 5 metri di diametro, levigate all'interno e profonde 10 o 12 metri.","







Considerate a lungo un mistero, tanto che per spiegarne l'origine nacquero miti e leggende dove i protagonisti erano proprio i giganti, le Marmitte sono un interessante fenomeno glaciale. Originate dalle acque di disgelo che, precipitando nelle fratture dei ghiacciai, provocarono un vorticoso movimento dei sassi che modellarono la roccia a forma di scodella, i pozzi glaciali di Torbole rivelano a coloro che sono in grado di coglierne conformazione, struttura e storia, alcune delle leggi fisiche che determinano l'azione del ghiaccio.Un simile spettacolo non è tanto frequente. Non sempre infatti i pozzi glaciali sono giunti intatti fino a noi. Nel caso delle Marmitte di Torbole, però, esse si sono conservate (pur se impoverite nella struttura originaria) e presentano dimensioni di rilievo che le rendono esempi di particolare interesse.","Località turistica",45.879552,10.883331,"torbole marmitte dei giganti",/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-torbole/marmitte-dei-giganti/14134-1-ita-IT/Marmitte-dei-Giganti.jpg,,,,,,,
512deed42e63f335a4ff36bd06e753f6,2014-05-08T15:56:26+02:00,2014-08-19T09:39:41+02:00,"Chiesa di Sant'Andrea","La chiesa di S. Andrea di Torbole si trova su un'altura dalla quale si gode uno splendido panorama sul lago e si possono ammirare le incombenti rocce e i ruderi di Penede. Due lunghe scalinate vi salgono dal centro storico. La sua storia si perde nel buio del tempo e la struttura attuale è l'esito di una serie di successivi ampliamenti e modifiche.","

  







  
  







  





Il documento più antico che ricorda la chiesa risale al 1175: era una piccola cappella già allora dedicata al Santo pescatore, eletto patrono dagli abitanti del villaggio raggruppato ai piedi del colle che vivevano, appunto, di pesca.
All'epoca della dominazione veneziana sull'Alto Garda (1440-1509) il porto di Torbole divenne un importante approdo per grosse imbarcazioni che trasportavano merci e la vita economica del paese registrò un sensibile miglioramento, con conseguente aumento della popolazione che richiese un ampliamento della chiesa e un regolare servizio religioso.
Essa venne ampliata con la costruzione di due cappelle laterali (della Madonna e di S. Antonio) e dotata di un beneficio, cioè di una serie di beni che consentono il mantenimento di un curato stabile a disposizione della popolazione. Lacurazia dipendeva però dalla chiesa arcipretale di Nago, e gli abitanti di Torbole erano tenuti a recarvisi per le più importanti funzioni religiose.
Dopo le devastazioni provocate dal passaggio delle truppe francesi del generale Vendome nel 1703, la chiesa viene ricostruita in stile barocco, ed assume più o meno le forme e le dimensioni attuali. Nel 1741 la curazia ottiene una certa autonomia dalla arcipretale di Nago. Il fatto induce alcuni possidenti torbolani a impegnarsi nell'abbellimento del tempio, con la costruzione del battistero e della cornice marmorea che l'anno successivo accoglierà la pala col martirio di S. Andrea. Questo grande quadro, collocato dietro l'altare maggiore, è opera del pittore veronese, famoso presso tutte le corti europee, Giambettino Cignaroli (1706-1770), che lo dipinse mentre era ospite della famiglia Giuliani di Torbole. Un tempo la pala era coperta da una tendina, che la proteggeva dalla polvere e da altri agenti esterni. Chi voleva vederla si doveva rivolgere al sagrestano, che alzava la tenda &quot;per lieve moneta&quot;.
L'attuale campanile, con campane e orologio, è stato costruito nel 1758. Durante una visita pastorale (1839) il vescovo di Trento Giovanni Nepomuceno de Tschiderer, recentemente beatificato da papa Giovanni Paolo II, consacra finalmente la chiesa con una cerimonia solenne. Ma solo nel 1919 essa sarà elevata alla dignità di parrocchia.E' interessante visitare, dietro la chiesa, il monumento funebre dell'insigne letterato Vincenzo Errante, che fu, come ricorda la lapide &quot;di Catullo e di Goethe e delle muse maggiori dell'antica Grecia della Germania dell'Inghilterra e della Francia mirabile esegeta e ricreatore per l'Italia&quot;. Durante la sua lunga permanenza a Riva, il grande traduttore veniva spesso in questo luogo, dove sostava affascinato dal paesaggio circostante e dove volle essere sepolto.",Chiesa,0,0,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/a-torbole/chiesa-di-sant-andrea/14147-1-ita-IT/Chiesa-di-Sant-Andrea.jpg,,,,,,,
