remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
32e406593f7054ca7dcfb0a693e42add,2016-06-06T17:58:41+02:00,2016-06-06T17:58:41+02:00,"Casa Museo De Gasperi","Casa Museo De Gasperi inaugurata nell'agosto del 2006","
Casa Museo De Gasperi inaugurata nell'agosto del 2006 alla presenza del senatore a vita Giulio Andreotti, dell'allora Presidente della Repubblica Carlo Azeglio Ciampi, delle figlie dello Statista e di moltissime autorità locali e internazionali. Per ulteriori informazioni vi consigliamo di visitare il Sito del museo  .",Museo,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/casa-museo-de-gasperi/20967-1-ita-IT/Casa-Museo-De-Gasperi.jpg,,,,,,,,
f505012c223a00c834be68ec73e92e94,2016-06-07T13:52:06+02:00,2016-06-07T13:52:06+02:00,"Centro Studi Alpino ""De Gasperi""","Sezione staccata dell'Università della Tuscia di Viterbo (Roma).","Ospita ogni anno diverse decine di ragazzi provenienti da diverse parti del mondo (Cina, Canada, Germania) per studiare i biotopi e la natura che questo nostro paese offre. Tale Centro si occupa della cura dell'&quot;Arboreto&quot;, una bellissima passeggiata tra la flora e la fauna alpina, che si trova al di là del Rio Solcena verso l'abitato di Cinte. Vi invitiamo a visitare il sito.",,0,0,,,,,,,,,,
90d818940b90383b93e8c004fa1f074f,2016-06-07T13:54:25+02:00,2016-06-14T15:23:56+02:00,Biblioteca,"La nuova biblioteca comunale di Pieve inaugurata nel 2008 e dedicata al professore Enzo Avanzo, concittadino pievese e professore dell'Università di Viterbo, si trova presso il Centro Polifunzionale di nuova realizzazione ai margini del paese.","
Oltre alla classica dotazione di libri e giornali, la biblioteca offre ai suoi fruitori un aggiornato e divertente angolo per i bambini, sei postazioni informatiche per il telelavoro, un archivio storico con documenti risalenti al 1200 che è rimasto assolutamente intatto perchè mai danneggiato da incendi o manomissioni, un laboratorio per incidere stampe legato strettamente all'ambulantato tesino, che dal 1600 ha portato gli uomini della nostra valle in giro per l'Europa e per il mondo, ambulanti che poi si sono specializzati nella propagazione delle stampe degli Editori Remondini di Bassano.
Possiede poi un importante collezione di testi sulla Botanica che sono in visione presso l'Università della Tuscia a Pieve.Inoltre fa parte da alcuni anni del Sistema Bibliotecario Intercomunale del Lagorai clicca qui  ",Biblioteca,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/biblioteca/20995-1-ita-IT/Biblioteca.jpg,,,,,,,,
d0ec46e94558894f0b2a1d87e30a1f58,2016-06-07T13:56:18+02:00,2016-06-07T13:56:18+02:00,"Piazza Maggiore","Nella sua impostazione è evidente l'influenza della dominazione veneziana.","Infatti, la piazza, è strutturata a vera da pozzo, come un campiello di Venezia. Nel centro la monumentale fontana ottagonale di pietra rossa, ristrutturata per la prima volta nel 1725, con quattro getti uscenti dalla bocca dei mascheroni, intervallati dallo stemma del paese, l'aquila (una volta bicipite), e una scritta non più leggibile. Si affacciano sulla piazza:


il palazzetto quattrocentesco del municipio vecchio con l'elegante portico sotto il quale si tenevano i Consigli del paese, e la svelta bifora coeva (ora casa Gioseffi-Granello);

la casa Carestia-Pellizzaro dove Giovanni Antonio Remondini aprì il magazzino di stoccaggio delle sue stampe che consegnava poi ai tesini impegnati nel commercio girovago;

la casa della famiglia Buffa-Caporale, che ebbe un negozio di stampe ad Amsterdam importante per la produzione delle stampe. Tra i componenti della famiglia Sebastiano Buffa divenne, per il suo spirito caritatevole, il finanziatore di parecchie Fondazioni (seconda metà del 1800), tra cui una di 12.000 fiorini per la distribuzione di granturco ai poveri, quando le stagioni non consentivano la maturazioni delle messi.


Oggi la piazza Maggiore è movimentata dal mercatino dell'artigianato di inizio agosto, denominato per l'appunto &quot;Soto l'Ocio de la Fontana Vecia&quot;, e, nel periodo natalizio, vi trova posto un bellissimo presepe in legno.",,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/piazza-maggiore/21009-1-ita-IT/Piazza-Maggiore.jpg,,,,,,,,
34dce04975700a90dab31ab6518bae51,2016-06-07T13:57:44+02:00,2016-06-07T13:57:44+02:00,Fontane,"Il paese anticamente era di natura essenzialmente rurale e, poichè i campi erano pochi e non sempre riuscivano a sfamare le numerose famiglie, i suoi abitanti si erano dati alla pastorizia, soprattutto degli ovini.","A dimostrazione di questa loro attività il paese conserva ancora molte fontane, che erano state costruite attorno al 1700 per sostituire i rustici abbeveratoi a brenzo, ricavati da un tronco d'albero. Alcune di esse sono veramente importanti monumenti storici, come la fontane dei Serpenti, la piccola fontana dei Broccati, la bella fontana di granito Riba e quella imponente in pietra calcarea vicino alla sede della Tuscia.Clicca qui per visualizzare le foto delle fontane.",,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/fontane/21023-1-ita-IT/Fontane.jpg,,,,,,,,
7de1c9d55678ae1bfc15544c45c83ce7,2016-06-07T13:58:43+02:00,2016-06-07T13:58:43+02:00,"Chiesa Arcipretale","La Pieve dell'Assunta, in alto al paese, è tra le più notevoli costruzioni gotiche del Trentino.","Nel 1184 fu consacrata ad opera del Vescovo di Feltre Fontejo. Fu ricostruita nella seconda metà del quattrocento e rimaneggiata nei secoli successivi. La sua austera facciata è ingentilita dall'elegante rosone sopra il portale cinquecentesco protetto da un tettuccio di scandole, materiale utilizzato pure per tutto il tetto, fortemente spiovente. Di fianco si eleva lo slanciato campanile con l'ardita cuspide gotica. All'interno c'è un bellissimo battistero e un pulpito rinascimentale. Dietro all barocco altare Maggiore si trova un maestoso organo sfruttato dal coro per accompagnare le funzioni religiose. La chiesa, dedicata a Maria Assunta, ha un ottima acustica che viene sfruttata in occasione di concerti. Al fianco della chiesa, dove una volta c'era il vecchio cimitero, ora si trova un grazioso parco.",Chiesa,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/chiesa-arcipretale/21037-1-ita-IT/Chiesa-Arcipretale.jpg,,,,,,,,
6e01734e709e4ae760242b89cc0745dd,2016-06-07T14:01:07+02:00,2016-06-07T14:01:07+02:00,"Chiesa e Colle di San Sebastiano","Ad est del paese, sulla sommità di un colle morenico, si erge la Chiesa di San Sebastiano, risalente al 1479 in assolvimento del voto contratto dalla popolazione della Valle ai Santi Sebastiano e Fabiano che avevano tenuto lontano la peste bubbonica.","
Castello Tesino, poi in disaccordo per il posto scelto da Pieve e Cinte, preferì costruirsi una propria chiesa sul colle di San Rocco. Il campanile, dalla caratteristica cuspide a cipolla, fu la prigionia di Giorgio Castelrotto capitano del Primiero sospettato di essere portatore di peste bubbonica (1575). Il colle è un bellissimo parco contornato da un viale alberato, con un'interessante ed artistica Via Crucis. Sulla sommità del colle, nel mezzo del prato antistante la chiesa detto &quot;La Rotonda&quot;, una fontana esagonale rallegra con i suoi zampilli la pace e la tranquillità del luogo. Sotto il giro dei capitelli, nella zona che guarda Castello Tesino c'è un grazioso parco attrezzato per i bambini. Da qui si gode una splendida vista su tutta la valle.Clicca qui per visualizzare le foto della chiesa di San Sebastiano",Chiesa,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/chiesa-e-colle-di-san-sebastiano/21051-1-ita-IT/Chiesa-e-Colle-di-San-Sebastiano.jpg,,,,,,,,
dfbb5ff83fecab28ffca6e499984ce1c,2016-06-07T14:02:47+02:00,2016-06-07T14:02:47+02:00,"Villa Daziaro","Costruita da Giuseppe Daziaro fondatore dei negozi omonimi a Mosca e San Pietroburgo, quando decise di ritirarsi in pensione, doveva diventare una scuola di lingue, matematica e commercio, che però poi venne istituita in paese.","La Villa, dal caratteristico colore rosso, ricorda per stile le costruzioni russe e le ville venete del Canova. Ai lati del giardino, due barchesse proteggevano cavalli e carrozze. La villa attualmente è di proprietà privata. Una volta conteneva una ricca raccolte di stampe, ora trasferita a Vicenza.",,0,0,,/var/pievetesino/storage/images/territorio/il-paese/punti-di-interesse/villa-daziaro/21065-1-ita-IT/Villa-Daziaro.jpg,,,,,,,,
50ca149e498a3393a940015d48d1314d,2016-06-07T14:05:25+02:00,2016-06-07T14:05:25+02:00,"Via Claudia Augusta","La Valle conserva ancora i segni della dominazione romana, in particolare perchè era percorsa dalla Via Claudia Augusta, che collegava il cuore dell'Europa al mare Adriatico.","Attualmente sono in corso dei lavori di ripristino che verranno definitivamente sistemati quando sarà attivato l'Ecomuseo del Viaggio. Per chi volesse ampliare le proprie conoscenze sull'argomento si consiglia di consultare l'accurato studio effettuato da A. Alpago-Novello &quot; Da Altino a Maia sulla via Claudia Augusta Altinate&quot;, edito dalla Cavour di Milano nel 1971.","Via o piazza",0,0,,,,,,,,,,
4d46540f1ae9c675d510a6bde5fd8021,2016-06-07T14:06:14+02:00,2016-06-07T14:06:14+02:00,"Sala mostre al centro polifunzionale","Una sala del Centro Polifunzionale ospita spesso mostre di vario tipo.","Attualmente, e per tutto il mese d'agosto potrete visitare la mostra &quot;Luci ed Ombre del Legno&quot;, all'interno della quale c'è un piccolo angolo dedicato all'ambulantato dei Tesini con le loro stampe.",Esposizione/Galleria,0,0,,,,,,,,,,
