remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
0d75a785ab473650b9f95611c935b6d4,2015-12-02T11:22:10+01:00,2016-05-05T09:33:05+02:00,"I forti del Belvedere","Vennero costruiti in località Baite durante la Grande Guerra dalla brigata Lupi di Toscana quale punto di controllo del territorio circostante. Infatti sono posti in cima ad una roccia dalla quale dominano tutta la Val di Daoneed il fronte del Dosso dei Morti.","
Abbandonati dopo la fine della guerra, sono rimasti in disuso fino ai giorni nostri quando sono stati riscoperti come attrazione turistica e meta di passeggiate a contatto con la natura.Dopo qualche lavoro di pulizia da parte della Pro Loco di Prezzo, vista l'indubbia rilevanza storica rivestita dalle battaglie tra italiani e asburgici combattute nella nostra valle, il cui esito ha portato il Trentino a diventare italiano, sono stati inseriti nel progetto di valorizzazione ambientale e turistico dell’Ecomuseo della Val del Chiese. A seguito di ulteriori pulizie dagli arbusti, del rifacimento del sentiero e della messa in posa di bacheche informative per i turisti e i valligiani, si intende aumentarne la notorietà, sicuri che chiunque decida di recarvisi percorrerà una piacevole escursione adatta a tutti e verrà ripagato da paesaggi davvero mozzafiato.",Forte,45.935893,10.631729,"Prezzo, Pieve di Bono-Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-prezzo/i-forti-del-belvedere/19454-2-ita-IT/I-forti-del-Belvedere.jpg,,,,,,,,
7ad5e86879ca4c1956fc8f909102ffc6,2015-12-02T11:29:19+01:00,2016-05-05T09:11:52+02:00,"Boniprati d'inverno","In questi ultimi anni il numero delle persone che pratica sci d’alpinismo, anche in modo amatoriale, sta crescendo con un ritmo costante, favorito anche dalla necessità di un periodo di tranquillità che, in questo frenetico mondo, è sempre più presente nella gente. Per questo motivo, i luoghi che consentono una passeggiata con le caspe alla ricerca di paesaggi mozzafiato o una sciata in compagnia a contatto con la natura, stanno avendo una sempre maggiore attrattiva.","
Fra questi c’è sicuramente Boniprati che, neve permettendo, ospita percorsi affascinanti, in ottimo stato e adatti alle diverse capacità di tutti. Il più celebre è quello che, ormai da anni, ospita il tanto atteso raduno annuale della Pro Loco “Boniprati Ski Adventure” e, dopo i passaggi in Malga Campello e Malga Table, arriva sulla Cima Pìssola regalando agli occhi la spettacolare visuale di tutta la Val del Chiese e del gruppo dell’Adamello-Brenta. Si riesce a portare a termine comodamente questa escursione in massimo due ore, due ore e mezza e assicuriamo che ne vale la pena. La discesa verso valle è dolce, costante e tutta sciabile, nonché di una sicurezza indiscutibile.
Altro percorso che offre una forte attrattiva storica è quello che consente di arrivare alle Grotte del Belvedere, dove si possono vedere gli scenari teatro di scontro nella Prima Guerra Mondiale. Anche in questo caso si tratta di un’escursione adatta a tutti, tenendo presente che l’ultimo breve tratto, dove non giunge la neve, deve essere affrontato a piedi.Ricordiamo infine a chi fosse sprovvisto dell’equipaggiamento adatto, che per tutto l’inverno, nei fine settimana, è possibile noleggiare le caspe per la cifra di € 5 a giornata e, a chi di fare un po’ di sana fatica proprio non ne avesse voglia, che a Boniprati è comunque possibile trascorrere qualche giorno di assoluta tranquillità, ospiti dei pochi alberghi presenti, assaggiando i prodotti tipici e godendosi lo spettacolo di una natura che, per fortuna, è rimasta quasi completamente incontaminata.","Località turistica",45.935624,10.597311,"Localit&agrave; Boniprati, Prezzo, Pieve di Bono-Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-prezzo/boniprati-d-inverno/19480-2-ita-IT/Boniprati-d-inverno.jpg,,,,,,,,
2ea58c0667ceb09b9e276c6e3d008233,2015-12-02T11:32:55+01:00,2016-05-05T09:12:35+02:00,"Castel Romano","Venendo da sud lo noti lassù, Castel Romano, a dominare la valle da levante. Fu costruito dai conti Lodron, che nella prima metà del secondo millennio erano i potenti feudatari della Valle del Chiese.","Era una struttura importante dal punto di vista strategico, ma andò verso un inesorabile degrado da quando i conti Lodron trasferirono il loro potere in altre zone del Trentino (la Val Lagarina), in Austria (Tirolo e Carinzia) ed in Germania (per la precisione in Baviera). Subì perfino l'affronto di essere trasformato (tra la fine del XIX e l'inizio del XX Secolo) in un deposito di fieno, mentre le pietre e gli arredi venivano asportati dai contadini, che consumavano una sorta di vendetta postuma verso coloro che un tempo erano stati i potenti padroni di queste comunità.Ma quante storie potrebbero raccontare le mura e i cortili di questo antico maniero! Si narra che la contessa Dina Lodron, bella e perversa, avesse la poco felice abitudine di uccidere gli uomini della pieve, dopo averli invitati a castello e sedotti. Ci pensò un prete a fare giustizia ed a liberare le comunità dal maleficio, uccidendo la contessa a colpi di archibugio. La suggestiva cornice di Castel Romano, e precisamente il cortile, ospita d'estate vari appuntamenti culturali.",Castello,45.933729,10.641336,"Via Castello, Pieve di Bono, Pieve di Bono-Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-pieve-di-bono/castel-romano/19507-2-ita-IT/Castel-Romano.jpg,,,,,,,,
ffb1a740acd7c0f923730b9ed6b4e07d,2015-12-10T09:25:22+01:00,2016-04-28T16:04:42+02:00,"Istituto comprensivo del CHIESE “Don L. Milani”","Scuola Primaria e Scuola Secondaria di primo grado: &quot;G. Pascoli&quot; ",,"Scuola elementare",45.94087,10.637757,"P2 - Garage Centro Europa, Via Segantini, Piazzina, San Martino, Trento, Provincia autonoma di Trento, Trentino-Alto Adige, 38122, Italia",,,,,"Via alla Fiera, 1 - 38085 Pieve di Bono (TN)",,segr.ic.chiese@scuole.provincia.tn.it,"0465 674049 - fax 0465 670557",
65bd78824f62d8e7c19e8a173c4cf4af,2015-12-10T09:32:16+01:00,2016-05-05T09:15:26+02:00,"La foresta nascosta di Castel Romano","Dal parcheggio di Cologna (la frazione più meridionale di Pieve di Bono), posto a destra della Strada Statale per chi sale verso nord, si può imboccare una mulattiera che porta all'edificio che un tempo ospitava il mulino.","Da qui si diparte il Sentiero Botanico, che sale zigzagando nel bosco, e con un dislivello di poco inferiore ai cento metri si giunge sotto le mura di Castel Romano. Volendo si possono aggirare per entrare nell'antico maniero, oppure ci si può rilassare su una terrazza da cui si gode una vista magnifica su tutta la Valle del Chiese a nord e a sud, nonché sulla dirimpettaia Valle di Daone.Seguendo le indicazioni si può tornare al parcheggio percorrendo un altro sentiero e completando l'anello. Il sentiero è comodo, quindi percorribile da tutti. Ad una corroborante passeggiata si può unire una interessante quanto rapida informazione sulla vegetazione della valle. Ogni pianta ed ogni erba che si incontra lungo il sentiero viene etichettata con il nome originale e con quello popolare. Inoltre ne vengono illustrate le caratteristiche. Lungo il sentiero si incontrano il carpino nero e l'abete rosso, il salicone ed il pino silvestre, il faggio e il sambuco, giusto per citarne alcuni.","Sentieri e itinerari",45.933729,10.641336,"Pieve di Bono, Pieve di Bono-Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-pieve-di-bono/la-foresta-nascosta-di-castel-romano/20489-1-ita-IT/La-foresta-nascosta-di-Castel-Romano.jpg,,,,,,,,
1e2bc5f4c0f2aea828aa28264d2ff7d0,2015-12-10T09:35:11+01:00,2016-05-05T08:47:47+02:00,"Pieve di Santa Giustina","L'architettura e le pitture di Creto sono l'autorevole relitto di quelle piccole cattedrali delle valli alpine che sono le Pievi. Nella ricostruzione avvenuta tra gli anni 1587 - 1590, venne abbattuta quasi completamente la precedente chiesa quattrocentesca salvandone solo l'abside, forse per proporre una continuazione di mosse tra la nuova costruzione ed il vecchio campanile.","L'attuale chiesa risulta pertanto costruita accanto alla parte absidale di quella precedente, poggiata dal campanile. La facciata principale, barocca ad alto timpano, fu aggiunta in seguito, a causa di un incendio avvenuto il 6 giugno 1711, che aveva danneggiato gravemente la costruzione.Sotto il profilo architettonico l'edificio presenta particolare interesse arieggiante, nelle linee strutturali, ricalcandolo dalle chiese del cinquecento più che dalle barocche. Ma i fregi sormontanti il finestrone centrale, acquistato ad Innsbruck, il portale e le nicchie sono di chiaro gusto barocco. Il fortissimo affusto del campanile a torre è romanico. La porta laterale si apre sotto il pronao quattrocentesco, probabilmente residuo della vecchia chiesa.La Chiesa è ad un'unica ampia navata partita da quattro arconi di granito, per lato, che accolgono i sei altari marmorei barocchi. Anche all'interno possiamo notare che l'attuale edificio venne edificato sul luogo di una precedente costruzione. Si tratta di un maestoso ambiente gotico ad alta volta a crociera i cui costoloni poggiano su quattro mensole scolpite.","Località turistica",45.913347,10.612868,"Piazza Chiesa - Creto, Pieve di Bono, Pieve di Bono-Prezzo (TN), Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-pieve-di-bono/pieve-di-santa-giustina/20503-1-ita-IT/Pieve-di-Santa-Giustina.jpg,,,,,,,,
bd53f64a332e43409463c9cf6032fa30,2015-12-10T09:41:53+01:00,2016-05-05T09:17:56+02:00,"Chiesetta della Madonna delle Grazie","
A monte dell’abitato di Prezzo, in mezzo al verde della località “La Madona”, sorge una chiesetta, dedicata, come da iscrizione sulla facciata principale, alla Madonna delle Grazie, cui la popolazione del paese era ed è molto devota.Tale chiesetta risale al Quattrocento-Cinquecento; nel tempo c’è però stata una sua distruzione durante la Grande Guerra con successiva ricostruzione e, quindi, nel volgere degli anni si sono susseguiti diversi restauri.","
L’iscrizione recita: “In honorem B. V. Gratiarum questo tempietto ove la B. V. delle Grazie da oltre quattro secoli venerata ed invocata sparge celesti favori, devastato durante la guerra 1914-18 la pietà del popolo di Prezzo volle restaurare e decorare negli anni 1919 1921 1933 1966”.
Interventi di restauro si sono avuti anche in seguito all’ultima data dell’iscrizione, per esempio nel 1994 quello della facciata, e un altro si dovrebbe fare in un futuro abbastanza immediato, riguardante soprattutto l’interno e il campanile.
Verso la fine degli anni Cinquanta o primi anni Sessanta, era facile vedere nei pomeriggi di domenica dei gruppetti di donne in preghiera, con in mano il rosario, provenienti a piedi dai paesi vicini che si recavano nella nostra chiesetta per ringraziare la Madonna, chiedere grazie o semplicemente per fare una visita.
La ricorrenza della Madonna delle Grazie veniva un tempo festeggiata nella seconda domenica di settembre; poi è stata anticipata alla prima per consentire ai cacciatori di partecipare alla Santa Messa prima che iniziasse la caccia. In tale occasione tutta la popolazione del paese vi sale in processione e vi si celebra la Santa Messa.
Da alcuni anni è stata poi ripresa la tradizione della fiaccolata, ora inter parrocchiale, della sera del venerdì santo; anche questa, ora anticipata al martedì per evitare sovrapposizioni con altre parrocchie. Inizialmente, più che fiaccole, si usavano le candeline distribuite in chiesa il giorno della Candelora e, lungo tutto il tragitto, il sacrestano Battista Maestri accendeva dei fuochi sui muretti con segatura, petrolio e carburo, mentre i ragazzi accompagnavano col suono di ciganugn e cigagnole (raganelle in legno più o meno grandi).In passato, quando molte famiglie avevano ancora le mucche, le macchine erano poche e, quindi, non era facile spostarsi liberamente, molti uomini, durante la settimana santa si trovavano con le bestie a Zeprìo, località con fienili posta a mezza montagna al disopra della chiesetta e di lassù, recandosi su una piccola altura dove accendevano un fuoco, partecipavano virtualmente ma col cuore alla funzione religiosa e facevano sentire la loro presenza battendo con ciotole di legno sui loro secchi del latte! Inutile dire che un tempo la venerazione per la Madonna era grande per i nostri nonni e genitori, ma anche oggi gli abitanti di Prezzo Le sono molto devoti e a Lei affidano la protezione del paese, fiduciosi nel suo aiuto costante di madre premurosa.",Chiesa,45.935423,10.631756,"Via Trento, Prezzo, Pieve di Bono-Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-prezzo/chiesetta-della-madonna-delle-grazie/20517-1-ita-IT/Chiesetta-della-Madonna-delle-Grazie.jpg,,,,,,,,
f0312672038fea10ea401801cf5eb895,2015-12-10T09:43:13+01:00,2016-05-05T09:18:28+02:00,"Quattro passi nei dintorni. Piccole escusioni a Prezzo","Quattro passi nei dintorni. Piccole escusioni a Prezzo","Prima escursione. Giro delle frazioni. Essendo il paesino di Prezzo suddiviso in tre frazioni (Dos, Cistel e Prezzo) abbastanza distanziate l’una dall’altra, suggeriamo di visitarle seguendo le stradine secondarie che le collegano tra di loro lungo un percorso immerso nel verde della natura.Seconda escursione. Da Prezzo. Partendo dal piazzale della chiesa, seguendo la strada che porta a Boniprati, dopo circa 100 metri, ci si immette sul sentiero per “Navec” lungo il quale si giunge fino all’abitato di Bersone. Il ritorno è lungo lo stesso itinerario dell’andata. È una passeggiata ideale nelle giornate più calde poiché l’intero percorso è completamente ombreggiato ed inoltre lungo lo stesso numerosi sono i punti di riposo.Terza escursione. A Cerè. Con partenza dalla frazione di Ruc, posta a sud dell’abitato, si segue l’indicazione verso la località “Cerè” zona particolarmente soleggiata che regala un’ampia e panoramica veduta verso la parte meridionale della Valle del Chiese fino al Lago d’Idro.Quarta escursione. Boniprati. Molteplici sono le escursioni che questo altopiano offre. Una delle più semplici e piacevoli parte dal rifugio Brigata Lupi di Toscana in direzione “Fabiola” per poi giungere fino a “Mille piazze” e “Dosalt”. Il rientro può essere effettuato lungo l’itinerario dell’andata oppure continuando per la discesa completare il circuito che porta ad attraversare tutta la piana di Boniprati.","Sentieri e itinerari",45.935751,10.631755,"Pieve di Bono Prezzo, 38085, Trentino-Alto Adige, Italia",/var/pievedibonoprezzo/storage/images/territorio/cosa-visitare/a-prezzo/quattro-passi-nei-dintorni.-piccole-escusioni-a-prezzo/20531-1-ita-IT/Quattro-passi-nei-dintorni.-Piccole-escusioni-a-Prezzo.jpg,,,,,,,,
641bcd9d9851c62aefd0053293c4a622,2015-12-02T11:06:44+01:00,2016-04-28T15:51:34+02:00,"Farmacie di Turno","Per informazioni sulle farmacie di turno invia un SMS al 333 88 88 188","


I turni delle farmacie, che permettono la continuità del servizio 24 ore su 24, hanno inizio il venerdì mattina;

Il turno comprende il servizio durante le ore diurne, anche fuori dal normale orario di apertura, durante le ore notturne, durante le domeniche e le eventuali festività infrasettimanali;

È prevista, a norma di legge una tassa per le chiamate fuori orario di normale servizio;

Quando la farmacia presta servizio di turno a battenti chiusi o a chiamata, il farmacista è tenuto ad evadere soltanto le ricette mediche.


",Farmacia,0,0,,/var/pievedibonoprezzo/storage/images/territorio/informazioni-utili/sanita-e-farmacie/farmacie-di-turno/19398-3-ita-IT/Farmacie-di-Turno.png,,,,,,,,
baf5abe39ca41e916c8e95138325cab3,2015-12-02T11:09:04+01:00,2016-08-12T15:16:45+02:00,"Farmacia ","Farmacia di Pieve di Bono",,Farmacia,0,0,,/var/pievedibonoprezzo/storage/images/territorio/informazioni-utili/sanita-e-farmacie/farmacia/19412-3-ita-IT/Farmacia.jpg,,,,"Via Roma, 9 38085 Pieve di Bono (TN)",,,"0465 674005",
