remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
1d9e52b2d892b3b79e85baefe8a13388,2014-11-26T11:32:41+01:00,2014-11-26T11:32:41+01:00,"Chiesa del romitaggio di Santa Giustina ","Il romitaggio era posto poco più in alto del livello del Noce ai piedi di un’alta parete strapiombante. Vi si accedeva attraverso un ripido sentiero a tratti scavato nella viva roccia. ","E’ menzionata negli atti visitali del 1537 ma è molto più antica. L’eremo è stato abitato nei secoli da romiti che si dedicavano alla preghiera, al lavoro e alla manutenzione del romitorio fino al 1782. Dopo tale data l’eremo fu meta di processioni periodiche delle pievi vicine e di devozione popolare, ma pian piano è andato in rovina e oggi rimangono solo pochi ruderi a testimonianza di un’antica devozione.",Chiesa,46.339064,11.062925,dermulo,,,,,,,,,
36ebae576f553552c0d26f3c6e44f90b,2014-11-26T11:35:11+01:00,2014-11-26T11:35:11+01:00,"Chiesa di San Marcello","E’ una delle più belle chiese della valle di Non.","Sicuramente di impianto romanico in origine a pianta quadrata con tetto a vista. Così come giunta a noi è il frutto di rifacimenti e aggiunte iniziati nella seconda del 1400. A questo periodo appartengono l’affresco sulla facciata sud rappresentante S. Marcello e San Cristoforo. Di poco anteriore è il portale gotico a sesto acuto con il bassorilievo della croce e della mano benedicente. In origine sopra il portale sorgeva il piccolo campanile a vela sostituito da quello attuale nella prima metà del ‘500. Le cappelle laterali furono aggiunte all’inizio del ‘700. L’interno contiene un ragguardevole patrimonio di decorazioni a affresco. La volta gotica è stata costruita nel 1527 e ha parzialmente nascosto le decorazioni che già ricoprivano tutte le pareti e che risalivano fino alla metà del '300. La nuova volta è stata affrescata contestualmente alla sua costruzione con la rappresentazione degli evangelisti, dei dottori della chiesa S. Agostino e Sant’Ambrogio, dei profeti Zaccaria, Malachia, Davide e Isaia e, al centro, il Cristo Redentore benedicente. La volta del presbiterio è affrescata con lo splendido ciclo della resurrezione del 1480 circa, opera di ignoto pittore di scuola tedesca. 













La chiesa ha tre altari in legno finemente scolpiti. Di assoluto interesse è la pala dell’altare maggiore del 1492, opera del noto pittore Gerolamo di Bamberga. Rappresenta la Madonna con Bambino e ai lati i Santi Marcello e Vigilio. Sul lato sinistro del presbiterio c’è il crocifisso in legno, opera forse unica per la grande suggestione drammatica che esprime la sofferenza di Cristo.Nel corso del 1998 gli affreschi deteriorati dal tempo sono stati riportati al loro antico splendore. 






 ",Chiesa,46.28619,11.082546,dardine,/var/predaia/storage/images/territorio/taio/chiesa-di-san-marcello/13644-1-ita-IT/Chiesa-di-San-Marcello.jpg,,,,,,,,
a2cde810f071cea897c536a6e21ba4ed,2014-11-26T11:50:42+01:00,2014-11-26T11:50:42+01:00,"Chiesa di San Marco Evangelista ","E' ignota l'epoca di costruzione della chiesa dedicata a San Marco evangelista. ","La vecchia chiesa comunque anteriore al Cinquecento, era insufficiente per la popolazione aumentata. Nel 1851 fu demolita per far posto a quella nuova. Un'epigrafe posta a sinistra della porta d'ingresso, narra la storia di questa rifabbrica: &quot;Posta la sacra primaria lapide - a questa chiesa - ai 14 aprile 1851 - compiuta l'opera - in settembre 1852 - consacrata il 22 agosto 1865&quot;. L’interno è ad una navata: ha volta a botte, le finestre a mezza luna. Alla parete di sinistra dell'abside, la pala rappresentante la Madonna, con San Marco e S. Antonio dipinta dal pittore veneto Luigi Guarnieri. Il pulpito di marmorina è recente. Il campanile fu eretto nel 1708.",Chiesa,46.294617,11.068172,"mollaro ",,,,,,,,,
d088e4dbda271d4860e3f9b05600e60a,2014-11-26T12:19:46+01:00,2014-11-26T12:19:46+01:00,"Chiesa della natività di Maria ","Le prime notizie storiche risalgono al 1327, anno in cui in un rogito notarile si fa menzione di proprietà della chiesa di S. Maria."," Si hanno notizie di successivi interventi di rinnovamento degli anni 1483 e 1548. Nel 1798 è stata ampliata con la costruzione del presbiterio e rinnovata nella facciata di mattina così come si presenta ora. Sulla stessa facciata, a destra del portale, una lapide ricorda Padre Eusebio Chini, missionario, esploratore e scienziato nato a Segno nel 1645 e morto in Messico nel 1721, dove svolse la sua opera di missionario e scienziato dove il suo ricordo è ancora molto venerato. L’interno è partito in tre campate con le volte decorate da affreschi rappresentanti S. Giovanni Nopomuceno, Davide e il giudizio di Salomone. Sulla parete a nord rimangono tracce di antichi dipinti. La chiesa ha tre altari, tutti in legno. Il maggiore è del 1650 e la pala rappresenta la Natività di Maria. Il campanile è stato costruito nel 1582 con contorni e zoccolo in viva pietra culminante in una piramide esagonale.",Chiesa,46.306328,11.074963,"segno, taio ",,,,,,,,,
d94263aef93b724ffee4dc2b93936f24,2014-11-26T12:20:35+01:00,2014-11-26T12:21:35+01:00,"Chiesa di S.Eusebio ","La pieve di Torra è ritenuta una delle più antiche della valle. ","Le prime notizie risalgono al 1128; è del 1295 la più antica notizia documentaria concernente la &quot;Plebs Sancti Eusebll&quot;. La chiesa è posta fuori dell'abitato in ottima posizione da dove si gode un vasto panorama dell'Anaunia inferiore. La pianta è rettangolare con abside pentagona. L'interno è ad una navata con volta a reticolato. L'affresco sopra la porta è del XIV secolo. Il maestoso altare di marmo è quello della della vecchia parrocchiale di San Giovanni Battista di Mezzolombardo. La pala rappresenta il titolare della chiesa S. Eusebio con altri santi. La pala del primo altare a destra dedicato alla Beata Vergine è opera di Mattia Lampi. Dello stesso artista, la pala del primo altare a sinistra raffigurante la Madonna col Bambino in braccio. Sotto il gradino del presbitero v’è la tomba degli arcipreti. Meritevole di attenzione l'acquasantiere di marmo bianco con due belle testine di angeli. Il campanile si fa risalire al XIII secolo e secondo l'arciprete Tomasi sarebbe anteriore al Mille. L'archivio parrocchiale, intelligentemente riordinato dall'arciprete Pietro de Tomasi (1718-1783), e ricostituito nel 1982 dal monaco benedettino Giovanni Dal Piaz Costituisce una fonte unica per la storia del territorio della Pieve di Torra. ",Chiesa,41.763403,8.945912,"torra, taio",/var/predaia/storage/images/territorio/taio/chiesa-di-s.eusebio/13698-2-ita-IT/Chiesa-di-S.Eusebio.jpg,,,,,,,,
b28c0ed657b5006084fe36512d2fb73d,2014-11-26T12:23:24+01:00,2014-11-26T12:23:24+01:00,"Chiesa di San Rocco confessore ","Non è possibile datare con sicurezza la costruzione della Chiesa dedicata a San Rocco.","Il verbale della visita pastorale compiuta nel 1537 non fa alcuna menzione di una chiesa a Tuenetto. Ciò porterebbe ad individuare per la costruzione una data successiva al 1500, ma l'arciprete Tomasi nell'inventarlo del 1774 specifica che &quot;dal pubblico si crede che la chiesa in questa villa sia stata da tempo antico, ed avanti molti secoli, ciò che può essere per la struttura medesima&quot;. A conferma dell'antichità vi è la dedicazione a San Rocco (il santo è invocato come protettore contro la peste a partire dal 1400). Secondo una viva tradizione Tuenetto fu spopolato dalla peste nel 1440. L'edificio è rivolto verso oriente. Ha una finestra rotonda sopra la porta e in alto una nicchia con la statua di San Rocco lì posta nel 1927. L'interno è a una navatina con volta a crociera (a tale navata era limitata la chiesa prima del 1765 quando venne aggiunta l'attuale abside). La decorazione pittorica eseguita da Pancirolli, è del 1912. Il campanile è del 1765. La chiesa forma col cimitero (del 1906) un complesso di pregevole qualità architettonica e paesaggistica.",Chiesa,46.296368,11.080733,"tuenetto ",,,,,,,,,
4950ec3fb2ee005f478e8a1cab488f8d,2014-11-26T12:40:03+01:00,2014-11-26T12:40:03+01:00,"Mas del Mont","Dall'abitato di Toss, in direzione Nord-Est, lungo strada agricola asfaltata, fino alla località Pian della Sega (parcheggio).","Subito prima dell’area pic-nic, in direzione est, si imbocca l’antica mulattiera che sale abbastanza ripida nella pineta per circa 400 m superando un dislivello di 120 m; dopo un’ampia curva a sinistra, il tracciato diviene semipianeggiante, sviluppandosi a mezza costa nello scosceso versante roccioso in corrispondenza della terrazza panoramica con notevole vista dall’alto sul sottostante Castel Thun, la Bassa Val di Non ed il Gruppo delle Dolomiti di Brenta; percorsi ulteriori 200 m di mulattiera fra gli stentati pini, si imbocca una strada forestale che, con modeste pendenze e due ampi tornanti, risale per circa 1,3 km il facile versante fittamente ricoperto da boschi di faggio fino alla radura di Prà Ciastel (q. 860 m s.l.m.) ove si possono osservare poco più avanti sulla sinistra, i pochi ruderi di un probabile luogo di sosta e cambio dei cavalli. Ignorata la stradina che si dirama sulla destra in leggera ascesa, si prosegue in direzione nord-est per circa 800 m lungo il tracciato pianeggiante attraverso il bosco misto di faggio e abeti, fino al fianco di una valletta (in corrispondenza di un’ampia curva a sinistra della strada forestale); abbandonando questa, si imbocca la pista forestale che si dirama sulla destra per circa 500 m, finché il percorso, divenuto esclusivamente pedonale (sentiero dei cavai), si abbassa nell’alveo della Val Marzana per poi risalire lungo il versante opposto (gradini in pietra in corrispondenza del guado), fino ad immettersi sulla strada forestale poco sopra Mas del Mont, raggiungibile svoltando a sinistra. Possibilità di sosta e area pic-nic.Informazioni utili:Altezza massima: 860Altezza minima: 536






",Percorso,46.276852,11.078885,"toss, tn ",/var/predaia/storage/images/territorio/vervo/mas-del-mont/13730-1-ita-IT/Mas-del-Mont.jpg,,,,,,,,
dfd0a89b8e81427bb88d76433cebff24,2014-11-26T12:42:39+01:00,2014-11-26T12:42:58+01:00,"Sentiero Romano ","Il percorso, denominato localmente “sentiero romano” o della “Madonna Vecla”, si imbocca dal parco antistante l’antica chiesa di S.Martino di Vervò; dopo aver percorso il tratto lungo la cinta muraria del cimitero (dallo spigolo nord-est), il sentiero scende ripido lungo lo sperone roccioso sotto la chiesa di S.Martino (tratto attrezzato con fune metallica), ricalcando l’antico percorso delle “scalette” con tracce di vecchi gradonamenti e murature in sasso. ","Successivamente il sentiero scende a mezza costa attraversando valletta del Busòn (nei punti più esposti cordino metallico), fino ad immettersi in una stradina forestale che porta al fondovalle della Forra del Pongaiola per poi risalire ripido l’opposto versante dove, mediante una passerella sospesa, si attraversa una valletta laterale; dopo circa 300 m, sulla destra, stradina che conduce ad una vecchia “calcara” (200 m dal percorso principale). Proseguendo lungo i bei pianori boscati del Monte di Vervò ci s’immette sulla strada che, in leggera discesa, conduce al Mas del Mont, mentre - svoltando a sinistra - si può raggiungere la malga di Vervò in circa 30 min. Da Vervò è inoltre possibile raggiungere la vicina località “Verginaz” (ca. 300 m dal tornante della strada provinciale della Predaia con possibilità di parcheggio); ampio parco attrezzato con panche e punti fuoco e notevole vista dalla terrazza panoramica sul complesso edilizio chiesastico di S.Martino a precipizio sulla forra del Pongaiola, sulla bassa Val di Non e, sullo sfondo, il Gruppo delle Dolomiti di Brenta.Informazioni utili:Durata: 3 ore andata e ritornoAltezza massima: 900Altezza minima: 705













",Percorso,0,0,,/var/predaia/storage/images/territorio/vervo/sentiero-romano/13748-2-ita-IT/Sentiero-Romano.jpg,,,,,,,,
a77fd3d39f6dc6e93b9d409243432710,2014-11-26T12:53:54+01:00,2014-11-26T12:54:52+01:00,"Bacino - Lago di Tres ","A nord del paese di Tres si giunge allo sbarramento artificiale chiamato Lago di Tres o Bacino. In questo luogo, anticamente, venivano sepolti i morti da epidemie quali la peste. A ricordo è stata eretta una croce in sasso. Nel 1932 è stato eretto il primo sbarramento per la raccolta dell’acqua piovana per scopi irrigui, le pietre utilizzate per tale opera furono lavorate a mano dagli scalpellini del paese, molto noti ed apprezzati in molte parti del trentino. Negli anni novanta a seguito della ristrutturazione del lago, è stata abbellita la zona circostante con l’aggiunta di attrezzature per pic-nic.",,Lago,46.326027,11.098261,,/var/predaia/storage/images/territorio/tres2/bacino-lago-di-tres/13784-2-ita-IT/Bacino-Lago-di-Tres.png,,,,,,,,
296fec70abe75ba90299cf322f85920d,2014-11-26T12:56:07+01:00,2014-11-26T12:56:07+01:00,"Chiesa di San Rocco ","Sul colle centrale del paese sorge la chiesa parrocchiale costruita nella metà del secolo scorso sull’area della quattrocentesca chiesa di S. Rocco. L’interno è stato decorato dal pittore Metodio Ottolini di Trento, che visse diversi anni a Tres durante l’ultima guerra lasciando in paese numerosi suoi quadri. Davanti alla chiesa sorge il campanile, voluto dalla popolazione negli anni venti.",,Chiesa,46.321677,11.095507,"tres,tn ",/var/predaia/storage/images/territorio/tres2/chiesa-di-san-rocco/13798-1-ita-IT/Chiesa-di-San-Rocco.png,,,,,,,,
