remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
a180305762ae3a548a0c1ff713781b56,2017-09-19T12:35:18+02:00,2017-09-19T12:35:18+02:00," Sentiero voto",,"
Sentiero – strada forestale percorribile in rampichino. Si sale dalla chiesa Parrocchiale SS Pietro e Paolo, fino all’abitato Cadenzi, si supera il Torrente Larganza e si prosegue salendo fino al Maso Tesobbo e Maso Gretti (887 m.s.l.m.). La strada asfaltata termina ed inizia la forestale con fondo in terra battuta completamente immersa nel verde dei boschi prima di faggio per poi passare alle peccete ed abetine di S. Osvaldo (1400 m.s.l.m.) abiate da caprioli, cervi e camosci. Si arriva al Ristorante Bernardi ed al Rifugio Erterle dopo aver percorso circa 8 Km. Una variante è prevista presso la loc Voto in cui una diramazione della strada forestale prosegue vino al torrente  “Rio Argento” e si innesta sul percorso Erterli – Fraineri - Monte di Mezzo.Sentiero adatto a chi intende passare un’intera giornata sulla montagna di Roncegno.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-voto/22680-1-ita-IT/Sentiero-voto.jpg,,,,,,,,
dbbef4aedf6a79eb1d9b252f5f61a7ad,2017-09-19T12:36:42+02:00,2017-09-19T12:37:52+02:00,"Sentiero Sant'Osvaldo",,"
Sentiero interamente immerso nel bosco. Si parte dal Ristorante Bernardi e ci si addentra sulla strada forestale pianeggiante che scende verso loc Voto. Lungo questo percorso sono stati posizionati dal gruppo Alpini di Roncegno una serie di cartelli e punti informativi riguardanti la flora che si incontra creando così un percorso storico – botanico di notevole interesse. Si arriva così alla Chiesetta di Sant’Osvaldo, eretta a memoria dei caduti della Prima Grande Guerra. Lungo il percorso ci si imbatte in numerose trincee e buche risalenti alle vicende belliche 1915 -1918.La lunghezza del percorso è di circa 1,3 km m. Sono di facile percorrenza ed adatti ad escursionisti di tutte le età.Per maggiori informazioni consultare il pdf:

    opuscolo san osvaldo
",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-sant-osvaldo/22694-2-ita-IT/Sentiero-Sant-Osvaldo.jpg,,,,,,,,
7b70e6c921d6718cbdf88a04cc57a090,2017-09-19T12:47:18+02:00,2017-09-19T12:47:18+02:00,"Sentiero Erterli  Fraineri  monte di Mezzo",,"
Si parte dal parcheggio del rifugio Erterle (1430 m.s.l.m.) e si segue la strada asfaltata scendendo sino alla località Casa Pendola (1324 m.s.l.m.). Si gira a destra al capitello iniziando a percorrere una strada in terra battuta che scende tra baite e prati che vengono falciati durante il mese di luglio. Si oltrepassano peccete e ci si avvicina così al Rio Argento dove si incontra la diramazione che congiunge questo percorso al Sentiero Voto (1224 m.s.l.m.). Si segue la strada che continua scendere arrivando così alla località “Ponte dei Raiteri” (Suggestivo ponte sul torrente Larganza), si scende ancora fino alla loc. “Manfraina” (1074 m.s.l.m.). La strada diventa ora una mulattiera in pietra (loc. Teccel – Lehan)   sulla quale si possono notare i segni di passaggio delle ruote dei carri che un tempo la percorrevano. Si arriva alla Loc. “Polsa dei Fraineri” (990 m.s.l.m.) ove la strada ridiventa asfaltata, Si prosegue sulla strada pianeggiante che porta al maso Fraineri (1001 m.s.l.m.), superato tale abitato si trova un bivio con ancora un capitello, si gira a destra e si scende lungo prati e zone coltivate a castagno fino ad arrivare al maso Smideri (860 m.s.l.m.) nei pressi di una vecchia fontana con acqua potabile. A questo punto si scende nel centro abitato seguendo il percorso della “Strada del Castagno”. La lunghezza del percorso è di circa 6,5 km.; da aggiungere altri 2 km per arrivare al centro del paese di Roncegno Terme.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-erterli-fraineri-monte-di-mezzo/22722-1-ita-IT/Sentiero-Erterli-Fraineri-monte-di-Mezzo.jpg,,,,,,,,
d354998d2143ac9f1def95411665a92a,2017-09-19T12:48:29+02:00,2017-09-19T12:48:29+02:00,"Sentiero Fraineri  Fodra  Praeti Pozze",,"
Dal bivio con capitello votivo posto dopo il Maso Fraineri (1001 m.s.l.m.) dove scende il sentiero per il Maso Smideri, (descritto nel sentiero Erterli-Fraineri- Monte di Mezzo) si prende la strada che sale verso loc Pozze ; si attraversano boschi di castagno misti a rovere e faggio arrivando così alla loc.” Fodra “ (1120 m.s.l.m.) . Attraversando tale località si arriva al bivio per loc Pozze, Si sale incrociando ancora una stradina ciottolata sulla sinistra e si prosegue fino alla loc. “Cané”  (1276 m.s.l.m.). Si prosegue così fino ad arriavre alla loc. “Praeti” e Pozze dove si trova il Bar Ristorante omonimo e il Punto vendita  di prodotti lattiero caseari tipici Agritur Rincher (1435 m.s.l.m.).La lunghezza di tale percorso è di 2,4 km.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-fraineri-fodra-praeti-pozze/22736-1-ita-IT/Sentiero-Fraineri-Fodra-Praeti-Pozze.jpg,,,,,,,,
ce89512d25dfaecbc5d98a126ece7177,2017-09-19T12:53:35+02:00,2017-09-19T12:53:35+02:00," Sentiero del salto",,"
Partendo dalla loc. Polsa dei Fraineri  (990 m.s.l.m.) si scende fino al maso Toneri (936 m.s.l.m.), la strada diventa di terra battuta e costruita interamente su arce in legno di larice e con tecniche di ingegneria naturalistica, superando la loc. “La staleta” (983 m.s.l.m.) ci si addentra nella vallata di conflenze tra il rio Argento e il torrente Larganza. Volgendo lo sguardo ad Ovest si nota un profondo vallone denominato “Valon Fondo”, lo sguardo viene poi rapito da un massiccio di roccia noto col nome “Crozi Brusai”. Si arriva seguendo la strada pianeggiante fino ad un ponte sul Torrente Larganza, il colle che ora ci sta dinanzi prende il nome di “Col de Fodren” (992 m.s.l.m.) . Costeggiando il rio Argento si possono notare opere di ingegneria naturalistica realizzate per stabilizzare la frana della “Busa del Tossego” Proseguendo sulla sinistra orografica del rio si puo arrivare fino a scorgere la cascata del “Salto” (Salto d’acqua naturale alto più di 40  metri).Sentiero per amanti dell’avventura., lunghezza approssimativa di 1 km.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-del-salto/22750-1-ita-IT/Sentiero-del-salto.jpg,,,,,,,,
1cf6e1db3b5e484911a25245cdbf76c1,2017-09-19T12:55:00+02:00,2017-09-19T12:55:00+02:00,"Sentiero Baide Santa Anna  Bienati",,"Partenza al bivio Pozze – Cinque Valli dove è localizzata una piccola area sosta con parcheggio. (1184 m.s.l.m.) . Si sale lungo la strada asfaltata che porta alle Pozze. A quota 1290 m.s.l.m. si prende una strada in terra battuta sulla destra che scende fino a loc. “Baide” (1243 m.s.l.m.), proseguendo poi per la loc. “Salembis” (1246 m.s.l.m.). Località immerse in un’ampia zona di prati e boschi di faggio. Si supera una piccola valletta e si giunge fino alla chiesa di Santa Anna (1128 m.s.l.m.) la strada a questo punto scende con alcuni tornanti per arrivare alla loc. “ Bienati” – “Grilli” (968 m.s.l.m.). Si prosegue a questo punto lungo le strade asfaltate dei masi di Ronchi per arrvivare alla frazione Dosso prima ( 865 m.s.l.m.) ed in seguito alla frazione Marchi ( 777 m.s.l.m.) . Si sale verso la frazione Bosco incrociando la strada provinciale per Torcegno. A questo punto si arriva al maso Sasso ( 808 m.s.l.m.) tornando lungo la Strada del castagno verso il paese di Roncegno Terme. Lunghezza approssimativa 9 km.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-baide-santa-anna-bienati/22764-1-ita-IT/Sentiero-Baide-Santa-Anna-Bienati.jpg,,,,,,,,
b35749b7fb872fbc5b315c82fb6964c0,2017-09-19T12:56:14+02:00,2017-09-19T12:56:14+02:00,"Sentiero Pozze Compo Poffen",,"Sentiero di semplice percorrenza che parte dal ristorante Alle Pozze (1435 m.s.l.m.), sale per una stradina sterrata che arriva fino sotto al rifugio Serot. Si gira a destra e si arriva alla loc. Compo (1435 m.s.l.m.), si prosegue per una antica mulattiera che porta in loc. (Pra dei Laresi 1350 m.s.l.m.), si attraversa il torrente Chiavona e si giunge  a malga Poffen, zona costituita da un insieme di baite e prati falciati contornati da grandi larici. Si prosegue fino alla strada asfaltata che sale da Ronchi e porta alla loc. Desene.(1479 m.s.l.m.) A questo punto si può ritornare al rifugio Serot attraverso il sentiero S.A.T. 371 e arrivati al rifugio si ritorna alla loc. Pozze.. Lunghezza approssimativa 5 km.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-pozze-compo-poffen/22778-1-ita-IT/Sentiero-Pozze-Compo-Poffen.jpg,,,,,,,,
fc29a38784149b84cc59448e5843d14a,2017-09-19T12:57:46+02:00,2017-09-19T12:57:46+02:00,"Sentiero Trenca",,"
Sentiero di facile percorrenza, panoramico sull’intera Valsugana.
Si Parte dal rifugio Serot  (1572 m.s.l.m.) e si sale verso la malga Trenca (1664 m.s.l.m.) ove possono essere acquistai prodotti lattiero caseari locali., si prosegue lungo la stradina sterrata fino ad arrivare al torrente Chiavona. Si gira a sinistra e si sale lungo la mulattiera,  vengono attraversati i pascoli della malga fino ad addentrarsi in un lariceto di neo formazione contornato da rododendri e da piante di mirtillo. sale ndo si arriva al “Baito dei Pastori” della Val d’Ilba.(1900 m.s.l.m.). Si scende costeggiando la destra orografica della Val d’Ilba fino ad arrivare alle baite delle Prese. Si trova a questo punto l’incrocio (1701 m.s.l.m.) con il sentiero S.A.T. 371 che porta al Passo La Portela passando per il “Baito dei Pastori” della Val della Portela.(2100 m.s.l.m.). A questo punto si prosegue in direzione del Laghetto delle Prese (1620 m.s.l.m.)  incrociando così  il percorso “Smel”. Per tornare al punto di partenza le soluzioni sono molteplici la consigliata è comunque quella di passare sopra al laghetto e dirigersi verso la malga Fravort dove possono essere acquistai prodotti lattiero caseari locali in una malga recuperata rispettando la tipologia costruttiva di un tempo. Lunghezza approssimativa 6 km.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-trenca/22792-1-ita-IT/Sentiero-Trenca.jpg,,,,,,,,
9b1511e17e5797887c736cfc2159aa1d,2017-09-19T13:58:55+02:00,2017-09-19T13:58:55+02:00," Sentiero Smel",,"
Si parte dall’Agritur Rincher e si prosegue per la strada sterrata che porta verso il torrente “Val della Portela”, lo si attraverasa e si prosegue verso i prati di Malga Smel (1606 m.s.l.m.), si incrocia il sentiero “Romani” che porta verso la loc. “Cinque Valli”. Si prosegue verso la loc. “Gotati” ( 1650 m.s.l.m.). Si sale prendendo la strada forestale che porta alla loc. “Polon” passando per la loc. “Albi”, bellissima radura in mezzo ad un secolare lariceto caratterizzata dalla presenza di alcuni abbeveratoti in legno per il bestiame. Si sale fino ad incrociare la mulattiera che porta al monte Panarotta e si gira a destra. Si Prosegue lungo questa stradina immersa nei larici e nei rododendri fino ad arrivare alla Val della Portela (1714 m.s.l.m.) e si scende fino alla loc. Prese  Si trova a questo punto l’incrocio (1701 m.s.l.m.)  con il sentiero S.A.T. 371 che porta al Passo La Portela passando per il “Baito dei Pastori” della Val della Portela.(2100 m.s.l.m.).
Si scende costeggiando il laghetto delle Prese  ed incrociando il percorso “Trenca”. che porta fino alla loc. Paicofl (zona costituita da prati falciati costellati da numerose baite 1560 m.s.l.m.). si gira a destra e si ritorna all’Agritur Rincher attraversando prima il guado sul torrente Val d’Ilba.",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-smel/22806-1-ita-IT/Sentiero-Smel.jpg,,,,,,,,
d002231f6c89cf4b203be186e4b4b7f3,2017-09-19T14:00:29+02:00,2017-09-19T14:00:29+02:00,"Sentiero Polon  La Bassa",,"
Questo percorso è una variante del sentiero “Smel”. Arrivando sopra la loc. “Albi”, bellissima radura in mezzo ad un secolare lariceto caratterizzata dalla presenza di alcuni abbeveratoti in legno per il bestiame. Si sale fino ad incrociare la mulattiera che porta al monte Panarotta e si gira a sinistra. Si arriva alla loc. Polon (1751 m.s.l.m.) dalla quale si può scorgere il monte Panarotta, si prosegue fino alla valle delle Fontanelle (1791 m.s.l.m.) e si può  a questo punto salire a destra per arrivare al  “Baito dei Pastori” della “Busa dei Cavai”.(1930 m.s.l.m.) e proseguire fino all’incrocio con il sentiero S.A.T. 325 che porta al monte Fravort.
Proseguendo invece lungo il sentiero pianeggiante si arriva alla loc. “La Bassa” (1830 m.s.l.m.).Da qui partono i sentieri per la Val dei Mocheni, per la Panarotta, il Fravort e una strada in terra battuta scende verso loc “Malga Masi” (1719 m.s.l.m.) per proseguire verso l’abitato di Vetriolo Terme). Lunghezza Polon – La Bassa 2,5 km circa completamente pianeggianti. ",Percorso,0,0,,/var/roncegnoterme/storage/images/vivi-roncegno-terme/luoghi-e-punti-di-interesse/cosa-puoi-visitare/sentiero-polon-la-bassa/22820-1-ita-IT/Sentiero-Polon-La-Bassa.jpg,,,,,,,,
