remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono
0dd5c66a41dc2abedd323e5c81ca1170,2014-06-25T15:12:39+02:00,2014-07-04T14:28:39+02:00,"Malga Giuggia","Da Roncone si sale dalla contrada Nocciola, si prosegue fino ai prati di Lodino (mt.976) poi ai prati di Cercenà (mt.1129) si arriva alla Rocca. Si può proseguire per malga Giuggia (mt.1606).",,"Sentieri e itinerari",45.984954,10.670564,Roncone,,,,,,,,
954de5a0d278e4c10c9d0c61c997dc62,2014-06-25T15:15:47+02:00,2014-07-04T14:42:49+02:00,"Laghetto di Roncone","
Ai piedi del paese, incastonato nel fondovalle, c'è il laghetto di Roncone, orgoglio della comunità.Attorno al lago è stata creata una passeggiata che permette di rilassarsi godendo la vista delle limpide acque e del faggeto che vi si specchia sulla sponda orientale. Se camminando vi prende la stanchezza, nessun problema: troverete panchine a sufficienza per un riposino, magari con un bel libro in mano. ","
Sono state create poi alcune strutture sportivo-ricreative, come il campo da minigolf, il campo da tennis scoperto, due parchi gioco, uno a nord e uno a sud del lago, gioia di adulti e bambini e per la loro voglia di tempo libero. I pontili in legno sono spesso scelti dai pescatori che qui si recano attratti dalla ricca varietà di pesci che vivono nelle acque lacustri. A nord del lago (a dimostrare che si tratta di un bacino incontaminato in cui la natura segue il suo corso naturale) sono stati installati presso il canneto due punti di avvistamento, dai quali si possono osservare le piccole anatre, le folaghe e i germani reali che qua hanno trovato una dimora tranquilla.
Sempre nella parte a nord del Lago l'estate affiorano specie di carici ingentilite in estate da sfumature cromatiche che vanno dal rosa del garofanino d'acqua al fucsia della salcerella.La Chiesa di Santo Stefano si specchia nelle sue calme acque.Di prossima apertura la Pista Ciclabile che costeggerà il Lago sulla sponda orografica destra. ",Lago,45.985193,10.676141,,,,,,,,,
8d5e4d3a5b544b6940b86558cb7b779a,2014-06-25T15:17:34+02:00,2016-05-23T08:20:20+02:00,"Malga Maggiasone","Per arrivarci bisogna percorrere un tratto di Val di Breguzzo. Dal punto in cui si lascia la macchina si deve percorrere un'oretta a piedi. Ma la fatica verrà ampiamente ricompensata. La malga, infatti, è immersa in un incantevole paesaggio di conifere ed è attraente dal punto di vista architettonico con la sua struttura in legno.",,Malga,45.984954,10.670564,Roncone,,,,,,,,
d5848556ab80a9571ef649f9dd87ebe1,2014-06-25T15:18:21+02:00,2016-05-23T08:18:45+02:00,"Malga Giuggia","È raggiungibile percorrendo in auto, previa autorizzazione, una strada forestale che si inerpica sulla montagna occidentale del paese, verso il gruppo dell'Adamello, per capirci. Anche da qui si può partire per escursioni di notevole interesse naturalistico.",,Malga,45.984954,10.670564,Roncone,,,,,,,,
6f3afec66161098b7eaf2d8ec6071786,2014-06-25T15:19:47+02:00,2016-05-23T08:16:34+02:00,"Malga Avalina","Come si diceva, è l'unica monticata da malgari, perciò permette ancora di assistere all'arte antica della lavorazione artigianale del latte. Fu la prima malga del Trentino ad essere collegata al paese con un lattedotto, lungo 5.700 metri, nel 1958. La si può raggiungere percorrendo la strada forestale che attraversa la Val di Bondone, in macchina, se si è in possesso di autorizzazione. Altrimenti si può andare a piedi: è una camminata abbastanza lunga, ma che ripaga altamente dello sforzo compiuto.",,Malga,45.984954,10.670564,Roncone,,,,,,,,
b29e68b23f1e054c6309f204caf6532c,2014-07-04T14:18:09+02:00,2016-05-23T08:30:36+02:00,"Lago di Roncone - località Milanino","Dal Lago di Roncone, attraversando il ponticello posto sull’immissario, si imbocca il sentiero che lasciando il prato entra nel bosco fino a raggiungere la località Milanino.",,"Sentieri e itinerari",45.984912,10.676208,"lago di roncone",,,,,,,,
0625b5476821054a684f24202d4803bf,2014-07-04T14:19:36+02:00,2016-05-23T08:34:44+02:00,"Valle di Bondone","La Valle di Bondone è incisa dal torrente Adanà, la strada prosegue in salita da Via Anglone, carrabile fino ai fienili di Bondone (Bondone di sotto mt. 1243 e Bondone di sopra mt. 1318), da vedere la tipicità dei fienili. Si prosegue lungo un comodo sentiero in un bosco di conifere fino a raggiungere la Malga Fraino (mt.1588)",,"Sentieri e itinerari",45.984954,10.670564,roncone,,,,,,,,
965ccbc68b4b4fcf094d8ac455fb620a,2014-07-04T14:27:13+02:00,2016-05-23T08:28:49+02:00,"Alla Pozza di Dampon","Poco prima del Ponte di Sant’Antonio (mt.1016) nella Valle di Bondone, una strada porta al bacino idroelettrico della Pozza. Si prosegue nel folto faggeto. Possibilità di ritorno a Roncone da un sentiero secondario.",,"Sentieri e itinerari",45.984954,10.670564,roncone,,,,,,,,
f3f59bf6b4c149ba5f54fce1f3be960d,2015-05-28T16:20:22+02:00,2015-05-28T16:20:22+02:00,"Albergo Miramonti",,,,45.984954,10.670564,"Loc. Pozza - 38087  Roncone (TN)",,,,,"Loc. Pozza - 38087  Roncone (TN)",http://www.ristorantemiramonti.it/Dove%20Siamo.html|www.ristorantemiramonti.it,,
edae909754debd0f251082382b9d207a,2015-05-28T16:21:28+02:00,2015-05-28T16:21:28+02:00,"Albergo la Rocca",,,,46.013026,10.702274,"Localit&agrave; La Rocca - 38087 Roncone (TN)",,,,,"Località La Rocca - 38087 Roncone (TN)",http://www.albergolarocca.it/lang/IT/pagine/dettaglio/1/1.html|www.albergolarocca.it,,
