remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
ecc9151c6fffd3f7d0a37d71a031b984,2014-09-18T12:58:13+02:00,2014-11-17T10:41:55+01:00,"Dòs Béo","Il Dòs Béo “simpatico” colle situato a nord est dell’abitato di San Lorenzo è luogo ideale per intraprendere passeggiate ed escursioni non impegnative, adatte a soddisfare anche le esigenze di famiglie con bambini e delle persone meno giovani.","
Per affrontare i vari itinerari si consiglia quale periodo ottimale quello che comprende i mesi che vanno da aprile a settembre, quando cioè il clima mite permette di trascorrere piacevolmente alcune ore all’aria aperta e in essa ritrovare ristoro. Il Dòs Béo è meta ideale anche per coloro che vogliano godere di un pic-nic all’ombra di qualche albero, immersi in uno splendido paesaggio  naturalistico, sfruttando così l’opportunità di scoprirne le bellezze.
In posizione strategica sorge un funzionale anfiteatro che si presta perfettamente per manifestazioni di vario tipo, da quelle ecologico-naturalistiche a quelle culturali o musicali. Nelle immediate vicinanze sono a disposizione anche i servizi igienici.Sebbene il percorso sia appropriatamente segnalato, tuttavia è stato creato perseguendo l’intento di preservare e rispettare l’integrità dei delicati equilibri della natura selvaggia ivi presente.Località di partenza: sono due i punti di accesso alla passeggiata, entrambi adeguatamente segnalati con pannello illustrativo


località “Manton”, a nord della frazione di Beghi, San Lorenzo in Banale – quota 780 m  s.l.m.

a monte della frazione di Glolo – quota 770 m s.l.m.  zona di &quot;Castel Mani&quot;, ove rimangono i resti dell’antico maniero. 


Dislivello: da San Lorenzo in Banale circa 150 m.
Difficoltà: percorso turistico non impegnativo, affrontabile senza grande sforzo fisico fino alla cima.Tratti di media difficoltà sono il sentiero della Val Mora, il sentiero Cleo e le scale di accesso al Doss Beo. Particolarmente ripido il Sentiero Camerote, consigliato a chi è dotato di un livello adeguato di allenamento.Tipologia del tracciato: fondo naturaleTempo di percorrenza:  circa 2 ore, procedendo ad andatura media, più il tempo di sosta e di osservazioneLocalità di arrivo: cima Dòs Béo - quota 880 s.l.m.Note: è consigliabile indossare calzature ed abbigliamento idoneo (sportivo)Acqua sul percorso: sono presenti due fontane di acqua potabileServizi igienici: presenti (vedi punto 15)Descrizione percorso 

    beo
","Sentieri e itinerari",46.076704,10.909271,"san lorenzo tn",/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/dos-beo/13359-1-ita-IT/Dos-Beo.jpg,,,,,,,,
40f14f8ed34185bde7a502bff104fb5a,2014-11-25T12:07:35+01:00,2014-11-25T12:07:35+01:00,"Percorso Dolaso Dorsino","Questo percorso vuole offrire la possibilità di conoscere alcuni degli aspetti che caratterizzano l’ambiente e la storia del Banale.","A tale scopo lungo il percorso sono stati individuati 10 temi di particolare interesse, a ciascuno dei quali è dedicata un’apposita tabella.L’intero tragitto, che ha uno sviluppo ad anello, segue strade e sentieri ben tracciati e presenta una lunghezza di circa 3,5 chilometri e un dislivello massimo di poco superiore a 150 metri. Può essere portato a termine in circa un’ora e mezzo di cammino. Il tracciato non è particolarmente impegnativo; è comunque consigliabile un abbigliamento comodo e adeguato, soprattutto per quanto concerne le calzature.

    Percorso Dorsino Dolaso
",,0,0,,/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/percorso-dolaso-dorsino/17475-1-ita-IT/Percorso-Dolaso-Dorsino.jpg,,,,,,,,
ca5d294e5f7cade83f132a5df1318d50,2014-11-25T12:14:02+01:00,2014-11-25T12:14:02+01:00,"Il sentiero di San Vili","Il Sentiero “San Vili” unisce Trento a Madonna di Campiglio, la Valle dell’Adige alle Dolomiti di Brenta, lungo percorsi alternativi a piedi (sentieri antichi, nuove ciclopedonali) che portano dalla città alla montagna, attraverso emozioni paesaggistiche, storiche e naturalistiche. ","Il Sentiero ricalca l’antica via romana che la tradizione vuole percorsa nel  400 d.C. da Vigilio, il vescovo patrono di Trento, e dalle sue spoglie, dopo il martirio in Rendena.Sono circa 100 chilometri, suddivisi in sei (o cinque) tappe, che attraversano anche nel territorio del Comune di San Lorenzo Dorsino. ",,0,0,,,,,,,,,,
ba614349e029094f4669774b62374a22,2014-12-20T14:52:29+01:00,2018-11-20T13:07:15+01:00,"Oasi del Molin","L'Oasi del Molin si può raggiungere a piedi da tutte e tre le frazioni circostanti attraverso una fitta rete di sentieri lontani dalla strada principale e rappresenta anche un punto di attrazione per i turisti che visitano il Banale e possono sostarvi per un picnic o un momento di relax. La casetta è gestita dalla Pro Loco di Dorsino, alla quale è sufficiente rivolgersi per un uso privato, mentre per i servizi igienici basta recarsi in comune a richiedere le chiavi.","In principio era un'area ai margini del Rio Ambiéz che rischiava di essere abbandonata a se stessa: a valle una discarica di materiale inerte e anche la bellezza della zona a monte stava sfiorendo. L'Oasi del Molin, area geograficamente centrale rispetto alle tre frazioni di Andogno, Dorsino e Tavodo, è stata oggetto a cavallo di due amministrazioni di ampi lavori di recupero e oggi, con orgoglio, è diventata una vera oasi di pace a disposizione di locali e turisti con un parco e un laghetto, oltre a strutture per feste e momenti di socializzazione.  L'ultimo prezioso tassello che l'ha completata è arrivato di recente dalla Val Ambiez : un grande masso di fossili recuperato a Baesa ha completato l'area verde attrezzata.","Parco naturale",46.074869,10.891684,,/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/oasi-del-molin/19756-3-ita-IT/Oasi-del-Molin.jpg,,,,,,,,
5c9e3237591bba9dea68cf7e4b94d0c3,2014-12-20T15:06:20+01:00,2014-12-30T17:07:36+01:00,"Escursione a Malga Asbelz","Escursione impegnativa ma gratificante attraverso la selvaggia Valle di Jon.","






Per raggiungere malga Asbelz è necessario seguire il Sentiero SAT n. 349, partendo da località Baesa, in Val Ambiez (circa 500 m prima del Ristoro Dolomiti). Poco dopo il ponte che attraversa il torrente Ambiez  il percorso procede attraverso una mulattiera a tratti molto sassosa e ripida sino a raggiungere un pianoro dove si trovano i resti di una vecchia teleferica.Il sentiero prosegue sino ad entrare nella Valle di Jon (dove si costeggiano numerose baite di legno, tutt'ora usate come abitazioni estiva dagli abitanti di Dorsino). La mulattiera prosegue sino a loc. &quot;Le Pezze&quot;, supera il capitello della Madonna e dopo un ultimo tratto, particolarmente scivoloso, esce dal bosco ed attraversa ripidi prati. Il percorso costeggia quindi la lunga e ripida costa ai piedi delle rocce che scendono dalla Crona Vecchia, lasciando in basso la Val di Jon. Superata la dorsale, la pendenza si addolcisce e il percorso entra nella Val d'Asbelz. La conca ha come anfiteatro le cime del Piz, il Castel dei Camosci, la Forcolotta, i Marugini e la Colmalta. In alto, al centro della Valle si trovano Malga Asbelz e l'omonimo laghetto.Il sentiero prosegue lungo la costa sino alla Malga e poi verso nord-ovest, lungo la costa erbosa frammista a spuntoni di roccette sino al laghetto di Malga Asbelz. Qui termina il sentiero 349, ma dal Valandro e dal Piz arriva il sentiero 348 (Garda- Brenta) che prosegue in direzione Colmalta per poi raggiungere il Rifugio Al Cacciatore.",Malga,46.076704,10.909271,"1, Localita&#039; Baesa, San Lorenzo In Banale, TN 38078",/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/escursione-a-malga-asbelz/19802-1-ita-IT/Escursione-a-Malga-Asbelz.jpg,,,,,,,,
220b50bfdd557e5fe1a87c4eaa9c3d1d,2014-12-26T11:35:08+01:00,2014-12-26T11:35:08+01:00,"La nostalgia del cammino","






...Tavodo-Andogno-Dorsino-San Lorenzo-Moline-Deggia-Nembia: un unico filo d'oro di nome in nome, di storia in storia, nel Trentino da vivere.","






Dodici itinerari facili, adatti per chiunque, che si diramano su tutto il territorio del Comune di San Lorenzo Dorsino:


Nella valle del Bondai

Quattro ponti e un guado sull'Ambiéz

Campedél

Belvedere

La voce del Sarca

La campana della Pieve

Sette passi per sette ville

Dell'unione

La porta del Parco

Luce di maggio sul Dòs Béo

Promeghin

Nasion




    CARTINA SENTIERI-1


    CARTINA SENTIERI-2
",,0,0,,,,,,,,,,
6b5a1cdb6d0bda0e5aa3acf6c412e416,2015-08-28T09:28:17+02:00,2015-08-28T09:28:17+02:00,"I Sentieri dei Piccoli Camminatori","Il Sentiero Piccole Baite Addossate alle Rocce si sviluppa nella zona di Nembia, di facile percorrenza per una lunghezza di circa 3 km.","Il sentiero è inserito nel progetto “I Sentieri dei Piccoli Camminatori” che intende riscoprire usanze, tradizioni, leggende, parte della storia delle genti e dei luoghi dell’Ecomuseo della Judicaria - anche nella loro specificità - raccontandole ai bambini attraverso storie scritte appositamente per loro, non solo da leggere, ma anche da percorrere. I Sentieri individuati sono in totale 6, situati in zone diverse del territorio dell’Ecomuseo.A San Lorenzo il racconto è &quot;La casa dei porcellini&quot;.

    info


    sentiero
",Ecomuseo,46.100806,10.937162,,/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/i-sentieri-dei-piccoli-camminatori/33532-1-ita-IT/I-Sentieri-dei-Piccoli-Camminatori.jpg,,,,,,,,
0767e682be88d679d690c1fabffeb856,2016-06-30T11:22:04+02:00,2016-07-01T10:44:45+02:00,"Percorso: Sette passi per le Sette Ville","Alla scoperta del Borgo di San Lorenzo in Banale

    cartina Borgo
",,,0,0,,/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/percorso-sette-passi-per-le-sette-ville/43285-1-ita-IT/Percorso-Sette-passi-per-le-Sette-Ville.jpg,,,,,,,,"Prusa mazoleti 07
carro del Martino
loggia Mazoleti"
5dbded1af2d9e8354156efa04a035dc6,2017-12-06T12:06:27+01:00,2018-01-23T14:21:14+01:00,"CASTEL MANI,  i ruderi dell'antica Rocca di San Lorenzo in Banale","A monte dell'abitato di San Lorenzo in Banale, su un dosso aggettante la profonda fossa del Limarò, sorgono i ruderi del Castel Mani, roccaforte vescovile risalente al XII secolo","La costruzione di Castel Mani risale probabilmente al XII secolo anche se i primi documenti scritti che lo riguardano sono del 1207. In quell'anno il principe vescovo di Trento investì Uldarico d'Arco del feudo legato al castello.Passato tra le mani di vari dominatori nel periodo medioevale, il castello fu rovinato negli eventi bellici del 1786 e del 1797, durante l'invasione napoleonica, i suoi resti furono successivamente usati come cava di pietre per la costruzione del paese.

    La Rocca di San Lorenzo in Banale
Oggi, grazie all'intervento del Servizio per il sostegno occupazionale e la valorizzazione ambientale della provincia autonoma di Trento è stata restituita visibilità ad elementi murari, prima sommersi dalla vegetazione.













",,0,0,,/var/sanlorenzodorsino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/castel-mani-i-ruderi-dell-antica-rocca-di-san-lorenzo-in-banale/75390-1-ita-IT/CASTEL-MANI-I-ruderi-dell-antica-Rocca-di-San-Lorenzo-in-Banale.jpg,,,,,,,,
5b458132c1b9e66a773e343b9cfffab4,2019-07-30T14:28:47+02:00,2019-10-09T09:27:20+02:00,Pumptrack,"La pista di Pumptrack si trova nel Centro Sportivo di Promeghin","La pista per Pumptrack è finalizzata al puro divertimento dell’utilizzatore. Creata con una successione di curve paraboliche, gobbe ed eventuali salti, permette molteplici combinazioni di giri diversi. Lo scopo del Pumptrack è quello di percorrerlo senza pedalare, ovvero sfruttando la spinta (pump) del corpo creata da un continuo movimento di piegamento ed estensione sulla bicicletta, sullo skateboard o sul monopattino.Si raccomanda di attenersi alle seguenti disposizioni di sicurezza ed utilizzo:


    
                                                
                    
                    Pumptrack Promeghin(7).pdf 5,73 MB
                
                                    

",,0,0,,/var/sanlorenzodorsino/storage/images/territorio/informazioni-utili/sport/pumptrack/107159-1-ita-IT/Pumptrack.png,,,,,,,,
