remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
389a38913e5cd48334376f82c221d8d1,2015-10-15T08:27:36+02:00,2015-10-15T08:42:11+02:00,"Castello di Segonzano","Il Castello di Segonzano fu costruito dopo il 16 febbraio 1216, perchè in quella data il Principe Vescovo di Trento Federico Vanga investiva della giurisdizione del territorio di Segonzano il suo ministeriale Rodolfo Scancio. Lo autorizzava a costruire un castello o luogo fortificato dove voleva. Aveva l'obbligo di tenerlo aperto al Vescovo o al suo personale per ogni circostanza. Lo Scancio si obbligava a non ospitare nel castello gente di malaffare, pena la perdita del feudo.","

    cenni alla storia del castello
",Castello,46.18379,11.248987,,/var/segonzano/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/castello-di-segonzano/30440-3-ita-IT/Castello-di-Segonzano.jpg,,,,,,,,
843c44a4c6eff3db51dd52ad4c325d1d,2015-04-04T00:06:32+02:00,2015-04-08T11:48:44+02:00,"Assistenti sociali","Gli assistenti sociali che seguono le situazioni relative a persone residenti in Valle di Cembra effettueranno, di norma, i recapiti settimanali di ricevimento dei cittadini a Cembra, in piazza S. Rocco n. 9, presso la sede della Comunità della Valle di Cembra. Per favorire comunque l'accesso ai servizi da parte di utenti della sponda sinistra della valle, potrà essere effettuato il recapito ancora presso la sede del Centro Polifunzionale di Segonzano, ma solo previo appuntamento telefonico al n. 0461/680032.","I recapiti si svolgeranno presso la sede della Comunità della Valle di Cembra, palazzo Barbi, piano terra, nei seguenti orari:
Area adulti (assistente sociale David Micheli)tutti i lunedì dalle 10.00 alle 12.00     mail: david.micheli@comunita.valledicembra.tn.it
Area minori (assistente sociale Elisa Damaggio)tutti i martedì dalle 10.00 alle 12.00    mail: elisa.damaggio@comunita.valledicembra.tn.it
Area anziani (assistente sociale Francesca Degasperi)tutti i giovedì dalle 10.00 alle 12.00    mail: francesca.degasperi@comunita.valledicembra.tn.it",Ambulatorio,46.187572,11.261346,"Polifunzionale di Scancio - Segonzano",,,,,"c/o Polifunzionale di Scancio",,,0461/680032,
042eb995756b302bf77c3a6d911a63b8,2015-04-04T00:19:26+02:00,2015-04-08T11:21:22+02:00,"Ambulatorio medici di base","A partire dal giorno 01/02/2014 l'ambulatorio medico del martedì a Sevignano, mercoledì a Piazzo e del primo giovedì del mese di Gresta è sospeso. Tale decisione è determinata dalla nuova modalità di prescrizione dei farmaci in via telematica come richiesta in via obbligatoria dal Ministero dell'Economia e  delle Finanza. Per il rinnovo di ricette di farmaci già in uso è possibile chiamare negli orari di ambulatorio.","
Dott.ssa Mirta Bazzanella
Cell. 335.6196348Orario:


lunedì 9.00 - 9.30

giovedì 11.30 - 12.00



Dott. Maurizio Virdia
Cell. 347.0559999Orario:


lunedì 13.30 - 14.30

mercoledì 14.30 - 15.30

giovedì 15.00 - 16.00



Dott.ssa Maria Claudia di Geronimo
Cell. 328.0131793
Tel. 0461.686110Orario:


lunedì, martedì, mercoledì e venerdì 10.00-12.00

lunedì e giovedì 17.00-18.30


",Ambulatorio,46.189146,11.258301,"Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686444,
6b5f705f268c0eaf61f6fbdefe12af8b,2015-04-08T11:20:36+02:00,2015-04-08T11:20:36+02:00,"Ambulatorio pediatrico","Dott. Bernardo Stabile","Orari:

  Giorno
  
  Ora
  




  martedì
  
  8.30 - 10.00
  




  mercoledì(su appuntamento)
  
  8.15 - 9.15
  




  giovedì
  
  8.30 - 10.30
  




c/o Ambulatorio di Albiano


Orario:


lunedì 8.30 - 10.30 (su appuntamento)

mercoledì 14.00 - 15.30

giovedì 11.30 - 12.30 (su appuntamento)




Tel. 0461.689252


c/o Ambulatorio di Lavis - via Rosmini, 70


Orario:


lunedì 13.30 - 15.00 (su appuntamento)

mercoledì 14.00 - 15.30

venerdì 10.00 - 11.00 (su appuntamento), 11.00 - 12.00




Tel. 0461/243939


",Ambulatorio,46.189146,11.258301,"Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
d44ca39250604262b3a873efaf2e5b4f,2015-04-08T11:23:55+02:00,2015-04-08T11:23:55+02:00,"Ambulatorio infermieristico",,"Orari:

  Giorno
  
  Ora
  




  martedì
  
  9.00 - 9.30
  




  venerdì
  
  9.00 - 9.30
  




Per urgenze dopo l'orario di ambulatorio chiamare il numero 0461.683711",Ambulatorio,46.189146,11.258301,"Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
c8d98934421c5aede996e8373e36d227,2015-04-08T11:29:06+02:00,2015-04-08T11:49:40+02:00,"Ambulatorio ginecologico","Dott. Marco Santuari","Orari visite su appuntamento telefonando al Cup numero verde 848-816816:


2° e 4° lunedì del mese dalle 10.30 alle 12.30


c/o Comune di Cembra su appuntamento chiamando il numero 0461.682158


1°, 3° e 5° lunedì del mese dalle 10.30 alle 12.30


c/o Comune di Albiano su appuntamento chiamando il numero 0461.689239


1° e 4° lunedì del mese dalle 8.30 alle 10.00


",Ambulatorio,46.187572,11.261346,"Polifunziona di Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
cd29e012f19729fb4c3e360da049164d,2015-04-08T11:33:15+02:00,2015-09-24T11:50:03+02:00,"Medico d'igiene","dott. Graziano Villotti","Orari:


1°, 3° e 5° martedì del mese dalle 15.30 alle 16.30


c/o Comune di Cembra (tel. 0461.682158) previo appuntamento telefonico al CUP numero verde 848.816816


lunedì 14.30 - 16.30

mercoledì 10.30 - 12.00


c/o Comune di Giovo - via S. Antonio, 2 - Verla (tel. 0461.684466)


lunedì 11.00 - 12.00


",Ambulatorio,46.187572,11.261346,"Polifunziona di Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
837a5e6042cf601fff6aa6b398197f23,2015-04-08T11:35:45+02:00,2015-04-08T11:35:45+02:00,"Guardia medica",,"Orari:


dal lunedì al giovedì 20.00 - 8.00 del giorno successivo

fine settimana dalle ore 20.00 del venerdì alle 8.00 del lunedì successivo

prefestivi dalle ore 10.00 del giorno precedente la festività infrasettimanale alle ore 8.00 del giorno successivo alla festività


",Ambulatorio,46.187572,11.261346,"Polifunziona di Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
239babc94294148f159225ffc6969578,2015-04-08T11:44:00+02:00,2015-04-08T11:44:00+02:00,"Servizio prelievi",,"Orari:c/o Polifunziona di Scancio


martedì dalle 7.30 alle 9.00


c/o ambulatorio di Cembra (tel. 0461.682158)


venerdì dalle 7.30 alle 9.00


c/o ambulatorio di Albiano (tel. 0461.689239)


giovedì dalle 7.30 alle 9.00


c/o ambulatorio di Verla (tel. 0461.684466)


mercoledì dalle 7.30 alle 9.00


",Ambulatorio,46.187572,11.261346,"Polifunziona di Scancio - Segonzano",,,,,"c/o Polifunziona di Scancio",,,0461.686121,
341ebe34379fc229bebae021aeadda14,2015-04-08T11:57:40+02:00,2015-04-08T11:57:40+02:00,Farmacia,"Farmacia di Segonzano del dr. Pierangelo Villaci","Orari:


tutti i giorni dalle 8.30 alle 12.30 e dalle 15.00 alle 19.30

chiuso il sabato pomeriggio


",Farmacia,46.187842,11.258508,"Fraz. Scancio, 26 - Segonzano",,,,,"Fraz. Scancio, 26",,,0461.686231,
b1d68a43f63fa2c8721204f175f5393d,2015-04-08T12:13:13+02:00,2018-01-18T14:57:54+01:00,"Difensore civico - Garante dei Minori","Il Difensore civico è un organo di garanzia e tutela dei diritti ed interessi del cittadino nei confronti della Pubblica amministrazione. E’ autonomo ed indipendente dal potere politico e libero da ogni condizionamento. La sua consulenza ed il suo intervento sono gratuiti.Ulteriori approfondimenti sul difensore civico sul sito della Provincia Autonoma di Trento  Ulteriori approfondimenti sul garante dei minori sul sito della Provincia Autonoma di Trento  ","Il Difensore Civico è presente presso la Comunità della Valle di Cembra nelle giornate indicate nell'avviso pubblicato all'Albo telematico di Segonzano.Per ragioni organizzative il recapito verrà effettuato solo in presenza di appuntamenti fissati chiamando lo 0461 213201 o il numero verde 8008-51026",,46.175351,11.223238,"PIAZZA S. ROCCO CEMBRA",,,,,,,,,
285b72110db96b877c87761b3fa0ed14,2015-04-08T12:21:21+02:00,2015-04-08T12:21:21+02:00,"Ufficio postale",,"Orari:

  Giorno
  
  Ora
  




  martedì
  
  8.20 - 13.45
  




  giovedì
  
  8.20 - 13.45
  




  sabato
  
  8.20 - 12.45
  




","Ufficio postale",46.187842,11.258508,"Scancio 26 - Segonzano",,,,,"Frazione Scancio 26 - Segonzano",,,0461.686107,
dc7dffb7113a702e1d491c55627e2397,2015-04-08T12:30:35+02:00,2015-04-08T12:30:35+02:00,Acli,"I servizi Acli si svolgono c/o Municipio di Segonzano il 1° e il 3° giovedì di ogni mese dalle 14.00 alle 15.30","Sede di Cavalese: tel. 0462.230433Sede Comunità della Valle di Cembra: 


Tel. 0461.680032

Tutti i mercoledì con orario 9.00 - 12.00

Servizio di elaborazione delle dichiarazioni ICEF e delle domande collegate: i mercoledì su appuntamento telefonando al numero unico 199.199.730 con orario 8.30 - 12.30


",,46.190319,11.258697,"Fraz. Scancio n. 64 - 38047 Segonzano",,,,,"Fraz. Scancio n. 64 - 38047 Segonzano",,,,
ff8b31454f90266e3d6869de63c40583,2015-04-08T12:33:02+02:00,2015-04-08T12:33:02+02:00,"APT - Azienda per il turismo",,"Baselga di Pinè


tel. 0461.557028

e-mail: info@aptpinecembra.it


Cembra


tel. 0461.683110

e-mail:infocembra@aptpinècembra.it

fax 0461.683257


",,0,0,,,,,,,,,,
79b7e28dcd5571069233e3bd5713bed4,2015-04-08T12:34:19+02:00,2015-04-08T12:34:19+02:00,A.S.I.A.,"Azienda speciale per l'igiene ambientale",,,46.134142,11.085179,"Lavis - via G. di Vittorio, 84",,,,,"Lavis - via G. di Vittorio, 84",http://www.asia.tn.it/|www.asia.tn.it,,0461.241181,
d9b593e3d63409a7a21ed5154de67758,2015-04-08T12:37:23+02:00,2015-04-08T12:37:23+02:00,"Comprensorio Valle dell'Adige",,,,46.092532,11.116084,"Trento - via Zambra, 11",,,,,"Trento - via Zambra, 11",,,"0461.412111 - fax (0461.412245)",
