remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
efb841a1a9b6c7908c623046f4e2e250,2015-12-02T11:11:31+01:00,2015-12-16T08:39:15+01:00,"Scuola materna Mario Amistadi","Scuola materna di Roncone",,"Scuola infanzia",0,0,,,,,,"Via Benedetto Lucchi 1 - 38087 Roncone (Tn)",,roncone.materna@associazionecoesi.com,"0465 901285",
e9faee1c2a17bb938da6ea593b80bae8,2015-12-02T11:12:12+01:00,2015-12-16T08:37:32+01:00,"Scuola materna di Breguzzo",,,"Scuola infanzia",0,0,,,,,,"Via Guglielmo Marconi - 38081 Breguzzo (Tn)",,,"0465 901550",
7998481a7471ea1afd4c0bd5b5964b67,2015-12-16T08:40:21+01:00,2015-12-16T08:40:21+01:00,"Scuola elementare di Bondo",,,"Scuola elementare",0,0,,,,,,"Via Indipendenza 3 - 38081 Bondo (Tn)",,,"0465 901355",
b26db0f727957122a08261d7a899e3df,2015-12-16T08:42:28+01:00,2016-05-23T14:39:54+02:00,"Scuole elementari Bondo-Breguzzo","Istituto Comprensivo di Tione",,"Scuola elementare",0,0,,,,,,"Via Indipendenza, 105 38081 Bondo (TN) ",,elembondo@scuole.provincia.tn.it,"0465.901355 ",
541bc5454f83130858a901cd7babcd25,2015-12-16T08:43:45+01:00,2017-08-24T16:44:03+02:00,"Asilo nido Sella Giudicarie","Asilo nido Sella Giudicarie ",,"Nido infanzia",45.997214,10.691349,,,,,,"Corso III Novembre, 124 - Bondo - 38087 Sella Giudicarie (TN)",,,"0465 900524 - 0465 901386",
54055c48d6cd15a3f767a8bd49c11122,2015-12-16T08:45:14+01:00,2015-12-16T08:45:14+01:00,"Scuola Primaria",,,"Scuola elementare",0,0,,,,,,"Via III Novembre - 38087 Roncone",,elemroncone@ictione.tn.it,"0465 901898 - fax 0465 901898",
9768db7e92cc8bac05f0cf8cfdbfdc3f,2015-12-16T08:46:32+01:00,2015-12-16T08:46:32+01:00,"Scuola Secondaria di I grado","La Scuola Secondaria di I grado di Roncone fa parte dell'Istituto Comprensivo di scuola Primaria e Secondaria di Tione",,"Scuola (media o secondaria)",0,0,,,,,,"Via III Novembre - 38087 Roncone",,,"0465/901676 - fax 0465/901676",
8dd4d01ff4b10ef6beb55b24f0a90b65,2015-12-16T09:37:54+01:00,2016-05-23T09:25:45+02:00,"Asilo Nido "" L'Isola che non c'è""","Asilo Nido &quot; L'Isola che non c'è&quot; - Piccola società cooperativa",,"Nido infanzia",45.937737,10.6379,"Via Roma 48/A - 38085 Pieve Di Bono, Pieve di Bono-Prezzo (Tn)",,,,,"Via Roma 48/A - 38085 Pieve Di Bono (Tn)",,,"0465 673138",
94fc434e9d471e1ceadcc7e64b764bbb,2015-12-16T09:38:42+01:00,2015-12-16T09:38:42+01:00,"Asilo infantile parrocchiale","Asilo infantile parrocchiale di Daone",,"Nido infanzia",0,0,,,,,,"Via S. Bartolomeo 36 - 38080 Daone (Tn)",,,"0465 674060",
8f09e56271541411ad328756fac151c6,2015-12-16T09:40:05+01:00,2015-12-16T09:40:05+01:00,"Asilo Nido parrocchiale","Asilo Nido parrocchiale di Praso",,"Nido infanzia",0,0,,,,,,"Via Dante Alighieri 14 - 38080 Praso (Tn)",,,"0465 674060",
84b36e1a88ed1a63d33ca3212dd84b62,2015-12-16T09:41:29+01:00,2015-12-16T09:41:29+01:00,"Scuola dell'infanzia","Scuola dell'infanzia di Daone",,"Scuola infanzia",0,0,,,,,,"Via Dante 55 - 38080 Daone (Tn)",,,"0465 674060",
daadbd4f2753461ccd05397771f99bfb,2015-12-16T09:42:22+01:00,2015-12-16T09:42:22+01:00,"Scuola dell'infanzia equiparata","Scuola dell'infanzia equiparata - Pieve di Bono",,"Scuola infanzia",0,0,,,,,,"Via Fiera 9/B - 38085 Pieve Di Bono (Tn)",,sm.pieve.bono@fpsm.tn.it,"0465 674083",
51b4ad2912c0ddc2116b21f14097fc43,2015-12-16T09:43:05+01:00,2015-12-16T09:43:05+01:00,"Scuola elementare di Pieve di Bono",,,"Scuola elementare",0,0,,,,,,"Via Fiera 1 - 38085 Pieve Di Bono (Tn)",,,"0465 674247",
1e82dcb66897b1c56d28b9ac9f52fc0a,2015-12-16T09:43:48+01:00,2015-12-16T09:43:48+01:00,"Scuola elementare di Daone",,,"Scuola elementare",0,0,,,,,,"Via Lunga 11 - 38080 Daone (Tn)",,,"0465 674430",
aea1672870ad05b9e51e7306ffdd7895,2015-12-16T09:44:28+01:00,2015-12-16T09:44:28+01:00,"Scuola media","Scuola media di pieve di Bono",,"Scuola (media o secondaria)",0,0,,,,,,"Via Fiera 1 - 38085 Pieve Di Bono (Tn)",,,"0465 674049",
