remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
b2c5fecd8e726e1c85269b1040c8bf81,2015-07-21T10:47:57+02:00,2015-07-21T10:47:57+02:00,Piscine,,,Frazione,46.237601,11.325614,"piscine sover",/var/sover/storage/images/territorio/luoghi-e-punti-di-interesse/frazioni/piscine/17973-1-ita-IT/Piscine.jpg,,,,,,,,
ccebaf80f7b5f53f60ee57b44fe5a625,2015-07-23T12:52:12+02:00,2016-03-02T16:10:33+01:00,"Ambulatorio medico Sover",,,Ambulatorio,46.221827,11.316303,"via Ferari, 73 Sover",,,,,"via Ferari, 73 Sover",,,"0461 694028",
58e5c01f0967d7b37c8d8f917916f6b8,2015-07-23T12:53:42+02:00,2016-03-02T16:09:36+01:00,"Ambulatorio medico Montesover",,,Ambulatorio,46.217237,11.326373,Montesov&eacute;r,,,,,"Montesovér, piazza Alpina, 4 ",,,"0461 698077",
2272cbedc6c5b8318c231fe4cb7f0d76,2015-07-23T12:56:44+02:00,2015-07-23T12:56:44+02:00,"Ambulatorio medico Piscine",,,Ambulatorio,46.239248,11.325202,"Piscine, via Lagorai, 3/c",,,,,"Piscine, via Lagorai, 3/c",,,"0461 698031",
a7615e3797390e305234a43a1d8a5a1c,2015-07-23T14:11:54+02:00,2016-03-02T16:22:09+01:00,"Ufficio Postale di Sover","Apertura il lunedì - mercoledì - venerdì dalle ore 8.00 alle ore 13.30",,"Ufficio postale",46.222827,11.31342,"Stradon di Sover n.19 - 38048 Sover (TN)",,,,,"Via Stradon di Sovér, 19",,,"0461 698015",
32e2974e59ef878d5e6c13698818889a,2015-07-23T14:31:00+02:00,2015-07-23T14:31:00+02:00,Parrocchia,"Il parroco è don Carlo Gilmozzi",,Chiesa,46.221389,11.315816,Sover,,,,,,,,"0461 698020",
d1ef8cc920d0935676e4798533341968,2015-07-23T14:35:51+02:00,2016-03-02T16:14:30+01:00,"Scuola Primaria di Sover","Contatti:Tel / Fax: 0461-69829Email: primaria.sover@scuole.provincia.tn.it",,"Scuola elementare",46.221317,11.315482,"Piazza S. Lorenzo 10 - 38048 Sover (TN)",/var/sover/storage/images/territorio/informazioni-utili/scuole/scuola-primaria-di-sover/19640-3-ita-IT/Scuola-Primaria-di-Sover.jpg,,,,"Piazza S. Lorenzo 12 - 38048 Sover (TN)",,,"0461 698290",
70d8d04ec2abedda22b0a056b9cbd5f4,2015-07-23T14:37:11+02:00,2016-03-02T16:18:42+01:00,"Scuola Infanzia Sover - ""Amici della Scuola dell'Infanzia di Sover""","Contatti:Tel: 0461/698351",,"Sito Archeologico",46.217332,11.32531,"Via Domenico Santuari 1 - Montesover - 38048 Sover",/var/sover/storage/images/territorio/informazioni-utili/scuole/scuola-infanzia-sover-amici-della-scuola-dell-infanzia-di-sover/19654-2-ita-IT/Scuola-Infanzia-Sover-Amici-della-Scuola-dell-Infanzia-di-Sover.jpg,,,,"Via Domenico Santuari 1 - 38048 Montesover",,,"0461 698351",
816daf0176c08964c303d4fb1e2a9c0e,2015-07-23T16:30:13+02:00,2015-07-23T16:30:13+02:00,"Farmacia di Segonzano",,,Farmacia,46.187842,11.258508,"Fraz. Scancio, 26",,,,,"Fraz. Scancio, 26",,,"0461 686260",
c994249032ebef559ed1406e8b159f24,2015-07-21T10:42:05+02:00,2021-08-03T14:08:56+02:00,Montesover,"Geograficamente Montesover - c. c. Sover - è uno dei paesi dell'alta Valle di Cembra, sulla sinistra dell'Avisio, confinante a Nord-Est col territorio comunale di Valfloriana di Fiemme e a Sud - Ovest con Bedollo e Segonzano. Si adagia su di una boscosa, porfirica propagine del Gruppo Lagorai, avendo alle spalle, come a ventaglio, le cime dei Dossi, la Vernera, i Cimati, la Locca e Camoré; a Ovest, il maestoso gruppo del Brenta e la Paganella, chiudono l'ampio orizzonte.","Montesover - appare chiaro - è il nome ottenuto dalla fusione delle voci &quot;Monte di Sover&quot;, ma Sover, etimologicamente, deriva dai &quot;sò aver &quot;, che i primitivi abitatori del luogo, provenienti dalla Valle di Non, ripetevano quando, lasciando la loro terra, venivano quassù a lavorare i loro poderi, che chiamavano i &quot;i sò aver &quot;.Montesover conta più di cento famiglie con un oscillazione di popolazione sui 420 abitanti, ad un'altitudine di m. 1130 s.m. I primi insediamenti umani al Monte si presume risalgano al 1200, mentre quelli di Sover furono di molto anteriori. Al monte, vi salivano al pascolo i pastori con gli armenti al tempo estivo, e baite erano le case, per la breve dimora.",Frazione,46.217237,11.326373,montesover,/var/sover/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/montesover/17959-3-ita-IT/Montesover.jpg,,,,,,,,
