remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
22ec07c99c2176c08433ef2a174a527e,2015-06-24T09:55:10+02:00,2015-06-24T10:47:17+02:00,"Località Maso Milano","Situato alla confluenza del torrente Sporeggio con il torrente Noce, occupa tutto il territorio formato dal letto dello Sporeggio nel suo ultimo tratto, incominciando dal ponte di ferro che conduce al Maso Trentini e alla Baita Marnara, fino al Noce; e verso Nord fino al Lovernatico, sul comune di Sporminore e qualche poco di prato e di bosco sulla destra delloSporeggio, sul comune di Spormaggiore.","
E' scritto: Milano (1577).
Il nome gli viene dal fatto che i primi di cui si abbia notizia, sono immigrati dal distretto di Milano.
Alberto &quot;ferrar milaneso&quot;, abitante al Crescino e dna Margherita, moglie di mr Dominico detto il &quot;milano&quot;, il 19 febbraio 1577 fanno da padrini di Maria figlia di Giovanni del Vasto.
Più particolarmente questo Alberto è di cognome Pezzi (de Pezzis) oriundo di Odrio, distretto di Milano. Ha un figlio di nome Francesco, pure fabbro come il padre, abitante alla fucina al &quot;Milan&quot;.I pezzi lavorano al Crescino e poi si trasferiscono a Dercolo, lasciando il posto libero ai Gabrieli, oriundi di Predazzo, e verso il 1750 occupato a loro volta dai Wegher, che discendono da Lauregno.",Frazione,46.236709,11.052735,"Maso Milano - Sporminore",/var/sporminore/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/localita-maso-milano/18909-1-ita-IT/Localita-Maso-Milano.jpg,,,,,,,,
b31c6babff9207e4fe071291c07329ee,2015-06-24T10:59:57+02:00,2015-06-24T10:59:57+02:00,Farmacia,"La farmacia più vicina si trova nel Comune di Spormaggiore",,Farmacia,46.21827,11.04786,"Piazza Chiesa, 1 Spormaggiore",,,,,"Piazza Chiesa, 1 Spormaggiore",,,0461/643020,
0d84d9d2e9d6a564dc98fc3494eb7163,2015-06-24T11:39:52+02:00,2017-03-13T09:34:07+01:00,"Parco Naturale Adamello Brenta","Il Parco Naturale Adamello Brenta è la più vasta area protetta del Trentino, situato nel Trentino occidentale, con i suoi 620,51 kmq comprende i gruppi montuosi dell'Adamello e del Brenta, separati dalla Val Rendena e compresi tra le valli di Non, di Sole e Giudicarie. E' interessato dalla presenza di 48 laghi e dal ghiacciaio dell'Adamello, uno dei più estesi d'Europa.",,"Parco naturale",46.237649,11.030604,Sporminore,/var/sporminore/storage/images/territorio/il-paese-di-sporminore/cosa-puoi-visitare/parco-naturale-adamello-brenta/18943-2-ita-IT/Parco-Naturale-Adamello-Brenta.jpg,,,,,http://www.pnab.it/|www.pnab.it,,,
4f92a40e32155bf560fda309da4a7707,2015-06-25T10:43:14+02:00,2015-06-25T10:43:14+02:00,"Centro Sportivo ""Mario Formolo""","Il nostro Centro Sportivo venne ufficialmente intitolato a Mario Formolo domenica 31 luglio 2011 nel ventennale della sua scomparsa; persona dinamica e generosa che nella veste di Amministratore ha sempre dimostrato un notevole impegno nel seguire le opere di ristrutturazione e ampliamento del Centro Sportivo e ha fatto sì che, sin da subito, l'intera popolazione legasse in modo quasi automatico il suo ricordo a questa struttura.","
Il primo nucleo di Centro Sportivo lo si deve all'iniziativa e all'impegno dei giovani della &quot;Sportiva&quot; che, già alla fine degli anni cinquanta hanno saputo proporre e condividere questo progetto con l'Amministrazione comunale dell'epoca.
I primi lavori importanti di ampliamento si ebbero grazie all'intervento dell'Esercito che realizzò la spianata con i propri mezzi militari.
Con le Amministrazioni degli anni ottanta e grazie al lavoro dei tanti volontari del paese vennero realizzati gli spogliatoi. 
Negli anni novanta venne ammodernato il polo con la realizzazione del nuovo campo di calcio così come è ancora attualmente ed assieme si realizzò la pista di atletica, la postazione del salto in lungo e del lancio del peso, il campo polivalente, il campo da bocce ed il percorso vita.
Le Amministrazioni comunali che poi si sono susseguite negli anni hanno saputo migliorare e arricchire il Centro Sportivo con nuove strutture e nuovi spazi (il bellissimo sferisterio, il campo da calcio a cinque, il magazzino a servizio del campo da tamburello, ecc.).
A Sporminore è così sorto un luogo molto ben attrezzato e adatto agli sportivi e agli appassionati affinchè questi possano praticare discipline diverse ( tamburello, calcio, tennis, calcetto, bocce, ecc.); la vicinanza al bosco e alle vie di passaggio del Dolomiti Brenta Bike e del Dolomiti Brenta Trek ne fanno inoltre un ottimo punto di partenza per gite ed escursioni a piedi o in rampichino, all'insegna del vivere lo sport e la natura nella sua completezza.","Centro sportivo",46.237649,11.030604,"centro sportivo Sporminore",/var/sporminore/storage/images/territorio/informazioni-utili/impianti-sportivi/centro-sportivo-mario-formolo/18997-1-ita-IT/Centro-Sportivo-Mario-Formolo.jpg,,,,,,,,
4e8116ac13d353426cd90b88ccbc1d6e,2015-06-25T10:50:17+02:00,2015-06-25T10:50:17+02:00,"Servizio di Polizia Intercomunale","Da lunedì 16 luglio 2007 ha preso avvio la gestione associata del servizio di Polizia Locale. Il nuovo servizio fa parte del &quot;Progetto Sicurezza del Territorio&quot; promosso dalla Provincia Autonoma di Trento, che ha previsto la riorganizzazione sul territorio provinciale dell'esercizio in forma associata delle funzioni di polizia locale.","
Per questo motivo, il territorio provinciale è stato diviso in 20 ambiti all'interno dei quali i comuni possono svolgere in forma associata la funzione di polizia locale.
Per quanto riguarda il nostro ambito, i Comuni che hanno aderito alla convenzione sono: Campodenno, Cles, Coredo, Denno, Sanzeno, Sfruz, Sporminore, Ton e Vervò. La sede del servizio è situata nel comune di Cles. Scopo della convenzione è quello di svolgere in maniera associata e coordinata le funzioni di polizia locale, urbana e rurale demandate ai comuni dalle leggi e dai regolamenti vigenti, anche attraverso il coordinamento con le restanti forze di polizia al fine di garantire la tutela e la sicurezza della popolazione.
Tra le funzioni previste vi sono:
prevenire e reprimere le infrazioni alle norme di polizia locale;
vigilare sull'osservanza delle leggi, regolamenti, delle ordinanze e degli altri provvedimenti amministrativi emanati dalle competenti autorità, la cui esecuzione sia di competenza dei Comuni;
vigilare sull'integrità del patrimonio pubblico;
svolgere incarichi di informazione, accertamento e rilevazione connessi alle funzioni istituzionali comunali;
esercitare il controllo in materia di tutela dell'ambiente dagli inquinamenti;
svolgere le funzioni di polizia giudiziaria e le funzioni ausiliarie in pubblica sicurezza ai sensi dell'art. 15 della legge 7 marzo;esercitare il servizio di polizia stradale attribuito dalla legge alla polizia locale.Eventuali richieste di informazioni o interventi urgenti potranno essere richiesti al Comando di Polizia Locale di Cles al numero 0463.662040.","Polizia locale",0,0,,,,,,,,,,
955309763db239683589002eedb3d488,2015-06-25T10:53:01+02:00,2015-06-25T10:53:01+02:00,"Famiglia Cooperativa","La famiglia Cooperativa si distingue dalla sua capillare rete al servizio del cittadino all'interno della nostra valle.","Gli Orari:


Dalle 7:30 alle 12:00

Dalle 16:00 alle 18:45


Chiuso lunedì mattina e giovedì pomeriggioNota: Gli orari possono variare senza preavviso",,46.219272,11.048881,"Via Don G. Maurina Sporminore",/var/sporminore/storage/images/territorio/informazioni-utili/servizi-sul-territorio/famiglia-cooperativa/19025-1-ita-IT/Famiglia-Cooperativa.jpg,,,,"Via Don G. Maurina, accanto al nuovo parcheggio interrato",,,,
abbf0b9e49de8c01cf0867de27549f81,2015-06-25T10:55:53+02:00,2015-06-25T10:55:53+02:00,"Ufficio postale",,"I servizi disponibili presso l'ufficio sono:


Prodotti e servizi di base (pagamento bollettini, invio telegrammi, spedizione pacchi, ecc.)

Fax Trasferimento fondi MoneyGram

Paccocelere 3

Collocamento obbligazioni

Ricariche Telefoniche


L'ufficio postale rispetta i seguenti orari di apertura al pubblico:


Mercoledì dalle 08:30 alle 12:00

Sabato dalle 08:30 alle 12:00


","Ufficio postale",46.23706,11.0309,"Piazza Anaunia 8 Sporminore",/var/sporminore/storage/images/territorio/informazioni-utili/servizi-sul-territorio/ufficio-postale/19039-1-ita-IT/Ufficio-postale.jpg,,,,"Piazza Anaunia, 8",,,"0461/641120 (fax 0461/641057)",
bd13c31e66991d7a0cf47e4e1d8d8835,2015-06-25T10:59:15+02:00,2015-06-25T10:59:15+02:00,"Cassa Rurale di Tuenno - Val di Non ","All'interno della filiale si trova uno sportello Bancomat:","La Cassa Rurale rispetta i seguenti orari di apertura al pubblico:


dal lunedì al venerdì dalle 08.00 alle 13.00 e dalle 14.30 alle 16.00


",,46.23724,11.03154,"Piazza Anaunia, 4 Sporminore",/var/sporminore/storage/images/territorio/informazioni-utili/servizi-sul-territorio/cassa-rurale-di-tuenno-val-di-non/19053-1-ita-IT/Cassa-Rurale-di-Tuenno-Val-di-Non.jpg,,,,"Piazza Anaunia, 4",,,"0461641091 (fax 0461641103)",
42c286ccd583a020ebdb552631bb075b,2020-09-09T12:26:19+02:00,2020-09-10T14:30:04+02:00,"I ""Palazzi Vecchi Spaur"" e Volcmaro da Burgstall","
Volcmaro di Burgstall
Capostipite della nobile famiglia Spaur, Volcmaro/Volkmar è ricordato come figura di spicco nelle vicende politiche dell’area trentina e tirolese nella prima metà del secolo XIV.Originario del paese di Tirolo vicino a Merano, muovendosi con accortezza nel complesso contesto di un territorio suddiviso già a partire dal 1302 fra conte del Tirolo e vescovo di Trento, egli riuscì a conquistare cariche personali, beni e diritti da ambo le parti.","
Grazie al rapporto privilegiato con Enrico di Carinzia, conte del Tirolo, per il quale svolse numerose missioni, fu nominato nel 1312 capitano della giurisdizione di Sporo e nel 1324 divenne vicario della fortezza di Postal/Burgstall, assumendo così il predicato con il quale ancora oggi è noto. Ricoprì dal 1330 al 1340 l’importante carica di burgravio di Tirolo, mentre nel 1327 ricevette in feudo pignoratizio il castello di Rattenberg e nel 1333 il giudizio di Meltina con annessa la citata fortezza di Postal, nonché i castelli e le giurisdizioni di Sporminore e Visione, che nel 1335 gli furono assegnati come feudi ereditari. Nel 1334 fu investito di Flavon e nel 1341 della fortezza della Rocchetta. I buoni rapporti con il vescovo di Trento Enrico di Metz gli fruttarono nel 1317, quando già esercitava la carica di podestà di Riva, la nomina a capitano del Banale, mentre nel 1335, in occasione della divisione dei beni di Gralando di Mezzo, entrarono in suo possesso Castel San Pietro a Mezzolombardo e le decime relative alla zona di Nave San Rocco, compreso il traghetto sull’Adige, e Zambana, nell’ambito dei territori rimasti all’episcopato trentino; nel 1338 acquistò inoltre dal genero Tomaso Tarant beni e diritti feudali a Fai.Nel 1342 tuttavia, per ragioni oscure, cadde in disgrazia presso Ludovico di Brandeburgo e la consorte Margherita, nuovi signori del Tirolo, e, imprigionato, morì probabilmente nel corso del 1343; tutti i suoi feudi furono incamerati dalla contea del Tirolo.I figli di Volcmaro (Paolo, Baldassarre, Matteo e Giovanni) riuscirono comunque in breve a tornare nelle grazie dei conti Ludovico e Margherita, e a riconquistare parte dei possedimenti e diritti paterni, in particolare i giudizi e i castelli in Val di Non e Piana Rotaliana, ai quali gli Spaur avrebbero indissolubilmente legato le proprie sorti: nel 1346 furono investiti dei castelli e dei giudizi di Flavon e Sporminore, mentre nel 1348 furono loro riconfermati i beni di Termeno, Mezzolombardo, Ponte alla Nave, Zambana, Fai.
Tra i figli di Volcmaro, Matteo sposò Elisabetta di Castel Corona di Flavon, dando vita all’omonima linea familiare, che però si estinse già all’inizio del secolo XV; Baldassarre ebbe al contrario prospera discendenza grazie ai figli Matteo e Pietro, che consolidarono le fortune della
stirpe, oggi ancora fiorente, e assunsero definitivamente la forma cognominale “de Sporo/von Spaur”.Fra i numerosi possedimenti degli Spaur nel paese di Sporminore rientrano anche i cosiddetti “palazzi vecchi”. Il complesso residenziale, attestato nelle fonti archivistiche dalla metà del secolo XV, può forse essere messo in relazione con il “curtivum” (inteso nel senso di corte, spazio delimitato da muri) citato in un documento del 1327 come appartenente a Volcmaro, all’epoca capitano del castello di Sporminore (Archivio di Stato di Decin, Fondo Thun, Sezione Tirolese, III, 40).
Bibliografia:
J. Ladurner, Volkmar von Burgstall: Ahnherr der Grafen von Spaur, in „Archiv für Geschichte und Altertumskunde Tirols” (2) 1865, pp. 134-180
D. Reich, I castelli di Sporo e Belforte, Trento 1901
P. Micheli, Sulle sponde dello Sporeggio, Trento 1977
C. Ausserer, Le famiglie nobili nelle Valli del Noce, trad. di Giulia Mastrelli Anzilotti, Malé 1985[testo a cura di Stefania Franzoi, Soprintendenza per i Beni culturali della Provincia autonoma di Trento]In allegato le immagini del documento di Investitura feudale dei castelli di Sporminore e Visione concessa da Enrico di Carinzia, conte del Tirolo, a Volcmaro di Burgstall e ai suoi eredi maschi (1335 marzo 6, Tirolo; Archivio provinciale di Trento, Fondo Famiglia Spaur di Castel Valer, n. 511).© Provincia autonoma di Trento - Laboratorio di fotografia dell’Archivio provinciale.

	
	
		
			312607079003
		 
		1,19 MB
	

	


	
	
		
			312607085004
		 
		1,08 MB
	

	
",Palazzo,46.236807,11.030274,"Sporminore, Comunit&agrave; della Val di Non, Provincia di Trento, Trentino-Alto Adige, Italia",/var/sporminore/storage/images/territorio/il-paese-di-sporminore/cosa-puoi-visitare/i-palazzi-vecchi-spaur-e-volcmaro-da-burgstall/81602-1-ita-IT/I-Palazzi-Vecchi-Spaur-e-Volcmaro-da-Burgstall.jpg,,,,,,,,
e1c70c7fd7fbc8d00bf0e2bd834596af,2020-09-20T17:19:59+02:00,2020-09-20T17:19:59+02:00,"La Chiesa Parrocchiale di Santa Maria Addolorata","- “E noi la volen bela, pu bela de so mare!” – Con queste parole don Pietro Micheli ci introduce al racconto della progettazione e della realizzazione della chiesa attuale. L’aumento della popolazione aveva reso necessario questo intervento, che era diventato improrogabile.Fu il conte Paride Spaur a mettere a disposizione Il terreno su cui edificarla. Si trattava del fondo feudale al “Piazzol”, considerato il più adatto sia per la sua centralità nel paese, sia perché sufficientemente pianeggiante.","Il progetto fu redatto dall’ingegnere provinciale Antonio Gepper, mentre chi si aggiudicò i lavori fu Federico Chierzi di Tuenno. Alla costruzione partecipò tutta la popolazione.La prima pietra fu posta il 21 giugno 1874 alla presenza del decano della cattedrale di Trento, Mons. Valentino Bergamo.Il 10 agosto 1879, alla presenza del vescovo Haller, coadiutore del P.V. Riccabona, il nuovo tempio venne consacrato. A perpetua memoria della precedente chiesa, anche questa venne intitolata a Maria SS. Addolorata.Di ampie dimensioni, con pianta a croce latina e facciata principale rivolta ad occidente, appare come un misto di forme e stili ripresi dal passato. E’ un esempio significativo del momento culturale tardo romanico dei revival eclettici con i vari apporti dal neogotico al neoromanico al neorinascimentale, con predilezione per il periodo rinascimentale. La scelta del campanile a vela in facciata dimostra l’attenzione per l’architettura religiosa di valle che nei suoi più antichi esempi utilizzava un analogo impianto campanario.Presenta una facciata esterna sobria con paraste angolari, portale centrale sormontato da una tettoia con decori classici e un semplicissimo rosone a mosaico di vetro. La facciata si conclude con un frontone la cui trabeazione è abbellita da rosettoni e mensole in pietra bianca.In controfacciata è sistemato l’organo costruito da Vincenzo Mascioni nel 1911.La navata ha volta a botte scompartita in due campate. All’incrocio tra i due transetti si alza la cupola affrescata con il tema della Assunzione di Maria dai colori delicati fra azzurro, bianco, grigio e nocciola.Il presbiterio leggermente rialzato ha pianta quadrangolare e abside semicircolare con catino decorato sulla cui architrave spicca la scritta dorata “IN HONOREM B.V.B. DOLOROSAE”.L’interno della chiesa è decorato con affreschi e dipinti del pittore trentino Matteo Tevini eseguiti nel 1927.Oltre alla cupola ed al catino absidale decorato con la crocifissione dai colori scuri e terrosi e cielo plumbeo con sullo sfondo l’abitato di Sporminore, nella zona del transetto troviamo quattro lunette rappresentanti: la fuga in Egitto, la presentazione di Gesù al tempio, Gesù dodicenne al tempio che disputa con i dottori ed il cammino con la croce. Sulla volta della navata troviamo invece la deposizione ed il Cristo nel sepolcro rappresentati ad affresco in due riquadri dai contorni quadrilobati.Sulle pareti della navata in  corrispondenza di zone arcate sono appesi tondi ad olio su tela rappresentanti in ordine da sinistra: S.Agnese, i tre martiri anauniesi, S. Vigilio assieme a S. Romedio e S. Francesco.L’altare maggiore in marmi policromi, di linee semplici classicheggianti con grado a due livelli e ciborio e tempietto è stato costruito nel 1878. La portella del tabernacolo presenta un altorilievo dorato ed argentato rappresentante l’Agnus Dei.I quattro altari laterali sono dedicati rispettivamente alla Madonna Addolorata,  a San Giovanni Bosco, a San Luigi Gonzaga e a Sant’Antonio.(Informazioni e Sintesi tratte da Sulle sponde dello Sporeggio di Pietro Micheli e da “Sporminore segni e memorie”, Fabio Bartolini, William Belli, Tiziana Rusconi, ed. Arti Grafiche Saturnia,  2000)",Chiesa,0,0,,/var/sporminore/storage/images/territorio/il-paese-di-sporminore/cosa-puoi-visitare/la-chiesa-parrocchiale-di-santa-maria-addolorata/81836-1-ita-IT/La-Chiesa-Parrocchiale-di-Santa-Maria-Addolorata.jpg,,,,,,,,
