remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
7cfe2ff0d5dee5a5e40878535c67e848,2016-02-16T10:51:28+01:00,2018-11-16T08:55:45+01:00,"Ambulatorio Dott. Marzini Stefano",,"

   
  
  TENNO
  
  VARONE
  




  lunedì
  
  ricette09.00 – 09.30 
visite09.30 – 11.30
  
  ricette14.15– 14.45 
visite15.00 – 18.00
  




  martedì
  
  ricette09.00 – 09.30 
visite09.30 – 12.00
  
   
  




  mercoledì
  
  ricette09.30 – 10.00 
visite10.00 – 12.00
  
   
  




  giovedì
  
  ricette09.00 – 09.30 
visite09.30 – 10.30
  
  ricette11.00 – 11.30 
visite11.30 – 13.00
  




  venerdì
  
  ricette15.00 – 16.00 
visite16.00 – 19.00
  
   
  




ATTENZIONE:Le ricette per farmaci ad uso cronico, devono essere richieste, tassativamente, alla segreteria al numero 3406092297), oppure tramite mail (assistentestudiomedico@gmail.com) o in ambulatorio negli orari previsti, con due giorni di anticipo (si chiede di specificare al momento della richiesta il luogo dove si intende ritirare se c/o ambulatorio di Varone o se c/o ambulatorio Tenno).Per le ricette dei controlli programmati e degli esami di controllo per patologie croniche in atto, chiamare sempre la segreteria nel modo preferito.Si ricorda che il medico in orario di ricette effettua solo la prescrizione di farmaci, esami e visite specialistiche urgenti; in tale orario non si effettua la lettura di esami, referti medici, etc per i quali, come per le visite, deve essere preso appuntamento.Gli appuntamenti si prendono o telefonando alla segreteria al n. 3406092297, o tramite mail (assistentestudiomedico@gmail.com) o direttamente in ambulatorio nei seguenti giorni ed orari: -  Lunedì – Martedì – Mercoledì – Venerdì    dalle 15.30 alle 17.30 -  Giovedì                                                     dalle ore 10.00 alle 12.00Le modalità di accesso agli ambulatori e di prenotazione di ricette devono essere assolutamente rispettate da tutti i pazienti.Orari di reperibilità telefonica: tutti i giorni feriali (esclusi prefestivi e festivi): dalle 10.00 alle 12.00 e dalle 15.30 alle 17.30.N. UTILI

  segreteria
  
  3406092297
  




  E-MAIL Segreteria
  
  assistentestudiomedico@gmail.com
  




  tel. DOTT. MARZINI
  
  3407805134
  




  E-MAIL dott. Marzini
  
  st.marzini@gmail.com
  




  GUARDIA MEDICA
  
  0464582629
  




  urgenze
  
  118
  






    Orari ambulatorio infermieristico
",Ambulatorio,0,0,,,,,,,,,,
22260d9d925e0da1d305132fcc2dea6d,2016-02-16T14:34:20+01:00,2016-02-16T14:34:20+01:00,"Stella d'Italia""Da Carlotta""","Specialità Trentine",,,0,0,,,,,,"Via G. Mazzini 7 Gavazzo 38060 Tenno",," stellaitaliacascate@gmail.com ","0464 871757",
b2c964e051871b59311d5548673bf651,2016-02-16T14:34:40+01:00,2016-02-16T14:36:41+01:00,"Ristorante della carne salada - Acetaia del balsamico/agritur",,,,0,0,,,,,,"Strada di San Zeno - Cologna DI Tenno",http://www.acetaiadelbalsamico.it/|www.acetaiadelbalsamico.it,info@acetaiatn.it,"0464 550064",
9d99c88c82e09af269cc97af58b1bcf9,2016-02-16T15:00:27+01:00,2016-02-16T15:01:22+01:00,"Ristorante Foci da Rita",,,,0,0,,,,,,"Via Grotta Cascata 10 - Gavazzo - 38060 Tenno",,,"0464 555 725 ",
d93be290f379246e7853e4198e8bafa9,2016-02-16T15:01:33+01:00,2016-02-16T15:02:15+01:00,"La Rocchetta","(m 156 s.l.m.)",,,0,0,,,,,,"Via G. Mazzini 18 - Gavazzo - 38060 Tenno",,,"0464 520335 ",
89eab571b10f0a3fbc23e5c073fd67c1,2016-02-16T15:02:30+01:00,2016-02-16T15:03:15+01:00,"Cà Briosi",,,,0,0,,,,,,"Via al Cìngol ròs - Cologna - 38060 Tenno",,,"0464 556 590 ",
5aca03bd72f0af2db04edfe6f22c6e89,2016-02-16T15:21:24+01:00,2016-02-16T15:22:32+01:00,"Trattoria Piè di Castello",,,,0,0,,,,,,"Via al Cìngol ròs 38 - Cologna - 38060 Tenno",http://www.piedicastello.it/|www.piedicastello.it,,"0464 521 065",
66e7bb20676cb179aec2d74399146e11,2016-02-16T15:22:43+01:00,2016-02-16T15:23:34+01:00,"Ristorante al Castello","(m 428 s.l.m.)",,,0,0,,,,,,"Via per San Lorenzo - 38060 Tenno",,,"0464 500 638 ",
f08ca956a677e878f27464939a59ad56,2016-02-16T15:23:47+01:00,2016-05-04T10:07:47+02:00,"Ristorante Antica Croce - Dal 1909 Fam. Stanga","(m 428 s.l.m.)",,,0,0,,,,,,"Via dei laghi, 1  - 38060 Tenno",http://www.anticacroce.com/|www.anticacroce.com,"info@anticacroce.com ","0464 500 620 - Fax 0464 503 228",
4fed47e0dbf0c2924c2068894191784e,2016-02-16T15:24:57+01:00,2016-02-16T15:26:18+01:00,Cristina,"(m 549 s.l.m.)",,,0,0,,,,,,"Villa Sant'Antonio - Ville del Monte - 38060 Tenno",http://www.hotel-cristina.com/|www.hotel-cristina.com,info@hotel-cristina.com,"0464 502 187 - Fax 0464 502 112",
cdbd0d8492734828e57b6fffef6743da,2016-02-16T16:05:47+01:00,2016-02-16T16:07:02+01:00,"Club hotel lago di Tenno","(m 570 s.l.m.)",,,0,0,,,,,,"Località Lago di Tenno 37 - Ville del Monte - 38060 Tenno",http://www.clubhoteltenno.com/|www.clubhoteltenno.com,info@clubhoteltenno.com,"0464 502 031 - Fax 0464 502 101",
f36863fec7f1e2495fdcfefae9cd78c5,2016-02-16T16:10:11+01:00,2016-02-16T16:10:44+01:00,"Stella Alpina","(m 570 s.l.m.)",,,0,0,,,,,,"Località Lago di Tenno 20 - Ville del Monte - 38060 Tenno",,,"0464 502 121 - Fax 0464 502 121",
a8a52df77ec3b04cbd9a9a471e5ccbeb,2016-02-16T16:10:51+01:00,2016-02-16T16:12:20+01:00,"Agritur Calvola di Santoni B.","(m 642 s.l.m.)",,,0,0,,,,,,"Villa Calvola - Ville del Monte - 38060 Tenno",http://www.agriturcalvola.it/|www.agriturcalvola.it,"info@agriturcalvola.it ","0464 500 820 - Fax 0464 500 820",
9fe501343db9fc7db5e7e73f86951cd4,2016-02-16T16:12:29+01:00,2018-03-16T10:33:12+01:00,"Rifugio Monte Calino ""San Pietro""","Quota m 976 s.l.m.",,,0,0,,,,,,"38060 Tenno",,,"0464 500 647 ",
2f88264b35d260b9950f4ff6ee4ab356,2016-02-17T08:37:32+01:00,2016-02-17T08:37:32+01:00,"Il castello","Sorto su fondamenta romane, conobbe Longobardi e Franchi, Guelfi e Ghibellini, servitù feudali e libertà comunali, principi vescovi di Trento, Veneti e Viscontei, giorni di sventura e di vittoria ed il tramonto degli imperi. ","
Alle origini sorge come bene di tutti ma con il passare del tempo, seguendo costumi diffusi, si privatizza e giunge nelle mani dei conti feudali di Appiano e di Ultimo; quindi diviene proprietà del vescovo Vanga (1210). Venne posto in luce da arditi condottieri di ventura del 1400, tra essi il Gattamelata, il Piccinino e lo Sforza, che stupirono per le loro gesta e portarono nell'Alto Garda e a Tenno un soffio di vita rinascimentale. 
Ancora alla ribalta nel 1700 quando, nell'ambito della guerra franco-ispana, fu messo a ferro ed a fuoco e seriamente danneggiato. In seguito, nel 1807, venne messo all'asta dal governo bavarese e comprato dalla famiglia Brunati che provvide al restauro (1851). Dopo un millennio di storia la torre, alta 48 metri, lesa dagli eventi bellici, crollò nel 1920, restando frantumata come un rudere minaccioso che fu poi minato dal Genio Civile nel giugno del 1922. Il castello è attualmente proprietà privata e pertanto non è visitabile.",Castello,0,0,,/var/tenno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/il-castello/20876-1-ita-IT/Il-castello.jpg,,,,,,,,
