remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
0f94abccd66dfd20cf618a0210b6f525,2015-03-25T11:10:17+01:00,2015-03-25T11:10:17+01:00,Pinterreno,"Frazione sulla sponda sinistra del torrente Leno, è anche l'ultima della valle di Terragnolo. Si trova a 720 m.s.l.m. .",,Frazione,45.878177,11.142817,"Pinterreno - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/pinterreno/14979-1-ita-IT/Pinterreno.jpg,,,,,,,,
9095486d419694f3141de7998feda4b8,2015-03-25T11:11:49+01:00,2015-03-25T11:11:49+01:00,Potrich,"Frazione tra le più antiche, che domina tutta la valle di Terragnolo e posta in zona soleggiata sotto i costoni del monte Finonchio. Si trova a 1053 m.s.l.m. .",,Frazione,45.883305,11.123673,"Potrich - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/potrich/14993-1-ita-IT/Potrich.jpg,,,,,,,,
020c949286f910803b8bafda8d5b6ae4,2015-03-25T11:14:05+01:00,2015-03-25T11:14:05+01:00,Rovri,"Frazione spostata a valle rispetto alla strada per Serrada, raggiungibile da una derivazione della strada principale. Si trova a 874 m.s.l.m. .",,Frazione,45.878177,11.142817,"Rovri - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/rovri/15007-1-ita-IT/Rovri.jpg,,,,,,,,
c30ad01e4385a0796de27ea6a0168add,2015-03-25T11:16:21+01:00,2015-03-25T11:16:21+01:00,"Scottini, Pornal e Dieneri","Il gruppo delle ultime tre frazioni che si trovano sulla strada per Serrada e che dominano dall'alto tutta la valle di Terragnolo. Scottini, Pornal e Dieneri si trovano rispettivamente a 1100 m.s.l.m. .",,Frazione,45.884939,11.132106,"Scottini - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/scottini-pornal-e-dieneri/15021-1-ita-IT/Scottini-Pornal-e-Dieneri.jpg,,,,,,,,
f2ccdc4e767972e2dc73fcb5d1870204,2015-03-25T11:17:43+01:00,2015-03-25T11:17:43+01:00,Sega,"Frazione in prossimità dell'attraversamento del torrente Leno, in direzione delle frazioni di Ghesteri, Geroli e Pinterreno. Si trova a 659 m.s.l.m. .",,Frazione,45.865707,11.175619,"Sega - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/sega/15035-1-ita-IT/Sega.jpg,,,,,,,,
71b770d5deed74351cae1d8b4fe86d00,2015-03-25T11:19:00+01:00,2015-03-25T11:19:00+01:00,"S. Nicolò","Questa frazione assieme a Fontanelle, è posta nel fondovalle con una via di accesso completamente diversa rispetto a quella utilizzata per accedere a tutte le altre frazioni della Valle. L'unica via di accesso infatti parte dal comune di Rovereto, e rimane in fondovalle transitando per questa frazione e terminando a Fontanelle. In questa frazione, tra le più antiche, venivano prodotti i coppi per le coperture dei tetti delle case. Si trova a 395 m.s.l.m. .",,Frazione,45.871232,11.097259,"S. Nicol&ograve; - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/s.-nicolo/15049-1-ita-IT/S.-Nicolo.jpg,,,,,,,,
af79412c6e9198cd890b33859cac0cb8,2015-03-25T11:20:11+01:00,2015-03-25T11:20:11+01:00,Stedileri,"Questa frazione è la prima nella strada che scende verso l'attraversamento del torrente Leno. Si trova a 745 m.s.l.m. .",,Frazione,45.872268,11.166162,"Stedileri - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/stedileri/15063-1-ita-IT/Stedileri.jpg,,,,,,,,
668c0b2c0f697f81f66aba241e1c687a,2015-03-25T11:21:47+01:00,2015-03-25T11:21:47+01:00,Valduga,"Terza frazione che si incontra salendo da Rovereto verso il Passo della Borcola o verso Serrada, questa frazione consiste in un cospicuo agglomerato di case. Dopo Valduga la strada diventa ripida verso la frazione principale Piazza. Si trova a 657 m.s.l.m. .",,Frazione,45.877597,11.130364,"Valduga - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/valduga/15077-1-ita-IT/Valduga.jpg,,,,,,,,
dd80fc8cecada8e58506b5024be96a5e,2015-03-25T11:23:06+01:00,2015-03-25T11:23:06+01:00,Valgrande,"Seconda frazione che si incontra salendo da Rovereto verso il Passo della Borcola o verso Serrada, questa frazione è composta da poche case sparse, a ridosso della valle omonima che scende dal monte Finonchio. Si trova a 650 m.s.l.m. .",,Frazione,45.878839,11.111133,"Valgrande - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/valgrande/15091-1-ita-IT/Valgrande.jpg,,,,,,,,
71a18787e0d4036b68a2cfd23c439032,2015-03-25T11:24:30+01:00,2015-03-25T11:24:30+01:00,Zoreri,"Frazione sulla destra del torrente Leno che si incontra procedendo verso il Passo della Borcola. Si trova a 820 m.s.l.m. .",,Frazione,45.865946,11.186065,"Zoreri - Terragnolo",/var/terragnolo/storage/images/territorio/informazioni-utili/frazioni/zoreri/15105-1-ita-IT/Zoreri.jpg,,,,,,,,
0c5ba6abc0671249dfa86db574dfec0b,2015-03-25T12:09:33+01:00,2018-02-24T21:58:45+01:00,"Chiesa dei SS. Pietro e Paolo","Nella frazione capoluogo Piazza è situtata la chiesa parrocchiale dedicata ai Santi Pietro e Paolo. Costruita a partire dal 1665 fu terminata nel 1668."," 
(foto di L.Fornasa)Durante la prima guerra modiale la chiesa venne fortemente danneggiata: la porta d'ingresso, l'organo, i banchi ed il pavimento in legno furono utlizzati come legname; le pitture e gli stucchi vennero rovinati dalle infiltrazioni d'acqua e dai proiettili; l'intero apparato campanario venne rimosso e ad oggi non se ne conosce l'utilizzo fatto in guerra. Negli anni 1919-20 la chiesa venne riparata dal Genio Militare.
La chiesa presenta tre pregevoli altari barocchi che sono datati 1643, 1773 e 1787. All'interno sono conservati interessanti affreschi risalenti al XV-XVI secolo. L'attuale edificio è orientato sull'asse nord-sud e non coincide con l'asse liturgico tradizionale ovest-est che rappresentò una costante fino alla prima metà del Seicento.Maggiori informazioni si possono trovare nella pubblicazione &quot;La Chiesa dei SS. Pietro e Paolo di Terragnolo&quot; di Giorgio Michelotti, Rita Peterlini e Maria Cristina Lanaro.






",Chiesa,45.878522,11.151917,"Piazza - Terragnolo",/var/terragnolo/storage/images/vivere-terragnolo/cosa-fare-a-terragnolo/chiese-e-luoghi-sacri/chiesa-dei-ss.-pietro-e-paolo/15196-4-ita-IT/Chiesa-dei-SS.-Pietro-e-Paolo.jpg,,,,,,,,
dda425ea91c9593da0c15838896f6aa3,2015-03-25T12:13:02+01:00,2017-11-10T19:19:36+01:00,"Chiesetta al Passo Borcola (Chiesetta degli Alpini)","Da una zona selvaggia e solitaria, domina la valle, sullo sfondo del Pasubio: è la chiesetta della Borcola. E' stata costruita per iniziativa del gruppo A.N.A. di Terragnolo, presidente Luigi Valduga, promotore e coordinatore. Fu costituito un Comitato; il Comune di Terragnolo, proprietario di Malga Borgola, concesse l'autorizzazione per edificare la chiesa nei prati del passo; il goem. Dario Folgarait predispose il progetto.","
I lavori iniziarono con grande entusiasmo, venne dato inizio allo scavo verso la metà del giugno 1968 e, in tre mesi, la chiesa era in piedi. L' 8 settembre, l' inaugurazione: la S. Messa fu celebrata dal cappellano degli Alpini, don Onorio Spada, presenti molte autorità locali e provinciali. E' conosciuta come &quot;chiesa degli Alpini&quot;. All' interno si trova la statua della Madonna Pellegrina che, nel 1951/52, fu accolta nelle famiglie della parrocchia di Zoreri di Terragnolo. La prima domenica di agosto, qui si organizza la festa, con la celebrazione della Messa, sempre più frequentata. Vi partecipano vari gruppi della Vallagarina e rappresentanze della Val Posina, Leogra, Valdastico e Schio. ",Chiesa,45.827626,11.20672,"Passo Borcola - Terragnolo",/var/terragnolo/storage/images/terragnolo/cosa-fare-a-terragnolo/chiese/chiesetta-al-passo-borcola-chiesetta-degli-alpini/15210-2-ita-IT/Chiesetta-al-Passo-Borcola-Chiesetta-degli-Alpini.jpg,,,,,,,,
65508318d52019289d1124cf39e6d457,2015-03-25T12:15:35+01:00,2017-11-02T15:27:32+01:00,"Chiesa dell'Immacolata Concezione","La Chiesa dell'Immacolata Concezione si trova nella frazione di Zoreri.",,Chiesa,45.866256,11.184651,"Zoreri - Terragnolo",/var/terragnolo/storage/images/terragnolo/cosa-fare-a-terragnolo/chiese/chiesa-dell-immacolata-concezione/15224-3-ita-IT/Chiesa-dell-Immacolata-Concezione.jpg,,,,,,,,
e1a166c375148860579454fd4d988494,2015-03-25T12:17:28+01:00,2017-11-02T15:35:08+01:00,"Chiesa della Madonna del Buonconsiglio","La Chiesa della Madonna del Buonconsiglio si trova nella frazione di Scottini.",,Chiesa,45.884915,11.131098,"Scottini - Terragnolo",/var/terragnolo/storage/images/terragnolo/cosa-fare-a-terragnolo/chiese/chiesa-della-madonna-del-buonconsiglio/15238-2-ita-IT/Chiesa-della-Madonna-del-Buonconsiglio.jpg,,,,,,,,
a251fbd600c6b02d1c65a9abfb797854,2015-03-25T12:19:38+01:00,2017-11-02T17:19:15+01:00,"Chiesetta di S. Rocco","La Chiesetta di S. Rocco si trova nella frazione di Puechem.",,Chiesa,45.877756,11.157153,"Puechem - Terragnolo",/var/terragnolo/storage/images/terragnolo/cosa-fare-a-terragnolo/chiese/chiesetta-di-s.-rocco/15252-2-ita-IT/Chiesetta-di-S.-Rocco.jpg,,,,,,,,
cdecbb56afbd79d71828d2636bb00255,2015-03-25T12:21:54+01:00,2017-11-02T15:31:50+01:00,"Chiesa della Madonna di Caravaggio","La Chiesa della Madonna di Caravaggio si trova nella frazione di Geroli.","






",Chiesa,45.865686,11.168922,"Geroli - Terragnolo",/var/terragnolo/storage/images/terragnolo/cosa-fare-a-terragnolo/chiese/chiesa-della-madonna-di-caravaggio/15266-3-ita-IT/Chiesa-della-Madonna-di-Caravaggio.jpg,,,,,,,,
