remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
9f0f835c0a1887d7b8a4a9ca87a7ddbc,2012-02-21T18:48:54+01:00,2013-04-30T11:33:48+02:00,"Cantina la Vis - Lavis","238 m. sul livello del mare","Località turistica",46.140842,11.112493,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-lavis/cantina-la-vis-lavis/157013-143-ita-IT/Cantina-la-Vis-Lavis.jpg,"Comune di Lavis",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
88571cc5a0f446b64aa856efe1a4b1c2,2012-03-05T17:15:16+01:00,2013-05-07T10:58:50+02:00,"Museo degli Usi e Costumi della Gente Trentina","Il Museo degli Usi e Costumi della Gente Trentina (MUCGT), fondato nel 1968 da Giuseppe Šebesta nei locali dell'antica Prepositura Agostiniana di San Michele all'Adige si distingue per l'attenzione analitica che dedica al sistema agrosilopastorale della montagna alpina.",Museo,46.190201,11.129083,"san michele all&#039;adige, via f mach",/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-san-michele-all-adige/museo-degli-usi-e-costumi-della-gente-trentina/212508-413-ita-IT/Museo-degli-Usi-e-Costumi-della-Gente-Trentina.png,"Comune di San Michele all'Adige",,http://www.museosanmichele.it
f04bd760fb6aff8a8c208a2e9b7f591a,2012-02-21T18:49:02+01:00,2013-04-30T11:34:38+02:00,"Mezzocorona, Palazzo Firmian","219 m. sul livello del mare","Località turistica",46.215344,11.119918,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-mezzocorona/mezzocorona-palazzo-firmian/157101-441-ita-IT/Mezzocorona-Palazzo-Firmian.jpg,"Comune di Mezzocorona",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
a9897ed112e05205c6cd21bfda0617c2,2012-02-21T18:49:02+01:00,2013-04-30T11:34:42+02:00,"Mezzolombardo, panorama con la piana Rotaliana","229 m. sul livello del mare","Località turistica",46.213511,11.088822,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-mezzolombardo/mezzolombardo-panorama-con-la-piana-rotaliana/157109-441-ita-IT/Mezzolombardo-panorama-con-la-piana-Rotaliana.jpg,"Comune di Mezzolombardo",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
0357a10abbc629fa1a36f17180530dca,2012-02-21T18:49:22+01:00,2013-04-30T11:37:39+02:00,"Valle dell'Adige, vigneti","251 m. sul livello del mare","Località turistica",46.248709,11.168819,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-rovere-della-luna/valle-dell-adige-vigneti/157437-122-ita-IT/Valle-dell-Adige-vigneti.jpg,"Comune di Roverè della Luna",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
5d5188f46a2f842d37fc8bcff35489e3,2012-02-21T18:49:25+01:00,2013-04-30T11:38:06+02:00,"San Michele all'Adige","229 m. sul livello del mare","Località turistica",46.187865,11.133042,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-san-michele-all-adige/san-michele-all-adige/157477-401-ita-IT/San-Michele-all-Adige.jpg,"Comune di San Michele all'Adige",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
4d80c8aaf8fc52c685d623a3fd9810e0,2012-05-11T10:24:49+02:00,2013-05-07T09:34:34+02:00,"Biblioteca comunale Lavis",,Biblioteca,46.140842,11.112493,,/var/comunitarotaliana/storage/images/comunita-rotaliana-koenigsberg/i-comuni/comune-di-lavis/biblioteca-comunale-lavis/244165-89-ita-IT/Biblioteca-comunale-Lavis.jpg,"Comune di Lavis","Consultazione e prestito,Prestito interbibliotecario,Reference,Internet",
afc8aeab37476d80411d01c1fb108fc8,2012-05-11T10:24:53+02:00,2013-05-07T10:49:56+02:00,"Biblioteca intercomunale di Mezzocorona",,Biblioteca,46.215344,11.119918,,,"Comune di Mezzocorona","Consultazione e prestito,Prestito interbibliotecario,Reference,Internet",http://www.comune.mezzocorona.tn.it
7f123027b5e196766c433239ec7b94ea,2012-05-11T10:24:54+02:00,2013-05-07T10:51:27+02:00,"Biblioteca intercomunale di Mezzolombardo",,Biblioteca,46.213511,11.088822,,,"Comune di Mezzolombardo","Consultazione e prestito,Prestito interbibliotecario,Reference,Internet",
09007f55ea5b31c79c2f87a650c1d434,2012-05-11T10:25:06+02:00,2013-05-07T10:52:38+02:00,"Punto di lettura di Roverè della Luna",,Biblioteca,46.248709,11.168819,,,"Comune di Roverè della Luna","Consultazione e prestito,Prestito interbibliotecario,Reference,Internet",
