remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
"csvimport_Arte Sella - Malga Costa_luogo",2012-10-29T18:21:20+01:00,2017-03-26T16:50:48+02:00,"Arte Sella - Malga Costa","Arte Sella è una manifestazione internazionale di arte contemporanea nata nel 1986, che si svolge all’aperto nei prati, nei boschi della Val di Sella (comune di Borgo Valsugana, provincia di Trento).","Percorso naturalistico",46.001582,11.3682,,/var/comunitavalsugana/storage/images/il-territorio/principali-luoghi-di-interesse/arte-sella-malga-costa/510094-1-ita-IT/Arte-Sella-Malga-Costa1.jpg,"Comune di Borgo Valsugana",,
"csvimport_Grotte di Castello Tesino_luogo",2012-10-29T18:21:20+01:00,2017-07-24T12:24:11+02:00,"Grotte di Castello Tesino","Le Grotte di Castello Tesino si aprono nella selvaggia gola scavata tra il Monte Agaro ed il Monte Coppolo. Sono state scoperte nel 1926 dal geometra Da Rugna di San Donato. Ben presto la cavita venne attrezzata per permettere lo sfruttamento a scopo turistico e, da allora, è visitata da molti appassionati. Ha uno sviluppo complessivo di circa 400 metri e la sua completa esplorazione non ha potuto a tutt´oggi essere effettuata.","Percorso naturalistico",46.088586,11.681461,"grotta, castello tesino, Trentino-Alto Adige, Italia",/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/grotte-di-castello-tesino/510102-1-ita-IT/Grotte-di-Castello-Tesino.jpg,"Comune di Castello Tesino",,http://www.visittrentino.it
"csvimport_Grotta della Bigonda_luogo",2012-10-29T18:21:20+01:00,2017-07-24T12:22:07+02:00,"Grotta della Bigonda","
La grotta della Bigonda (o Vigondola) è una grotta naturale che si trova in Valsugana, nei pressi di Selva di Grigno, in Provincia di Trento, sulla sponda destra del fiume Brenta. 
E’ la più grande grotta del Trentino, spettacolare e ancora in esplorazione, visitabile tutto l’anno.E’ la più ampia grotta trentina e una delle maggiori d’Italia: al suo interno si sviluppano oltre 27 km di gallerie, ancora in esplorazione, con dislivelli compresi da + 35 a -100 metri. È stata scoperta nel 1952 da alcuni giovani della vicina Selva di Grigno e da più di quarant’anni si continuano ad esplorare le numerose gallerie orizzontali che si sviluppano su tre piani, collegati tra loro da pozzi verticali.","Percorso naturalistico",46.018163,11.580997,"bigonda, Trentino-Alto Adige, Italia",/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/grotta-della-bigonda/510110-1-ita-IT/Grotta-della-Bigonda.jpg,"Comune di Grigno",,
"csvimport_Castel Telvana_luogo",2012-10-29T18:21:21+01:00,2017-03-24T11:24:34+01:00,"Castel Telvana",,Castello,46.057613,11.459255,,/var/comunitavalsugana/storage/images/il-territorio/principali-luoghi-di-interesse/castel-telvana/510126-1-ita-IT/Castel-Telvana.jpg,"Comune di Borgo Valsugana",,
"csvimport_Castel Ivano_luogo",2012-10-29T18:21:21+01:00,2017-04-04T15:18:23+02:00,"Castel Ivano","Prestigioso castello tra i meglio conservati del Trentino che sorge a Ivano Fracena in Valsugana. La famiglia Staudacher, attuale proprietaria di Castel Ivano e artefice del lavoro di restauro e di conservazione del maniero e dei suoi parchi.",Castello,46.056191,11.528853,,/var/comunitavalsugana/storage/images/il-territorio/principali-luoghi-di-interesse/castel-ivano/510134-1-ita-IT/Castel-Ivano.jpg,,,http://www.castelivano.it/|www.castelivano.it
csvimport_Castellalto_luogo,2012-10-29T18:21:22+01:00,2017-03-24T11:21:56+01:00,Castellalto,"I ruderi del castello di Castellalto si ergono sulla sommita del monte sovrastante Telve Valsugana circondati da un bosco di abete rosso e larice.",Castello,46.080532,11.474399,,/var/comunitavalsugana/storage/images/il-territorio/principali-luoghi-di-interesse/castellalto/510142-1-ita-IT/Castellalto.jpg,"Comune di Telve",,
"csvimport_Museo Casa De Gasperi_luogo",2012-10-29T18:21:22+01:00,2017-07-24T12:20:31+02:00,"Museo Casa De Gasperi","La casa natale di Alcide De Gasperi, a Pieve Tesino in provincia di Trento, è stata trasformata in un museo a lui dedicato. Le stanze di questo piccolo edificio ottocentesco offrono ai visitatori la suggestiva ambientazione di un viaggio alla scoperta delle origini di uno dei padri dell'Italia repubblicana e dell'Europa unita. L'esperienza proposta dal Museo Casa De Gasperi, inaugurato il 18 agosto 2006, è un percorso che a partire dal profondo legame di De Gasperi con la sua terra d'origine - un motivo ricorrente in tutta la sua vita - porta il visitatore ad indagare i più importanti aspetti della vicenda personale e politica dello statista trentino.",Museo,46.068988,11.606973,,/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/museo-casa-de-gasperi/510150-1-ita-IT/Museo-Casa-De-Gasperi.jpg,"Comune di Pieve Tesino",,http://www.degasperitn.it/it/museo-de-gasperi
"csvimport_Mostra permanente della Grande Guerra_luogo",2012-10-29T18:21:22+01:00,2017-07-24T12:18:47+02:00,"Mostra permanente della Grande Guerra","Allestita all’interno dell’ex Mulino Spagolla in uno degli angoli fluviali più suggestivi del centro storico di Borgo, la Mostra Permanente della Grande Guerra in Valsugana e sul Lagorai è il risultato dell’impegno pluriennale dell’Associazione Storico-Culturale della Valsugana Orientale e del Tesino che ha tra i suoi scopi quello di conservare, studiare e valorizzare le testimonianze materiali, bibliografiche, archivistiche e fotografiche relative alla Grande Guerra nell’area compresa tra l’Altopiano dei Sette Comuni, la Valsugana e la catena del Lagorai-Cima d’Asta",Museo,46.053875,11.459258,,/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/mostra-permanente-della-grande-guerra/510158-1-ita-IT/Mostra-permanente-della-Grande-Guerra.jpg,"Comune di Borgo Valsugana",,
"csvimport_Mulino Angeli / Casa Museo degli Spaventapasseri_luogo",2012-10-29T18:21:23+01:00,2017-07-24T12:14:13+02:00,"Mulino Angeli / Casa Museo degli Spaventapasseri","A Marter, piccola frazione del Comune di Roncegno Terme, c’è un museo del tutto particolare. Un tempo importante mulino per il grano, granoturco ed altri cereali coltivati in Valsugana, “Mulino Angeli”, una volta entrato in disuso, è stato acquisito dall’ amministrazione comunale e sottoposto ad imponenti lavori di restauro conservativo che ne hanno rinverdito l'imponente struttura e la complessita dell'attivita molitoria ospitata per secoli. Il mulino è stato adibito a sede museale.",Museo,46.033173,11.392999,,/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/mulino-angeli-casa-museo-degli-spaventapasseri/510166-1-ita-IT/Mulino-Angeli-Casa-Museo-degli-Spaventapasseri.jpg,"Comune di Roncegno Terme",,
"csvimport_Pista ciclabile della Valsugana_luogo",2012-10-29T18:21:23+01:00,2017-08-01T17:39:25+02:00,"Pista ciclabile della Valsugana","

Pista Ciclabile Valsugana

    drawData(""https://www.openstreetmap.org/api/0.6/relation/275663/full"",""8aad2fd888ecb5dded925a8b5ba4bc1a"");

La ciclopista della Valsugana, che collega il cristallino Lago di Caldonazzo con la splendida Bassano del Grappa, è un vero e proprio paradiso per tutti gli appassionati delle due ruote a pedali: 80 km lungo i quali si intrecciano cultura, storia e paesaggi naturali davvero unici a cavallo tra Trentino e Veneto. Due regioni legate da un passato storico condiviso e contraddistinte da un comune “ elemento fluviale” che accarezza dolcemente il fondovalle: il fiume Brenta. Le sue acque vi accompagnano lungo un percorso facile, prevalentemente pianeggiante, adatto a tutti per trascorrere piacevoli ore in liberta all’insegna dello sport e del contatto con la natura.","Pista ciclabile",46.052671,11.470119,"ciclabile Valsugana, Trentino-Alto Adige, 38050, Italia",/var/comunitavalsugana/storage/images/vivere-la-comunita/principali-luoghi-di-interesse/pista-ciclabile-della-valsugana/510174-1-ita-IT/Pista-ciclabile-della-Valsugana.jpg,"Comune di Novaledo
Comune di Roncegno Terme
Comune di Borgo Valsugana
Comune di Castelnuovo
Comune di Ospedaletto
Comune di Grigno",,
7c5b3003751acf7b9a1f96d334810faf,2014-02-18T15:09:01+01:00,2014-02-18T15:09:01+01:00,"CRM di Telve","Indirizzo: Localita Nale c/o magazzino comunale - 38050 Telve",,46.06866,11.483093,,,,,
9d9f479da4fd9092093e7dfa20aa0ee4,2014-02-18T15:10:16+01:00,2014-02-18T15:10:16+01:00,"CRM di Telve di Sopra","Indirizzo: Localita Praggia c/o zona sportiva - 38050 Telve di Sopra",,46.074522,11.464367,,,,,
3f7f3a359d405d01116ef3c22f04b26f,2014-02-18T15:12:00+01:00,2017-03-27T08:43:22+02:00,"CRM di Castel Ivano (Agnedo)","Indirizzo: Via Capelline (a Nord della zona sportiva) - Frazione di Agnedo - 38059 Castel Ivano",,46.054791,11.524034,,,,,
0088ea388823134f8908670ade07f795,2014-02-18T15:13:09+01:00,2015-04-29T11:17:29+02:00,"CR e CRZ di Borgo Valsugana","Indirizzo: Via Puisle - Zona Industriale (a Est dell'acciaieria) - 38051 Borgo Valsugana",,46.050212,11.446862,,,,,
bad50fe4b4898885fae3484c2e799635,2014-02-18T15:14:36+01:00,2015-04-29T11:18:13+02:00,"CR e CRZ di Scurelle","Indirizzo: Localita Solizzan (nell'area della discarica) - 38050 Scurelle",,46.078753,11.49927,,,,,
