remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
f7a50f2e8dd1d666cd3d65083944f164,2012-02-15T02:11:43+01:00,2019-07-02T15:01:33+02:00,"Museo della Grande Guerra in Valle del Chiese ","Situato a Bersone (Comune di Valdaone), il museo espone una ricca collezione di materiali bellici, divise e reperti provenienti dai ghiacciai dell’Adamello. Significativa una ricostruzione di baracca italiana d’alta montagna e l’ingresso di una galleria austroungarica adibita a ricovero e magazzino per le truppe.Espone una ricca collezione di materiali bellici, divise e reperti provenienti dai ghiacciai dell’Adamello, oltre a significative ricostruzioni di ambienti di vita austro-ungarici e italiani in alta montagna. Nelle vetrine numerosi oggetti e testimonianze della vita quotidiana dei soldati in trincea e dell’esperienza della guerra bianca.Il museo di Bersone è nato dalla volontà di un gruppo di amici di mantenere viva la memoria della Prima guerra mondiale nella Valle del Chiese. Nel museo sono confluiti materiali rinvenuti principalmente sul gruppo del Cadria  , del Nozzolo, a Cima Pissola e nella vasta area dell’Adamello. Nel corso del tempo i cimeli sono aumentati grazie a donazioni di privati. Molti documenti e fotografie relativi alle vicende di questo tratto di fronte sono stati trovati sul territorio o provengono, in copia, dall’Archivio dell’Ufficio Storico dello Stato Maggiore dell’Esercito.All’esterno dell’edificio è esposto un cannone italiano Ansaldo-Schneider da 105 mm, mentre all’interno sono conservati proietti di vario calibro, tra i quali la punta di un proietto da 305 mm ritrovato nei pressi del Forte Carriola   e sparato dalla piana di Storo. Nelle sale sono ospitate ricostruzioni di baracche militari in legno simili a quelle che durante la guerra vennero realizzate all’interno delle caverne. Stufe a legna e oggetti personali dei soldati ricordano le condizioni climatiche e i lunghi inverni trascorsi ad alta quota dei due eserciti. Sono esposte uniformi originali, tra le quali la divisa del capitano del 3° reggimento alpini Federico Sacchi. Nelle vetrine si possono osservare elmetti italiani, austro-ungarici ed inglesi, fucili (il ‘91 italiano e l’M95 austriaco), mine antiuomo, bombe a mano italiane (BPD cilindriche, SIPE a forma di ananas) e austriache con vari tipi di innesco. Per completare la visita del museo è possibile prenotare un’escursione guidata ai vicini forti dello sbarramento di Lardaro interamente restaurati: Forte Larino   ospita eventi e spettacoli nei mesi estivi e Forte Corno   presenta un allestimento multimediale sul tema del primo conflitto mondiale.
Il museo promuove serate informative e visite guidate su prenotazione.Aderisce alla CommiSsione Storica della SAT in attività di valorizzazione e salvaguardia del patrimonio della Grande Guerra, in particolare curando un archivio di testi, documenti e fotografie relativi alla zona dell’Adamello.
Per info:
http://www.trentinograndeguerra.it/context.jsp?ID_LINK=60&amp;area=0&amp;id_context=42 
https://www.visitchiesecultura.it/ https://www.visitchiese.it/it/ ",Museo,45.94463,10.632725,,/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/museo-della-grande-guerra-in-valle-del-chiese/143072-13-ita-IT/Museo-della-Grande-Guerra-in-Valle-del-Chiese.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Arte+e+Cultura&stt=Musei&daVedereType=daVedere.categoria.0&daVedereSubType=daVedere.arteCultura.categorieRicerca.1|VisitTrentino
93bacee556ac428f7b91431034c24728,2012-02-15T02:11:45+01:00,2019-07-02T15:15:56+02:00,"Museo della Malga di Caderzone Terme","Si tratta di un museo monotematico sul lavoro svolto presso gli alpeggi sparsi sul territorio delle Giudicarie; raccoglie gli strumenti che il tempo e l'esperienza hanno perfezionato per la lavorazione del latte e dei suoi derivati. Il museo si articola presso il pian terreno delle scuderie del rione Lodron-Bertelli. Un museo che nasce soprattutto per ricordare l'identità di tante generazioni che in questa valle hanno sviluppato e concretizzato la loro storia evolutiva. Il ruolo importante del museo è quello di acquisire la consapevolezza che raccontare la propria storia contribuisce ad aumentare la coscienza e la fierezza delle proprie origini e della propria cultura.
Per info:
http://www.caderzone.net/it/pagine/dettaglio/museo_della_malga,6/museo_della_malga,27.html https://www.visittrentino.info/it/guida/da-vedere/musei ",Museo,46.129958,10.756999,"Piazza S. Antonio, Caderzone Terme, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38080, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/museo-della-malga-di-caderzone-terme/143114-8-ita-IT/Museo-della-Malga-di-Caderzone-Terme.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Arte+e+Cultura&stt=Musei&daVedereType=daVedere.categoria.0&daVedereSubType=daVedere.arteCultura.categorieRicerca.1|VisitTrentino
a5efe31447531325bdf1d47c7132977e,2012-02-15T02:11:49+01:00,2019-07-02T15:26:07+02:00,"Museo Castel Stenico","Il Castello di Stenico, uno dei più antichi del Trentino, era una fortezza di grande importanza strategica. Costruito su un elevato dosso roccioso, dal quale si gode una magnifica vista sulla conca delle Giudicarie esteriori nell’area delle Terme di Comano, era il caposaldo del territorio ad ovest di Trento e dalla metà del XIII secolo divenne proprietà vescovile. Spesso conteso tra le famiglie nobiliari trentine, il castello subì diversi rimaneggiamenti. Con l´occupazione delle truppe napoleoniche cominciò la sua decadenza. Conferito poi al demanio italiano, iniziarono i primi restauri, per proseguire dal 1973, ad opera della Provincia autonoma di Trento.Numerose sale sono arredate con mobili, dipinti, armi bianche e da fuoco e antichi utensili d’uso quotidiano, tutti provenienti dalle collezioni del Castello del Buonconsiglio di Trento, di cui il Castello di Stenico è sede distaccata. La sala del Giudizio ospita una sezione di antiche serrature, chiavi e forzieri mentre la sala del Consiglio, data la sua eccezionale acustica, è usata per concerti. Le sale dell'ala meridionale ospitano una sezione archeologica sulla storia più antica di questa zona delle Giudicarie, con particolare riguardo all'area palafitticola di Fiavè.Il castello, oggi sede museale, ospita nelle sale dipinti e oggetti di arti applicate provenienti dalle collezioni provinciali: una significativa testimonianza di creatività e perizia degli artisti e artigiani che lavorarono nel territorio trentino nel corso dei secoli.Si possono ammirare dipinti con paesaggi, scene sacre e ritratti di eminenti personaggi della storia trentina eseguiti da Giovan Battista Lampi, celebre ritrattista nelle più importanti corti europee della seconda metà del Settecento; una significativa collezione di campane databili tra Tre e Settecento, manufatti in ferro battuto e in legno dipinto e intagliato, tra cui eleganti cassoni nuziali e mobili finemente lavorati, utensili in rame, stufe a olle, chiavi e serrature, armi e orologi.Nelle sale dell’Edificio Nuovo è ospitata un’interessante esposizione archeologica che documenta il popolamento del territorio fra la preistoria e l’epoca romana, attraverso testimonianze provenienti dagli scavi condotti nel sito palafitticolo di Fiavè (età del Bronzo), nell’abitato di Vigo Lomaso (I millennio a.C. – epoca romana) e nella necropoli di Stenico (età del Bronzo-età del Ferro).
Per info:
https://www.buonconsiglio.it/index.php/it/Castello-di-Stenico https://www.comune.stenico.tn.it/Il-Territorio/Il-paese-di-Stenico/Mappa-dei-punti-di-interesse/Castello ",Museo,46.050599,10.852228,"Castello di Stenico, Salita al Castello, Stenico, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38070, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/museo-castel-stenico/143218-6-ita-IT/Museo-Castel-Stenico.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Arte+e+Cultura&stt=Musei&daVedereType=daVedere.categoria.0&daVedereSubType=daVedere.arteCultura.categorieRicerca.1|VisitTrentino
d951ecedb3da037ee47024f95bff0c71,2012-02-15T02:21:30+01:00,2019-07-02T16:02:53+02:00,"Torbiera di Fiavé","Oggi torbiera, un tempo, circa quindicimila anni fa, lago. Formatosi per sbarramento morenico nelle ultime fasi del Würmiano, il lago Carera, si è nel tempo interamente colmato da depositi torbosi. E’ il destino dei laghi avere vita effimera e trasformarsi nel tempo: lago, stagno, torbiera, arbusteto, bosco.Ma il lago Carera, ha qualcosa in più: un tempo lontanissimo, all'età del bronzo, ha visto sulle sue sponde anche l’insediamento umano. I palafitticoli realizzarono villaggi i cui resti, giunti fino a noi grazie alla capacità conservativa della torba, formano oggi un sito archeologico di straordinaria importanza storica. La torba ha conservato anche i pollini delle piante che si sono succedute negli ultimi quindicimila anni; un raro e importante archivio storico in grado di ricostruire l’evoluzione del clima, della vegetazione, degli interventi dell’uomo nel periodo successivo all'ultima glaciazione.La torbiera è stata scavata fin dall'inizio del XX° secolo, per recuperare la torba, un materiale povero, ma in tempi di magra prezioso per scaldarsi e sopravvivere ai rigidi inverni alpini. Non tutto viene per nuocere: con gli scavi sono tornati alla luce i resti archeologici degli antichi insediamenti umani e dopo tanti anni le superfici scavate si sono rinaturalizzate, arricchendo con specchi d’acqua libera la biodiversità del luogo.
Fiavé è quindi un luogo ricchissimo di Natura e di storia dell’uomo che ha meritato nel 1988 l’attribuzione di area protetta, denominata prima biotopo, poi nel 2007 Riserva naturale provinciale. Ma non solo: nel 2002 l’Unione Europea ha fatto individuare agli Stati membri gli habitat e le specie d’importanza continentale. A Fiavé sono stati riconosciuti alcuni degli habitat e delle specie che lo rendono idoneo a essere Sito Natura 2000, cioè area protetta della Rete Europea della Biodiversità, con codice internazionale IT3120068.Fiavé è così area protetta due volte, sia a livello provinciale, sia a livello europeo.Ma ciò non vuol dire che non sia visitabile. Da molti anni è stato infatti allestito un percorso didattico attrezzato sul bordo della torbiera, dotato di torrette di avvistamento per osservare l'avifauna senza arrecarle disturbo, di passerelle per superare indenni le zone umide o allagate, di varchi a tunnel per inoltrarsi nel fitto dell'arbusteto. Esperienze nuove e coinvolgenti che possono culminare nella visita del grande Museo delle Palafitte, situato nel centro di Fiavé, nel quale, fra gli allestimenti dedicati all'archeologia, fanno bella mostra due piccole sale introduttive dedicate ai caratteri naturalistici e ambientali di questa torbiera. Il loro titolo è “In ordinem temporis”.Ogni stagione offre scorci particolari di grande bellezza da ammirare lungo il percorso. Durante l’anno la torbiera è infatti mutevole nei colori, nella quantità di acqua affiorante, nelle presenze di specie vegetali a animali. Costante è invece l’Ora del Garda, vento che dal primo pomeriggio accarezza il canneto, fa ondeggiare i prati da sfalcio, scompiglia i capelli dei visitatori.La Riserva naturale é il cuore incontaminato di Fiavé che continuando a pulsare mantiene vivo il territorio, regalandogli preziosi tratti di diversità naturale. Un arricchimento che rende il luogo unico e irripetibile.
Qualche dato:
Superficie zona umida: circa 50 ettari
Superficie zona tutelata della Riserva naturale provinciale: 137,25 ettari
Età del lago: circa 15 mila anni
Profondità massima dell’ex lago: circa 20 metri
Profondità massima della torba: circa 4 metri
Numero specie piante presenti: oltre 160Numero specie animali vertebrati presenti: quasi 100.
Per info:
https://www.comune.fiave.tn.it/Aree-tematiche/Palafitte-di-Fiave-UNESCO/La-Riserva-naturale-Torbierahttp://www2.areeprotette.provincia.tn.it/riserve-naturali/repertorio/provinciali/52.html",Biotopo,45.995173,10.82973,"Palu, Strada del Dus, Fiav&egrave;, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38075, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/torbiera-di-fiave/143394-6-ita-IT/Torbiera-di-Fiave.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Aree+Protette%2FBiotopi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.5|VisitTrentino
dab8abb5fdef467809db0dd94e9e69c6,2012-02-15T02:21:31+01:00,2019-07-02T16:39:05+02:00,"Val di Genova","Valle simbolo del Parco Adamello-Brenta, ricchissima d’acque, è stata modellata dai ghiacciai nella dura roccia granitica. Ghacciai, cascate, foreste incantevoli. la Val Genova, laterale della Val Rendena, è uno dei simboli del Parco.Si sviluppa per circa 17 chilometri da Carisolo al rifugio Bedole (1830 m.), a monte del quale è posta una delle sorgenti del fiume Sarca. L’immissario del lago di Garda scorre nel fondovalle con una sequenza di spettacolari rapide dette localmente “scale”, intercalate da incantevoli pianori occupati da malghe e baite. Il fiume nasce infatti dai due ghiacciai soprastanti, l’Adamello-Mandron, il più vasto d’Italia, e la Lobbia.La valle è incisa nella tonalite, una roccia granitica di origine vulcanica e presenta bellissime cascate che scendono anche dalle boscose valli laterali: Folgorida, Lares, Nardis per citare le maggiori. Ricca di foreste di conifere ospita una varia fauna alpina, comprendente gli ungulati, l’orso bruno e l’aquila reale.Nella parte alta ospita frequentati rifugi alpini – il “Città di Trento” a 2450 metri ed il “Caduti dell’Adamello” ad oltre tremila metri – ed il piccolo museo dei ghiacciai dedicato a Julius Payer, grande esploratore dell’800. Nell’alta valle sono presenti pure importanti testimonianze della “Guerra Bianca” (i combattimenti sui ghiacciai nel corso della prima Guerra mondiale). A Carisolo, all’imbocco della valle, da non perdere il centro visite del Geopark.
Per info:
https://www.visittrentino.info/it/guida/natura/luoghi-incantevoli/val-di-genova_md_2244
https://www.campigliodolomiti.it/it/pagine/dettaglio/schede_dettaglio,202/cascate_nardis_-_val_genova,1579.html
http://valgenova.com/https://www.pnab.it/poi/val-genova/ ","Fiumi e torrenti",46.170236,10.714492,"Caderzone Terme, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/val-di-genova/143402-4-ita-IT/Val-di-Genova.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Aree+Protette%2FBiotopi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.5|VisitTrentino
7e3cfd73577c1fc8e29486f711df5fbb,2012-02-15T02:21:44+01:00,2019-07-02T16:42:08+02:00,"Val di Fumo","Luogo di nuvole e misteri, ecco l’origine del nome “Fumo” di questa valle spettacolare, al confine con la Lombardia.  Valle di origine glaciale posta ai piedi del Carè Alto (3462 m. slm), ospita le sorgenti del fiume Chiese ed un rifugio accogliente (a 1998 m. slm), prossimo alla malga dove si producono burro e formaggio. Ottima base per escursioni nel gruppo dell’Adamello, sui luoghi della Guerra Bianca (1915-18).È il tratto superiore della lunga ed interessante Valle di Daone. Frequentata per i funghi, i fiori e gli animali, ma anche per le numerose malghe. Famosa per le cascate – anche quelle gelate in inverno, famosa meta per l’ice climbing – la Valle di Daone è stata oggetto nel secondo dopoguerra di grandi lavori idroelettrici, che hanno costruito i laghi di malga Boazzo (1224 m. slm) e di malga Bissina (1790 m.).
Per info:
https://www.pnab.it/poi/val-genova/
https://www.visittrentino.info/it/guida/natura/luoghi-incantevoli/val-di-fumo_md_2308https://www.visitchiese.it/it/territorio/natura/val-di-fumo/","Fiumi e torrenti",46.082519,10.55563,"Malga Val di Fumo, Valdaone, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/val-di-fumo/143410-4-ita-IT/Val-di-Fumo.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Aree+Protette%2FBiotopi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.5|VisitTrentino
b0bc634ea61f7a82a8ad368ef7f0b441,2012-02-15T02:21:45+01:00,2019-07-02T16:49:24+02:00,"Val d'Algone","&quot;Non esiste posto più bello&quot; così scrisse l’esploratore Freshfield nelle “Alpi Italiane&quot;.Valle poco conosciuta, custode di leggende ed animali. Posta un po’ ai margini del Parco Adamello Brenta ed anche per questo ancora misteriosa, offre valori naturali uniti a storie e leggende come poche altre località alpine. Un viaggio tra rocce, boschi e attività umane che hanno portato ad un triplo riconoscimento dell’UNESCO: Patrimonio dell’Umanità, Geopark e Riserva della Biosfera.I resti dell’antica vetreria al rifugio Ghedina (1150 m. slm) raccontano di vicende industriali, il Giudizio di Dio alla malga Movlina di una lotta del 1155 per il pascolo, risoltasi in un duello, i depositi delle cave parlano del quarzo e dell’uranio. Qui la storia s’intreccia alla natura. Si possono osservare fossili, le arenarie “rosse” di Val Gardena e le filladi del basamento cristallino. La fauna comprende caprioli, cervi e camosci, ma anche marmotte ed aquile reali nella parte più elevata.Vi si accede da Stenico o Ragoli: dal Ponte del Lisàn una stretta strada asfaltata conduce in 7 chilometri ai rifugi Ghedina e Brenta, con l’info point del Parco. Si prosegue poi su sterrato, con un modesto ticket, superando le malghe del Vallon, Nambi (agritur) e Stablei, per arrivare infine al balcone straordinario di Movlina (1750 m. slm), malga secolare dove d’estate pascolano le mucche e fioriscono le genziane.  La valle offre da Movlina bellissimi sentieri: si può salire in due ore al Rifugio ai XII Apostoli (2450 m) con la chiesetta scavata nella roccia, oppure con un’ora di cammino visitare lo smeraldino lago dell’Agola o la panoramica cima del Doss del Sabbion.
Per info:
https://www.visittrentino.info/it/guida/natura/luoghi-incantevoli/val-d-algone_md_2325
https://www.pnab.it/poi/val-algone/https://www.visitacomano.it/it/luoghi-e-attrazioni/val-dalgone",Biotopo,46.109124,10.810375,"Stenico, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38071, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/val-d-algone/143418-3-ita-IT/Val-d-Algone.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Aree+Protette%2FBiotopi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.5|VisitTrentino
f92396a6c03e2a459614415bbc13dfb2,2012-02-15T02:21:45+01:00,2019-07-02T17:02:09+02:00,"Val di Breguzzo","La Val di Breguzzo è una delle maggiori valli laterali delle Giudicarie affacciata sulla “Busa di Tione”. Percorsa dal torrente Arnò, affluente del Sarca, che nella parte alta si divide in Arnò e Roldòne. E circondata dalle cime di natura cristallina dell'Adamello.La Val d'Arnò è la principale laterale della Val Breguzzo. Percorsa dal torrente Roldòne, ha un paesaggio alpestre con cascate e alpeggi. Sopra l’Alpe Maggiasone, il Passo del Frate (2246 m) la mette in comunicazione con la Val Bona e la Val Daòne. Attraverso il Passo d’Arnò si scende invece in Val Danèrba. Da Breguzzo si sale a Sasèl fino al rifugio Limes; dal rifugio una strada sulla destra sale fino ai prati di Malga Le Sole, sulle pendici del Monte Cengledino, da cui possiamo scendere verso Tione. Dopo il rifugio Pont’Arnò la valle si apre ed è puntellata di malghe: Malga Stablei, Malga Acquaforte (1371 m), con la sua sorgente minerale, e infine Malga Trivena (1630 m).La Val Trivena è all’interno del Parco Naturale Adamello Brenta. Dal piano di Rèdont, con spettacolari cascate, si entra nella Val del Vescovo. La valle è chiusa  da un imponente circo roccioso di origine glaciale (Creper). Qui possiamo ammirare Cima Cop di Casa (2965 m), Cop di Breguzzo (2997 m), Corno di Trivena (2863 m), Cima Danerba (2910 m) e Corno d’Arnò (2849 m). Alcuni passi mettono in comunicazione  con la Val Daòne (Porte di Danerba 2716 m), la Val San Valentino (Bocca della Cunella 2523 m) e la Val di Fumo (Passo di Breguzzo 2765 m). Qui sono ancora visibili le tracce della Grande Guerra del 1915-1918.Un tempo era nota per le sue miniere di pirite di ferro e galena argentifera e per alcune cave di marmo bianco. Il toponimo Breguzzo (in un documento del 927 d.C.) ha due possibili origini: una celtica (brig=berg=monte) e una germanica (burg=villaggio fortificato).
Per info:
https://www.pnab.it/poi/val-di-breguzzo/
https://www.visittrentino.info/it/guida/natura/luoghi-incantevoli/val-di-breguzzo_md_2246https://www.visitgiudicarie.it/ValBreguzzo","Fiumi e torrenti",46.012939,10.668926,"Albergo Bar Ristorante Limes, Via Valle, Doss, Sella Giudicarie, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38081, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/val-di-breguzzo/143426-6-ita-IT/Val-di-Breguzzo.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Aree+Protette%2FBiotopi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.5|VisitTrentino
e09d24de9ccf1df86290ea91244a7d7d,2012-02-15T02:25:37+01:00,2019-07-02T17:15:15+02:00,"Museo delle Palafitte di Fiavé","Il Museo è dedicato all'area archeologica situata all'interno del Biotopo Fiavé, nella quale, in passato, sono sorti dei villaggi preistorici palafitticoli.Essa si trova vicino a Fiavé, dove è presente una zona che un tempo era impiegata per l'estrazione della torba. Verso la metà del XIX secolo sono stati trovati i resti di un abitato preistorico, in particolare sono stati rinvenuti in ottimo stato di conservazione i pali che un tempo sostenevano le palafitte del villaggio. Solo nel 1969, grazie agli scavi intrapresi dall'archeologo Renato Perini, sono stati portati alla luce diversi abitati palafitticoli sia in acqua che all'asciutto appartenenti a varie epoche e con essi sono stati rinvenuti numerosi reperti archeologici in buona conservazione.Nel sito archeologico del Biotopo Fiavé si contano sette abitati situati in luoghi diversi e appartenenti a epoche differenti, essi sono tutti sorti sulle sponde di quello che un tempo era il lago Carera, prosciugatosi totalmente con  il passare degli anni.Il primo insediamento è sorto sull'isoletta del lago e risale alla prima metà del IV millennio a.C. (tardo Neolitico), delle capanne si è conservata solo la sistemazione del piano pavimentale. Lungo la sponda sono state deposte grosse pietre, un reticolo di tronchi di larice e pino e un graticcio di rami, cortecce, ghiaia e terra in modo da prolungare artificialmente l'isola verso il lago e aumentare così la superficie a disposizione.Il terzo, quarto e quinto insediamento risalgono al periodo che va dal XVIII al XVI secolo a.C. (età del Bronzo antico e medio). Dei tre insediamenti è stata trovata una fitta selva di pali di larice e abete rosso infissi nella creta lacustre.Il sesto insediamento, come il primo, è sorto sull'isoletta e risale al periodo che va dal XV secolo a.C. (età del Bronzo medio) alla prima metà del XIV secolo a.C. Il villaggio era circondato da una palizzata, le capanne erano costruite sulla terra ferma oppure su piattaforme lungo la sponda del lago. I pali che sostenevano la parte di villaggio sull'acqua erano vincolati saldamente ad una struttura a reticolo di tronchi e travi posta sul fondo del lago e lungo la sponda. Il villaggio venne abbandonato a causa di un grande incendio che lo distrusse, si salvarono solo la parte sommersa e i reperti caduti in acqua.Il settimo insediamento si trovava sul Dos dei Gustinaci, una piccola collina situata al margine meridionale della torbiera. È stato popolato dalla seconda metà del XIV secolo a.C. fino al XVI secolo a.C. (età del Bronzo recente). Le capanne erano disposte regolarmente su terrazzi artificiali ed erano di forma rettangolare. È stata inoltre trovata una massicciata con cassoni in tronchi di legno colmati da pietrame sull'isoletta del lago risalente allo stesso periodo del settimo insediamento, non vi sono però tracce di abitazioni e non è chiara la funzione di questo manufatto.Il Museo è disposto su due piani. Al primo piano vi sono tre stanze, nella prima stanza sono presenti dei monitor che mostrano con dei filmati gli eventi che hanno portato alla creazione del Biotopo Fiavé e all'insediamento dell'uomo, sono presenti inoltre dei cartelloni che introducono il Biotopo Fiavé e la zona palafitticola di Fiavé; la seconda stanza mostra le tecniche utilizzate per eseguire gli scavi e datare i vari reperti, sono presenti inoltre alcuni cartelloni didattici che danno una panoramica sulle sette fasi di insediamento dell'area; la terza stanza è caratterizzata da una lunga vetrina divisa in sette parti, ogni parte è dedicata ad una fase di insediamento e contiene i reperti archeologici che la caratterizzano. In questa stanza è inoltre contenuta una tazza chiamata appunto &quot;Tazza di Fiavé&quot; il cui simbolo è stato inserito nel gonfalone del comune.Il secondo piano è composto da un'unica stanza all'interno della quale è stato costruito un percorso che tramite le vetrine contenenti i reperti, i cartelloni informativi e alcuni video didattici, mostra al visitatore il modo di vivere delle popolazioni delle palafitte. Appena entrati è presente un plastico che mostra un modello in scala di come avrebbe potuto essere il villaggio. E successivamente il percorso mostra i reperti archeologici divisi per categoria di utilizzo, quindi prima vi sono gli strumenti che un tempo venivano utilizzati per l'agricoltura, poi per la cucina, per la tessitura, per l'artigianato e infine per la caccia.
Per info:
http://www.archeotrentino.it/museo-delle-palafitte-di-fiave/
https://www.visitacomano.it/it/i-borghi-contadini/fiav%C3%A9-paese-delle-palafittehttps://www.comune.fiave.tn.it/Aree-tematiche/Palafitte-di-Fiave-UNESCO","Sito Archeologico",46.002033,10.841939,"Museo delle palafitte di Fiav&egrave;, Via 3 Novembre, Fiav&egrave;, Comunit&agrave; delle Giudicarie, TN, Trentino-Alto Adige, 38075, Italia",/var/comunitagiudicarie/storage/images/il-territorio/punti-di-interesse/museo-delle-palafitte-di-fiave/143522-5-ita-IT/Museo-delle-Palafitte-di-Fiave.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Arte+e+Cultura&stt=Siti+Archeologici&daVedereType=daVedere.categoria.0&daVedereSubType=daVedere.arteCultura.categorieRicerca.8|VisitTrentino
61e464d507b9ae7bfca693a6779d0b90,2012-02-15T03:06:56+01:00,2015-11-04T09:21:18+01:00,"Gruppo dell'Adamello","Il Gruppo dell'Adamello è un massiccio montuoso delle Alpi Retiche meridionali situato tra le province di Trento e Brescia, la cui altitudine massime è costituita dalla vetta omonima di 3539 metri.",Ghiacciaio,46.117443,10.594961,,/var/comunitagiudicarie/storage/images/comunita-delle-giudicarie/il-territorio/punti-di-interesse/gruppo-dell-adamello/145256-2-ita-IT/Gruppo-dell-Adamello.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Dolomiti%2FGruppi+Montuosi&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.1|VisitTrentino
