remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
93cccdff6c9aafbd8b9e4c53e77feea4,2012-02-21T18:47:59+01:00,2013-04-30T11:28:03+02:00,"Amblar, Malga Roen","980 m. sul livello del mare","Località turistica",46.383333,11.186751,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-amblar/amblar-malga-roen/156325-191-ita-IT/Amblar-Malga-Roen.jpg,"Comune di Amblar-Don",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
067268df38a63bc45b0aba214e1dd4d8,2012-02-21T18:48:11+01:00,2013-04-30T11:29:11+02:00,"Sci alpinismo in val Bresimo","1038 m. sul livello del mare","Località turistica",46.427738,10.930968,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-bresimo/sci-alpinismo-in-val-bresimo/156453-180-ita-IT/Sci-alpinismo-in-val-Bresimo.jpg,"Comune di Bresimo",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
cc6f912184052a266884be6d4bff86d2,2012-02-21T18:48:17+01:00,2013-04-30T11:29:47+02:00,"Campodenno, Castel Belasi","534 m. sul livello del mare","Località turistica",46.247846,10.984913,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-campodenno/campodenno-castel-belasi/156525-501-ita-IT/Campodenno-Castel-Belasi.jpg,"Comune di Campodenno",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
0b6510e81065f22d84ba4c1deaf8234c,2012-02-21T18:48:30+01:00,2013-04-30T11:31:02+02:00,"Chiesa di S. Giorgio","732 m. sul livello del mare","Località turistica",0,0,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-cis/chiesa-di-s.-giorgio/156693-484-ita-IT/Chiesa-di-S.-Giorgio.jpg,"Comune di Cis",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
512044cae6e58bddeec0a54f07d940c1,2012-02-21T18:48:31+01:00,2013-04-30T11:31:14+02:00,"Cloz, panorama","791 m. sul livello del mare","Località turistica",46.416488,11.084705,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-cloz/cloz-panorama/156709-480-ita-IT/Cloz-panorama.jpg,"Comune di Cloz",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
ff77e2f7e61a6beeb8e7b60cef64b794,2012-02-21T18:48:34+01:00,2013-04-30T11:31:41+02:00,"Dambel, panorama","750 m. sul livello del mare","Località turistica",46.406199,11.102523,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-dambel/dambel-panorama/156773-477-ita-IT/Dambel-panorama.jpg,"Comune di Dambel",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
9c4139f9efa992661428a30ac3979539,2012-02-21T18:48:45+01:00,2013-04-30T11:32:44+02:00,"Fondo, panorama","987 m. sul livello del mare","Località turistica",0,0,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-fondo/fondo-panorama/156901-149-ita-IT/Fondo-panorama.jpg,"Comune di Fondo",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
78968f840696630fd0337cffb6bef0d8,2012-02-21T18:49:19+01:00,2013-04-30T11:37:17+02:00,"Romeno, chiesa di S. Antonio","962 m. sul livello del mare","Località turistica",46.38631,11.10713,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-romeno/romeno-chiesa-di-s.-antonio/157389-123-ita-IT/Romeno-chiesa-di-S.-Antonio.jpg,"Comune di Romeno",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
6a4ccc31774e9d8408658d4a7375bb44,2012-02-21T18:49:22+01:00,2013-04-30T11:37:33+02:00,"Ronzone, scorcio","1094 m. sul livello del mare","Località turistica",46.420648,11.147291,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-ronzone/ronzone-scorcio/157429-122-ita-IT/Ronzone-scorcio.jpg,"Comune di Ronzone",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
ef525104c168f097c8e661e7595956b5,2012-02-21T18:49:23+01:00,2013-04-30T11:37:51+02:00,"Rumo, panorama","939 m. sul livello del mare","Località turistica",46.436486,11.029426,,/var/comunitanon/storage/images/comunita-della-val-di-non/i-comuni/comune-di-rumo/rumo-panorama/157453-404-ita-IT/Rumo-panorama.jpg,"Comune di Rumo",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
