remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
e9faee1c2a17bb938da6ea593b80bae8,2015-12-02T11:12:12+01:00,2015-12-04T15:57:41+01:00,"Scuola dell'infanzia ","Scuola dell'infanzia di Grumes",,"Scuola infanzia",0,0,,,,,,"Piazza Municipio n. 10",,,"0461 685022",
0d75a785ab473650b9f95611c935b6d4,2015-12-02T11:22:10+01:00,2016-05-05T09:58:16+02:00,"Laghetto del Vedes","Il laghetto di Vedes è una torbiera originatasi dal riempimento di un antica conca lacustre scavata nella roccia porfirica dai ghiacciai.",,Lago,46.23746,11.267489,"Altavalle, 38030, Trentino-Alto Adige, Italia",/var/altavalle/storage/images/territorio/cosa-visitare/a-grumes/laghetto-del-vedes/19454-4-ita-IT/Laghetto-del-Vedes.jpg,,,,,,,,
4f73583dca132ce6d3b50d06be7d1889,2015-12-02T11:05:59+01:00,2015-12-04T15:50:28+01:00,Pediatri,"Dott. Del Negro Maria EmanuelaDott. Stabile Beranardo","

  PEDIATRA
  
  SEDE AMBULATORIO
  
  ORARIO
  




  LUNEDI'
  
  MARTEDI'
  
  MERCOLEDI'
  
  GIOVEDI'
  
  VENERDI'
  




  
DEL NEGRO
MARIA EMANUELATelefono per appuntamenti 346/1677174 
  
  
VERLA DI GIOVO
Via S. Antonio, 6Tel. 0461-684511 
  
  
su app.14.00-16.00
  
  10.00-12.00
  
  14.00-16.00
  
  -
  
  
su app.12.00-14.00
  




  
CEMBRA
Piazza Marconi, 70461-683016 
  
  10.00-11.00
  
  
su app.14.00-16.00
  
  -
  
  10.00-13.00
  
  -
  




  
FAVER
Piazza Chiesa, 2Tel. 0461-683625 
  
  -
  
  -
  
  9.00-11.00
  
  -
  
  -
  




  
GRUMESVia Fontanelle
  
  -
  
  -
  
  
su richiesta11.30-12.30
  
  -
  
  -
  




  
STABILE
BERNARDOTelefono per appuntamenti 340/1843658
  
  
SEGONZANO
Fraz. Scancio, 26Tel. 0461-686121
  
  -
  
  
8.30-10.00
e su app.10.00-10.30
  
  
su app.08.15-9.15
  
  8.30-10.30
  
  -
  




  
ALBIANOpresso il Municipio
  
  8.30-10.30
  
  -
  
  10.00-11.00
  
  
su app.11.30-12.30
  
  -
  




  
LAVIS
Via Rosmini, 70Tel. 0461-243939
  
  
su app.13.30-15.30
  
  -
  
  14-00-15.30
  
  -
  
  
11.00-12.00
e su app.9.30-11.00
  




  (dott. Stabile) Per appuntamenti e richieste di visite urgenti da effettuarsi in giornata, telefonare entro le ore 10.00. Dopo le 10.00 solo per urgenze, lasciare nominativo e telefono; verrete richiamati appena possibile.
  




",Ambulatorio,0,0,,,,,,,,,,
2fa3d0385f5ee050e38da328d06e2e26,2015-12-02T11:04:01+01:00,2015-12-04T15:53:12+01:00,"Neuropsichiatria Infantile - dott.ssa Prestipino Giuseppina","Mercoledì solo su appuntamento telefonando al 0461-902100",,Ambulatorio,0,0,,,,,,,,,"0461 902100",
9d60b3e879ae3ce81e10533b585757d5,2015-12-02T11:04:47+01:00,2015-12-04T15:52:23+01:00,"Ambulatorio Psichiatria","solo su appuntamento al 0461/902850-902851 (Trento - Via Petrarca) dal lunedì al giovedì.",,Ambulatorio,0,0,,,,,,,,,"0461 902850 - 0461 902851",
f372112a99a58dbcd18e497a822205a3,2015-12-02T10:43:01+01:00,2015-12-04T15:54:04+01:00,"Ambulatorio Ginecologo","A Cembra il 1°, 3° e 5° lunedì del mese 10.00 - 12.00 solo su appuntamento",,Ambulatorio,0,0,,,,,,,,,,
2ea58c0667ceb09b9e276c6e3d008233,2015-12-02T11:32:55+01:00,2016-05-05T09:56:46+02:00,"Sentiero dei Vecchi Mestieri","Il sentiero dei Vecchi Mestieri si trov in loc. Rio del Molino, sul confine con il Comune di Grumes, meta non solo di escursioni scolastiche ma anche di numerosi turisti di passaggio. Il percorso segue l’andamento della Valle segnato dal “Rio del Molino” ed incassato nella roccia: Grauno (Sentiero n. 26) - Molino Cristofori - Rio del Molino - Sega alla Veneziana (Comune di Grumes) - Fucina del fabbro ferraio - Torrente Avisio - Grumes.","
E' stato da poco ristrutturato con il recupero delle vecchie fucine dove un tempo si sfruttava la forza dell'acqua per produrre energia e lavorare i materiali quali ferro, legno, ecc.Lungo tutto il percorso si può ammirare il paesaggio che l'acqua con il tempo ha creato attraverso un incasso roccioso percorribile comodamente da un sentiero artificiale. Il sentiero parte dal &quot;Mulino Cristofori fino ad arrivare alla località &quot;Rio&quot; di Grumes e arrivare fino a Sover attraversando il nuovo ponte (in fase di realizzazione) sopra il torrente Avisio.",Percorso,46.230534,11.297453,"Altavalle, 38030, Trentino-Alto Adige, Italia",/var/altavalle/storage/images/territorio/cosa-visitare/a-grauno/sentiero-dei-vecchi-mestieri/19507-3-ita-IT/Sentiero-dei-Vecchi-Mestieri.jpg,,,,,,,,
baf5abe39ca41e916c8e95138325cab3,2015-12-02T11:09:04+01:00,2016-04-28T15:53:50+02:00,"Farmacia San Rocco","farmacista dott. Giorgio Martini ","
apertura al mattino: dal lunedì al sabato 8.30 - 12.00 apertura al pomeriggio dal lunedì al venerdì dalle 15.30 - 19.00",Farmacia,0,0,,,,,,"Viale IV Novembre, 44",http://www.farmaciadellosportivo.net/,,"0461 683021 (fax: 0461 682281)",
640c6448d4b13b6422caceed6513eafd,2015-12-04T16:03:44+01:00,2016-05-05T09:56:23+02:00,"La chiesa parrocchiale di Grauno","La Chiesa venne consacrata il 27 agosto 1878 da Monsignor Giovanni Haller, coadiutore del Vescovo Benedetto Riccabona. L’interno venne decorato a fresco dal pittore Matielli. Nella Cappella di sinistra è collocato l’altare ligneo Barocco, con pala della Madonna del Carmelo e Santi, che venne scolpito da Giovanni e Giorgio Graber di Sover .","
Il 30 agosto 1932 furono piantati nel sagrato antistante alla Chiesa due cipressi per opera del Cappuccino Padre Atanasio Cristofori, cipressi che ora sono stati tagliati a causa dei recenti lavori di restauro esterno della Chiesa stessa. Padre Atanasio Cristofori, illustre personaggio, nacque a Grauno, il 24 luglio 1885 e morì a Rovereto il giorno 11 giugno 1961. E’ ricordato come ricercato predicatore ed erborista, autore della semplice e preziosa opera: “Le erbe medicinali di Padre Atanasio” giunta ormai alla sua quinta edizione.Grauno è detto localmente “Graun”; il nome figura già in documenti tedeschi del 1300 nella forma “Kraun” e “Graun”. Probabilmente deriva dal latino corona, come forma contratta, oppure da grava, “mucchio di sassi e ghiaia”, gravone in valore accrescitivo.",Chiesa,46.231042,11.298392,"Altavalle, 38030, Trentino-Alto Adige, Italia",/var/altavalle/storage/images/territorio/cosa-visitare/a-grauno/la-chiesa-parrocchiale-di-grauno/20499-2-ita-IT/La-chiesa-parrocchiale-di-Grauno.jpg,,,,,,,,
7ad5e86879ca4c1956fc8f909102ffc6,2015-12-02T11:29:19+01:00,2016-05-05T09:57:39+02:00,"Chiesa parrocchiale di Grumes","La chiesa parrocchiale di S. Lucia risale al XV secolo. L'attuale edificio è però il risultato delle posteriori ricostruzioni del XVIII e XIX secolo.",,Chiesa,46.220339,11.292497,"Altavalle, 38030, Trentino-Alto Adige, Italia",/var/altavalle/storage/images/territorio/cosa-visitare/a-grumes/chiesa-parrocchiale-di-grumes/19480-5-ita-IT/Chiesa-parrocchiale-di-Grumes.jpg,,,,,,,,
6392d7ccc1cf0b4e452da59d46dd0c84,2016-05-02T11:47:33+02:00,2016-05-05T09:51:20+02:00,"Chiesa Parrocchiale di S. Filippo e S. Giacomo a Faver ","La Chiesa parrocchiale di S. Filippo e S. Giacomo fu consacrata nel 1116, ma fu ricostruita nel 1462 e più volte ampliata nei secoli successivi.","Circa tre secoli dopo la chiesa fu bruciata dai Francesi, che posero il paese a sacco. Dopo questo incendio, che coinvolse anche alcune abitazioni, la chiesa fu ricostruita nelle attuali forme tra il 1853 e il 1854 da G. Giacomelli, un muratore di Predazzo, mentre il campanile è di dieci anni più tardo e si sviluppa su un progetto di G. Pelz, originario di Cembra. Il campanile è alto 56 m. e le sue campane sono udibili in tutta la Val di Cembra. L'interno della chiesa è molto vasto e adornato da stucchi simbolici e da tele di un pittore ottocentesco di Predazzo. Dell'antica chiesa -ora sede municipale- rimangono dei lacerti affrescati al piano terra, attualmente coperti da pannelli in cartongesso. Nello spazio a sud dell'abside c'è il cimitero.",Chiesa,46.180937,11.237233,"Altavalle, 38030, Trentino-Alto Adige, Italia",/var/altavalle/storage/images/territorio/cosa-visitare/a-faver/chiesa-parrocchiale-di-s.-filippo-e-s.-giacomo-a-faver/31989-2-ita-IT/Chiesa-Parrocchiale-di-S.-Filippo-e-S.-Giacomo-a-Faver.jpg,,,,,,,,
