remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
529ca6555cf9f049cab5692acf633ae1,2015-12-04T10:13:22+01:00,2015-12-04T10:13:22+01:00,"I percorsi del gusto","Territorio dalle profonde radici contadine, l’Altopiano della Vigolana è ricco di tesori gastronomici: succose le mele, prelibati i piccoli frutti e le ciliegie, speciali le patate, il mais e gli ortaggi, e in autunno, le castagne. ","Territorio dalle profonde radici contadine, l’Altopiano della Vigolana è ricco di tesori gastronomici: succose le mele, prelibati i piccoli frutti e le ciliegie, speciali le patate, il mais e gli ortaggi, e in autunno, le castagne.
Prelibati anche i prodotti trasformati, il miele, le marmellate, il succo di mele, i formaggi caprini che potrai gustare direttamente dal produttore nella sua azienda agricola. in ogni stagione i ristoranti propongono menu a tema: l’asparago in primavera, i piccoli frutti in estate, la castagna in autunno e il ginepro in inverno",,0,0,,,,,,,,,,
5086899b08f29d830b459914b58b4e93,2015-12-04T10:14:23+01:00,2015-12-04T10:14:23+01:00,"I percorsi dei sensi","Per scoprire la natura con i nostri sensi, in un modo diverso e più profondo, lungo i percorsi dei 60km della Vigolana, otto grandi pannelli interattivi permettono di toccare con mano le rocce e le cortecce degli alberi, annusare i profumi degli alberi e gli aromi delle erbe, ascoltare i suoni della natura e degli animali",,,0,0,,,,,,,,,,
92064b3ebd2367da80cc5ac663f3f9ed,2015-12-04T10:15:05+01:00,2015-12-04T10:15:05+01:00,"I percorsi della zona","Le impronte di una vicenda storica millenaria si possono trovare nei resti romani e nelle antiche costruzioni come il rinascimentale Castel Vigolo, le ville barocche quali Villa Bortolazzi a Vattaro, le chiese patronali e i quattro borghi con portici in pietra e balconi in legno","
Le impronte di una vicenda storica millenaria si possono trovare nei resti romani e nelle antiche costruzioni come il rinascimentale Castel Vigolo, le ville barocche quali Villa Bortolazzi a Vattaro, le chiese patronali e i quattro borghi con portici in pietra e balconi in legno. Castel Vigolo, molti secoli fa, era una fortezza di una certa importanza e, come tale, ha dovuto sopportare duri assedi con conseguenti ricostruzioni. Dopo molte vicissitudini e passaggi di mano, nel 1960, il Castello fu acquistato da privati e interamente restaurato. Ci si immerge poi nella storia della Prima Guerra Mondiale visitando i Forti di Fornas, sul versante sinistro della Valsorda e di Brusafer sul versante destro della Valsorda, realizzati dagli austroungarici dopo il 1866, quando i garibaldini presero Bezzecca ed i regolari piemontesi si affacciarono alle porte di Trento presso Valsorda",,0,0,,,,,,,,,,
a8b2d9f1b7db56c5dbf873a04c7f7097,2015-12-04T10:15:43+01:00,2015-12-04T10:15:43+01:00,"I percorsi del movimento","I 60 Km della Vigolana, una serie di 170 km di sentieri, strade forestali, stradine agresti da percorrere in libertà","I 60 Km della Vigolana, una serie di 170 km di sentieri, strade forestali, stradine agresti da percorrere in libertà. Sono a tua disposizione guide alpine per passeggiare nei boschi o salire sul Becco di Filadonna, istruttori di nordic walking , istruttori di mountain bike, con servizi di guida personalizzati e uscite per bambini, istruttori equestri per adulti con il punto tappa dell’Ippovia del Trentino orientale e per bambini con l’attività cavalca e gioca per avvicinare i più piccoli al mondo del cavallo, lezioni con i pony e ippoterapia",,0,0,,,,,,,,,,
7ad5e86879ca4c1956fc8f909102ffc6,2015-12-02T11:29:19+01:00,2016-02-24T11:10:56+01:00,"Parco fluviale del Torrente Centa e Acropark","Nella valle del torrente Centa è stato recentemente realizzato un percorso immerso nel verde e illustrato con pannelli didattici che descrivono flora, fauna e storia del luogo. Passeggiando, a diretto contatto con le acque del torrente, si possono ammirare i segni lasciati dalla storia dell’uomo, che per secoli ha usato la forza dell’acqua per far girare le ruote delle segherie e dei mulini.","L’intervento ha valorizzato le bellezze naturali presenti sul nostro territorio ed ha permesso il recupero di manufatti ed edifici storici, testimoni del passato. Il parco fluviale è stato particolarmente apprezzato anche dall’Associazione Lega Ambiente, la quale lo ha ritenuto meritevole e degno di ricevere la propria Bandiera Verde. All’inizio del percorso troviamo l’Acropark, un parco divertimenti all’aria aperta con percorsi aerei acrobatici da affrontare in totale sicurezza, in completa sintonia con la natura e alla scoperta delle proprie capacità. I percorsi sono adatti a bambini ed adulti.Per maggiori informazioni visita il sito www.acropark.it (apre il link in una nuova finestra)  ","Parco avventura",45.968142,11.232203,"centa san nicol&ograve; parco avventura",/var/altopianodellavigolana/storage/images/territorio/cosa-visitare/a-centa-san-nicolo/parco-fluviale-del-torrente-centa-e-acropark/19480-3-ita-IT/Parco-fluviale-del-Torrente-Centa-e-Acropark.jpg,,,,,,,,
2ea58c0667ceb09b9e276c6e3d008233,2015-12-02T11:32:55+01:00,2016-02-24T11:30:02+01:00,"I percorsi dell'acqua","Il Parco Fluviale del Torrente Centa  ","Lungo il Parco Fluviale del Torrente Centa puoi passeggiare lasciandoti guidare dal rumore dell’acqua lungo un sentiero dove pietre antiche, ruote di mulini e segherie, raccontano un brano di storia e sussurrano la vita delle genti che un tempo percorrevano lo stesso cammino. E per i bambini, il nuovo Acropark, un parco divertimenti all’aria aperta con percorsi aerei acrobatici da affrontare in totale sicurezza, in completa sintonia con la natura, alla scoperta delle proprie capacità",,46.001361,11.222167,bosentino,,,,,,,,,
d1d3892d1cb4a712ce5d48b7636be0da,2016-02-22T15:54:33+01:00,2016-02-22T15:54:33+01:00,"Auditorium a Vigolo Vattaro","L'Auditorium è una struttura attrezzata nella quale vengono programmate varie attività. La richiesta di utilizzo va presenta all'Ufficio Segreteria del Comune.","
La tariffa per gli enti e le Associazioni per attività senza fini di lucro per svolgere attività concorsuali o formative è di € 3,00, per svolgere altre attività è di € 8,00, per svolgere attività con presenza di pubblico spettatore pagante è di € 11,00, mentre per svolgere attività fisica per anziani è di € 10,00.
La tariffa per gli enti pubblici e le Associazioni studentesche per svolgere attività è di € 8,00, mentre per svolgere attività con presenza di pubblico spettatore pagante è di € 11,00.La tariffa per gli altri soggetti richiedenti per svolgere attività concorsuali o formative è di € 8,00, per svolgere altre attività è di € 15,00, per svolgere attività con presenza di pubblico spettatore pagante è di € 30,00, mentre per svolgere attività fisica per anziani è di € 15,00.

    Domanda uso auditorium rev_01
",,0,0,,,,,,,,segreteria@comune.vigolo-vattaro.tn.it,0461/848812,
7aeff05c8ce4bbffdfafcfed16ac5271,2016-02-22T16:49:59+01:00,2016-02-25T14:06:24+01:00,"Chiesa di San Rocco","La cappella voluta dalla famiglia Bortolazzi fu costruita sul sito di una chiesa preesistente di cui si ha notizia in documenti del 1585 e le cui tracce furono ritrovate durante i lavori di restauro del 1987-89.","
Alla parte centrale a forma di ottagono che costituisce la navata risultano essere collegati tramite due grandi archi, il vestibolo e l’abside rettangolare con volta a crociera; la luce filtra all’interno attraverso tre finestre a lunetta poste sulla facciata e sui lati della navata. 
Dentro la cappella, lungo i lati, sono collocate entro nicchie decorate le statue di San Francesco, del Sacro Cuore di Gesù, di Santa Chiara e della Madonna del Rosario. Oltre alle statue, nella chiesa di San Rocco si trova un altare ligneo che contiene una pala raffigurante la Madonna con il Bambino e i Santi Rocco e Sebastiano.
La pala è opera dell’artista trentino Francesco Marchetti, pittore particolarmente legato ai Bortolazzi, che proprio nel 1688, anno di realizzazione della stessa pala, lasciò per recarsi in Austria e in Boemia. Lo stile del Marchetti ripete gli schemi romani seicenteschi forse appresi durante un soggiorno, peraltro non documentato, a Roma.
L’altare ligneo, riccamente intagliato e in origine dorato, viene attribuito per le caratteristiche stilistiche, per la tecnica della lavorazione, per le numerose decorazioni ad intaglio, per le colonne ornate di elementi vegetali, per la presenza di putti in varie posizioni e per altri particolari ancora, alla bottega dei Grober, artisti attivi in varie chiese trentine dell’epoca. Il tabernacolo è stato realizzato molto più tardi, nel 1734.
Sopra l’altare, affiancato da quattro angeli, è presente uno stemma della famiglia Bortolazzi.
Nel 1955, contestualmente al restauro della chiesa, fu commissionato dal Comune di Vattaro all’artista Marco Bertoldi un affresco raffigurante San Martino a cavallo per la parte centrale della volta.Del 1956 è invece il campanile a vela.Bibliografia
C. Bassi, Vattaro Vigolo e Bosentino nel corso dei secoli, Trento, Argentarium, 1972
B. Passamani, Ville del Trentino, Trento, Monauni, 1965
G. M., Rauzi, Ville trentine: dal palazzo di città alle ville del contado, Trento, Curcu &amp; Genovese, 1998A. Visintainer, Le chiese di Vigolo Vattaro e Vattaro, Trento, Temi, 1996",Chiesa,0,0,,/var/altopianodellavigolana/storage/images/territorio/cosa-visitare/a-vattaro/chiesa-di-san-rocco/49331-2-ita-IT/Chiesa-di-San-Rocco.jpg,,,,,,,,
2636894a25a047cf7d0b591912256051,2016-02-22T16:50:34+01:00,2016-02-24T11:15:21+01:00,"Villa Bortolazzi","Il palazzo che oggi ospita la biblioteca del Comune di Vattaro apparteneva alla nobile famiglia dei Bortolazzi, una delle più ricche e in vista a Trento nei secoli XVII-XIX.","
I Bortolazzi, che ottennero solo nel 1702 il titolo nobiliare di conti del Sacro Romano Impero, erano ricchi mercanti che all’inizio del Seicento si erano trasferiti da Cornuda di Asolo (Treviso) a Trento (1617), ove avevano fatto fortuna. Gran parte delle loro ricchezze venne investita in terreni e campi, oltre ad essere impiegata per l’acquisto, la ristrutturazione e l’abbellimento di numerose dimore, sia in città che in campagna. A Vattaro i Bortolazzi trascorrevano solo i mesi estivi, preferendo per il resto dell’anno gli altri palazzi che possedevano a Trento e nei dintorni o la villa situata in località Acquaviva di Mattarello, dalla quale facilmente riuscivano a raggiungere l’Altopiano della Vigolana.
L’incarico di ristrutturare e ampliare la residenza estiva, acquistata nel 1621 da Giuseppe Bortolazzi, fu dato da Bartolemeo Bortolazzi nel 1686 all’architetto Apollonio Somalvico e, alla sua morte, al fratello Pietro. Ai due architetti, provenienti dalla zona di Como e attivi per più di tre decenni in Trentino, era stato affidato tre anni prima anche il compito di progettare una chiesa che la famiglia aveva intenzione di costruire già dal 1646, come si evince dal testamento di Giuseppe Bortolazzi. Iniziata nel 1683, la chiesa fu ultimata e consegnata alla famiglia nel 1694, mentre per la ricostruzione della villa si dovettero attendere ancora alcuni anni: i lavori furono infatti terminati nel 1707.
Un riquadro a tempera presente nel salone del palazzo Bortolazzi di Trento (in Largo Carducci, una volta piazza del Macello) mostra il complesso di Vattaro così come era strutturato all’epoca: nella sua integrità era circondato da mura merlate e oltre alla villa, con annessa torretta cilindrica, comprendeva altri edifici, cortili e giardini alberati, la casa delle decime, la chiesa e la filanda.Nelle sale a pianterreno della villa di Vattaro si possono ammirare, a seguito di un accurato restauro del 1977, tre cicli di affreschi.Sulla parete di fondo della signorile sala da pranzo è stato dipinto, tra due angeli che lo sorreggono, lo stemma della famiglia.Nelle sei lunette presenti sulle pareti dei lati lunghi della sala sono stati affrescati, insieme a soggetti mitologici, momenti della vita quotidiana e del lavoro dei signori. Sotto i segni zodiacali che accompagnano la rappresentazione dei mesi e delle stagioni si susseguono scene di lavoro, in casa e in campagna, e di svago (caccia, raccolto, agricoltura, pastorizia, pesca e buona cucina). L’affresco della caccia è datato 1700 ed è firmato Erasmo Antonio Obermuller (il &quot;Pistoiese&quot;).
Nell’atrio è presente ancora una volta, al centro del soffitto, lo stemma di famiglia, mentre nelle lunette che si susseguono lungo le pareti sono state dipinte le scene dedicate all’allegoria delle età del signore, dall’infanzia alla vecchiaia. In alcune di queste raffigurazioni, in particolare, si possono riconoscere il paesaggio intorno alla villa di Vattaro e piazza Duomo a Trento, luogo delle passeggiate in carrozza del signore.
Nel tinello attiguo all’atrio si trova il terzo ciclo di affreschi dedicato ai quattro elementi acqua, aria, terra e fuoco.
Nel rettangolo del soffitto, tra il sole e la luna, è raffigurato il Padre Eterno. Nella lunetta dedicata alla terra è possibile, ancora una volta, scorgere elementi del paesaggio compresi tra Vattaro e la Vigolana. Due scritte dipinte, presenti nelle sale più piccole del pianterreno di villa Bortolazzi, permettono di stabilire che i due cicli di affreschi dedicati ai quattro elementi e alle età dell’uomo furono commissionati da Lodovico Bortolazzi ed eseguiti rispettivamente nel 1700 e nel 1702.I Bortolazzi per la costruzione e l’abbellimento delle loro ville, palazzi e cappelle erano soliti avvalersi dell’opera di numerosi artisti e professionisti: con loro lavorarono gli architetti Pietro e Apollonio Somalvico, i pittori trentini Carlo Spaventi e Francesco Marchetti, il modenese Domenico Romani, il veronese Prospero Schiavi, gli scultori di Mori Domenico e Antonio Sartori e molti altri.La villa, la chiesa e le proprietà dei Bortolazzi, passate nel 1850 per via ereditaria alla famiglia Fogazzaro, furono vendute da quest’ultima al Comune di Vattaro nel 1920. Da allora i piani superiori di palazzo Bortolazzi sono stati adibiti a sede della scuola elementare, mentre gli spazi a pianterreno sono stati destinati agli uffici comunali prima, alla biblioteca poi, e alla sala consiliare.",,0,0,,/var/altopianodellavigolana/storage/images/territorio/cosa-visitare/a-vattaro/villa-bortolazzi/49345-2-ita-IT/Villa-Bortolazzi.jpg,,,,,,,,
88dbed662e61f8f0013ddf3c883f6eec,2016-03-08T11:42:41+01:00,2016-03-08T11:42:41+01:00,"Santuario Madonna della Fales","
A poca distanza dal paese di Bosentino sorge la chiesetta della Madonna del Feles. La località prende il nome dalle piante di felci che crescono nella zona. Lì si trovava un antico capitello dedicato alla Madonna, con un affresco veneziano del 1400.
La leggenda narra che un tempo molti pastori salivano con i loro animali in quei pascoli. Ad uno di questi, un ragazzo muto di 12 anni, Janesel, apparve la Vergine che con una mano indicava una felce cresciuta sotto un grosso castagno. La Vergine invitava il ragazzo a dire agli abitanti di Bosentino di erigere in quel luogo una cappella e di collocarvi un’immagine della Madonna per la venerazione. Mentre parlava pose la mano su una pietra e vi lasciò l’impronta, come segno per gli abitanti guarì il muto. I Bosentini credettero. 
Nel 1622 la comunità di Bosentino fece voto di suonare ogni sabato a un’ora precisa l’Ave Maria ed ognuno doveva cessare il lavoro e recarsi in processione alla cappella. Quest’usanza fu osservata fino alla fine dell’Ottocento.Della cappella si parlò soltanto dopo la peste del 1632/33, che avendo mietuto parecchie vittime in tutti i paesi limitrofi, avrebbe risparmiato Bosentino e Migazzone. Fu così che attorno al primitivo capitello sorse una vera cappella con porta e finestra rivolte verso Vigolo.Il Santuario (apre il link in una nuova finestra)  ",,Chiesa,0,0,,/var/altopianodellavigolana/storage/images/territorio/cosa-visitare/a-bosentino/santuario-madonna-della-fales/51643-1-ita-IT/Santuario-Madonna-della-Fales.jpg,,,,,,,,
a30e98a22419f029cfd28d69d7ff1f19,2016-02-22T15:11:58+01:00,2016-02-22T15:11:58+01:00,"Centro sportivo di Vigolo Vattaro","Il Centro sportivo sito in loc. Caolorine è di proprietà comunale ed è gestito in concessione dalla locale associazione sportiva U.S. Vigolana.",,,0,0,,,,,,,,vigolana@postalnd.it,"0461/848707 - 348/9133997 - Fax: 0461/848707",
baf5abe39ca41e916c8e95138325cab3,2015-12-02T11:09:04+01:00,2020-03-31T08:10:25+02:00,Farmacia,"Farmacia di Manfredi Cristina","Orario di apertura:Lunedì      08.30-12.30       15.30-19.00Martedì     08.30-12.30       15.30-19.00Mercoledì 08.30-12.30       15.30-19.00Giovedì    08.30-12.30       15.30-19.00Venerdì    08.30-12.30       15.30-19.00Sabato     08.30-12.30      Domenica      Chiuso",Farmacia,0,0,,/var/altopianodellavigolana/storage/images/territorio/informazioni-utili/sanita-e-farmacie/farmacia/19412-5-ita-IT/Farmacia.jpg,,,,"Via della Fricca, 12 vigolo Vattaro",,,"0461 848935",
d96fead200d1c0d561f36673ebadf6a8,2016-02-22T16:53:29+01:00,2020-08-05T08:10:15+02:00,"Scuola materna di Vigolo Vattaro","Il servizio è gestito dalla Provincia  Autonoma di Trento","Contatti:


Provincia  Autonoma di Trento - Servizio Scuola dell'Infanzia Istruzione e Formazione professionale - Circolo di coordinamento n. 3

Viale Dante, 5 - Pergine Valsugana (TN)

tel. 0461 501808

fax 0461 501809

email: scuolainfanzia.vigolovattaro@scuole.provincia.tn.it


","Scuola infanzia",0,0,,,,,,"Via al Castello - Vigolo Vattaro",,,"0461 848577",
a7d7b0c51ec58cb8f3b3a2ac5ab84f27,2016-02-22T14:16:45+01:00,2020-08-05T09:08:30+02:00,"Vigili del fuoco a Centa San Nicolò","Caserma Vigili del Fuoco VolontariComandante Martinelli Alessandroe-mail:vvf_centa@inwind.it",,"Vigili del fuoco",45.969658,11.233763,"Via Municipio 6 - 38040 Centa San Nicol&amp;amp;ograve;",,,,," Via Municipio - 38040 Centa San Nicolò",,,0461.722199,
