remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
00db07eab21e90b3e2b04c98d4bca639,2015-07-18T09:12:53+02:00,2016-04-06T10:01:35+02:00,"Le vie del Sacro a Besenello","Nel termine capitello, parola di origine dialettale dell'area triveneta, sono raggruppati tutti i segni sacri che stanno lungo le strade, agli incroci, sulle facciate delle case, come le edicole, i tabernacoli, gli altarini, le nicchie, i dipinti murali, le croci, le chiesette","
La loro origine si perde nel tempo e nella tradizione agricola, non solo della nostra regione.
Essi sono sempre stati presenti presso i centri abitati e nelle campagne, e per questa loro continua presenza nella nostra storia rappresentano il filo conduttore che unisce la comunità antica a quella moderna e quella moderna a quella contemporanea.
La prima trasformazione epocale è segnata dalla continuità tra la religione pagana e quella cristiana, dovuta alla persistenza delle stesse esigenze legate alla terra.
Le necessità dei contadini romani non erano diverse da quelle dei contadini cristiani tutti pregavano che la stagione fosse buona e il raccolto abbondante, infatti i capitelli spesso sostituiscono i segni sacri della cultura precedente legati alla religione naturalistica.
Le comunità precristiane usavano segnare le proprietà private con cippi che sorgevano agli incroci (caput=capo, estremità), si credeva che in questi luoghi si concentrassero le forze del mistero e dell'ignoto, che fossero i punti d'incontro tra cielo e terra, il luogo in cui
si riunivano le streghe, o forze negative che dovevano essere tenute lontane dalle colture perché non ne venissero danneggiate.Secondo altre teorie, il capitello ricorderebbe la simbologia dell'albero della vita capiyelum=capo di una colonna), in questo caso il capitello veniva posto all'entrata del paese, della contrada o del campo, ricordando la figura degli alberi che rappresentano la prima manifestazione del divino, la forza che fa nascere, crescere e sviluppare la vita.
Gli antichi romani erigevano dei campitum con funzione religiosa e civile, dedicati al culto dei lares campitales o viales, i confini divenivano così sacri, definivano e proteggevano dalle sventure lo spazio vitale del contadino che vive e lavora in esso, stagione dopo stagione, con un incedere del tempo che si ripete (primavera, estate, autunno, inverno), di per sé ritualizzato nella ripetitività dei gesti. Attraverso i capitelli è dunque possibile ricostruire la storia della società che gli ha eretti.
Infatti a Besenello sono particolarmente numerosi rispetto, ad esempio, a Calliano dove quasi non sono presenti; questo ci parla di una popolazione maggiormente legata al lavoro agricolo (a Calliano da sempre vi erano i sioreti che costruivano palazzi e non edicole), alla tradizione religiosa che è più radicata nella gente e si tramanda da generazione in generazione.
La stessa rappresentazione che i capitelli custodiscono ci svela qualcosa, qui abbiamo un numero elevatissimo di dediche alla Madonna e al Crocefisso, questo significa una ricerca di protezione semplice e diretta, non influenzata da correnti culturali esterne, rivolta all'interno del paese dove il forte legame tra la gente rende superfluo il confronto con l'esterno.
A Volano, paese più vicino a Rovereto caratterizzato da un'attività culturale più aperta alle diversità compaiono nelle raffigurazioni S. Rocco, S. Valentino, S. Antonio, santi che sono sì legati all'agricoltura, ma secondo una modalità più diversificata e sensibile ai cambiamenti dei tempi.
Non a caso vi sono capitelli più antichi che a Besenello (XV sec.), con caratteristiche di rappresentazione che rivelano la conoscenza delle correnti artistiche del momento: il primo Rinascimento di cui è esempio emblematico la chiesetta di S.Rocco.
Inoltre la presenza di capitelli recenti è limitata, in questo caso ciò è sintomo di una maggior sensibilità al cambiamento culturale in atto che vede la popolazione affidarsi sempre meno ai capitelli esprimere la propria fede.
La presenza di numerosi capitelli di recente fattura o del rifacimento di antichi manufatti preesistenti, rivela che qui la tradizione contadina non si è ancora dileguata, il legame con la tradizione è ancora forte rispetto ad altri posti, i capitelli sono diventati un elemento di sicurezza, dei punti di riferimento che comunicano stabilità rispetto alla frenetica trasformazione avviata dalla rivoluzione industriale, sono il modo in cui il paese testimonia la sua voglia di mantenere il legame con le proprie radici, contro lo svuotamento di senso che crea la società contemporanea.
Possiamo quasi considerarli un mezzo di salvezza, in quanto ci possono aiutare a conoscere e comprendere ciò che ha costituito il nostro presente, e ci possono aiutare a salvarlo appunto dall'omologazione della modernità e rinnovarlo nel rispetto dei suoi caratteri originari.
 
tratto da &quot;Le vie del Sacro&quot; a cura di Cristiana DebiasiEdizione Osiride 2000","Luogo religioso",45.940902,11.112212,Besenello,/var/besenello/storage/images/territorio/il-paese-di-besenello/punti-di-interesse/le-vie-del-sacro-a-besenello/19876-2-ita-IT/Le-vie-del-Sacro-a-Besenello.jpg,,,,,,,,
94f10c1cd8acd67101d967cf3bf60e63,2015-07-18T09:15:45+02:00,2016-09-22T14:02:33+02:00,"Castel Beseno","La più grande città fortezza del Trentino, sede museale. Non v'è viaggiatore che, percorrendo la valle dell'Adige tra Trento e Rovereto, non rimanga affascinato alla vista di Castel Beseno","La fortificazione occupa interamente la sommità della collina che fiancheggia il corso del fiume all'intersezione con la valle che conduce a Folgaria e costituisce il più vasto complesso fortificato non urbano d'epoca feudale presente in Trentino. Colpiscono le dimensioni, 250 metri corrono da un capo all'altro delle ciclopiche mura, e colpisce soprattutto l'atmosfera che all'interno, tra camminamenti e cortili, si può ancora respirare. E oggi, dopo scrupolosi lavori di restauro, Castel Beseno d'estate torna a rivivere trasformandosi in straordinario palcoscenico per spettacoli e rappresentazioni. Il castello è molto antico ed è stato sede di importanti dinastie: i da Beseno (una delle più ragguardevoli famiglie medievali trentine, ormai estinta) che vi risiedevano già nel 1.100, i Castelbarco e i Trapp. Le vicende di questi casati si intrecciano indissolubilmente con quelle dei Principi vescovi di Trento, di volta in volta alleati o in guerra con i castellani di Beseno. I conti Trapp, proprietari del complesso dal 1470 al 1907, hanno compiuto una serie di interventi nel corso dei secoli. Particolarmente significativo quello seguito all'incendio del 1513 quando vennero realizzate alcune delle strutture residenziali. La fortezza, con il suo baluardo Castel Pietra posto ai piedi del colle, è stata al centro di numerosi e importanti fatti d'arme.Dalle guerre con i Veronesi degli inizi del XIII secolo (in quell'occasione il castello subì gravi danni), all'assedio che dovette subire nel 1456 ad opere delle truppe imperiali e vescovili sotto il comando supremo dello stesso vescovo di Trento, Giorgio Hack. Nella piana sotto le sue mura si combatté la famosa battaglia di Calliano, 9/10 agosto 1487, tra le truppe trentine e tedesche da una parte e quelle veneziane dall'altra, guidate da Roberto da Sanseverino, uno dei più noti e temuti capitani di ventura dell'epoca. Lo scontro fu molto cruento, seimila i soldati veneti uccisi o catturati - e si risolse con la sconfitta dei Veneziani e la morte del Sanseverino, miseramente annegato nell'Adige. Il castello fu al centro di un'altra battaglia, il 4 novembre 1796, fra le truppe di Napoleone e l'esercito e il vittorioso l'esercito austriaco comandato dal generale Ocskay.
Fu oggetto di numerosi assedi e di feroci battaglie, delle quali la più famosa rimane la battaglia di Calliano fra i veneziani ed il principato con i suoi alleati tirolesi, culminata con la disfatta dei veniti e la morte del loro condottiero Roberto di Sanseverino. A lato potete vedere &quot;Il sarcofago di Roberto di Sanseverino nel duomo di Trento&quot; lo vedete con lo stendardo di venezia capovolto in segno di sconfitta e il leone di San Marco a testa in giù.
L'ultimo scontro in ordine di tempo avvenne fra gli austriachi e Napoleone, che con il suo genio militare rapidamente sfondò l'ostacolo aprendosi la strada per Vienna. La leggenda narra che Napoleone avesse usato l'eremo di Santa Cecilia di Volano come base per &quot;canoneggiare&quot; Castel Pietra per aprirsi la strada.Lo stratega avrebbe seguito tutto dall'alto del campanile dell'arcipretale di Volano.",Castello,45.930915,11.109838,"Castel Beseno",/var/besenello/storage/images/territorio/il-paese-di-besenello/punti-di-interesse/castel-beseno/19908-3-ita-IT/Castel-Beseno.jpg,,,,,,,,
5b7bea07156ec7368b73a7b724d8594c,2015-07-18T09:17:06+02:00,2016-09-22T14:00:53+02:00,"Malga Palazzo e la riserva naturale del monte Scanuppia","Sul monte Scanuppia malga risalente alla famiglia Trapp del 1589. La riserva Naturale della Scanuppia si estende su una superficie di circa 580 ettari e include l'omonima foresta demaniale che occupa la parte sommitale del Monte Vigolana, situato nel territorio del Comune di Besenello, poco a sud-est di Trento. Circa 3/5 della superficie totale della riserva sono ricoperti da formazioni di abete rosso, larice e faggio",,Malga,45.956299,11.151351,,/var/besenello/storage/images/territorio/il-paese-di-besenello/punti-di-interesse/malga-palazzo-e-la-riserva-naturale-del-monte-scanuppia/19922-3-ita-IT/Malga-Palazzo-e-la-riserva-naturale-del-monte-Scanuppia.jpg,,,,,,,,
88b20a23e322c23b5c497c1f25121472,2015-07-18T09:40:33+02:00,2016-02-02T19:09:23+01:00,"Agenzia per la promozione dello Sport della Vallagarina",,,,45.892364,11.037018,,,,,,"Via Matteo del Ben, 5/B - 38068 Rovereto (TN)",http://www.agenziasportvallagarina.com/|www.agenziasportvallagarina.com,info@agenziasportvallagarina.com,"0464/030800 (fax 0464/030801)",
1784bf30a405b3ad70c58be096e0aeb2,2015-07-17T18:40:07+02:00,2016-01-03T19:03:50+01:00,"Ambulatorio medico e pediatrico",,,Ambulatorio,45.942003,11.109585,,,,,,"Via Degasperi, 7 Besenello",,,"0464 835130",
4407b213ff5651d3e8ff162c8decb569,2015-07-17T18:44:52+02:00,2015-07-17T18:44:52+02:00,Farmacia,"La titolare è la dottoressa Elena Candioli",,Farmacia,45.94126,11.11038,"Via Roma, 6/A Besenello",,,,,"Via Roma, 6/A Besenello",,,"0464 834124",
abc755f3f459d39487ebf34643c44f32,2015-07-17T18:49:24+02:00,2015-07-17T18:49:24+02:00,"Polizia Municipale","Corpo di Polizia Locale Alta Vallagarina ","PEC: plav@legalmail.it","Polizia locale",45.9289,11.07156,"Piazza M. Springa, 3 - Nomi",,,,,"Piazza M. Springa, 3 c/o Comune di Nomi",,altavallagarina@polizialocale.tn.it,"0464 830408 (fax 0464 424748)",
2f06449959db4b45f3e7b2f24f68a8f4,2015-07-17T18:50:44+02:00,2016-02-02T19:11:18+01:00,"Stazione Carabinieri di Calliano",,,Carabinieri,45.930813,11.092951,,,,,,"Via Marconi 10, Calliano",http://www.carabinieri.it/|www.carabinieri.it,,"0464 834114",
d6352e6a429bd085badd7ed11c5ef09a,2015-07-17T18:02:31+02:00,2017-02-16T09:45:24+01:00,"Scuola materna “Santi Angeli”","Informazioni e modalità per l'iscrizione su: “vivoscuola  ” ",,"Scuola infanzia",45.943341,11.109353,"Pietro Vanzetti  3 - Besenello",,,,,"Pietro Vanzetti  3 - Besenello",,,"0464 834946",
c3dcf25a3193bafaee1e0b9eeea3367a,2015-07-17T18:10:33+02:00,2016-01-03T19:05:39+01:00,"Scuola elementare “Silvio Pellico”","Per informazioni generali consultare: “vivoscuola  ”",,"Scuola elementare",45.941872,11.110168,,,,,,"via Degasperi 2 - Besenello",,,"0464 820009",
