remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
b9c98545b9d29a4ee398b3c3e78b3cb7,2014-12-24T11:22:00+01:00,2016-09-16T11:37:35+02:00,"Palestra e Aula Magna Istituto Scolastico",,"Il Comune può concedere in orario extrascolastico ed in uso temporaneo ad associazioni, enti, organizzazioni e simili alcuni locali della struttura scolastica (palestra, aula magna e aule-laboratori), consultando preventivamente l'istituzione scolastica. La domanda dovrà essere presentata al Comune utilizzando l'apposita modulistica da inviare via e-mail a: segreteria@comune.brentonico.tn.it o portandola di persona negli orari di apertura degli uffici comunali. Per ulteriori informazioni recapito telefonico tel. 0464/399111.Con deliberazione nr. 17 del 25.02.2016, sono state approvate le nuove tariffe per l'utilizzo delle aule e della palestra dell'Istituto Comprensivo di Brentonico.

    Delibera 17_25.02.2016
tariffe

    tariffe allegato alla delibera 17
modulo richiesta palestra

    modulo richiesta  Palestra 2016.pdf
modulo richiesta aula magna e aula a vetri

    modulo richiesta utilizzo sala a vetri e aula magna aggiornato 2016
Documentazione Duvri dell'Istituto  Comprensivo e  normativa provinciale

    Duvri Istituto Comprensivo


    delibera giunta provinciale
Disciplinare per l'utilizzo delle aule

    Disciplinare per l'utilizzo palestra-aula magna-aula a vetri aggiornato 2016
",,0,0,,/var/brentonico/storage/images/territorio/vivere-brentonico/impianti-sportivi/palestra-e-aula-magna-istituto-scolastico/25763-9-ita-IT/Palestra-e-Aula-Magna-Istituto-Scolastico.jpg,,,,"Via Calzolari Brentonico",,,,
519327dfb8566d9eeb9b1aa8ef2a06b0,2014-11-05T14:11:58+01:00,2014-12-16T14:49:15+01:00,"Chiesa di San Rocco","
A Lera, all'inizio di Brentònico centro, la chiesa barocca di San Rocco è una testimonianza minore del fervore artistico brentonicano innestatosi sull'industria delle cave di marmo.Fu riedificata per voto contratto durante la peste del 1630.","Il campanile fu disegnato da Teodoro Benedetti di Castióne (1768), mentre i tre altari settecenteschi, di marmo locale, sono opera di bottega castionese e la pala dell'Addolorata è opera del pittore, pure locale, Biagio Falcieri (1628-1703), allievo di Pietro Liberi.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",Chiesa,45.817127,10.949557,"lera brentonico",,,,,,,,,
17b29080d2ae71dffdbb4d6cf4d9ece0,2014-11-05T14:14:19+01:00,2014-12-16T15:15:12+01:00,"Parco del Palù","Al centro del paese si trova il parco del Palù, ombreggiato da secolari, maestosi pioppi dai possenti tronchi (il più alto di essi servì da osservatorio militare durante la prima guerra mondiale). Presso la spianata dove si tenevano le fiere del bestiame s'innalza la colonna con la statua di S. Giuseppe eretta nel 1720 da G.B. Castelbarco e rinnovata da D. de Betta nel 1843.","
Al Palù c'era la «berlina» per i malfattori e nel 1716 vi venne giustiziata Maria Bortolotti da Pilcante (Maria Toldina), accusata di stregoneria.Sempre verso il parco del Palù - uno dei pochi parchi urbani a espressione naturale - presso un giovane boschetto di abeti, c'è il monumento ai Caduti con quattro bronzi di Bruschetti (1971) e i nomi dei Caduti scritti a mano nelle nicchie della stele centrale.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)","Parchi e orti botanici",45.818725,10.955968,,,,,,,,,,
bf0aa0353a55251398b4a95345cb728d,2014-11-05T14:17:08+01:00,2014-12-16T14:48:46+01:00,"Chiesa dei Santi Pietro e Paolo","La chiesa pievana dei Santi Pietro e Paolo, a Vigo, conserva sotto il presbiterio un prezioso ambiente romanico. La cripta di S. Giovanni (ingresso per botola), infatti, sarebbe il resto della primitiva chiesa sopra la quale nel 1584-93 fu costruito l'attuale edificio. La cripta (secolo X con elementi più antichi) è a pianta quadrangolare con absidiola.","
E' divisa in tre navate da colonne quadrangolari con semplice capitello a stampella dalle quali si innalzano, a tulipano, le agili volte a crociera. L'altare è pure romanico, a capsa. Una delle colonne è curiosamente cilindrica con capitello scolpito. Sulla volta sono leggibili i resti della decorazione pittorica medievale (Evangelisti), nell'absidiola quelli di affreschi romanici attribuiti ad artisti veronesi della seconda metà dei XIV secolo. Nel corso dei restauri nel 1976 sono stati rinvenuti affreschi romanici, un cunicolo e altre testimonianze dell'antico sacello.Altro interessante relitto dell'edificio romanico è immurato presso il pilastro di destra dei portico pievano. Si tratta di una pietra calcarea che reca l'incisione di una colomba (o pavone?) rovesciata. Ricordata nel secolo XII, come pieve dipendente dalla diocesi di Verona, la chiesa di Brentonico è una delle più illustri dei Trentino.
Il portale è protetto da un atrio (1532) sui cui piedritti sono visibili le misure metriche comunitarie.
Il monumentale campanile, di pietre squadrate, ha bifore romaniche e cuspide di cotto veronese.
L'interno è a una navata e conserva alcune interessanti opere d'arte.
Monumentale è l'altare maggiore (1598) di marmo di Castióne. Statue lo movimentano e, sopra, sostenuto da leoni di pietra rossa, c'è il primitivo tabernacolo, con porticina a grata, scolpito da Simone Carnori di Trento (1593), nel marmo di Castióne. L'antipendio è costituito da una elegantissima lastra di cotto a mosaico policromo di Murano, probabilmente del secolo XVI.
Gli archi barocchi che conducono nel coro sono di marmo a più colori con statue di pietra bianca.
L'altare di destra, prima dell'arco santo, di fianco alla porticina del campanile con stemma scolpito di Brentonico, accoglie i due grandi altorilievi litici dipinti, rappresentanti, quello inferiore, la Deposizione con i simboli della Passione, pregevole opera firmata da Guglielmo do Manuelis de Avio (1511); quello superiore, la Resurrezione dovuta a ignoto artista che la datò nel 1635. Nella nicchia di marmo rosso dell'altare di fronte (1621), è posta una statua lignea della Madonna (XVI sec.).
La chiesa ha sei altari, tutti di marmo delle cave locali e di bottega castionese.
A destra la grande edicola marmorea contiene il gruppo della Pietà. Dietro, c'è, in cornice di marmo, una grande pala e presso la porta laterale, un'elegante acquasantiera di marmo. Nei pressi c'è la botola che scende nella cripta. A sinistra la prima cappella accoglie il battistero, sui due successivi altari sono esposte statue.Notevole l'antico organo di Giovanni Bertè di Brentonico (XVII sec.) che nel 1624 fece l'organo di Riva sul Garda. La bellissima cassa lignea è adornata da fregi e da sculture, la cantoria da cinque dipinti settecenteschi su legno. Il pannello centrale reca lo stemma di Brentonico sorretto da due putti. L'organo fu restaurato da Piccinelli di Ponteranica di Brescia nel 1976, la cassa, invece, dai fratelli Peskoller di Brunico. E' patrimonio della chiesa la bella pala (S. Bartolomeo) della distrutta chiesa di Fano.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",Chiesa,45.817127,10.949557,Brentonico,,,,,,,,,
67f28dbb66d28685c4486b34661e5b27,2014-11-05T14:19:07+01:00,2014-12-16T15:14:41+01:00,"Piazzale della Chiesa dei Santi Pietro e Paolo","Sulla piazza con fontana settecentesca, si prospetta la facciata secentesca di casa Baisi: nell'interno, salone a due piani, pitture murali a chiaroscuro dei Casari di Milano e stemmi degli Eccheli e dei Balladori. l gradini del bel portale, sormontato da una Madonnina a fresco, godevano diritto di immunità al pari dei sagrato della chiesa di S. Rocco e delle catenelle antistanti la colonna di S. Giuseppe al Palù.","In via Roberti, che si apre di faccia al portico della chiesa, la casa Balista, con bifore settecentesche sovrapposte.La via Longa, che scende a Fontèchel, si svolge tra massicce case con portali e serraglie di pietra: notare le caratteristiche case a rotonda (casa Baisi), la loggetta settecentesca e la barocca casa Longhi, la loggetta di casa Battisti e in via Ospedale, resti di decorazioni a fresco e una pietra con scolpiti gli attrezzi dei fabbro (emblema di categoria artigianale).(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",,45.817127,10.949557,Brentonico,,,,,,,,,
b6aa641bd662262166ff4be14c0f7947,2014-11-05T14:23:32+01:00,2014-12-16T14:49:49+01:00,"Contrada di Fontèchel","In fondo alla via Longa si trova Fontechel, sulla sponda destra del Rio Fontèchel, al di là dei quale c'è il dosso detto di Tordoi dove pare si trovasse il castello di Terodol (XIV sec.). In uno scavo eseguito nel 1905 vennero alla luce elementi murari e un pavimento di circa 40 mq.","La chiesetta di San Romedio, con aula esagonale, è del 1650. Il quadro di San Romedio è di Falcieri di Brentonico.Dopo il Rio Fontèchel, un tabernacolo ricorda il posto dove sorgeva il villaggio di Fano (30 case, circa 190 abitanti) distrutto da una frana il 3 dicembre 1648. Tutti gli abitanti poterono fortunatamente mettersi in salvo. l fenomeni di franamento «nella conca brentonicense - scrive Ottone Brentari - purtroppo si rinnovarono. E ancor tutti ricordano che nel maggio 1885, nella stessa valle del Sorne, la fertile plaga dei Piazzuoli o Boloni (fra Cazzano a nord-est, Brentònico a nord-ovest, e Sorne a sud) dilamò in varie riprese, chiudendo tre volte il corso dei torrente; il terreno si abbassò di m 50, e franò su una lunghezza di oltre m 800; furono distrutte tre case, due molini e 600.000 mq di campi; con un danno di fior. 120.000».(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",,45.816501,10.948274,"Fontechel ",,,,,,,,,
45c06850afc75a28ce8f1df2a5dd0ec8,2014-11-05T14:33:57+01:00,2014-12-16T14:47:53+01:00,"Castello di Dossomaggiore","A solo 5 minuti da Brentonico centro per una strada pianeggiante si arriva a una pineta con un bel panorama su Rovereto, la Valle Lagarina e i monti circostanti.","Dell'importante castello castrobarcense distrutto da Vendóme nel 1703 restano ora solo poche rovine su di un dosso, con muraglione che scende nel ceduo (osservabile dai tornanti della strada che sale a Brentònico). Fu dei da Brentonico e, nel secolo XIV, venne in possesso dei Castelbarco. Passò, per la nota disposizione testamentaria di Azzone (1411), ai Veneziani che ne fecero una importante fortezza per le guerre che devastarono la Valle Lagarina e le Giudicarie nel secolo XV. Fu preso da Massimiliano l e infine tornò, sino alla sua distruzione, ai Castelbarco. In un quadro votivo dei 1638, che si conservava nella chiesa di Cazzano, il castello appariva come un grande quadrilatero merlato con torre quadrata e meriata nel mezzo. Due cortine scendevano verso la valle, difese da altrettante torri rotonde.Sempre qui si trovano camminamenti e gallerie della prima grande guerra.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",Castello,45.817127,10.949557,Brentonico,,,,,,,,,
9829ce4a448e8039fb1a0afd1960dbb9,2014-11-05T14:37:31+01:00,2014-12-16T14:50:13+01:00,"Dosso Rovione","Si tratta di una pineta con panchine dove, accanto alla croce issatavi nel 1933 in luogo di una precedente, si notano scarse tracce dell'antico castel Rovione già dei Castelbarco (XIII sec.).","Il colle era luogo di leggendari convegni delle streghe, perciò vi fu eretta la croce che, nello scorso secolo, veniva illuminata la notte dei venerdì santo.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)","Parchi e orti botanici",45.817127,10.949557,Brentonico,,,,,,,,,
b232256abb9aa8e3a5ee6b145ecc8c05,2014-11-05T14:45:40+01:00,2014-12-16T15:16:25+01:00,"Castione (m 520)","L'abitato è raccolto su d'un pronunciato rilievo basaltico al centro di un anfiteatro formato dal Monte Giovo (est), Dossomaggiore (sud) e Dos Alt (m 746, ovest). La valle tra il dosso di Castione e il Monte Giovo è percorsa dal Rio S. Rocco, affluente del Cameràs. L'avvallamento tra il Dos Alt e il Dos Mazzenti è detto Lenzi­ma. Fra i due rilievi corre la strada dei Castioni.","
Il paese è interessante per la topografia e l'assetto urbanistico (gruppi di case con corti).
A est e a nord grandi muri medievali sostengono il rione detto Castello. Da notare le vecchie case della tradizione, doviziose di ballatoi, di poggioli di lastre litiche sostenute da mensole, di portali con mascheroni e di finestre bugnate. Elementi medievali sono ravvisabili al Castello: il ponte è costruito con pietre bugnate provenienti, è da credere, dal mastio del castello di Castellione sulla cui area è costruita la contrada che ne porta il nome. Di questa fortezza medievale si ha notizia dei 1221: Briano di Castelbarco ottenne dal vescovo di Trento il permesso di costruire una casa murata al Palù di Brentonico a patto di procedere alla demolizione del castello dei Leone. Sulla piazza si eleva la chiesa parrocchiale di San Clemente. Ai suoi piedi la vecchia Società di abbellimento, ordinò, al principio dei secolo, una serie di fontane di pietra su elementi di portale barocco. Sul portale sud la data 1564, su quello nord, in nicchia, rilievo litico della Madonna e santi a lato (XVII sec.), di Guglielmo de Manueli di Avio, lo stesso artista della lastra della pieve di Brentònico (prima metà dei secolo XVI). Sopra il portale est è collocata una scultura (Cristo) del secolo XVI: nel retro presenta un fregio romanico (XII sec.?) estrema testimonianza, sembra, di un edificio medievale precedente all'attuale chiesa. L'interno è a tre navate: nella navata di sud elegante fonte battesimale barocco, in quella nord la data 1577 sul capitello dell'ultima mezzacolonna, le date 1601 e 1900 nella navata centrale. La decorazione pittorica è di Antonio Majer di Mori. Notevole l'altar maggiore di bottega dei Benedetti di Castione.
La contrada a occidente del dosso della chiesa è detta Vies, quella a nord al Franzesi. Qui c'è la casa degli scultori Benedetti: la corte è contornata da poggioli di pietra sostenuti da mensoloni e adornati da ringhiere inginocchiate di ferro battuto. Vi si aprono le finestre e le porte di pietre bugnate. Un grande fresco sotto lo scialbo è contenuto in una cornice di stucco della sala del secondo piano. In quelle vicine, si notano resti di decorazioni murali e fascione a chiaroscuro.Castione è celebre, non solo nella regione tridentina, per le sue cave di marmo, ma soprattutto per i suoi maestri tagliapietra la cui scuola in epoca barocca, si impose dal Veneto alla Lombardia fino al Tirolo e all'Austria. Dalla bottega di Cristoforo e Sebastiano Benedetti e dei loro padre Giacomo, fiorita verso la metà dei secolo XVII (loro lavori son sparsi in varie chiese e palazzi della regione tridentina, nel Tirolo, a lnnsbruck, ecc.) uscirono, tra gli altri, lo scultore Teodoro Benedetti (1697-1783) e Giuseppe Antonio Sartori. Le cave di marmo dei dintorni e le annesse botteghe artigiane richiamarono numerosi scalpellini, anche veneti. Da uno di costoro nacque a Castione, Antonio Galdon (1738-1829), ingegnere e architetto. «Da Castione, infatti, trassero l'origine delle vere dinastie di scultori e architetti, che ebbero un posto di grande importanza nella storia dell'arte dei nostro paese . . .» (G.S. Pisoni). Nei calcari rossi del Giurese superiore del Monte Giovo sono state rinvenute circa 30 varietà di ammoniti.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",Frazione,45.837064,10.953216,"Castione tn",,,,,,,,,
d463ecf21d9a7aa8c0eb95dcf857f83b,2014-11-05T14:48:10+01:00,2014-12-16T15:16:49+01:00,"Cazzano (m 559)","Il paese è sulla riva sinistra della Sorna, sulla spianata di un rilievo dove le colture, grazie all'ottima esposizione solare, si differenziano dalle altre di Brentonico: viti e frutta.","
La chiesa curaziale della Natività della B.V.M. è del 1612. Semplice e arioso l'interno che accoglie tre graziosi altari marmorei di bottega castionese. La pala di quello maggiore è di G. Miolata.Pittoresca la via Umberto I (già detta via dei Siori perchè vi abitavano le famiglie possidenti dei luogo). E' in discesa e, al limite dei campi, prosegue con il sentiero che attraversa la Valle della Sorna sul ponte a dorso di mulo detto del Diaol (sospeso a 50 metri d'altezza sulla Val Madrèra) e risale la costa di Cornè. Spettacolare panorama sulla netta incisione torrentizia a V della Sorna, sui ripiani di Cornè, su quello di Tragno e sui vigneti della valle.(notizie tratte da &quot;Aldo Gorfer, Terre Lagarine - Arti Grafiche Manfrini - 1977&quot;)",Frazione,45.816929,10.969029,"Cazzano Brentonico",,,,,,,,,
