remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
4f01ac2e561e4e0746e2f63a4d1fcfea,2015-06-25T16:19:31+02:00,2015-06-25T16:19:31+02:00,"Malga Lastè o ""Mont Aut""","La parte più consistente delle proprietà comunali al di fuori del territorio catastale del comune di Brez corrisponde al Mont Aut o monte Lastè, una malga a m.1932 s.l.m. con relativo pascolo, distante dagli altri territori comunali di Brez. ","
Si tratta di circa 430 ettari dei quali 203 ricadono nel territorio di san Nicolò d’Ultimo e gli altri 227 su quello di Proves. 
La malga, gestita per circa cinquant’anni da Hans Gamper della Val d’Ultimo, è da qualche anno affittata ad altre persone, sempre della stessa Valle che vi tengono, durante il periodo estivo, soprattutto cavalli. Gottfried Oberthaler, studioso delle malghe di Val d’ Ultimo, scrive che sulla malga, nel 1988, alpeggiavano 110 bovini di cui 9 mucche, 70 cavalli, 50 capre, 100 pecore ed alcuni maiali. Con il latte non utilizzato per l’allevamento dei vitelli si producevano inoltre circa 70 kg di burro. 
Il più antico documento in nostro possesso che certifichi la proprietà di brez sulla malga del Mont Aut risale al 1446. Si tratta di una serie di testimonianze prodotte dalla comunità di Brez per supportare i propri diritti in una lite di confine con Proves. 
É piuttosto incerto e avvolto da mistero il modo in cui un territorio così distante da Brez sia pervenuto alla nostra comunità. Si racconta, ma non esiste alcun documento al riguardo, che la malga sia pervenuta al comune di Brez attraverso il matrimonio di una figlia del maso Jaisten di San Nicolò. Questa donna avrebbe trascorso gli ultimi anni di vita mantenuta a spese della comunità di Brez e avrebbe trasferito la sua proprietà, la Brizner Alm appunto, al Comune di Brez. L’Oberhalter fa questa ipotesi, pur non scartando che si possa trattare di una proprietà pervenuta alla comunità di Brez a titolo di usucapione. Allo stato attuale e con i documenti in nostro possesso, ritengo di ardua argomentazione entrambe le supposizioni: la proprietà è, infatti, molto antica, e potrebbe rientrare nel discorso della divisione della montagna, spesso di pertinenza del Capitolo della cattedrale di Trento, tra le varie pievi della zona. Forse, in origine, alla fine del primo Millennio, esisteva tra la Novella e le Maddalene un’unica organizzazione pievana e comunale che estendeva i suoi confini anche al di là della linea di spartiacque delle Maddalene. È possibile che il frazionamento pievano e comunale avvenuto successivamente tra i comuni di pieve di Revò, Cloz, Arsio e Castelfondo abbia riservato ad Arsio quell’ampio territorio montano su cui, già dal XVII secolo è documentata la presenza di una malga. 
Un’altra ipotesi indicatami da p. Frumenzio Ghetta suggerisce che potrebbe trattarsi di un territorio alpestre riservato, già da prima del Mille, in epoca longobarda o postlongobarda, al pascolo dei cavalli della nobiltà guerriera longobarda. Vi sono diversi casi documentati di tali territori alpestri, che spesso erano molto distanti dal paese di riferimento, soprattutto nel Trentino orientale, adibiti nel lontano passato a tale scopo. Il fatto che nell’area in cui sorge Brez siano state rinvenute importanti e ricche testimonianze d’epoca longobarda che segnalano la presenza in loco di personaggi d’alto lignaggio, pur con molte cautele, potrebbe suggerire un collegamento con il Mont Aut che, peraltro, è sempre stato una malga prevalentemente per cavalli. ",Malga,46.43105,11.107007,Brez,/var/brez/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/malga-laste-o-mont-aut/18166-1-ita-IT/Malga-Laste-o-Mont-Aut.jpg,,,,,,,,
d653482288768a07539d186bf89508f1,2015-06-25T16:37:25+02:00,2015-06-25T16:37:25+02:00,"Campo di pallavolo","Il campo di pallavolo si trova presso il parco giochi di Brez",,"Parco giochi",46.43105,11.107007,Brez,,,,,,,,,
14e0de5a11bc3ff5f9d310a9345fc323,2015-06-25T16:38:13+02:00,2015-06-25T16:38:13+02:00,"Campo sportivo","Il campo sportivo si trova sotto la chiesa parrocchiale di Brez",,"Stadi - campi da calcio",46.43105,11.107007,Brez,,,,,,,,,
b5200ebf78e8cf45745fb7ced784e17d,2015-06-25T16:39:58+02:00,2015-06-25T16:50:50+02:00,"Percorso vita","Il percorso vita si trova presso l'area attrezzata in località Pradena",,Percorso,46.43105,11.107007,Brez,/var/brez/storage/images/territorio/informazioni-utili/impianti-sportivi/percorso-vita/18221-2-ita-IT/Percorso-vita.jpg,,,,,,,,
5716c07bc1cea6a86fff8807d5d1f67f,2015-06-29T17:10:22+02:00,2015-06-29T17:10:22+02:00,"Mercato di Brez","Il mercato si svolge il 3° sabato di aprile e il 3° sabato di settembre ","Tipologia posteggi: settore non alimentare  n. 10",Mercato,46.430962,11.107382,"Piazza Municipio - Brez",,,,,"Piazza Municipio - Brez",,,,
00fe84f062bca01d6f3c29f2a5cedbca,2015-06-29T17:17:41+02:00,2015-06-29T17:17:41+02:00,"Ambulatorio medico",,,Ambulatorio,46.431132,11.107963,"Piazza Municipio, 1 Brez",,,,,"Piazza Municipio, 1 Brez",,,0463-874104,
85b83fe9b4492e1facbcaa5ec01994f7,2015-06-29T17:18:34+02:00,2015-06-29T17:18:34+02:00,"Stazione forestale",,,,46.436546,11.140137,"Fondo Tn",,,,,Fondo,,,0463-831208,
7d0b4e6d8f73b6938c9772a645532063,2015-06-29T17:19:20+02:00,2015-06-29T17:19:20+02:00,"Scuola elementare",,,"Scuola elementare",46.432123,11.106535,"Via Oreste Rauzi, 1 Brez",,,,,"Via Oreste Rauzi, 1 Brez",,,0463-874393,
7e79481feaacda0b4c8194ebd13376df,2015-06-29T17:20:42+02:00,2015-06-29T17:20:42+02:00,"Scuola materna",,,"Scuola infanzia",46.432855,11.107765,"Via Oreste Rauzi, 2 - Brez",,,,,"Via Oreste Rauzi, 2 - Brez",,,0463-874166,
8cc78534709a0c7e99cc955b0beb8b6f,2015-06-29T17:22:00+02:00,2015-06-29T17:22:00+02:00,Parrocchia,,,,46.432485,11.105641,"Via Lorenzoni - Brez",,,,,"Via Lorenzoni - Brez",,,0463-874101,
