remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
5ccb05de22bad274bc6aaee75465773d,2014-12-16T15:41:58+01:00,2014-12-16T15:41:58+01:00,"Scuola Elementare",,,"Scuola elementare",45.992984,11.263438,"Via Asilo, 3 Caldonazzo",,,,,"Via Asilo, 3 Caldonazzo",,,"0461 723478",
6609d8924bde361730605dc23a4a9aeb,2014-12-16T15:43:01+01:00,2014-12-16T15:43:01+01:00,"Asilo Infantile","Scuola dell'infanzia equiparata",,"Scuola infanzia",45.993118,11.264259,"Via Asilo - Caldonazzo",,,,,"Via Asilo - Caldonazzo",,,"0461 718186",
68095b3560d52e315f94a8fb49cfdc79,2014-12-16T15:44:23+01:00,2014-12-16T15:44:23+01:00,"Asilo Nido","Servizio in convenzione con il comune di Levico Terme",,"Nido infanzia",46.007233,11.305146,"Levico Terme, viale Stazione",,,,,"Levico Terme, viale Stazione",,,"0461 701300",
b4a08d19719a7e7e07707c4d573dc650,2014-12-17T09:53:11+01:00,2014-12-17T09:53:11+01:00,"Ambulatorio Comunale",,,Ambulatorio,45.99319,11.26612,"Via Brenta, 1 Caldonazzo",,,,,"Via Brenta, 1 Caldonazzo",,,"0461 724913",
b26b6cc8d4102e697000cc6184b6f958,2014-12-17T09:59:17+01:00,2014-12-17T09:59:17+01:00,"Scuola Musicale","La scuola musicale è gestita in convenzione dalla Cooperativa S.I.M. di Borgo Valsugana",,,45.991744,11.262162,"Viale Stazione, 2 - Caldonazzo ",,,,,"Viale Stazione, 2 - Caldonazzo (Casa Boghi)",,,"0461 723567 (sede di Borgo Valsugana 0461 752109)",
63129b5d68cb0177a26fea62f7dd4956,2014-12-17T10:00:48+01:00,2014-12-17T10:00:48+01:00,"Centro Anziani",,,"Centro di associazione (musica, teatro...)",45.991744,11.262162,"Viale Stazione, 2 - Caldonazzo",,,,,"Viale Stazione, 2 - Caldonazzo (Casa Boghi)",,,"0461 724380",
7bae8b367da2aee0beda25e3cdff44b9,2014-12-17T10:07:28+01:00,2014-12-17T10:07:28+01:00,"Palazzetto Comunale","Il Palazzetto è gestito dalla Cooperativa di Solidarietà Sociale Cooperativa 90 di Pergine Valsugana. ",,"Centro sportivo",45.992757,11.260839,"via Marconi, 9 - Caldonazzo",,,,,"via Marconi, 9 - Caldonazzo",,,"0461 718105",
2998225c7c95720063069741ac5a37c8,2014-12-17T10:11:55+01:00,2014-12-17T10:11:55+01:00,"Bocciodromo Comunale","Il Bocciodromo è dato in gestione alla Associazione Bocciofila Caldonazzo.","La struttura sportiva è situata all'interno del Parco Centrale.",,45.991445,11.262122,Caldonazzo,,,,,,,,,
357f56f601bc160bb077be0967cc2960,2014-12-17T10:12:57+01:00,2014-12-17T10:12:57+01:00,"Campi Tennis","I campi sono dati in gestione all'Associazione Tennis di Caldonazzo e sono situati all'interno del Parco Centrale.",,Tennis,45.991445,11.262122,Caldonazzo,,,,,,,,,
9f3e7aa592112f6f3dc28e4f21256956,2014-12-17T10:14:54+01:00,2014-12-17T10:14:54+01:00,"Campo da calcio","Il campo da calcio è dato in gestione alla A.S.D. Audace s.r.l.",,"Stadi - campi da calcio",45.991445,11.262122,Caldonazzo,,,,,"località Pineta",,,,
43a644a88cd47a382fdd95b62b282149,2014-12-17T10:16:52+01:00,2014-12-17T10:16:52+01:00,"Vigili del Fuoco Volontari di Caldonazzo",,,"Vigili del fuoco",45.992916,11.260909,"via Marconi - Caldonazzo",,,,,"via Marconi - Caldonazzo",,,"0461 724555",
bb052eb384bb5055b5852dbfcf798e2a,2014-12-17T10:19:22+01:00,2014-12-17T10:19:22+01:00,"Carabinieri Stazione di Caldonazzo",,,,45.996709,11.264376,"viale Stazione, 42 Caldonazzo",,,,,"viale Stazione, 42 Caldonazzo",,,"0461 723979",
27efe964dfd0f8038e43814fc8c89102,2014-12-17T10:20:23+01:00,2014-12-17T10:20:23+01:00,"Stazione Forestale",,,,45.998604,11.26731,"Levico Terme, via al Lago, 2",,,,,"Levico Terme, via al Lago, 2",,,"0461 706151",
b8dc35a2d0e22f7e992d9333d3b554ba,2014-12-17T11:25:20+01:00,2014-12-17T11:25:20+01:00,"Spettinati D'Autore","Salone parrucchiere uomo - donna",,,45.98991,11.26622,"Via Fabio Filzi 2 - Caldonazzo",,,,,"Via Fabio Filzi, 2 - Caldonazzo",,spettinatidautore@yahoo.it,"349 2841583",
1fe2edea705656d8039eb1eae11e65b8,2014-12-17T15:10:48+01:00,2014-12-17T15:11:56+01:00,"Lago di Caldonazzo","Con i suoi 5 km di lunghezza e i 5,62 kmq di superficie, il lago di Caldonazzo è il più grande lago trentino. In realtà, fino agli inizi del XIX secolo, le sponde lambivano l´abitato di Pergine, ma successive operazioni di bonifica delle paludi, che coprivano una vasta area, lo ridussero alle attuali dimensioni. ","Attrezzato con diversi lidi quello di Caldonazzo è l'unico lago del Trentino dove è possibile praticare lo sci nautico. Inoltre, sono attivi quattro club nautici dove poter praticare vela, windsurf e canottaggio. Dal punto di vista faunistico, nonostante la massiccia antropizzazione, non è affatto rara la presenza di alcuni rapaci, soprattutto nelle prime ore pomeridiane. È balneabile da giugno a settembre con temperature dell´acqua decisamente gradevoli, da 20 a 24 gradi.",Lago,46.014527,11.244635,"lago di Caldonazzo",/var/caldonazzo/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/lago-di-caldonazzo/18642-1-ita-IT/Lago-di-Caldonazzo.jpg,,,http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/lago-di-caldonazzo|VisitTrentino,,,,,
58c7b5968a7c4e5806c61827eb5479b7,2014-12-17T15:52:31+01:00,2014-12-17T15:52:31+01:00,Farmacia,,,Farmacia,45.995464,11.259815,"Loc. Trozo dei Cavai, 8 Caldonazzo",,,,,"Loc. Trozo dei Cavai, 8 - Caldonazzo",,,"0461 723121",
