remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono
2a9750138f293cece26d81c868c32639,2014-04-11T13:54:45+02:00,2015-04-09T11:28:51+02:00,"Castello di Castelfondo","Il maniero, immerso nel verde, sorge sul promontorio fra i precipizi del rio Robiola e del torrente Novella, prima del paese di Castelfondo. Il mastio rappresenta la parte più antica del complesso: addossati a quest'ultimo sorsero i vari corpi di fabbrica, protetti da una o più cerchie di mura: il castello era sede della più ampia giurisdizione tirolese della valle di Non, comprendente Melango (oggi Castelfondo), Raìna, Dovéna, Brez, Arsio, Traversara, la valle di Senales/Schnalstal, Ruffré, Dos, Amblàr, la valle di san Romedio e Tavón.","Nel corso dei secoli il maniero subì ricostruzioni e modifiche: gli apprestamenti difensivi rendono conto del valore strategico del complesso, passato a diversi proprietari. Dai primi Castelfondo pervenne per via matrimoniale a Godescalco di Cagnò che nella seconda metà del XIII secolo lo vendette per 1800 marche veronesi a Mainardo II conte del Tirolo. Questi iniziò così l'occupazione di gran parte della valle di Non, riuscendo in breve a controllarne i vari passaggi: Palade, Mendola, Rocchetta, Molveno, Zambana vecchia-Fai della Paganella. All'inizio del Trecento Enrico III di Rottemburgo ottenne il castello e la relativa giurisdizione. Nel 1412 il maniero tornò nella persona di Federico IV duca d'Austria ai conti del Tirolo, che lo governarono per diversi anni con dei capitani, fino alla metà del secolo, quando lo ricevette come feudo pignoratizio Bernardo Fuchs von Fuchsberg. Nel 1471 Baldassare e Simone Thun ottennero il maniero di Castelfondo. Dal punto di vista architettonico va rilevato l'intervento promosso da Simone Thun allo scadere del XVI secolo, con la realizzazione nel cortile interno di un elegante porticato a quattro archi a tutto sesto, opera del maestro muratore Lorenzo di val d'Intelvi, compiuta nel 1492. Fra gli eventi storici più significativi si ricordi l'assedio da parte dei contadini insorti nel 1525 durante la guerra rustica; nel febbraio 1670 un incendio causò gravi danni e nel gennaio del 1738 due roghi distrussero di nuovo il complesso e, in parte, il corposo archivio di famiglia. Il castello, abbandonato dai proprietari trasferitisi in Boemia, cadde lentamente in rovina, fino al passaggio ai conti Thun della linea di castel Braghér. Guidobaldo (1808-1865) e il figlio Galeazzo (1850-1931), Gran Maestro dell'Ordine di Malta dal 1905, lo restaurarono nel corso del XIX secolo, riportandolo a un nuovo splendore. Il maniero conserva una biblioteca, un archivio, diverse opere d'arte e una collezione di armi. Fra i diversi ambienti interni si possono ricordare la Camera del foro, la Stanza del camino, la Camera longa, la Camera di don Chisciotte, la Camera dei vescovi con ritratti dei presuli Thun e il Salone degli antenati. Sul dosso dove sorge il castello esisteva la chiesa parrocchiale della Natività della Beata Vergine Maria, citata già nel 1282 e sottoposta a restauro nel 1528. Nel 1945 sono stati scoperti sotto la calce dell'abside affreschi di pregevole fattura, sembra di più epoche. Un ciclo di pitture reca la firma di Kaspar Blabmirer, attivo qui nel 1433. Accanto alla chiesetta si innalza la torre circolare, alta circa 25 metri, merlata e coperta con tetto conico, costruita tra il 1468 e il 1470. È chiamata torre di santa Maria sul dosso di Castelfondo. Alla sua costruzione contribuirono gli abitanti del luogo, costretti con la forza dall'ordine del 1465 dell'arciduca d'Austria e conte del Tirolo Sigismondo, per punizione di un loro tentativo di sommossa (Inama V., Il castello e la giurisdizione di Castelfondo nella valle di Non, &quot;Archivio Trentino&quot;, XV (1901), pp. 135-184; Von Voltelini H., Le circoscrizioni giudiziarie del Trentino fino al 1803, cura di E. Curzel, &quot;Archivi del Trentino: fonti, strumenti di ricerca e studi&quot;, 3. Collana di pubblicazioni a cura del Servizio beni librari e archivistici della Provincia autonoma di Trento, Trento 1999, pp. 77-80; Gorfer A., Guida dei castelli del Trentino, Trento 19672, pp. 569-583; Tabarelli G. M. e Conti F., Castelli del Trentino, Novara 1981, pp. 163-164).",Castello,46.453388,11.116506,castelfondo,/var/castelfondo/storage/images/aree-tematiche/arte-e-cultura/castelli/castello-di-castelfondo/13343-1-ita-IT/Castello-di-Castelfondo.jpg,,,,,,,
5bc9e615f5c7a5bab924633535862e51,2014-04-11T13:55:56+02:00,2015-04-09T11:27:01+02:00,"Castel Vigna","Il nome di questa residenza nobile fortificata, sorta alla scadere del XVI secolo, deriva dal luogo nel quale sorse: i Thun possedevano il maso Vigna, dove un tempo si coltivavano viti. Uno degli esponenti del casato, Giovanni Cipriano Thun, amante della tranquillità, non andava d'accordo con il fratello Giorgio Sigismondo e, dopo l'ennesimo litigio, si ritirò al maso Vigna. ","La gente lo canzonò definendolo &quot;él barón dél màs&quot; (il barone del maso). Saputo questo Giovanni Cipriano decise di costruire un castello così sfarzoso, da superare per lusso e bellezza sia il castello avito, sia quello rinomato dei conti d'Arsio. La struttura della residenza aveva forma rettangolare, con quattro torri agli angoli con le cuspidi di rame, &quot;ornata internamente con sfarzo e buon gusto, con logge sostenute da graziose colonne di pietra&quot;. La tradizione popolare ricorda i &quot;balconi d'oro&quot; e le feste danzanti nelle sale del maniero. Giovanni Cipriano verso il 1630 si trasferì in Boemia: suo nipote Cristoforo Simone installato nel castello di Castelfondo, trascorreva del tempo anche a castel Vigna. Alla morte di quest'ultimo i due manieri rimasero nelle mani di alcuni custodi e alla metà del Settecento gli arredi del complesso passarono nei manieri di Castelfondo e di Braghér. Gli abitanti riutilizzarono molte pietre per la costruzione delle case dei dintorni; anche la colonna della fontana della piazza principale di Fondo sembra provenire da questa residenza (Gorfer A., Guida dei castelli del Trentino, Trento 19672, pp. 702-704).",Castello,46.453388,11.116506,castelfondo,/var/castelfondo/storage/images/aree-tematiche/arte-e-cultura/castelli/castel-vigna/13352-1-ita-IT/Castel-Vigna.jpg,,,,,,,
7825ef315b1996ed1b32b7b92e397df0,2015-05-15T17:11:07+02:00,2015-05-15T17:11:07+02:00,Palestra,"Annessa alla Scuola Primaria di Castelfondo",,,46.453388,11.116506,"Via Madonna Pellegrina, 5   38020 Castelfondo TN",,,,,"Via Madonna Pellegrina, 5  38020 Castelfondo",,,
a8fc557127ef72f5971b516e3deea70b,2015-05-15T17:13:43+02:00,2015-05-19T18:27:32+02:00,"Campo sportivo Villa","Il Campo sportivo ha in dotazione:


n. 1 campo polivalente tennis/pallavolo con pavimentazione in sintetico con impianto di illuminazione, dotato di recinzioni e reti di protezione;

n. 1 campo calcetto con pavimentazione in sintetico con impianto di illuminazione, dotato di recinzioni e reti di protezione;

n. 1 campo bocce e n. 1 campo birilli coperto;

 n. 2 aree parcheggio;


",,"Centro sportivo",46.453685,11.1167,"via forcola - Castelfondo",,,,,,,,
69925f0f1fc2f925eb3b734447776c15,2015-05-15T17:16:07+02:00,2017-07-21T10:47:49+02:00,"Palestra di roccia","La palestra di roccia è situata nella forra del torrente Novella lungo il sentiero “Mondino” con arrivo nella frazione Dovena, dove è stata realizzata un’area sosta camper  attrezzata.

    Brochure palestra roccia
",,Arrampicate,46.453388,11.116506,Castelfondo,/var/castelfondo/storage/images/territorio/informazioni-utili/impianti-sportivi/palestra-di-roccia/24000-3-ita-IT/Palestra-di-roccia.jpg,,,,,,,
351a3f029a0bd1d0c5d56c8d82c5216f,2015-05-15T17:28:15+02:00,2015-05-15T17:28:15+02:00,"Ambulatorio medico","E' possibile consultare gli orari degli ambulatori di medici / pediatri accedendo al seguente link www.apss.tn.it  ",,Ambulatorio,46.453388,11.116506,"Via G. Cantore - Castelfondo",,,,,"situato nella sede del  Municipio in Via G. Cantore  – II^ Piano",,,
1f0d660ed73a3bb82dc0b0f7161c9ca4,2015-05-15T17:32:32+02:00,2015-05-15T17:32:32+02:00,"Dispensario Farmaceutico","Il dispensario farmaceutico è situato nella sede del  Municipio al II^ Piano","Orario d'apertura:


mercoledì  ore 14.30 – 16.30

 venerdì  ore  09.00 – 12.00


",Farmacia,46.453388,11.116506,"Via G. Cantore - Castelfondo",,,,,"Via G. Cantore - Castelfondo",http://www.federfarma.it/|www.federfarma.it,,
a98718231db87b0cdb178dd21967d646,2015-05-15T17:34:22+02:00,2015-05-18T11:13:36+02:00,"Punto lettura","Il punto lettura ha sede presso Casa Sociale","Orario di apertura:


lunedì chiuso

martedì 14.00 - 17.30

mercoledì 10.00 - 12.00 e 14.00 - 17.30

giovedì 14.00 - 17.30

venerdì 14.00 - 17.30

sabato 15.00 - 17.30

domenica chiuso


",Biblioteca,46.45543,11.11612,"Via D. Alighieri, 70 - Castelfondo",,,,,"Via D. Alighieri, 70 - Castelfondo",,,"0463 888019 (fax 0463 888466)"
2e1a4108a6723a876c83ed10dc7a06ff,2015-05-15T17:36:18+02:00,2015-05-15T17:36:18+02:00,"Cassa Rurale Novella E Alta Anaunia – Fondo","Sportello di Castelfondo",,,46.454861,11.116696,"Via Dante Alighieri 17, 38020 - Castelfondo",,,,,"Via Dante Alighieri 17, 38020 - Castelfondo",http://www.cr-novella.net/|www.cr-novella.net,info@cr-novella.net,"0463 840740 (fax 0463 888002)"
479e823292055098e1fae8d6111576fc,2015-05-15T17:37:38+02:00,2015-05-18T10:08:02+02:00,"Ufficio Postale","L'ufficio postale è situato nella sede del  Municipio al piano terra"," Orario d'apertura:


martedì 08.20 - 13.45

giovedì 08.20 - 13.45

sabato 08.20 - 12.45


","Ufficio postale",46.453388,11.116506,"Via G. Cantore - Castelfondo",,,,,"Via G. Cantore - Castelfondo",,,"0463 889171 (anche fax)"
d0a31800173dda5a23d870c70a73c7e9,2015-05-18T10:14:43+02:00,2015-05-19T17:31:50+02:00,"Difensore Civico","Il Difensore civico è un organo di garanzia e tutela dei diritti ed interessi del cittadino nei confronti della Pubblica amministrazione. Interviene, d’ufficio o su richiesta, nei casi di cattiva amministrazione, per favorire il rispetto dei principi di legalità, trasparenza, imparzialità, buona amministrazione.E’ autonomo ed indipendente dal potere politico e libero da ogni condizionamento. La sua consulenza ed il suo intervento sono gratuiti.","

    Orario difensore civico
",,0,0,,,,,,,http://www.consiglio.provincia.tn.it/istituzione/difensore-civico/Pages/presentazione.aspx|www.consiglio.provincia.tn.it,,
a9966c6a5c22d69f3886b7b8bf91e04e,2015-05-18T10:16:03+02:00,2015-05-18T10:16:03+02:00,"Garante dei Minori","Il Garante dei Minori è un organo di garanzia e tutela dei diritti di cui sono portatori i bambini e gli adolescenti. Interviene, d’ufficio o su richiesta, per tutelare i minori nei casi specifici in cui vengano segnalate violazioni di tali diritti. Svolge anche un’attività di promozione dei diritti dei minori e di impulso verso le amministrazioni o i soggetti che istituzionalmente si occupano di minori.","E’ autonomo ed indipendente dal potere politico e libero da ogni condizionamento. La sua consulenza ed il suo intervento sono gratuiti. Nella Provincia autonoma di Trento il ruolo di Garante dei Minori è affidato al Difensore civico.",,0,0,,,,,,,http://www.consiglio.provincia.tn.it/istituzione/garente-minori/Pages/presentazione.aspx|www.consiglio.provincia.tn.it,,
aee91ab6c04c8838ea740644c24666af,2015-05-18T10:32:41+02:00,2016-03-16T09:32:17+01:00,"Percorso Ciclabile Rankipino","Percorso su strade sterrate dal fondo curato che attraversa a mezza montagna il tratto di Val di Non compreso tra il Passo Palade, in provincia di Bolzano, e Mostizzolo, all'imbocco della Val di Sole. La Pista rampi pedonale “RankiPino” si sviluppa nel cuore del territorio delle Maddalene.","Per lunghi tratti sterrata, è accessibile a tutti e non presenta difficoltà tecniche; sono presenti solo alcuni brevi tratti ripidi che richiedono attenzione per i meno esperti.  Il percorso “Rankipino” attraversa cinque centri abitati compresi nell’area delle Maddalene: Senale, Rumo, Preghena, Bresimo e Cis. Il tratto compreso tra il paese di Cloz e la località “Frari” tra Revò e Rumo si presenta perfettamente pianeggiante poiché segue un vecchio canale irriguo e può essere percorso con facilità nelle due direzioni da tutti.
Sopra il paese di Castelfondo la pista Rankipino passa presso il Rifugio Arnica, un punto ideale per fare sosta che è anche stazione di ricarica per le biciclette elettriche Movelo!Il tratto compreso tra il paese di Cloz e la località “Frari” tra Revò e Rumo si presenta perfettamente pianeggiante poiché segue un vecchio canale irriguo. Il parcheggio presso il campo sportivo di Cloz è stato pensato proprio per le famiglie che vogliono pedalare con i bimbi su questo tratto.  Per ulteriori info e dettaglio clicca qui
Difficoltà: medio
Lunghezza: 57,2 km
Salita: 1650 m Discesa: 2550 mDurata: 5:00 h
Punto più basso: 594 m Punto più alto: 1522 m ",Ciclismo,46.453388,11.116506,"Castelfondo - rifugio Arnica",/var/castelfondo/storage/images/territorio/informazioni-utili/impianti-sportivi/percorso-ciclabile-rankipino/24133-2-ita-IT/Percorso-Ciclabile-Rankipino.jpg,,,,,http://alpregio.outdooractive.com/ar-val-di-non/it/alpregio.jsp#i=10297529&tab=TourTab|www.visitvaldinon.it,,
