remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono
6a1e3718abcb78426699d034c8d3bdd5,2013-07-03T15:44:53+02:00,2014-05-08T13:56:01+02:00,"Chiesa di S. Maria Assunta","Sulla piazza di Cles si affaccia l'antica e monumentale chiesa parrocchiale di Santa Maria Assunta, ricostruita nello stile gotico-rinascimentale fra il 1512 e il 1522. La chiesa è ricordata per la prima volta nel 1128. Il portale maggiore reca nella lunetta un affresco dell'Annunciazione. È sormontato dallo stemma dei Clesio con iscrizione e da un rosone che alleggerisce la facciata dal tetto a due spioventi. Sulla porta di settentrione vi sono un altro stemma della famiglia Clesio e degli affreschi.","L'interno è ad un'unica navata ad arco. Una fitta rete di costolature, che scende sulle pareti laterali, orna la volta gotica. La chiesa vanta un notevole fonte battesimale del 1598 e una preziosa argenteria. Finestroni a traforo e un antico orologio fregiano il campanile gotico. Recentemente la chiesa è stata oggetto di notevoli restauri. Nel campanile è conservata la cinquecentesca campana &quot;Barona&quot; voluta da Bernardo Clesio in occasione del rifacimento della chiesa. Emette la nota Re3.",Chiesa,46.364566,11.035761,cles,/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/chiese/chiesa-di-s.-maria-assunta/56173-1-ita-IT/Chiesa-di-S.-Maria-Assunta.jpg,,,http://it.wikipedia.org/wiki/Cles#Chiesa_parrocchiale_di_Santa_Maria_Assunta|it.wikipedia.org/wiki/Cles#Chiesa_parrocchiale_di_Santa_Maria_Assunta,,,,
0384d3fc9c77ba8fdae577ebe57e82cf,2013-07-08T10:47:02+02:00,2014-05-08T14:03:28+02:00,"Chiesa di S. Tommaso (Dres)","La chiesa di San Tommaso è situata a Dres, lungo la strada d'origine romana proveniente da Cles. Si trovano sue notizie in un inventario del castello di Cles del 1322. Nel corso dei secoli ha subito parecchi restauri.","Le membrature sono di modello tradizionale, il campaniletto è suddiviso in tre piani segnati da una cornicetta di pietre sporgenti; l'unica finestra del campanile è ad arco e il tettuccio è a corta cuspide piramidale. Il tetto della chiesa è a capanna con finestra al sommo del punto d'incontro dei due spioventi: è un'apertura che serviva a dar luce al sottotetto. La porta d'ingresso della chiesa è ad arco romantico, chiusa da due battenti; ai lati, due finestrelle quadrangolari ripetono una formula usata nelle piccole chiese nostrane del Quattrocento e Cinquecento. Le date che conosciamo e quelle presumibili non portano più indietro del limite cronologico indicato. Offre a ciò, i ritocchi del restauro non hanno aiutato a conservare all'alba le caratteristiche iniziali; il soffitto piano dell'aula non è quello originale e gli stucchi sono certamente seicenteschi. I lacerti d'affresco indicano pittura tardo-gotica. L'altare ligneo e i due grandi candelabri; la consacrazione dell'altare è del 1579. La pala è dovuta al mediocre pittore Mattia Fisser (la firma è apposta sopra lo stemma della famiglia Begnudelli di Dres, committente dell'opera, eseguita nel 1673). I Fisser, provenienti da Prader, presso Monaco di Baviera, sono una dinastia di pittori.",Chiesa,46.373179,11.033343,"Dres, Cles",,,,http://it.wikipedia.org/wiki/Cles#Chiesa_di_San_Tommaso_a_Dres|it.wikipedia.org/wiki/Cles#Chiesa_di_San_Tommaso_a_Dres,,,,
e02d8f4689b1be9651c16d77ffed1bf7,2013-07-08T15:11:15+02:00,2014-05-08T14:01:04+02:00,"Chiesa dei Ss. Pietro e Paolo (Maiano)","La chiesa di Maiano viene citata per la prima volta in un documento del 1348 e ha origini antichissime, come attestano i ritrovamenti archeologici di strutture e sepolture altomedievali. L'edificio è ad un'aula unica pressoché quadrata, ha un'abside poligonale e un campaniletto in facciata. L'interno conserva un prezioso ciclo d'affreschi e un altare di legno intagliato.",,Chiesa,46.361971,11.04285,,,,,,,,,
5bcdb55098dfbb6744e68d846150e9ce,2013-07-09T09:09:34+02:00,2014-05-08T14:02:11+02:00,"Chiesa di S. Lucia (Caltron)","La cappella, dedicata a Santa Lucia, si trova nella frazione Caltron; da documenti ritrovati esisteva già nel 1356. Presenta una semplice aula rettangolare coperta con una volta a botte a costoloni e un'abside poligonale. All'interno della chiesa ci sono l'altare barocco in legno intagliato e dorato e la pala dell'Annunciazione.",,Chiesa,46.372843,11.027808,,,,,http://it.wikipedia.org/wiki/Cles#Chiesa_di_Santa_Lucia_a_Caltron|it.wikipedia.org/wiki/Cles#Chiesa_di_Santa_Lucia_a_Caltron,,,,
b35926f027eae0782166bbfd6e210d13,2013-07-09T09:19:33+02:00,2014-05-08T14:04:57+02:00,"Chiesa di San Vigilio (Pez)","Nell'antico quartiere di Cles si trova la chiesa più antica della borgata dedicata a San Vigilio. Sul suo sagrato si raccoglievano i capifamiglia di Cles con i rappresentanti della popolazione. La prima notizia della sua esistenza risale al 991."," Come tutte le vecchie chiese anauni, ha il tetto a due ripidi spioventi ricoperti di scandole a cuspide. Il portale è rinascimentale e, sulla facciata, vi sono tracce d'affresco. Tutte le superfici interne si presentano affrescate da dipinti del trecento e del quattrocento. Particolare anche l'affresco del cristo a mandorla nell'altare a botte. Dai recenti restauri appena ultimati si sono ritrovate attorno alla chiesa i resti di un cimitero. Conservati molto bene gli stucchi cinquecenteschi. Si è scoperto che nel restauro del 1932 nell'altare se ne è modificato un pezzettino coprendo il buco contenente il lavabo dove il prete si lavava le mani prima di celebrare la messa.",Chiesa,46.363498,11.036719,"pez cles",/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/chiese/chiesa-di-san-vigilio-pez/56320-2-ita-IT/Chiesa-di-San-Vigilio-Pez.jpg,,,http://it.wikipedia.org/wiki/Cles#Chiesa_di_San_Vigilio_a_Pez|it.wikipedia.org/wiki/Cles#Chiesa_di_San_Vigilio_a_Pez,,,,
7725e474ef35ca187985f97d642bd06b,2013-07-09T09:26:59+02:00,2014-05-08T13:58:00+02:00,"Convento di Sant'Antonio ","I frati minori arrivarono e si stanziarono a Trento nel 1221 quando S. Francesco d'Assisi era ancora vivente, diffondendo il messaggio di pace e bene e dando esempio di vita evangelica. Il convento, molto sobrio in origine, venne subito ampliato con un secondo chiostro. Fu costruito secondo lo spirito di povertà dei frati Riformati, senza ricercatezze e senza uso di materiali pregiati. Ha la forma quadrangolare doppia, nel lato nord è occupato dalla chiesa.","
 I pilastrini dei chiostri sono in muratura e non in pietra, come quasi ovunque altrove. Il secondo piano del convento è stato aggiunto nel 1901. La pavimentazione dei chiostri è in marmo di Trento (1996) e sostituisce la precedente che era fatta con pietre (1720-1730). Nel tempo il convento divenne anche casa di noviziato, studentato e tecnologia, casa per ferie dei giovani francescani. Durante la seconda guerra mondiale furono alloggiati qui anche i seminaristi francescani delle valli di Non e di Sole. Il convento fu sempre ricercato quale luogo di pace e di meditazione per sacerdoti e riposo estivo per frati. A tutti diede un aiuto, non solo spirituale e morale, ma anche materiale. Fu sempre vicino ai più provati e pronto a soccorrere tutti in caso di guerre, di calamità, di peste e di incidenti. Nelle alterne vicende storiche il convento fu anche forzato alloggio dai militari: dimorarono qui i soldati austriaci, gli italiani e i tedeschi alla fine dell'ultima guerra. Durante la soppressione napoleonica (1810-1815) i frati furono costretti a lasciare il convento. Tutto fu messo in vendita a favore del Demanio, compresi i mobili e gli oggetti della chiesa. La chiesa rimase aperta e officiata da un frate, che viveva in paese, malgrado il parere contrario delle autorità centrali. Vennero posti in convento gli uffici della finanza, mentre nel primo chiostro si stabili una fabbrica di scodelle di terracotta. 
La Madonna AddolorataIl convento conserva alcune pregevoli opere d'arte, quali la pala dell'altare maggiore con Sant'Antonio (1653) di Pietro Ricchi, la Addolorata (1774) e la Fuga in Egitto di Cristoforo Unterpergher, l'Ultima Cena (1694) di Giuseppe Alberti, il Cristo morto (1779) di Giovanni Battista Lampi. Le pitture della chiesa sono opera di p. Angelo Molinari (1913). Nel primo chiostro è affrescata una meridiana, piuttosto malandata. Una seconda è dipinta nel secondo chiostro (1904: p. Nazario Barcatta). Nei chiostri si trovano pure tre affreschi di autore ignoto, databili al secolo XVIII, raffiguranti la flagellazione, Cristo sotto la croce, l'annunciazione; e un frammento di altro affresco risalente al tempo della costruzione del convento. Vi sono pure recenti dipinti di Franco Lancetti (1980). Nel piccolo museo del convento sono conservate altre opere d'arte e materiale artistico-storico. Per visitarlo, si può chiedere alla portineria del convento. Dal 1984 gran parte della struttura conventuale è destinata dai frati all'accoglienza delle nuove forme di povertà, che riguardano situazioni di disagio personale, familiare o sociale. Gli ospiti presentano problemi relativi all'alcolismo, alla droga, all'emarginazione e alla giustizia. In preparazione e in attesa di rientro in salute e nel proprio ambiente, nel convento viene proposta agli ospiti un'esperienza di vita comune, che trova un suo concreto momento terapeutico anche nella coltivazione e nella vendita di fiori e di piante.",Chiesa,46.364508,11.035505,cles,/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/chiese/convento-di-sant-antonio/56344-3-ita-IT/Convento-di-Sant-Antonio.jpg,,,http://it.wikipedia.org/wiki/Cles#Convento_di_Sant.27Antonio|it.wikipedia.org/wiki/Cles#Convento_di_Sant.27Antonio,,,,
81a133f4aa6740ca069a0cb192fb5853,2013-07-17T09:23:04+02:00,2014-05-22T12:35:49+02:00,"Doss di Pez","Il Doss di Pez è sempre stato per la Comunità Clesiana un punto di riferimento importante se non essenziale per motivi di svago e di relax. Lo testimonia inequivocabilmente la centenaria attività della Società di Abbellimento Clesiana che è stata la proprietaria dell' area e che ha cercato di custodire e tramandare sino ai giorni nostri un ampio territorio a verde.","Una parte del Doss di Pez è di proprietà della Pro Loco di Cles che lo ha ereditato dalla Società di abbellimento e della cui attività è la naturale continuatrice. Oggi, dopo l'accordo che la Amministrazione ha sottoscritto con la Pro Loco è stata portata a termine la riqualificazione dell'area verde sulla base del progetto definitivo elaborato dall'agronomo Francesco Decembrini, per anni responsabile delle aree verdi e dei giardini del Comune di Merano. Un progetto che si è articolato su una completa rivisitazione della grande area che si estende ad est, un magnifico balcone naturale rivolto verso il bacino artificiale di Santa Giustina. Un progetto che ha realizzato tre percorsi importanti, quello relativo alle piante, agli uccelli ed alle rocce; un'area destinata ai giochi, il ripristino delle due fontane ed una zona di sosta e degli spettacoli con la realizzazione di un palco a sbalzo orientato verso il Lago di S. Giustina. Sui tre percorsi apposite tabelle documentano sia l'esistenza delle piante arboree presenti nel parco che le rocce messe in evidenza con appropriati interventi. Un percorso particolare è poi quello riservato alle indicazioni degli uccelli che nelle varie stagioni dell'anno frequentano il parco e che da sempre danno gioiosa vitalità, con il loro canto, al Doss di Pez. Oggi con questo significativo intervento è ridiventato il parco cittadino della comunità di Cles, dove mamme e bambini, nonni e nipotini possono apprezzare il paesaggio, l'aria salubre ed anche la quiete che in molti momenti della giornata questo grande parco offre.","Parco naturale",46.366718,11.03791,"parco doss di pez cles",/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/parchi/doss-di-pez/56982-1-ita-IT/Doss-di-Pez.jpg,,,,,,,
76d65ffb90b68dbcce03eca9bdf5424b,2013-07-17T09:41:04+02:00,2013-08-01T10:28:44+02:00,"Malga Boiara","Malga ristrutturata, con parco circostante.Foto panoramiche: Panorama 1  , Panorama 2  .",,Alpinismo,46.369168,11.012303,,/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/malga-boiara/56994-1-ita-IT/Malga-Boiara.jpg,,,,,,,
cfaf152d4c7db68aa70b1f40da24ce8d,2014-05-08T13:46:13+02:00,2014-05-08T13:46:56+02:00,"Palazzo Assessorile","Il Palazzo Assessorile è un edificio medievale, situato nel centro storico di Cles tra le due principali piazze pubbliche, Corso Dante e Piazza Granda.","

   







  
  PERCORSO CON AUDIO GUIDE Le audioguide consentono di scoprire  Palazzo Assessorile, offrendo un percorso che illustra le caratteristiche artistiche, architettoniche, storiche e simboliche e ne evidenza i luoghi più suggestivi attraverso spiegazioni vocali che si sviluppano lungo vari punti di ascolto.Modalità di ascolto: modalità telefonica oppure con cuffiette personali.Lingue: Italiano. Prossimamente disponibile in tedesco e inglese.Utilizzo gratuitoRitiro: si possono richiedere presso l’entrata di Palazzo Assessorile 
  




Il Palazzo Assessorile di Cles è citato per la prima volta nei documenti il 2 maggio 1356, anno in cui Iosio di Enrico di Sant’Ippolito, al tempo signore di Mechel, comperò da Giovanni di Arpone di Cles una casa-torre con cinta muraria. Tale struttura costituisce il nucleo originario del palazzo: costruita intorno al 1200, la torre, in pietra e provvista di feritoie, sorge sulle tracce archeologiche di un precedente analogo edificio, le cui fondamenta sono tutt’ora visibili attraverso le botole vetrate nella Sala della Colonna, al piano terra del palazzo. Inizialmente la torre era adibita a ponte di comunicazione visiva e a deposito per le derrate alimentari.Gravemente danneggiata dalle rivolte contadine del Quattrocento (1407 e 1477), che distrussero il castello dei Sant’Ippolito a Mechel, la casa-torre passò alla nobile famiglia de Cles, che la trasformò nella sede del Capitano delle Valli del Noce. Si deve a Giorgio de Cles la ristrutturazione complessiva dell’edificio e l’inglobamento della casa-torre nell’attuale struttura con i volumi e l’elevazione ora visibili. Per celebrare il prestigio di famiglia, al termine dei lavori venne affrescato sulla facciata lo stemma de Cles (due leoni rampanti l’uno nell’altro, argento e rosso), datato 1484.Nel 1538 il Principe Vescovo e Cardinale Bernardo Clesio lasciò in eredità il Palazzo al nipote favorito, Ildebrando, cavaliere e nobile dell’impero, capitano delle Valli del Noce e, dal 1529, marito di Anna Wolkenstein. A tali proprietari si devono le decorazioni rinascimentali che caratterizzano ancora oggi le sale del Palazzo.Nel corso del Seicento, il Palazzo passò per un breve periodo alla famiglia Thun, la quale lo cedette alla Magnifica Comunità di Cles il 30 dicembre 1677.Da questo momento in poi il Palazzo assunse funzioni amministrative e giudiziarie, come testimonia la lapide murata sopra il portale gotico nel 1679 (&quot;...fu comperata dai clesiani acciò il foro assessorale fosse costantemente e per sempre nel borgo di Cles, perché prima non aveva un luogo fisso...&quot;). Da qui deriva il nome di Palazzo Assessorile, in quanto sede degli uffici dei giudici delle Valli di Non e di Sole, detti appunto Assessori, e delle prigioni. L’Assessore delle Valli, un notabile esperto in legge, amministrava la giustizia per conto del Capitano ed indirettamente del Principe Vescovo, applicando gli statuti del 1407.In realtà soltanto in epoca napoleonica, e più precisamente nel 1814, il terzo piano venne ufficialmente adibito a carcere e tale rimase fino al 1975. La modifica costrinse ad erigere divisorie all’interno delle antiche stanze signorili e a rivestire le pareti dei locali con un doppio tavolato in legno di larice. Grazie a questo espediente gli affreschi del terzo piano, commissionati da Anna Wolkenstein a metà del Cinquecento, sono rimasti conservati fino all’accurato restauro del palazzo, concluso nel 2009.Nel corso del Novecento l’edificio ha perso la sua funzione giudiziaria, ereditata dall’antistante settecentesco Palazzo Dal Lago de Sternberg, oggi sede del tribunale, ed è diventato dapprima sede del municipio e del consiglio comunale, in seguito luogo per conferenze ed esposizioni d’arte.",Palazzo,46.364508,11.035505,cles,/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/palazzo-assessorile2/80771-2-ita-IT/Palazzo-Assessorile.jpg,,,,,,,
393f2170196c8876a81a2d9d05a35f04,2014-05-08T13:50:25+02:00,2014-05-08T13:52:47+02:00,"Castel Cles","Il Castel Cles è un castello sito in Val di Non vicino a Cles.","Sulla cima di un promontorio, nel centro geografico della Val di Non, si trova il castello dei Signori di Cles. Il maniero si rispecchia oggi nelle acque del lago di Santa Giustina e in passato era posto sulla collina per sorvegliare il ponte in legno che collegava la borgata di Cles all'Alta Anaunia (ora inghiottito dalle acque del lago). La fortezza, sviluppatasi forse attorno ai resti di una torre di vedetta romana, era inizialmente appartenuta ad una consorteria di tipo comunitario, come fa intuire la presenza di più torri. Da questa cerchia emerse attorno all'anno mille la famiglia dei Signori di Castel Cles, il cui capostipite è Vitale de Clesio (documento del 1114) e il cui più illustre personaggio fu Bernardo Clesio, Cardinale e Principe Vescovo di Trento, Cancelliere Supremo nonché presidente del Gran Consiglio segreto del re Ferdinando I. Grande umanista, esponente della cultura rinascimentale italiana, fu promotore di opere di costruzioni di diversi caselli, palazzi e chiese essendosi circondato di architetti e pittori fra i più importanti dell'epoca. All'inizio del Cinquecento e durante la Guerra Rustica del 1525, il castello subì gravi danni che portarono alla decisione di ristrutturare il maniero rendendolo consono, per volere dello stesso Bernardo Clesio, ai canoni rinascimentali. I lavori terminarono nel 1535, come ricorda la lapide presente sul muro di cinta del cortile. Altri lavori di rinnovamento vennero attuati nel 1597, diversi anni dopo la morte del Cardinale (1539), dal nobile Aliprando. Quest'ultimo è ricordato nelle cronache per essere stato arrestato per un mese nelle stesse carceri del suo castello su ordine del re asburgico per impedire che con le sue futili spese portasse alla rovina il casato. Il castello aveva a quell'epoca tre torri; l'ala Nord ed una torre sono scomparse in un incendio doloso nel 1825. All'interno del palazzo baronale chiuso tra le torre dette &quot;tor di qua&quot; e &quot;tor di la&quot;, è un gioiello rinascimentale la &quot;Saletta delle Metamorfosi&quot; affrescata dal pittore di corte Marcello Fogolino con scene tratte dalle Metamorfosi di Ovidio.Foto: Luca Bellincioni",Castello,46.370671,11.04167,,/var/cles/storage/images/il-territorio/luoghi-e-punti-di-interesse/castel-cles/80780-1-ita-IT/Castel-Cles.jpg,,,http://it.wikipedia.org/wiki/Castel_Cles|it.wikipedia.org/wiki/Castel_Cles,,,,
