remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
43cb15d57bdee650f9d611022c2868c5,2015-01-14T16:41:07+01:00,2015-01-14T16:41:07+01:00,"Scuola materna","23 bambini, 2 insegnanti, 1 cuoca , 1 inserviente",,"Scuola infanzia",46.41885,11.08646,"Via Di S. Stefano 2/A - 38020 Cloz (TN)",,,,,"Via Di S. Stefano 2/A - 38020 Cloz (TN)",,,"0463 874577",
92f92d5b1b10b21481b68a585075f57e,2015-01-14T16:43:52+01:00,2015-01-15T15:20:23+01:00,"Scuola elementare Brez","5 classi, 48 alunni, 6 insegnanti",,"Scuola elementare",46.426678,11.09768,"Localit&agrave; Arsio 43 - 38021 Brez (TN)",,,,,"Località Arsio 43 - 38021 Brez (TN)",,,"0463 874393",
d6316a7e52664a9af82154b8f430d4de,2015-01-14T16:46:32+01:00,2015-01-15T10:34:52+01:00,"Dott.ssa Anna Maria Romantini","Medico di base",,Ambulatorio,46.416488,11.084705,Cloz,,,,,,,,"349 6733887",
fda0673827955d37aebfc542058d9665,2015-01-14T16:48:11+01:00,2015-01-14T16:48:11+01:00,"Guardia medica notturna e festiva",,,Ambulatorio,46.436546,11.140137,"Fondo TN",,,,,,,,"0463 831217",
c38ab2a4498b2ec4d4e5479d09ae3772,2015-01-14T16:55:50+01:00,2015-01-14T16:55:50+01:00,"Ufficio postale",,,"Ufficio postale",46.41885,11.08646,"via Santo Stefano, 2 38020 Cloz",,,,,"via Santo Stefano, 2 38020 Cloz",,,"0463 874553",
d626df5e1e9966cffbe26af99edefc3e,2015-01-14T16:56:39+01:00,2015-01-14T16:56:39+01:00,"Cassa Rurale Novella e Alta Anaunia",,,,46.416488,11.084705,Cloz,,,,,,,,"0463 874545",
1fb47e62794999b53b2f6803805db612,2015-01-14T16:59:42+01:00,2015-01-15T10:21:19+01:00,Parrocchia,"Padre Placido Pircali",,,46.416488,11.084705,Cloz,,,,,,,,"0463 872023",
27ad536891d5714bc11a02a08a82bf27,2015-01-15T10:15:25+01:00,2015-01-15T10:15:25+01:00,"Ospedale di Cles",,,,46.360734,11.031503,"Viale Alcide De Gasperi, 31, 38023 Cles TN",,,,,"Viale Alcide De Gasperi, 31 38023 Cles TN",,,"0463 660111",
1c49d14fa2bc6d66b7463c45040fc46e,2015-01-15T10:17:48+01:00,2015-01-15T10:17:48+01:00,"Carabinieri di Revò",,,Carabinieri,46.39276,11.062745,"Via Carlo Antonio Martini,58 38028 Rev&ograve;, (TN) ",,,,,"Via Carlo Antonio Martini,58 38028 Revò, (TN) ",,,"0463 432118",
fc2bc5b53b3bf007583ef0d0c760ff5d,2015-01-15T10:19:41+01:00,2015-01-15T10:19:41+01:00," Soccorso Alpino di Fondo",,,,46.436546,11.140137,"Fondo TN",,,,,,,,"337 458853 - 335 6845677",
108932242b280c6b2e131bca595daabd,2015-01-15T10:25:07+01:00,2015-01-15T10:25:07+01:00,"Farmacia di Revò","Dottoressa Silvestri Luciana",,Farmacia,46.390765,11.060584,"Via J. A. Maffei, 8 38028 Rev&ograve; (TN)",,,,,"Via J. A. Maffei, 8 38028 Revò (TN)",,,"0463 432131",
