remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
6337eaf31c87095cc05fb7724e815c27,2015-02-24T12:33:21+01:00,2015-02-24T12:33:21+01:00,"Tagesmutter del Trentino ""Il Sorriso""","Ci si rivolge alla cooperativa per un primo contatto (per vedere se c'è posto, o per altre informazioni...) e poi il modulo di iscrizione va presentato all'ufficio anagrafe del Comune.",,"Nido infanzia",46.092532,11.116084,"Via Zambra 11 - Trento",,,,,"Via Zambra 11 - Trento",,ilsorriso@interfree.it,"0461 1920503",
d32f221ceb56107751246063ecbe343e,2015-02-24T12:33:57+01:00,2015-02-24T12:33:57+01:00,"Scuola provinciale dell'Infanzia",,,"Scuola infanzia",46.17849,11.069565,"Via Villa - Fai della Paganella",,,,,"Via Villa - Fai della Paganella",,,"0461 583360",
b2700a866d9074740e3b38077cf4b211,2015-02-24T12:35:48+01:00,2015-02-24T12:35:48+01:00,"Scuola elementare Don Luigi Rossi",,"Fa capo all'Istituto Comprensivo Altopiano della Paganella Scuole Primarie e Secondarie di 1° grado sito in P.zza San Vito 1 - Andalo. (Tel. 0461 585881)","Scuola elementare",46.17849,11.069565,"Via Villa - Fai della Paganella",,,,,"Via Villa - Fai della Paganella",,,"0461 503340",
7e60b46c8d6cbebefc5b4884dc63cd35,2015-02-24T12:37:28+01:00,2015-05-21T14:56:49+02:00,"Farmacia Catanzaro Maria Grazia","Orari di apertura

  giorno
    mattina
    pomeriggio
  



  Lunedi
  
  09:00 - 12:00
  
    15:30 - 19:00
  




  Martedì
  
  09:00 - 12:00
  
   
  




  Mercoledì
  
  09:00 - 12:00
  
    15:30 - 19:00
  




  Giovedì
  
  09:00 - 12:00
  
    15:30 - 19:00 
  




  Venerdì
  
  09:00 - 12:00
  
    15:30 - 19:00
  




  Sabato
  
  09:00 - 12:00
  
   
  




  Domenica
  
   
  




",,Farmacia,46.17864,11.06979,"Via Villa n. 27 - Fai della Paganella",/var/faidellapaganella/storage/images/territorio/informazioni-utili/sanita-e-farmacie/farmacia-catanzaro-maria-grazia/14346-2-ita-IT/Farmacia-Catanzaro-Maria-Grazia.jpg,,,,"Via Villa n. 27 - Fai della Paganella",,,"0461 583342",
8e2e755e4fb42f47f597f2918ea5fc31,2015-02-24T12:39:56+01:00,2015-02-24T12:39:56+01:00,"Ufficio postale",,,"Ufficio postale",46.17864,11.06979,"Via Villa, 27 - Fai della Paganella",,,,,"Via Villa, 27 - Fai della Paganella",,,"0461 583119  (Fax: 0461 583534)",
92e78cdc5bfc311645e4b13054e14f2c,2015-02-24T12:44:10+01:00,2015-02-24T12:44:10+01:00,"Parrocchia San Nicolò",,,Chiesa,46.164137,11.002407,"Piazza Italia Unita - Andalo",,,,,"Piazza Italia Unita - Andalo",,,"0461 583162",
5e26bdb20d7e048f39c4cd076355fb7f,2015-02-24T14:59:00+01:00,2015-02-24T14:59:00+01:00,Paganella,"Dal 1952 Fai è conosciuta con il nome di Fai della Paganella, per celebrare la sua montagna, la Paganella. Da lassù (2124 m s.l.m.) le Dolomiti di Brenta si possono ammirare nella loro grande maestà e il Cevedale, l’Ortles, Stubai e Zillertal diventano familiari, mentre la Valle di Non si lascia esplorare in toto con lo sguardo e appare come una terrazza sulla valle dell’Adige. ","
La Paganella dai lineamenti piuttosto monotoni, è viva, ricca di doline e pareti a picco, come l’abisso di Lamar di 200m, e gi grotte , come la Cesare Battisti, alta 70 metri.  La vista tanto spettacolare che si gode da questa montagna è stata celebrata in una canzone nota in tutto il Trentino [La Paganella, musica di Pierluigi Galli, versi di Piero Padulli]:

  
    “Voria veder el Trentino
    Da na vista propi bela”
   “No sta perder massa temp
    E va su la Paganela”
  “Cossa el sta Paganella?” 
  “Ma no sat cossa che l’è?
    L’è na zima la pù bela
    De pù bele no ghe n’è.
    Tote ‘nsema ‘na putela
    E ‘na boza de bon vin
   Par goder la Paganela
   E la vista del Trentin”
   Rit: Da là su se vede ‘l ziel
   I torenti e le vedrete
   Va l’ociada, va ‘l pensier
   Del confin fin a le strete. 
   Da ‘na banda trenta laghi
   E d’Asiago l’altopian
   E da l’altra S.Martino   E zò zò fin a Milan..”
  




Cenni geologici







L’ossatura della Paganella è formata dalle stesse dolomie triasiche che si presentano nel vicino gruppo di Brenta. Cosa che pare alquanto anomala vista la morfologia tozza e massiccia della Paganella rispetto alle arditissime guglie del Brenta. Ma la spiegazione è facile: la Paganella è sì dolomitica ma la massa di dolomie è ricoperta ancora da una spessa “corteccia” di rocce calcaree. Questa copertura di rocce stratificate ha protetto la massa dolomitica impedendo alle forze erosive di scoprirvi a gran forza le caratteristiche forme dolomitiche. La morfologia è stata determinata dalle spinte orogenetiche dell’era terziaria e quaternaria che ha creato i vasti terrazzi orografici di Fai e dei laghi di Lamar. Le colate di gelo dal nord e da est scavarono, lisciarono ed arrotondarono le rocce che erano il letto del ghiacciaio quaternario, che da Terlago traboccava verso il Garda.La Paganella è così una montagna dolomitica in potenza, che solo fra qualche milione di anni, quando la crosta protettrice sarà totalmente asportata, potrà rivelarsi.. Intanto il lento lavorio del tempo corrode i calcari liasici di copertura. Tali calcari, infatti, non sono carbonato di calcio e magnesia come la dolomia, bensì carbonato di calcio puro, che, come è noto, è solubile dalle acque piovane con relativa facilità. Perciò sulla groppa della montagna, troviamo a perfusione fenomeni carsici, gli stessi che hanno dato vita alle valli asciutte, alle doline, ai piani solcati e alle numerose caverne che attualmente possiamo visitare ",Mercato,46.166667,11.066667,Paganella,/var/faidellapaganella/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/paganella/15021-1-ita-IT/Paganella.jpg,,,,,,,,
612ba69c41cad9f51de261a23df9f1ea,2015-02-24T15:01:45+01:00,2015-02-24T15:02:08+01:00,"Caverna “Cesare Battisti” (Paganella)","La caverna Cesare Battisti è la più grande della nostra regione trentina. La scoperta è dovuta al sigor Adolfo Scartezzini e da allora è stata oggetto di feconda attività esplorativa. La grotta sbocca sull’enorme parete a picco che sovrasta la Val d’Adige e vi si accede da una stretta cengia, difficilmente visibile da lontano. Il portale dell’ingresso è a sagoma regolare, trapezoidale e misura circa 3 metri per due. La grotta misura più di un chilometro e presenta numerose ramificazioni.",,Monte,46.166667,11.066667,Paganella,/var/faidellapaganella/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/caverna-cesare-battisti-paganella/15039-2-ita-IT/Caverna-Cesare-Battisti-Paganella.jpg,,,,,,,,
379a7b0fd683931341880382c8eca3e5,2015-02-24T17:17:41+01:00,2015-02-24T17:27:28+01:00,"Doss Castel","Il Doss Castel e' uno sperone roccioso che si eleva in posizione strategica a controllo della valle dell'Adige nel mezzo del margine orientale dell'altipiano di Fai della Paganella, a 35 Km a nord di Trento, nei pressi dell'imbocco della direttrice valle di Non - valle di Sole.","La storia di Doss Castel","Sito Archeologico",46.178281,11.069331,"Fai della Paganella",/var/faidellapaganella/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/doss-castel/15503-1-ita-IT/Doss-Castel.jpg,,,,,,,,
bc170c91366dfbe87f729a4599535ffa,2015-02-24T17:30:17+01:00,2015-02-24T17:30:17+01:00,"Distributore automatico latte fresco","Già da qualche tempo a Fai della Paganella, è possibile acquistare il latte appena munto in qualsiasi momento della giornata. In Via Carmelo, 12, presso la stalla della famiglia Endrizzi, è presente un distributore automatico che offre direttamente, dalla stalla al consumatore, latte freschissimo, genuino e a costi contenuti.","
Si tratta dell'applicazione di una moderna tecnologia alle opportunità offerte da un decreto che consente agli allevatori di vendere &quot;latte crudo&quot;, ottenuto direttamente dalla mungitura e non trattato termicamente, a differenza sia del latte fresco pastorizzato che di quello a lunga conservazione.
Una terza via a vantaggio di chi non si accontenta delle offerte tradizionali (UHT o pastorizzato) presenti nei negozi e nei supermercati e vuole invece gustare latte freschissimo tutti i giorni. Una modalità di vendita che fa bene alla salute e all'ambiente: all'opportunità di gustare latte appena munto e di beneficiare delle sue note proprietà si associa infatti l'effetto positivo determinato dalla possibilità di riutilizzare il contenitore impiegato per contenere il latte, senza produrre inutili rifiuti con i tradizionali contenitori in cartone.
Al momento del primo &quot;pieno&quot; di latte l'allevatore fornisce una bottiglia in vetro da un litro che, inserendo una moneta da un euro nella macchinetta distributrice, viene riempita di latte appena munto che, naturalmente, deve essere in linea con tutte le normative igienico sanitarie in materia di vendita di latte.Finalmente è possibile ristabilire un rapporto più diretto con il cibo consumato di cui si vuole conoscere l'origine e le caratteristiche ed essere certi della genuinità e freschezza.",,46.18046,11.07231,"Via Carmelo, 12 - Fai della Paganella",,,,,"Via Carmelo, 12 - Fai della Paganella",,,,
3023b8de1a0f539977b77a8b1cca8d25,2015-02-24T17:35:00+01:00,2015-02-24T17:35:22+01:00,"Paganella Bike Park","Il bike park si sviluppa a Fai della Paganella, nell'area del Santel-Meriz. Tutto il bike park è stato studiato per ricalcare fedelemente trail naturali, seguendo le curvature del terreno e recuperando una serie di vecchi sentieri, mulattiere in stato d'abbandono o disuso,  cercando così di proporre un &quot;natural bike park&quot;.","In tutta la realizzazione non sono stati utilizzati mezzi meccanici, ma dove utili sono state inserite strutture in legno, quali  wall ride , drop, jump , etc.Per conoscere tutte le info sul bike park visita il sito web.",Ciclismo,46.176584,11.051985,"localit&agrave; Santel - Fai della Paganella",/var/faidellapaganella/storage/images/territorio/informazioni-utili/impianti-sportivi/paganella-bike-park/15543-1-ita-IT/Paganella-Bike-Park.jpg,,,,"località Santel - Fai della Paganella",,,,
02d86470ef802f03ea22394d20b72d12,2015-02-24T17:38:36+01:00,2015-02-24T17:38:36+01:00,"Mountain bike","Nelle verdi distese del fondovalle, nei boschi ombrosi e attorno ai laghi sono tracciati una serie di itinerari da percorrere in mountainbike, variabili per lunghezza e difficoltà. Gli itinerari sono descritti in un’ampia guida che potrete richiedere presso gli uffici dell’Azienda per il Turismo; è possibile noleggiare sul luogo le biciclette.","
Per un downhill mozzafiato, una panoramica pedalata sulla Paganella o sull’altopiano di Pradel, carica la tua mountain bike sulla telecabina Andalo – Doss Pelà o sulla seggiovia Santel – Meriz della Paganella [Paganella 2001 S.p.A.Via Rindole, 3 – Andalo Tel/fax   +39 0461 585538]. Acquistando un biglietto per la risalita, la tua mountain bike viaggerà gratis.Dall’estate 2008 l’Altopiano della Paganella è entrato a far parte del circuito Dolomiti Brenta Bike  , un percorso mappato nel cuore del Parco Naturale Adamello Brenta.","Mountain Bike",46.178281,11.069331,"Fai della Paganella",/var/faidellapaganella/storage/images/territorio/informazioni-utili/impianti-sportivi/mountain-bike/15557-1-ita-IT/Mountain-bike.jpg,,,,,,,,
5bf304bb0d6af3b19c5866a196c24964,2015-02-24T17:41:53+01:00,2015-02-24T17:41:53+01:00,"Impianti di risalita Cima Paganella e Gruppo Brenta","D’estate puoi goderti comodamente le cime dell’Altopiano della Paganella, grazie agli impianti di risalita che ti portano in un’attimo fino a 2125 metri.","Puoi scoprire la Paganella garzie a tre impianti di risalita da Fai della Paganella (Passo Santel) per raggiungere la cima della Paganella (2.125 mt).
Apertura: luglio/agosto Servizi e offerte: Trasporto gratuito della mountain bike; Promozione famiglie: ragazzi fino a 14 anni gratis; Gruppi di ragazzi fino a 14 sconti del 50%",Trasporti,46.176584,11.051985,"Santel - Fai della Paganella",/var/faidellapaganella/storage/images/territorio/informazioni-utili/impianti-sportivi/impianti-di-risalita-cima-paganella-e-gruppo-brenta/15571-1-ita-IT/Impianti-di-risalita-Cima-Paganella-e-Gruppo-Brenta.jpg,,,,"Santel - Fai della Paganella",,,,
487ce594dcc75ff55f093d4df678cd3e,2015-02-25T09:47:45+01:00,2015-02-25T09:47:45+01:00,"Dolomiti di Brenta","Da più di un secolo meta di alpinisti ed escursionisti da tutto il mondo, le Dolomiti di Brenta offrono una straordinaria varietà di ascensioni, percorsi attrezzati e sentieri, oltre a decine di rifugi e bivacchi in quota.","
Il gruppo si estende per circa 40 chilometri in direzione nord–sud, e per circa 12 km da est ad ovest. Ha come confini naturali a nord la Valle di Sole, ad est la Valle di Non, il Lago di Molveno e la Paganella, a sud le Valli Giudicarie, e ad ovest la Valle Rendena. L’intero gruppo del Brenta è compreso nel territorio del Parco Naturale Adamello-Brenta.Le Dolomiti di Brenta si connotano per i suggestivi torrioni di roccia, che all’alba e al tramonto si tingono del caratteristico colore rosa, e per l’imponenza degli scenari naturali.Il gruppo è tradizionalmente diviso in tre parti:









la parte centrale è in assoluto la più frequentata, anche per via dei comodi accessi da Molveno e Madonna di Campiglio. Le cime più affascinanti del Gruppo si concentrano in questo settore, e possono essere godute in tutto il loro splendore percorrendo uno dei sentieri attrezzati più famosi al mondo, la Via delle Bocchette

la parte settentrionale, più selvaggia e meno frequentata, è meno adatta all’escursionista inesperto, in quanto i percorsi per giungere ai rifugi sono mediamente più ardui e più lunghi. Rappresenta forse, tuttavia, la parte naturalisticamente più bella del Gruppo, tanto da ospitare una piccola colonia di orsi bruni

la parte meridionale del Gruppo offre accessi forse meno agevoli ma spesso più interessanti dal punto di vista naturalistico. È frequentata in estate soprattutto nel settore che confina con la parte centrale, molto meno in quello più meridionale










Il 26 giugno 2009, a Siviglia, le Dolomiti hanno ricevuto il riconoscimento di patrimonio naturale dell'umanità e sono state iscritte nella lista dei Beni naturali dell' Unesco. Ad esprimersi per il &quot;sì&quot; il World Heritage Comittee, che ha esaminato la candidatura illustrata dal direttore della IUCN (International Union for Conservation of Nature) Tim Badman e promossa dalle 5 province interessate: Trentino, Alto Adige, Udine, Belluno, Pordenone su mandato dello Stato italiano. Le Dolomiti sono il secondo sito naturale italiano a ricevere l'ambito riconoscimento dell'Unesco dopo le isole Eolie. Entro 18 mesi sarà presentata all' WHC (World Heritage Comittee) la Fondazione &quot;Dolomiti - Dolomiten - Dolomites - Dolomitis UNESCO Foundation&quot; che diventerà il soggetto unitario di coordinamento interistituzionale per la gestione delle politiche di conservazione e valorizzazione dei valori del Patrimonio Universale.",Dolomiti,46.157222,10.871111,"Dolomiti di Brenta",/var/faidellapaganella/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/dolomiti-di-brenta/15591-1-ita-IT/Dolomiti-di-Brenta.jpg,,,,,http://www.dolomitidibrentain.it/|www.dolomitidibrentain.it,,,
b0b74b35643939bc6ce98358bbb84852,2015-02-25T09:51:11+01:00,2015-02-25T09:51:11+01:00,"Parco faunistico di Spormaggiore","Il Parco Faunistico di Spormaggiore si trova sull'Altopiano della Paganella in Trentino in una vasta area protetta immersa nel verde. ","







Nel Parco esiste la possibilità unica di osservare da vicino l’orso bruno, il più grande mammifero che vive sulle Alpi e che è tornato a popolare i boschi trentini grazie ad un apposito progetto di reintroduzione. Potrete qui ammirarne in ambiente assolutamente naturale tre esemplari che vivono all’interno di un’area di 7000 metri quadrati.






Dal 2010 il Parco ospita, inoltre, un’altra specie faunistica tipica delle Alpi: il lupo. Di sicuro interesse sarà anche l’area dedicata alla fattoria degli animali dove potrete osservare pony, conigli, caprette, galline, pecore e  agnelli. ","Parco naturale",46.217032,11.047589,"Via Alt Spaur, 82 38010 Spormaggiore",/var/faidellapaganella/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/parco-faunistico-di-spormaggiore/15613-1-ita-IT/Parco-faunistico-di-Spormaggiore.jpg,,,,"Via Alt Spaur, 82 (Casa del Parco) 38010 Spormaggiore",http://www.parcofaunistico.tn.it/sito/index.php|www.parcofaunistico.tn.it,,"0461 653622",
