remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
f2c5bb4e65865f2d9326eecdef7f6649,2014-12-05T16:42:34+01:00,2015-01-15T09:53:55+01:00,"Difensore civico - Garante dei minori",,"Calendario 2015


9 febbraio

9 marzo

13 aprile

11 maggio

15 giugno

13 luglio

14 settembre 

12 ottobre

9 novembre

14 dicembre


Orario di ricevimento dalle ore 14,00 alle 16.00 presso la Magnifica Comunità degli Altipiani Cimbri - Lavarone.Il recapito verrà effettuato solo in presenza di appuntamenti fissati chiamando il numero verdeMaggiori Informazioni:


Difensore Civico  

Garante dei Minori  


",,0,0,,/var/folgaria/storage/images/territorio/servizi-sul-territorio/difensore-civico-garante-dei-minori/14635-2-ita-IT/Difensore-civico-Garante-dei-minori.png,,,,,,,8008-51026,
af39e6b5d3d626fcf87e0c17ca676834,2014-12-10T11:41:14+01:00,2014-12-10T11:41:14+01:00,Carabinieri,,,Carabinieri,45.914261,11.171814,"Folgaria &ndash; via Salvo D&rsquo;Acquisto, 26",,,,,"Folgaria – via Salvo D’Acquisto, 26",,,0464/721110,
10dd78c6a6aeb820db1c7f97d3041da8,2014-12-10T11:42:05+01:00,2014-12-10T11:42:05+01:00,"Vigili del Fuoco",,,"Vigili del fuoco",45.914445,11.17218,"Folgaria &ndash; via Salvo D&rsquo;Acquisto",,,,,"Folgaria – via Salvo D’Acquisto",,,115,
8f2be6abfa97357f47ea7e9945c593f9,2014-12-10T11:47:27+01:00,2014-12-10T11:47:27+01:00,"Soccorso Alpino",,,"Pronto soccorso",45.914445,11.17218,"Folgaria, via Salvo D&rsquo;Acquisto",,,,,"Folgaria, via Salvo D’Acquisto",,,118,
59f2344b08a44b1433778b1f68208235,2014-12-10T11:49:40+01:00,2018-10-12T09:25:58+02:00,"Cassa Rurale Vallagarina, filiale di Folgaria",,,,45.91678,11.16942,"P.zza S. Lorenzo, 47",,,,,"P.zza S. Lorenzo, 47",,,0464/729700,
7d2e8d2501f569611593f724d8bf0e8a,2014-12-10T11:51:05+01:00,2018-10-12T09:25:17+02:00,"Cassa Rurale Vallagarina, filiale di Carbonare",,,,45.935081,11.226749,Carbonare,,,,,"loc. Carbonare",,,0464/729780,
d90ddfbbd13b2952fbfb4eddccbf2943,2014-12-10T11:51:36+01:00,2015-01-05T11:51:40+01:00,"Cassa Rurale di Rovereto",,,,45.91405,11.17679,"Folgaria, via E. Colpi, 365",,,,,"Folgaria - via E. Colpi, 365",,,0464/482402,
da23cdc3e41cace068538aa4283c5746,2014-12-10T11:54:29+01:00,2014-12-10T11:54:29+01:00,"Ufficio Postale - Folgaria",,,"Ufficio postale",45.916313,11.171425,"Folgaria - via Monte Cornetto, 29",,,,,"Folgaria - via Monte Cornetto, 29",,,0464/721228,
0fd0ec41ff1003849dc74c9c56c3e05e,2014-12-10T11:55:42+01:00,2014-12-10T11:55:42+01:00,"Ufficio Postale - Serrada",,,"Ufficio postale",45.891385,11.154495,"Serrada - Piazza Santa Cristina, 2",,,,,"Serrada - Piazza Santa Cristina, 2",,,0464/727145,
b04f9c5c91d1728e7289e2af255f6913,2014-12-11T15:43:22+01:00,2015-03-26T09:25:38+01:00,Farmacia,,"
Farmacia Girardi di dott. C. Taddei &amp; C. snc
via E. Colpi, 181    38064 Folgariatel. 0464-721143
Parafarmacia - Pharmavitae srl
via Roma, 27 38064 Folgariatel. 0464-720368 ",Farmacia,0,0,,/var/folgaria/storage/images/territorio/informazioni-utili/sanita-e-farmacie/farmacia/17251-6-ita-IT/Farmacia.jpg,,,,,,,,
e03fbc376a0f355deb9aa623ba8b1252,2014-12-10T12:04:38+01:00,2014-12-10T12:04:38+01:00,"Scuola Materna Nosellari",,,"Scuola infanzia",45.929479,11.248867,Nosellari,,,,,"Nosellari - via Giovanni Prati, 35",,,0464/787010,
7fde5367844f6941fb25a156eeae300c,2014-12-10T12:11:31+01:00,2015-01-07T10:16:11+01:00,"Ski pass Folgaria Lavarone",,,"Sci aplinismo / Sci Escursionismo",45.916123,11.171371,"Folgaria, via Roma 60",,,,,"Folgaria, via Roma 65",,,0464/721969,
7cec4e7a3514d41f806d6722ec4aa37d,2014-12-10T12:13:02+01:00,2015-01-07T09:45:28+01:00,"Centro Fondo di Passo Coe",,,"Centro sportivo",0,0,,,,,,"Loc. Fondo Grande",,,"0464/720538; 0464/723018 ",
5b138eaea05f8adfc10ad2ccbfbcac58,2014-12-10T12:17:59+01:00,2014-12-10T12:17:59+01:00,"Scuola Italiana Sci Costa 2000",,,"Scuola di sci",45.920245,11.187237,"Folgaria Costa",,,,,"Costa - via Neghelli",,,0464/720288,
0337ef3a787be86ee10a3e35ee4f0c8d,2014-12-10T12:22:39+01:00,2017-11-13T16:05:22+01:00,"Azienda per il Turismo",,,,45.916123,11.171395,"Folgaria - via Roma, 67",,,,,"Folgaria - via Roma, 67",http://www.alpecimbra.it/it/alpe-cimbra/1-0.html|www.alpecimbra.it,,0464/724100,
0a41d88a7b57e6a5a12c53c64ab6cf6b,2014-12-11T10:51:41+01:00,2019-07-17T10:03:06+02:00,Pediatra,"La pediatra è la dott.ssa Viscomi Teresa presente a Folgaria, Lavarone e Rovereto","


  Folgaria
  




  Lunedì
  
  Martedì
  
  Mercoledì
  
  Giovedì
  
  Venerdì
  




   
  
  09.30 - 10.30*
  
   
  
  09.30 - 10.30
  
   
  




  Rovereto - Piazza Achille Leoni 22
  




  Lunedì
  
  Martedì
  
  Mercoledì
  
  Giovedì
  
  Venerdì
  




  09.00 - 12.30*
  
  15.00 - 18.00*
  
  15.00 - 18.00*
  
   
  
  09.00 - 12.00*
  




  Lavarone
  




  Lunedì
  
  Martedì
  
  Mercoledì
  
  Giovedì
  
  Venerdì
  




   
  
   
  
   
  
  11.00 - 13.30
  
   
  





*su appuntamento",Ambulatorio,45.91705,11.167254,"Via Battisti n. 24",/var/folgaria/storage/images/territorio/informazioni-utili/sanita-e-farmacie/pediatra/17148-3-ita-IT/Pediatra.jpg,,,,"Folgaria - via C. Battisti",,,"380 2635636 (per urgenze)* - 0464 721991 (Folgaria) - 0464 013084 (Rovereto)",
19bb3e6fc1458ee6648fc4b5db261d58,2014-12-10T11:35:24+01:00,2019-07-17T09:56:30+02:00,Palasport,,,"Centro sportivo",45.913855,11.172774,"PalaFolgaria, SS350, Folgaria, Magnifica Comunit&agrave; degli Altipiani Cimbri, TN, Trentino-Alto Adige, 38060, Italia",,,,,"Folgaria – via Nazioni Unite, 1/b",,info@palafolgaria.com,0464/720058,
10afc80ccf3e77c412d0ddfa4d61e791,2014-12-10T11:35:57+01:00,2019-07-17T09:55:48+02:00,Palaghiaccio,,,"Centro sportivo",45.913735,11.17434,"PalaFolgaria, SS350, Folgaria, Magnifica Comunit&agrave; degli Altipiani Cimbri, TN, Trentino-Alto Adige, 38060, Italia",,,,,"via Nazioni Unite, 21",,,0464/720337,
21d8ad6b9a5f00b3e694cee811add557,2014-12-10T12:13:56+01:00,2019-07-17T10:15:39+02:00,"Scuola Italiana Sci Folgaria",,,"Scuola di sci",45.906076,11.186115,"Francolini, Magnifica Comunit&agrave; degli Altipiani Cimbri, TN, Trentino-Alto Adige, 38064, Italia",,,,,"Loc. Francolini, 41 - Folgaria ",,info@scuoladiscifolgaria.it,"Segreteria 0464/721926; Costa 0464/720288; Fondo Grande 0464/721805; Serrada 347/0702904",
