remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
995ed7b8c0d42727d90e8ab5f916d890,2014-11-25T15:44:39+01:00,2015-11-06T16:03:21+01:00,Mosana,"Frazione di Giovo situata a 429 m sopra il livello del mare. E' il primo paese della Valle di Cembra venendo da Lavis; Mosana sorge sopra due sponde incise da un rio, dove vi sono case antiche rustiche signorili. La chiesa presente nel paese è dedicata alla Madonna Addolorata ed è stata costruita nel 1726, il suo campanile nel 1962.",,Frazione,46.154645,11.137078,"Mosana Giovo",/var/giovo/storage/images/territorio/il-paese-di-giovo/le-frazioni/mosana/14201-1-ita-IT/Mosana.jpg,,,,,,,,
1b04e7c10ac312b1412ba65acf4b97da,2014-11-25T15:46:08+01:00,2015-11-06T16:16:43+01:00,Palù,"Il paese di Palù è adagiato in un ampia conca alle pendici meridionali del monte Corona alla quota di 549 m sul livello del mare. A sud-ovest e ad est chiudono l'orizzonte i piccoli dossi detti rispettivamente Cort e Narödol. L'area su cui sorge il paese è leggermente ondulata e nell'antichità era certamente paludosa, da qui il nome di Palù, espressione dialettale per palude.La vite è coltivata nella fascia alta del paese e da nord-ovest a est nella parte più alta, dopo una volta vi erano i prati e campi di grano e patate, oggi vi sono campi di mele. Nella zona verso la valle dell'Adige vi sono numerosi masi tra cui i più noti sono i masi Paierla, Toldin, Spiazzol, Sette Fontane e San Valentino. La prima notizia storica scritta è dell'anno 1173 ma si presume che l'abitato sia di origine più remota. ",,Frazione,46.159444,11.1425,"Pal&ugrave; di Giovo",/var/giovo/storage/images/territorio/il-paese-di-giovo/le-frazioni/palu/14215-1-ita-IT/Palu.jpg,,,,,,,,
08a0c11712126b886a1e5bf311a76cc0,2014-11-25T15:48:12+01:00,2015-11-06T16:19:54+01:00,Valternigo,"La frazione di Valternigo, è adagiata ai piedi del colle di S Floriano alla quota di 647 metri sul livello del mare ed è attraversata dal Rio Valternigo che scende dall'altopiano di Masen e dal monte Mancabrot.",,Frazione,46.160235,11.160123,Valternigo,/var/giovo/storage/images/territorio/il-paese-di-giovo/le-frazioni/valternigo/14229-1-ita-IT/Valternigo.jpg,,,,,,,,
6e8e0f48bfdc8753638aac828c862073,2014-11-25T15:50:12+01:00,2015-11-06T16:30:15+01:00,Verla,"Il paese di Verla si trova a 502 m sopra il livello del mare, è il capoluogo e il centro amministrativo del comune di Giovo che si allarga sul terrazzo orografico, in posizione molto soleggiata e panoramica.Attorno al centro abitato di Verla vi sono moltissimi terrazzamenti vitati dove vengono coltivati diversi tipi d'uva, i più famosi sono il Muller Thurgau, Schiava, Chardonnay, Nosiola, Traminer, Lagrein e Pinot nero.Tra le numerose feste e manifestazioni del paese, sicuramente la più famosa e più antica è la Festa dell'uva che viene organizzata dalla Pro Loco di Giovo la quarta settimana di settembre che attrae ogni anno migliaia di persone.",,Frazione,46.158093,11.154259,"Verla di Giovo",/var/giovo/storage/images/territorio/il-paese-di-giovo/le-frazioni/verla/14243-1-ita-IT/Verla.jpg,,,,,,,,
2cb609e56eaab588dc8e41333eb2b09f,2014-11-25T15:51:56+01:00,2015-11-06T16:36:52+01:00,Ville,"Il paese di Ville si trova in posizione panoramica con vista sul Bondone, Paganella, Dolomiti del Brenta e Valle dell'Adige.La frazione di Ville di Giovo è suddivisa in due contrade, la prima è detta Vesin e ha come luogo caratteristico il castello della Rosa o Tor de Vesina posto a quota 680 metri sul livello del mare. La seconda contrada è Lavat, più ampia e più popolata e ha la chiesa di S. Nicolò come luogo caratteristico; è posta nella parte superiore del paese a quota 706 metri sul livello del mare.",,Frazione,46.167404,11.157935,"Ville di Giovo",/var/giovo/storage/images/territorio/il-paese-di-giovo/le-frazioni/ville/14257-1-ita-IT/Ville.jpg,,,,,,,,
19ba62fd61f439934c422267b9e6a91a,2014-11-26T15:37:15+01:00,2015-11-02T18:07:42+01:00,"Lac de Montesel","Il biotopo umido denominato Lac de Montesel è inserito in una depressione a forma di conca più o meno circolare, derivante da esarazione glaciale. Nella conca si è formato un invaso circondato da una pineta matura, con presenza di numerosi arbusti da frutta nel sottobosco e da rinnovazione di roverella, castagno selvatico e pino silvestre.","Lo stagno, di profondità modesta, probabilmente compresa tra 1 e 2 metri, è colonizzato da cespi di Carici, giunchi ed altre piante palustri negli specchi d’acqua libera, mentre le rive ospitano un canneto a Phragmites. In alcuni punti le rive presentano affioramenti di rocce porfiriche con dei suggestivi liscioni ornati da muschi ed altre piccole piante. L’alimentazione dello stagno è meteorica, dovuta a percolazione delle acque di superficie circolanti sugli strati rocciosi impermeabili delle pendici soprastanti. Nella zona settentrionale è presente un modesto emissario, un piccolo ruscelletto che si perde tra i rovi delle pendici sottostanti. Il livello delle acque è relativamente costante, con oscillazioni stagionali modeste. Il margine del bosco sulle rive presenta un piano basale formato da un tappeto erboso, da chiazze con Erica carnea, mirtillo rosso e nero, zone a roccia nuda con Licopodi (caratteristiche piante primitive, simili a muschi ma con fusticini squamati a portamento verticale) ed un primo livello superiore formato da arbusti e rinnovazione forestale tipici delle formazioni originarie del luogo. Le specie presenti indicano che la conca del Lac de Montesel si colloca ad un livello intermedio tra le formazioni tipiche dei boschi collinari e quelle dei boschi montani. La dinamica della vegetazione nella zona umida stava determinandone il riempimento e quindi è stato attuato un intervento di ripristino, poiché si rischiava il progressivo impoverimento del corredo floristico e faunistico della zona. Rana verde Libellula Nello stagno attualmente si riproducono il rospo comune, il tritone alpino e la salamandra e si possono osservare le libellule. È prevista la reintroduzione delle rane, di cui esistono testimonianze del recente passato (i residenti le catturavano a scopo alimentare), ancora presenti nella palude del Pian del Lac. In seguito all’intervento di ripristino è possibile anche l’avvistamento e la sosta di qualche uccello palustre. Il bosco nei dintorni è frequentato da molte specie animali, tra le quali si possono citare cervi, caprioli, tassi, volpi, scoiattoli, il picchio rosso ed il picchio nero, numerosi piccoli Passeriformi. Il comportamento più idoneo per osservare gli abitanti del bosco e dello stagno è sostare in silenzio e senza fretta all’interno del piccolo capanno che si trova su un dossetto dominante il lato opposto del laghetto. Sul sentiero verso il capanno, si incontra un caratteristico masso con due fori cilindrici: sono coppelle attribuite agli uomini preistorici che frequentavano la zona.",Biotopo,46.155879,11.152455,Giovo,/var/giovo/storage/images/territorio/il-paese-di-giovo/cosa-puoi-visitare2/lac-de-montesel/14271-2-ita-IT/Lac-de-Montesel.jpg,,,,,,,,
1b4dcbe515d28105b7c25a0e7ab84c9d,2014-11-26T15:39:54+01:00,2014-11-26T15:39:54+01:00,"Monte Mancabrot","La dorsale del Mancabrot-Maric, interessata dal sentiero, è una piccola catena montuosa coperta da boschi compresa tra le campagne che uniscono Valternigo a Masen ad ovest, la Val dei Fornei (confine comunale) ad est e la strada statale della Val di Cembra.","Le quote massime dei rilievi sono modeste, intorno agli 840-850 metri di altitudine. Il substrato geologico è interamente costituito da rocce porfiriche (riodaciti) del Carbonifero e Permiano inferiore (tra i 350 ed i 250 milioni di anni fa), appartenenti alla piattaforma porfirica atesina. Le forme arrotondate e dolci delle sommità dei dossi ed i liscioni affioranti derivano da processi di esarazione glaciale che hanno interessato l’area nel Quaternario, con prevalente andamento nord-sud. Le ripide pendici che precipitano verso Ceola ed il fondovalle sono invece riconducibili a dinamiche di progressiva escavazione fluviale e crolli successivi. Il clima della zona rientra nel tipo prealpino con caratteri intermedi tra il tipico mediterraneo ed il continentale a seconda delle stazioni e ciò si riflette sulla vegetazione presente. L’intera dorsale percorsa dal sentiero, originariamente costituita da terreni primitivi e rocciosi, è stata interessata in passato (intorno al 1930) da estesi rimboschimenti a pino nero che hanno occupato l’orizzonte della naturale formazione ad orniello e carpino nero. Oggi il miglioramento del terreno determinato dalla pineta sta determinando il reingresso di tutte le specie tipiche (in gran parte a livello di piano dominato), in particolare delle latifoglie termofile, con alcuni elementi mesofili nelle vallette e ripiani più freschi. Il risultato è una grande varietà di specie ed habitat diversi concentrati in spazi modesti, di grande valore didattico. La fauna superiore che attualmente frequenta la dorsale del Mancabrot-Maric è varia e degna di interesse: tra i Mammiferi si possono elencare cervo, capriolo, alcuni Pineta del Mancabrot da S. Floriano esemplari di camoscio, tasso, volpe, lepre, faina, donnola, scoiattolo, riccio, ghiro, l’arvicola rossastra ed i topi selvatici, mentre tra gli Uccelli si possono citare astore, poiana, sparviero, allocco, picchio nero, picchio rosso maggiore, ghiandaia, colombaccio, tordi, cesene e merli, cince e numerosi altri piccoli Passeriformi. La foresta giovane nelle stazioni più fresche costituisce inoltre habitat potenziale per il francolino di monte.",Monte,46.155879,11.152455,Giovo,,,,,,,,,
e130c029e559a5a356fc863146347392,2014-11-26T16:09:26+01:00,2015-12-23T16:02:09+01:00,"Monte Corona","La montagna che domina il comune di Giovo è il monte Corona. Si possono fare splendide camminate a piedi attraverso diversi sentieri che portano in cima al monte. Per gli amanti della mountain bike vi è un percorso ad anello che si snoda lungo il dossone del Monte Corona.",,Monte,46.155879,11.152455,Giovo,/var/giovo/storage/images/territorio/il-paese-di-giovo/cosa-puoi-visitare2/monte-corona/14327-2-ita-IT/Monte-Corona.jpg,,,,,,,,
e48f941337b58f5aa2a5b98b798130af,2014-11-26T16:22:33+01:00,2015-11-07T15:04:18+01:00,"Servizio Igiene Pubblica","dott. Villotti Graziano","Orario:


lunedì 9.00-10.00

mercoledì 7.30-9.00 per i prelievi


",Ambulatorio,46.155879,11.152455,Giovo,,,,,,,,,
a00e3b5c2186f6973cd2715ab52883ae,2014-11-26T16:53:26+01:00,2014-11-26T16:53:26+01:00,"Ambulatorio infermieristico",,"Orario:


lunedì 9.30-10.00

mercoledì 9.30-10.00


",Ambulatorio,46.155879,11.152455,Giovo,,,,,,,,0461/684511,
