remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
5964592608bbb05c5bb102a8b6afa0f7,2015-01-08T14:40:02+01:00,2016-03-08T10:31:31+01:00,"Centro sportivo (Palestra / Piscina)","Il centro sportivo del Comune di Levico Terme dispone di una palestra e una piscina.","Piscina C.S. Dalla Chiesa
Orario di apertura invernale:


da lunedì a sabato dalle ore 8:00 alle ore 23:00

domenica dalle 9:00 alle 20:00


Abbonati Acquasport:


Martedì e Giovedì dalle 6 alle 8


Caratteristiche: 


Dimensione vasca: 12.50*25.00 m 

Profondità: da 1.30 a 2.60 m

Numero corsie: 6

Tribune con 100 posti a sedere


Servizi:


N° spogliatoi: 3

N° docce: 19

N° servizi igienici: 5


Discipline:


ginnastica motoria in acqua

nuoto

sub


Palestra
Caratteristiche:


Dimensioni: 34.00*20.00 m

Pavimentazione in legno

Tribune con 170 posti a sedere


Orario di apertura invernale:


da lunedì a sabato dalle ore 8:00 alle ore 23:00

domenica dalle 9:00 alle 20:00


RNV Gestioni Sportive propone Multisport nelle giornate di martedì e giovedì dalle 16.30 alle 18.00Servizi:


N° spogliatoi: 3 

N° docce: 9

N° servizi igienici: 3


Discipline:


 calcio a cinque

pallavolo

pallacanestro


","Centro sportivo",46.012257,11.297213,,/var/levico/storage/images/territorio/informazioni-utili/strutture-servizi-sul-territorio/centro-sportivo-palestra-piscina/17807-8-ita-IT/Centro-sportivo-Palestra-Piscina.jpg,,,,"Piazza Gen. Dalla Chiesa 38056 - Levico Terme","http://www.rarinantesvalsugana.it/|Sito RariNantes",info@rarinantesvalsugana.it,"0461/700373 (fax: 0461/241833)",
8725dbe854a7323e84311b8e0d7e83ca,2015-01-08T14:49:11+01:00,2016-02-01T16:23:13+01:00,"Palazzo dei Congressi Palalevico","Nasce a seguito dell'accordo fra l'Amministrazione Provinciale, il Comune di Levico Terme, l'Associazione Albergatori e l'Azienda per il Turismo Valsugana Vacanze. ","Si propone come punto di riferimento offrendo una gamma di strutture e servizi di alto livello qualitativo nel settore degli eventi di comunicazione, fieristici, congressuali e dell'accoglienza turistica.Si caratterizza per la splendida cornice in cui è inserito a poca distanza dal lago, immerso nel verde, che si somma al vantaggio di essere in una posizione geograficamente interessante, comodamente collegato con molti centri urbani. La vicinanza con Trento e Bassano lo rende molto appetibile per i pochi spostamenti necessari.Il Palazzo dei Congressi Palalevico è in grado di accogliere eventi congressuali da 15 a 1400 persone, a seconda delle esigenze, grazie alla disponibilità di sale modulari estremamente flessibili nella divisione degli spazi.",Palazzo,46.010399,11.289611,"Viale Lido, 4  38056 Levico Terme TN ",/var/levico/storage/images/vivere-la-citta/informazioni-utili/strutture-servizi-sul-territorio/palazzo-dei-congressi-palalevico/17829-1-ita-IT/Palazzo-dei-Congressi-Palalevico.jpg,,,,"Viale Lido, 4  38056 Levico Terme (TN)",http://www.palalevico.com/|www.palalevico.com,,,
fedceaecc9c2fa3ba826c952039fae43,2015-01-08T14:57:07+01:00,2016-02-01T09:26:00+01:00,"Teatro Cinema Oratorio Monsignor Caproni","NOI Trento è l’Associazione territoriale di NOI Associazione e raccoglie in Trentino 72 oratori e circoli affiliati, per un totale di oltre 19.500 tesserati (anno 2012). È nata nel 2002 e lavora al fianco del Centro di Pastorale Giovanile di Trento, promuovendo e sostenendo l’attività degli oratori parrocchiali. La costante crescita del numero di Oratori affiliati e delle persone tesserate, testimonia la forza e l’impegno di Noi Trento, arrivato a diventare una realtà diffusa sul territorio.",,Teatro,46.013424,11.302365,"via Monsignor Domenico Caproni 38056 Levico Terme",/var/levico/storage/images/vivere-la-citta/informazioni-utili/servizi-sul-territorio/teatro-cinema-oratorio-monsignor-caproni/17849-2-ita-IT/Teatro-Cinema-Oratorio-Monsignor-Caproni.jpg,,,,"via Monsignor Domenico Caproni 38056 Levico Terme","http://oratoriolevico.blogspot.it/|NOI, associazione Oratorio Mons. D. Caproni",,,
394b8743477bbfebfd2517826d2bd120,2015-01-08T15:01:40+01:00,2018-01-23T14:39:26+01:00,"Vezzena Camp","Recentemente ristrutturata ed arredata - anche grazie al co-finanziamento del Progetto L.E.A.D.E.R. PLUS Valsugana con il F.E.O.G.A. e con fondi statali e provinciali - rinasce la storica Colonia Montana del Comune di Levico Terme.","Descrizione della struttura:Il compendio immobiliare di proprietà comunale denominato “Colonia Montana di Vezzena” (tipologia casa vacanze gruppi), e contraddistinto dalla p.ed. 3433 in C.C. Levico, dispone di cucina, n. 2 sale da pranzo, soggiorno, zona hall, dispensa, infermeria, locale macchine, ufficio, lavanderia, centrale termica e locale macchine, oltre a n. 2 servizi igienici a piano terra e n. 9 stanze da letto a piano primo, oltre ad un ampio spazio antistante la struttura medesima, per una capienza complessiva di n. 60 persone.A chi rivolgere le richieste di utilizzo:A far data dal 15.12.2017, previo esperimento di asta pubblica, la gestione del compendio immobiliare è stata affidata per la durata di 6 anni all’“Associazione Victoria” di Levico Terme, i cui riferimenti vengono di seguito riportati:
Associazione Victoria
Via dei Forti
38056 Levico Terme (Tn)
mail: coloniavezzena@gmail.comcell. 345/2247795Tariffe ed agevolazioni:Per quanto attiene le tariffe applicate è necessario rivolgersi all’Associazione sopra identificata. Il gestore della struttura tuttavia, tenuto conto degli aspetti di valorizzazione turistico, culturale, educativa, sportiva ed ambientale della zona, prevede uno sconto del 20% sulle tariffe applicate a beneficio delle associazioni, dei censiti e altre realtà levicensi, al fine di consentire un miglior utilizzo/fruizione della struttura.",,45.963292,11.351409,"Levico vezzena",/var/levico/storage/images/territorio/servizi-sul-territorio/strutture/vezzena-camp/17863-1-ita-IT/Vezzena-Camp.jpg,,,,,,,,
28bf0d137e7e48bc5abd8994c1d2c041,2016-02-01T16:27:19+01:00,2016-02-09T10:54:30+01:00,"Azienda per il Turismo Valsugana Lagorai – Terme – Laghi","Azienda per il Turismo Valsugana Lagorai – Terme – Laghi",,,46.014229,11.296618,"Viale Vittorio Emanuele III,3 levico terme",/var/levico/storage/images/vivere-la-citta/informazioni-utili/strutture-servizi-sul-territorio/azienda-per-il-turismo-valsugana-lagorai-terme-laghi/32580-4-ita-IT/Azienda-per-il-Turismo-Valsugana-Lagorai-Terme-Laghi.png,,,,,"http://www.visitvalsugana.it/|Azienda per il Turismo Valsugana Lagorai – Terme – Laghi",,,
56d22cd08eee011ac06925fa60bf35d4,2016-02-01T16:30:50+01:00,2016-02-16T11:29:57+01:00,"Consorzio Levico Terme in Centro","Visita il sito del Consorzio Levico Terme in Centro per essere sempre aggiornato sulle maggiori manifestazioni organizzate sul territorio del Comune di Levico Terme.",,,0,0,,/var/levico/storage/images/territorio/informazioni-utili/strutture-servizi-sul-territorio/consorzio-levico-terme-in-centro/32594-2-ita-IT/Consorzio-Levico-Terme-in-Centro.png,,,,,"http://www.visitlevicoterme.it|Consorzio Levico Terme in Centro",,,
e34a212869fdd2cbf2f200532c6902ee,2016-02-01T16:37:30+01:00,2016-10-19T15:54:45+02:00,"Le Terme a Levico","Le Terme del Comune di Levico Terme",,,46.01439,11.296538,"Viale Vittorio Emanuele, 10 - 38056 Levico Terme",/var/levico/storage/images/territorio/servizi-sul-territorio/strutture/le-terme-a-levico/32608-4-ita-IT/Le-Terme-a-Levico.jpg,,,,,"http://www.termedilevico.it/|Terme di Levico",,,
0f8d7d5502bbd25531e3cf35503d434e,2016-02-01T16:51:31+01:00,2016-02-01T16:54:05+01:00,"Trentino Famiglia","Agenzia per la Famiglia, la natalità e le politiche giovanili",,,0,0,,/var/levico/storage/images/vivere-la-citta/informazioni-utili/strutture-servizi-sul-territorio/trentino-famiglia/32622-2-ita-IT/Trentino-Famiglia.png,,,,,"http://www.trentinofamiglia.it/|Agenzia per la Famiglia, la natalità e le politiche giovanili",,,
33f6b60897dd04e1819a0a990576b40f,2015-01-07T15:53:40+01:00,2016-01-27T11:59:36+01:00,"Chiesa parrocchiale del Redentore ","Grandiosa costruzione lunga 75 m, larga al transetto 34 m, alta 39 m, a croce latina, a tre navate, in stile neoromanico con lievi elementi bizantini e gotici. Fu eretta, su progetto del goriziano Leopoldo de' Claricini, al posto della vecchia chiesa dei Santi Vittore e Corona, della quale si hanno notizie che esistesse già prima del '400 e della quale sono stati conservati e ricomposti nella nuova quattro altari: i due al transetto, dedicati uno alla Madonna e l'altro, quasi certamente l'altar maggiore della Vecchia Chiesa, ai Martiri Vittore e Corona; quello di San Giuseppe, che era precedentemente dedicato a San Giustino, in onore del quale la prima domenica di luglio si celebrava l'antichissima sagra del paese; quello di San Vincenzo con pala di Giustiniano degli Avancini del 1840.","La nuova parrocchiale fu consacrata il 15 luglio 1877 dall'Ausiliare del Principe Vescovo di Trento Benedetto di Riccabona, mons. Haller, che divenne poi Cardinale di Salisburgo. Fu dedicata al Redentore (di cui ricorre la festa patronale la terza domenica di luglio &quot;la terza de lujo&quot;), una statua del quale, alta tre metri e venti, fusa in bronzo da artigiani locali nel 1946, sta al culmine del fastigio della facciata.Il campanile è quello dell'antica chiesa e, sul lato sud, in basso, porta il Monumento ai caduti di tutte le guerre, opera dello scultore Caron e lì posto la Festa di Ognissanti del 1952.",Chiesa,46.011974,11.301059,,/var/levico/storage/images/vivere-la-citta/luoghi-e-punti-di-interesse/cosa-puoi-visitare/chiesa-parrocchiale-del-redentore/17030-1-ita-IT/Chiesa-parrocchiale-del-Redentore.jpg,,,,,,,,
ac411063b6c33f689421e6489aaf8373,2015-01-07T15:56:17+01:00,2016-01-27T12:04:02+01:00,"Chiesetta di San Biagio","
Sul colle omonimo (571 m), a circa 30 minuti dal centro, dedicata a San Biagio Vescovo di Sebaste in Armenia il cui martirio risalirebbe al 316. Sorge su un sito archeologico non ancora esplorato, in prossimità di un antico castelliere.Lì vicino fu costruito nel 1640 un romitorio, distrutto da un incendio doloso nel 1669, nel quale risiedeva un eremita custode della chiesetta.","Di un ultimo eremita si ha notizia nel 1767. La chiesa era meta di pellegrinaggi soprattutto ai tempi delle pestilenze e in quelle circostanze vi vennero sepolte alcune vittime della malattia: nell'estate del 1951, durante lavori di restauro, furono trovati a fianco della chiesa tre scheletri sepolti senza bara. La piccola chiesa ad aula è una costruzione trecentesca, ampliata nelle forme architettoniche attuali nel 1506.È preceduta da un protiro e conclusa da un'abside poligonale con volte a vela, sulle pareti della navatella con copertura a capriate di legno, che è la parte più antica, si conservano affreschi trecenteschi di differenti artisti di scuola veneta pre-giottesca e giottesca. La decorazione dell'abside è opera di un singolo frescante friulano rinascimentale della scuola di Domenico da Tolmezzo.La chiesetta è aperta per le visite a cura del Gruppo Anziani e Pensionati di Levico Terme che, in accordo con la Parrocchia di Levico, durante l'estate è disponibile per questo servizio in ore e giorni stabiliti.",Chiesa,46.017004,11.287047,,/var/levico/storage/images/vivere-la-citta/luoghi-e-punti-di-interesse/cosa-puoi-visitare/chiesetta-di-san-biagio/17044-1-ita-IT/Chiesetta-di-San-Biagio.jpg,,,,,,,,
