remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
44d063b84d6918e8cf96a64c81cbfe71,2015-02-27T16:03:19+01:00,2015-02-27T16:03:19+01:00,"Chiesa di San Vigilio","Risale al XIII secolo ed è dedicata a Vigilio, vescovo di Trento morto nel 400 d.c. Per la sua pregevole fattura artistica, è monumento annoverato tra i beni culturali della Provincia Autonoma di Trento.","
L'esterno vanta un pregevole portale romanico con lunetta affrescata (Redentore, Madonna S.Giovanni) ed un ciclo di affreschi nella parte superiore che raffigurano &quot;Madonna con Bambino, S.Caterina, S.Vigilio, S.Antonio Abate e S.Cristoforo). L'interno è caratterizzato dalla contestuale presenza di una primitiva chiesa in stile romanico (XIII sec.) e di una, successiva, in stile gotico (1536). Da notare l'abside, riccamente affrescata, e sulla parete nord (entrando a sinistra) l'affresco rappresentante &quot;l'ultima Cena&quot; ed i resti di quello dedicato a S.Elena, di fronte, sulla parete sud, sono raffigurati S.Antonio con Angelo, i Tre Santi, S.Rocco ed un Frammento di Crocifissione.Della parte gotica (ampliamento datato 1536) si possono riconoscere il pavimento, i muri perimetrali e le finestre ogivali. Con la scrostatura degli intonaci sono venuti alla luce un Frammento di Crocifissione (parete nord) e parte del &quot;Fregio&quot; che adornava la volta. L'altare presenta affreschi geometrici. La parte di più recente è la sacrestia, che risale al 1875.",Chiesa,46.141734,10.965146,Molveno,/var/molveno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/chiesa-di-san-vigilio/15192-1-ita-IT/Chiesa-di-San-Vigilio.jpg,,,,,,,,
0ff128916b24e341ab2a373b8a9c523d,2015-02-27T16:07:16+01:00,2015-02-27T16:23:40+01:00,"Segheria veneziana Taialacqua","Fu edificata nel 1500 circa, in forma cooperativa, dagli abitanti del paese, su sollecitazione dell'allora parroco don Taialacqua, interessato al miglioramento delle condizioni economiche silvo-pastorali della popolazione. Taialacqua introduce i capitali e il know-how per dare l’avvio all’attività industriale, che vede lo smercio del prodotto semilavorato nell’area del Garda, in seguito a fluitazione sul lago e poi sul fiume Sarca.","Dal catasto teresiano, stilato per Molveno nel 1782, apprendiamo come nell’arco di due secoli la tecnologia avesse preso ampiamente piede lungo il “fosso dei molini”, poiché in tale data le rassiche (segherie) in funzione a Molveno erano in totale 5.L' edificio ha forma rettangolare, circa 11 metri per 5 metri, ed è organizzato su due piani. Nel piano superiore, dove si effettua la segagione, sono presenti il carro ed il telaio. Collegata a questo locale c'è una piccola stanza che serve al segantino per cucinarsi un pasto caldo o per riposarsi durante i turni di notte. Al piano inferiore si trovano gli organi di trasmissione e si deposita la segatura. Il funzionamento è ad acqua. L' acqua cioè muove una ruota dentata nella quale è incorporato un fuso (tronco di faggio di circa 10 cm) che a sua volta aziona una biella che trasforma il movimento rotatorio nel movimento verticale di una lama che provvede a segare i tronchi.Per la valenza storica e sociale che rappresenta e per l'eccellente stato di conservazione, la segheria alla veneziana &quot;Taialacqua&quot; è stata inserita nell' Itinerario Etnografico Trentino progettato e curato dal Museo degli Usi e Costumi della Gente Trentina di San Michele all'Adige.",,46.141734,10.965146,Molveno,/var/molveno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/segheria-veneziana-taialacqua/15206-1-ita-IT/Segheria-veneziana-Taialacqua.jpg,,,,,,,,
482bcaad30112a7c2cf8bcc4844d6d07,2015-02-27T16:10:00+01:00,2015-02-27T16:27:01+01:00,"Fortini di Napoleone","Si trovano lungo la vecchia strada dei Marocchi che veniva dal Banale e portava alla Valle di Non, sulla sponda occidentale del lago, in cima al boscoso promontorio del Monte Corno. I giganteschi ruderi e le altre fortificazioni difensive, impropriamente dette &quot;di Napoleone&quot; furono fatti erigere dal comando militare austriaco tra il 1802 ed il 1805 a presidio del passo verso la Valle di Non, contro l' esercito napoleonico avanzante dalle Giudicarie. Piacevole passeggiata.","I fortini costituiscono un complesso di quattro fortificazioni costruite in epoche diverse al fine di sbarrare la strada regolare che, passando per Molveno, portava 3 dalle Giudicarie alla Val di Non, costituendo una comoda alternativa alla percorrenza dell’asse dell’Adige. Le prime opere sommarie di fortificazione del Dosso di Mezzolago (esclusivamente trincee) risalgono all’agosto 1703, e furono approntate dai bersaglieri austriaci per fermare una possibile avanzata dei francesi verso nord durante la guerra di successione spagnola. Una seconda e ben più consistente serie di invasioni francesi avvenute durante il periodo napoleonico (si contano ben tre invasioni del Trentino nel solo periodo 1796-1801, e in ben due casi gli invasori passarono anche da Molveno) spinsero nel 1801 le autorità austriache a fortificare il passo assieme ad altri avamposti strategici delle Giudicarie in chiave anti francese. I lavori di costruzione dei quattro fortilizi tuttora esistenti (Dos Corno, Sella di Mezzolago, Baita Fortini, Forte alto), cominciati nel luglio 1805 e terminati nel novembre, portarono alla costruzione di 4 forti in muratura ed una caverna in roccia con relative trincee a difesa del passo, impiegando massicciamente sia manodopera locale che proveniente dalle Giudicarie e dalla Rendena per alcuni mesi. Le suddette strutture furono in seguito riattate e sistemate con nuove coperture, postazioni per l’artiglieria e alloggiamenti per una compagnia e mezzo di fanteria (circa 400 uomini) fra il 1914 e il 1915, dato che il Genio militare austriaco aveva previsto di utilizzare le strutture esistenti come caposaldo della seconda linea difensiva (Molveno – fortezza di Trento – Predazzo) durante la prima guerra mondiale. In questa occasione si costruirono anche trinceramenti e alloggi per i soldati sulle pendici del Monte Gazza, sul lato opposto del lago (sentiero della Marsch).",Forte,46.141734,10.965146,Molveno,/var/molveno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/fortini-di-napoleone/15220-1-ita-IT/Fortini-di-Napoleone.jpg,,,,,,,,
45bb731e7e13d22062d663d990c5f017,2015-02-27T10:54:39+01:00,2015-02-27T10:59:04+01:00,"Difensore Civico","Il Difensore civico è un organo di garanzia e tutela dei diritti ed interessi del cittadino nei confronti della Pubblica amministrazione. Interviene, d’ufficio o su richiesta, nei casi di cattiva amministrazione, per favorire il rispetto dei principi di legalità, trasparenza, imparzialità, buona amministrazione. È autonomo ed indipendente dal potere politico e libero da ogni condizionamento. La sua consulenza ed il suo intervento sono gratuiti. ","Il Difensore civico è il signor Raffaello Sampaolesi",,46.071942,11.121954,"via Gazzoletti, 2 Trento",,,,,"via Gazzoletti, 2 Trento (Palazzo della Regione)",http://www.consiglio.provincia.tn.it/istituzione/difensore-civico/Pages/presentazione.aspx|www.consiglio.provincia.tn.it,,"0461 213201  - nr verde: 800 851026 (fax 0461 213206)",
bfb597251fcb334d204a3f6764a1e940,2015-02-27T10:57:30+01:00,2015-02-27T10:58:15+01:00,"Garante dei Minori","ll Garante dei Minori è un organo di garanzia e tutela dei diritti di cui sono portatori i bambini e gli adolescenti. Interviene, d’ufficio o su richiesta, per tutelare i minori nei casi specifici in cui vengano segnalate violazioni di tali diritti. Svolge anche un’attività di promozione dei diritti dei minori e di impulso verso le amministrazioni o i soggetti che istituzionalmente si occupano di minori. E’ autonomo ed indipendente dal potere politico e libero da ogni condizionamento. La sua consulenza ed il suo intervento sono gratuiti.","Nella Provincia autonoma di Trento il ruolo di Garante dei Minori è affidato al Difensore civico.Il Garante dei minori è il signor Raffaello Sampaolesi. ",,46.071942,11.121954,"via Gazzoletti, 2 Trento",,,,,"via Gazzoletti, 2 Trento",http://www.consiglio.provincia.tn.it/istituzione/garente-minori/Pages/presentazione.aspx|www.consiglio.provincia.tn.it,,"0461 213201 - nr verde: 800 851026 (fax 0461 213206)",
c79f06560728e731db5b82be51be9cba,2015-02-27T16:11:56+01:00,2015-02-27T16:29:37+01:00,"Chiesa di San Borromeo","Fu eretta nel 1940 al posto della vecchia del 1600 di struttura gotica, della quale si conservano ancora due pregevoli altari lignei ed il campanile con bifore romaniche e cuspide piramidale. L'attuale chiesa fu seriamente danneggiata da un incendio nel 1976.",,Chiesa,46.141734,10.965146,Molveno,/var/molveno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/chiesa-di-san-borromeo/15234-1-ita-IT/Chiesa-di-San-Borromeo.jpg,,,,,,,,
8129249ba4656b933f0f8cc62f79f500,2015-02-27T16:25:57+01:00,2015-02-27T16:25:57+01:00,"Palazzo Saracini","Seicentesca residenza nobiliare dei conti Saracini, situata nel centro storico di Molveno, ora sede della Parrocchia.",,,46.141734,10.965146,Molveno,,,,,,,,,
662cc531e23d272045cf50d9d764163f,2015-02-27T16:28:31+01:00,2015-02-27T17:13:07+01:00,"Parco Naturale Adamello Brenta","Buona parte del territorio in quota del comune di Molveno è incluso nel Parco, il più esteso parco naturale del Trentino. Il Parco interessa anche tutta la sponda destra del Lago dove passano i tracciati Brenta Trek e Brenta Bike","
A Molveno ha sede il Centro Ittiogenico per il salmerino alpino che viene utilizzato per la ripopolazione dei laghetti di circo del Parco Naturale Adamello Brenta.L'istituzione dell'area a Parco Naturale è sinonimo di tutela ambientale, conservazione e promozione delle attività tradizionali della silvicoltura.","Parco naturale",46.157222,10.871111,"Adamello Brenta",,,,,,http://www.pnab.it/|www.pnab.it,,,
ba03aa192f0d0b22ac000fc01508058d,2015-02-27T16:30:32+01:00,2015-02-27T16:30:32+01:00,"Centro ittiogenico per la riproduzione del salmerino alpino","Unico centro in Trentino per la riproduzione del Salmerino alpino, per la ripopolazione dei laghi alpini",,,46.141734,10.965146,Molveno,,,,,,,,,
3e3a6e43336789057923de7c7a63e702,2015-02-27T16:33:03+01:00,2015-02-27T16:33:03+01:00,Pradel,"Porta di accesso alle Dolomiti di Brenta, è un altipiano di notevole valenza paesaggistica e ambientale, frequentato per escursioni, passeggiate e attività sportiva",,,46.154451,10.962525,"Pradel - Molveno",,,,,,,,,
648b943e47cbc73122a03b45e54e8611,2015-02-27T16:51:52+01:00,2015-02-27T16:51:52+01:00,"Cassa Rurale Giudicarie Valsabbia Paganella",,"Sportello: dal lunedì al venerdì 8.05 - 13.00 / 14.30 - 15.35",,46.142771,10.964686,"Piazza Scuole, 2/b Molveno",,,,,"Piazza Scuole, 2/b Molveno",http://www.lacassarurale.it/|www.lacassarurale.it,info@lacassarurale.it,"0461 586050 (fax 0461/587267)",
411126e8dd273ac7baa195bbc1370606,2015-02-27T17:01:10+01:00,2017-03-20T10:45:06+01:00,"Parrocchia di San Carlo Borromeo",,"www.parrocchiadimolveno.it ",Chiesa,46.142182,10.967264,"Via Paganella, 25 Molveno",,,,,"Via Paganella, 25 Molveno",http://www.webdiocesi.chiesacattolica.it/triveneto/trento/00019580_TRENTO.html|www.arcidiocesi.trento.it,,"0461 586904",
a90e63105089f00f20f123eb2bef9cef,2015-02-27T17:04:06+01:00,2015-06-19T11:05:14+02:00,"Ufficio Postale",,"Orario d'apertura:

  Giorno
  
  Ora
  




  Martedì e Giovedì
  
  8.20-13.45
  




  Sabato
  
  8.20-12.45
  




","Ufficio postale",46.14263,10.9662,"Piazza Marconi, 1 Molveno",,,,,"Piazza Marconi, 1 Molveno",http://www.poste.it/|www.poste.it,,"0461 586914 (fax: 0461 586260)",
605de5ab3eb8dd0041adb4bc066a11cc,2015-02-27T17:08:07+01:00,2015-06-18T15:19:31+02:00,"Scuola Materna San Giuseppe",,,"Scuola infanzia",46.142025,10.966666,"Piazza San Carlo, 20 Molveno",/var/molveno/storage/images/territorio/informazioni-utili/scuole/scuola-materna-san-giuseppe/15406-2-ita-IT/Scuola-Materna-San-Giuseppe.jpg,,,,"Piazza San Carlo, 20 Molveno",,sm.molveno@fpsm.tn.ti,"0461 586969",
bad49c61050ea85c5c7aeca90a71199a,2015-02-27T17:10:33+01:00,2015-06-18T15:18:26+02:00,"Scuola Elementare Luigi Nicolussi",,,"Scuola elementare",46.142806,10.964809,"Piazza Scuole - Molveno",/var/molveno/storage/images/territorio/informazioni-utili/scuole/scuola-elementare-luigi-nicolussi/15420-2-ita-IT/Scuola-Elementare-Luigi-Nicolussi.jpg,,,,"Piazza Scuole - Molveno",,,"0461 586210",
362dce86a9c5a77ee98a6ec9bd751e13,2015-03-02T11:27:25+01:00,2015-03-02T11:29:53+01:00,"Azienda Per il Turismo","Informazioni sulle attività e sulle strutture ricettive","Orario da giugno a metà settembre: 

  Giorno
  
  Ora
  




  Lunedì
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Martedì
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Mercoledì
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Giovedì
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Venerdì
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Sabato
  
  9.00 - 12.30 / 15.30 - 19.00
  




  Domenica
  
  9.30 - 12.00 / 16.00 - 18.30
  




",,46.14263,10.9662,"Piazza Marconi - Molveno",,,,,"Piazza Marconi - Molveno",,infomolveno@visitdolomitipaganella.it,"0461 586924 (fax 0461 586221)",
0e9c15d46311d5700ec50b22b0e36bea,2015-03-02T11:34:41+01:00,2015-06-18T15:24:10+02:00,"Centro Piscine",,,Piscina,46.13857,10.95892,"Via Lungolago, 27 Molveno",,,,,,http://www.campingmolveno.it/homepage|www.campingmolveno.it,info@campingmolveno.it,"0461 586978 (fax 0461 586330)",
2cde61c647909a421690c18e379e36b4,2015-03-02T11:45:35+01:00,2015-03-02T11:46:15+01:00,"Funivie Molveno Pradel",,,Trasporti,46.141734,10.965146,Molveno,,,,,,,info@campingmolveno.it,"0461 586978",
78b371883e5ccfd186101a5654014d31,2015-03-02T11:48:20+01:00,2015-03-02T11:48:20+01:00,"Molveno Holiday","Informazioni riguardanti le strutture ricettive e le manifestazioni",,,46.14263,10.9662,"Piazza Marconi, 3 &ndash; 38018 Molveno",,,,,"Piazza Marconi, 3 – 38018 Molveno",,info@dolomitimolveno.com,"0461 586086",
09f4ac470f027069c99a91aea95229fe,2015-03-02T11:51:59+01:00,2015-03-02T11:51:59+01:00,"Palazzetto dello Sport",,,"Centro sportivo",46.141734,10.965146,Molveno,,,,,,http://www.campingmolveno.it/homepage|www.campingmolveno.it,info@campingmolveno.it,"0461 586978 (fax 0461 586330)",
46ba4c11ec0177d84547e582cf5265aa,2015-02-27T16:48:42+01:00,2021-08-26T11:04:09+02:00,"Biblioteca - Punto lettura","La Biblioteca Intercomunale Altopiano Paganella Brenta è l'ufficio culturale dei cinque comuni dell'Altopiano della Paganella (Provincia di Trento): Andalo, Cavedago, Fai della Paganella, Molveno e Spormaggiore.","
La Biblioteca è aperta a tutti (residenti e non, turisti, cittadini italiani e stranieri) negli orari di apertura. E' di base generalista, raccoglie materiale librario di ogni genere ed è aperta, tramite il Registro dei Desiderata, a raccogliere consigli per gli acquisti da parte degli utenti.
Attualmente dispone di circa 35.000 volumi, più altro materiale multimediale (1.900 documenti circa).La consultazione del materiale librario entro le sedi è libera, per il prestito a domicilio è necessario compilare un modulo di iscrizione, e fornire un documento di identità. Ogni utente può prendere a prestito tre libri e tenerli per il tempo massimo di un mese.
Servizi offerti:I servizi offerti dalla Biblioteca sono i seguenti: consultazione in sede, prestito a domicilio, consultazione dei cataloghi elettronici, ricerche e consulenze bibliografiche, fotoriproduzione, navigazione Internet, videoteca, fonoteca, emeroteca.Per ulteriori informazioni visita il sito web.",Biblioteca,46.14285,10.96482,"Piazza Scuole, 1 Molveno",,,,,"Piazza Scuole, 1 Molveno",http://www.bibliopaganella.it/Biblioteca_Intercomunale_Altopiano_Paganella/Home.html|www.bibliopaganella.it,molveno@biblio.tn.it,"0461/586413 ",
b3553d50a2fecbf718c9a108c170516d,2015-03-02T10:46:47+01:00,2021-09-17T08:12:48+02:00,"CRM - Centro Raccolta Materiali","Orario di apertura dal 14 giugno 2021  Lunedì
  
  Martedì
  
  Mercoledì
  
  Giovedì
  
  Venerdì
  
  Sabato
  
   
  
  09:00 - 12:00 
  
   09:00 - 12:00
  
   
  
   09:00 - 12:00
  
   
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30 
  


Orario di apertura dal 20 settembre 2021  Lunedì
  
  Martedì
  
  Mercoledì
  
  Giovedì
  
  Venerdì
  
  Sabato
  
   
  
   
  
   
  
   
  
   
  
   
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30
  
  13:30 – 17:30 
  


La modalità di accesso è &quot;in ordine di arrivo&quot; e il numero massimo di utenze che possono accedere al centro contemporaneamente è di n. 4 persone.",,,46.148413,10.977573,"Loc. Novic, 1 Andalo",,,,,"Loc. Novic, 1",,,"0461/587034 (fax 0461/586968)",
