ADD:Id;ADD:City;ADD:Commune;ADD:PostalCode;ADD:Province;ADD:Street;ADD:StreetNumber
0;Pozza di Fassa;;38036;;Piaza de Sèn Nicolò, ;5
1;Moena;;38035;;Passo San Pellegrino;
2;Cavalese;;38033;;Via Cermis;
3;Baselga di Piné;;38042;;Via dello Stadio, ;17
4;Pergine Valsugana;;38057;;Località Costa, ;1
5;Varena;;38030;;Loc. Passo di Lavazè;
6;Trento;;38123;;Via Fersina - Località Ghiaie;
7;Trento;;38123;;Monte Bondone;
8;Lago di Tesero;;38038;;via Stazione ;4
9;Alba di Canazei;;38030;;Streda de Doleda, ;10
11;CEMBRA;;38034;;Loc. Stont;
13;Pergine Valsugana;;38057;;Via Crivelli, ;23
14;Castello Tesino;;38053;;Loc. Parco La Cascatella;
15;Vason;;38123;;Strada del Vason, ;93
16;Trento;;38123;;Strada di Vason, ;83
18;Trento;;38122;;Via Monte Grappa, ;1
19;Monte Bondone;;38123;;Pista da sci - Monte Bondone;
20;Monte Bondone;;38123;;Loc. Viote, ;6
21;Villazzano;;38123;;Strada per Maranza, ;23
22;Viote;;38123;;Via delle Caserme, ;5
23;Vason;;38123;;Piazza Centrale, Loc. Vason;
24;BASELGA DI PINE';;38042;;MALGA SPRUGGIO ALTA Fraz. SPRUGGIO ALTO;
25;VALDA;;38030;;Località Potzmauer;
26;Monte Bondone;;38123;;Strada di Vason, ;84
28;Pergine Valsugana;;38057;;Fraz. Canezza;
29;Pergine Valsugana;;38057;;Via Dosseti, ;12
30;Predazzo (TN);;38037;;Corso Dolomiti 23/b.;
31;Cavalese;;38033;;Loc. Marco;
32;Predazzo (TN);;38037;;Loc. Stalimen;
33;Cavalese;;38033;;Piazzale Funivia. via Cermis,;2
34;Cavalese;;38033;;Alpe Cermis c/o Eurotel;
35;Cavalese;;38033;;Doss dei Laresi;
36;Cavalese;;38033;;via Cascata ;7
37;PREDAZZO;;38037;;LOC. ALL'ISCHIA SOTTO SASSA;
38;CARANO;;38033;;LOC. CALVELLO, ;10
39;BELLAMONTE;;38030;;Via Cece, ;16
40;CALCERANICA AL LAGO;;38050;;VIALE VENEZIA, ;10
41;PIEVE TESINO;;38050;;LOC. QUISTAON, ;1
42;CALCERANICA AL LAGO;;38050;;VIALE VENEZIA, ;14
43;PERGINE VALSUGANA;;38057;;LOC. VALCANOVER, ;77
44;CASTELLO TESINO;;38053;;LOC. SOTTOMOLIZZA, ;1
45;CALCERANICA AL LAGO;;38050;;VIA PENISOLA VERDE, ;5
46;CALDONAZZO;;38052;;VIA LUNGOLAGO, ;4
47;PIEVE TESINO;;38050;;LOCALITA' VAL MALENE;
48;CALCERANICA AL LAGO;;38050;;VIA LUNGO LAGO, ;70
49;PERGINE VALSUGANA;;38057;;VIA DEI PESCATORI, ;48
50;LEVICO TERME;;38056;;LOC. PLEINA, ;5
51;CASTELLO TESINO;;38053;;LOC. CELADO;
52;CALCERANICA AL LAGO;;38050;;VIALE VENEZIA, ;6
53;TORCEGNO;;38050;;LOC. LOBEA, ;1
54;CALCERANICA AL LAGO;;38050;;VIALE TRENTO, ;42
55;LEVICO TERME;;38056;;LOC. COSTA, ;3
56;CALCERANICA AL LAGO;;38050;;VIA DEI PESCATORI, ;1
57;obereggen;;39050;;Obereggen, ;38
59;Capriana;;38030;;Loc. Monte Corno;
60;;;-1;; - Capriana ;38030
61;San Martino di Castrozza;;38054;;Loc. Bocche;
62;CAVALESE;;38030;;località Doss dei Laresi via Chiesa ;93
64;Bellamonte (TN);;38037;;Loc. La Morea;
65;Ziano di Fiemme;;38030;;Val di Sadole;
68;Predazzo (TN);;38037;;Passo Feudo;
69;CAVALESE;;38030;;Loc Alpe di Cermis  ;1
70;Ziano di Fiemme;;38030;;Loc. Sadole;
71;;;-1;; - Trodena ;39040
72;Predazzo;;38037;;Passo Rolle;
74;Passo di Lavazè;;38030;;Passo Lavazè;
77;;;-1;;Strada provinciale del passo Manghen -   ;31
78;Predazzo;;38037;;Loc. Gardoné;
79;Molina di Fiemme;;38030;;Loc. Arodolo;
80;Moena (TN);;38035;;Alpe di Lusia;
81;Valfloriana;;38040;;Loc. Malga Sass;
82;Tesero;;38038;;Loc Pampeago (Obereggen);
83;;;-1;; - Passo Rolle ;38030
84;Predazzo (TN);;38037;;Cima Cavignon;
85;;;-1;; - Anterivo ;39040
86;Nova Ponente;;39050;;Obereggen, ;39
87;Predazzo (TN);;38037;;Loc. Valmaggiore;
88;San Martino di Castrozza;;38054;;Passo Rolle ;
91;Predazzo (TN);;38037;;Loc. Stalimen ;3
92;Tesero;;38038;;Via Lago;
93;Bellamonte (TN);;38037;;Loc. Castelir c/o Partenza Impianti;
94;Tesero;;38038;;loc. Pampeago;
95;Tesero;;38038;;Loc.Pampeago, ;9
96;Ziano di Fiemme;;38030;;Via Prof. Vanzetta ;8
97;Tesero;;38038;;Loc.Piera, ;4
98;;;-1;; - Paneveggio ;38037
99;Cavalese;;38033;;Via Cermis, ;1
100;Carano;;38030;;Loc. Veronza;
101;Predazzo (TN);;38037;;via IX Novembre;
102;Lago di Tesero;;38038;;Via Stazione ;4
103;Predazzo (TN);;38037;;via F. Gialle ;40
104;Castello di Fiemme;;38030;;Via Roma ;66
105;Predazzo (TN);;38037;;Loc. Stamelin ;4
