ATT:Id;ATT:Name;ATT:ParkingArea;ATT:Description;ATT:Type;COM:Id;LOC:Id;ADD:Id
0;Ski Stadium «Aloch»;False;Lo Ski Stadium «Aloch» si trova a Pozza di Fassa, nella rinomata Val di Fassa, all’ombra delle Dolomiti. Lo stadio è situato nel centro del paese ed è dotato di un sistema di illuminazione che permette di sciare in notturna per ben tre volte a settimana.  In passato, queste piste hanno ospitato importanti gare di livello internazionale e sono anche la località di ritiro e d’allenamento della nazionale italiana di sci alpino.;impiantosci;0;0;0
1;Passo San Pellegrino;False;Il Passo San Pellegrino è una delle località più spettacolari dell’Universiade Invernale Trentino 2013. Circondata dalle Dolomiti, questa località sciistica offre più di 60 km di piste da sci di lunghezza diversa e di livello di difficoltà variabile che si snodano su pedii tra i 1.918 e i 2.513 m.s.l.d.m.. Una di queste piste, la pista «Cima Uomo», ospiterà le gare di discesa libera e slalom gigante di Trentino 2013.;impiantosci;0;1;1
2;Palaghiaccio Comunale di Cavalese;False;Il Palaghiaccio Comunale di Cavalese si trova vicino all’impianto delle funivie che collega il Cermis a Cavalese, paese principale della Val di Fiemme, situato a un’altitudine di circa 1.000 m.s.l.d.m. Dotato di una pista artificiale al coperto di dimensioni 30 x 60 metri, questo stadio può ospitare fino a 1.630 spettatori ed è la pista di casa dell’Hockey Club Fiemme, una squadra che per molto tempo ha militato nel campionato nazionale di hockey su ghiaccio.;stadioghiaccio;0;2;2
3;Ice Rink Piné Stadium;False;"L’Ice Rink Piné Stadium si trova a Baselga di Piné (1.000 m.s.l.d.m.), un paese situato sul bellissimo altopiano di Piné e circondato da un meraviglioso paesaggio montano. L’Ice Rink Piné si compone di due strutture: una pista coperta di dimensioni 30 x 60 m aperta tutto l’anno con tribune dotate di una capacità di 1.800 posti a sedere; un anello olimpico all’aperto di 400 metri dotato di sistema artificiale di raffreddamento. Durante l’Universiade Invernale Trentino 2013, la pista coperta ospiterà le gare di curling, mentre la pista all’aperto sarà utilizzata per le gare di pattinaggio velocità.";stadioghiaccio;0;3;3
4;Palaghiaccio Comunale di Pergine;False;Il Palaghiaccio Comunale di Pergine si trova a Pergine Valsugana, dinamica cittadina di circa 20.000 abitanti caratterizzata da un bellissimo centro storico in stile rinascimentale. Il Palaghiaccio presenta una pista al coperto di dimensioni 30 x 60 metri ed è dotato di tribune in grado di ospitare fino a 1.000 spettatori.;stadioghiaccio;0;4;4
5;Centro Fondo Lavazé;False;Situato a un’altitudine di 1800 m.s.l.d.m. e a una distanza di circa 10 km da Cavalese, il Centro del Fondo di Lavazé è facilmente raggiungibile seguendo la strada statale del Passo Lavazé che collega Cavalese a Varena. Vista l’altitudine del Passo e le sue ottime piste, Lavazé da anni è diventato un centro di riferimento per gli amanti dello sci nordico. Tutte le piste sono preparate sia per la tecnica classica sia per la tecnica libera e tutte dispongono di una segnaletica completa.;snowpark;0;5;5
6;Palaghiaccio di Trento;False;Il Palaghiaccio di Trento si trova nella parte meridionale della città (197 m.s.l.d.m.). Lo stadio è stato inaugurato nel 1995 ed è utilizzato sia d’estate sia d’inverno per praticare diversi tipi di sport. Il Palaghiaccio presenta una pista artificiale coperta di 30x60 m e può ospitare fino a 1200 spettatori. Durante l’Universiade Invernale Trentino 2013, presso il Palaghiaccio di Trento si svolgeranno tutte le gare di short-track e di pattinaggio artistico.;stadioghiaccio;0;6;6
7;Monte Bondone;False;Con i suoi pendii innevati e le sue ampie piste da discesa, il Monte Bondone è la località perfetta per tutti gli amanti dello sci e dello snowboard, il tutto a una distanza di soli 15 km da Trento. Durante l’Universiade, il Monte Bondone ospiterà le gare di Half-pipe nel suo snowpark, mentre le piste «Lavaman» e «Canalon» saranno utilizzate per lo Slalom Gigante Parallelo e la gara di Snowboard Cross. La lunghezza e la pendenza delle piste rispetta tutti i requisiti di gara internazionali.;snowpark;0;7;7
8;Stadio del Fondo di Lago di Tesero;False;Situato al centro della Val di Fiemme, lo Stadio del Fondo di Lago di Tesero si trova a un’altitudine di circa 1.000 m.s.l.d.m. Già teatro di ben tre Campionati del Mondo di Sci Nordico, lo stadio presenta strutture nuove e all’avanguardia, oltre che piste di lunghezza e grado di difficoltà diversa. Recentemente, la struttura è stata arricchita con la costruzione del poligono di tiro, permettendo così allo Stadio di ospitare anche gare di biathlon.;impiantosci;0;8;8
9;Palazzo del Ghiaccio «Gianmario Scola»;False;Il Palazzo del Ghiaccio «Gianmario Scola» si trova ad Alba di Canazei, una delle destinazioni sciistiche alpine più famose a livello mondiale, situata a un’altitudine di 1460 m.s.l.d.m. Dotato di una capienza di 2.500 spettatori e di un campo di gioco di 30 x 60 m, questo stadio ha già ospitato diverse partite del campionato di Serie A di hockey su ghiaccio ed è il campo di casa della Sportiva Hockey Club Fassa.;stadioghiaccio;0;9;9
10;Itinerario Riserva Naturalistica del Laghestel;False;"Questo percorso ad anello si svolge in gran parte all`interno della zona umida protetta del Laghestel.""";attrazionenaturale;0;10;10
11;PALACURLING;False;;stadioghiaccio;1;11;11
12;Giro Dos Alt - Cime Alte;False;"Giro non impegnativo attorno ai dossi di Cime Alte e del Dos Alt sopra l’abitato di Sternigo.""";attrazionenaturale;0;12;10
