COM:Id;COM:Name;COM:OpeningHours;COM:Price;COM:Telephone;COM:Url;LOC:Id;ADD:Id
1;;;-1.0;+39 0461 602087 ;;;
2;;;-1.0;+39 (335) 6971281;www.scuolascilagorai.it;;
3;;;-1.0;+39 (0461) 530464;;;
4;;;-1.0;+39 (346) 7651584;www.neveghiaccio.it;;
5;;;-1.0;+39 0461 948211;www.scuolascibondonetrento.it;;
6;;;-1.0;+39 0461 948187;www.ski.it;;
7;;;-1.0;+39 345 4262152;www.maestrisciazzurramontebondone.it;;
8;;;-1.0;+39 0461 232154;www.ttesercizio.it;;
9;;;-1.0;+39 0461 948182;http://www.noleggioscidegasperi.com/;;
10;;;-1.0;+39 0461 948033 cell.3483590494;www.rifugioviote.it;;
11;;;-1.0;+39 0461 948163;www.noleggiomaestriscinicolussi.it;;
12;;;-1.0;+39 0461 1862998 cell. 3284811438;www.rifugiomaranza.com;;
13;;;-1.0;+39 0461 948105;www.scuolascifondoviote.it;;
14;;;-1.0;+39 328 7744255;www.sciesnowboardnazionalebondone.it;;
15;;;-1.0;"+39 0461 683022;  +39 0461 556835";www.rifugiotonini.it;;
16;;;-1.0;+39 333 7771211 ;www.rifugiopotzmauer.it;;
17;;;-1.0;+39 (0461) 948163;http://www.noleggiomaestriscinicolussi.it;;
20;;;-1.0;+39 (0461) 530236;;;
21;;;-1.0;+39 (0461) 510219;;;
22; VUERICH SERVICE;;-1.0;+39 (0462)501903;http://www.vuerichservice.it;;
23; MAESTRI SEPPI;;-1.0;+39 (348)7966612;http://;;
24; SPORT LATEMAR;;-1.0;+39 (0462)502634;http://www.sportventura.it;;
26; PLUSSERVICE c/o EUROTEL;;-1.0;+39 (333)2073726;http://www.plusservicevlf.com;;
27; SKI SERVICE;;-1.0;+39 (0462)231760;http://;;
28; ;;-1.0;(0039) 0462 502394;http://www.campingvalleverde.it;;
29; ;;-1.0;(0039) 0462 341694;http://;;
30; ;;-1.0;(0039) 0462 576119;http://www.campingbellamonte.it;;
31; Bellavista-Riviera snc;;-1.0;(0039) 0461 724464;http://www.camping-riviera.net;;
32; ;;-1.0;(0039) 0461 593355;http://www.campinglagorai.com;;
33; Camping Spiaggia;;-1.0;(0039) 0461 723037;http://www.campingspiaggia.net;;
34; Camping Punta Indiani;;-1.0;(0039) 0461 548062;http://www.campingpuntaindiani.it;;
35; ;;-1.0;(0039) 338 4490234;http://www.casteltesinocamping.it;;
36; Sama di Margoni Mariagrazia & C. snc;;-1.0;(0039) 0461 723272;http://www.penisolaverde.it;;
37;Chiesa Emanuele;;-1.0;(0039) 0461 723341;http://www.campingmario.com;;
38; Camping Valmalene;;-1.0;(0039) 0461 594627;http://www.valmalene.com;;
39; ;;-1.0;(0039) 0461 723229;http://www.campingpuntalago.com/;;
