;ATT:Id;ATT:Name;ATT:ParkingArea;ATT:Description;ATT:Type;COM:Id;COM:Name;COM:OpeningHours;COM:Price;COM:Telephone;COM:Url;LOC:Id;LOC:Latitude;LOC:Longitude;ADD:Id;ADD:City;ADD:Commune;ADD:PostalCode;ADD:Province;ADD:Street;ADD:StreetNumber
0;;MASO FRANCH GOURMET E RELAIS;False;;hotel;;;;0;+39 0461 245533;www.masofranch.it;;46.1441;11.1186;;Giovo;;38030;;Maso Franch, ;2
1;;MASO CANTANGHEL;False;;ristorante;;;;0;+39 0461 858714;;;46.083546;11.174873;;CIVEZZANO;;38045;;Loc. Forte di Civezzano;
2;;Ski Stadium «Aloch»;False;Lo Ski Stadium «Aloch» si trova a Pozza di Fassa, nella rinomata Val di Fassa, all’ombra delle Dolomiti. Lo stadio è situato nel centro del paese ed è dotato di un sistema di illuminazione che permette di sciare in notturna per ben tre volte a settimana.  In passato, queste piste hanno ospitato importanti gare di livello internazionale e sono anche la località di ritiro e d’allenamento della nazionale italiana di sci alpino.;impiantosci;;;;0;;;;46.42895910089672;11.69501436993644;;Pozza di Fassa;;38036;;Piaza de Sèn Nicolò, ;5
3;;Stadio del Salto «Dal Ben»;False;Situato all’uscita dal paese di Predazzo, lo Stadio del Salto «Dal Ben» di Predazzo si trova a un’altitudine di circa 1.000 m.s.l.d.m. Già teatro di ben tre Campionati del Mondo di Sci Nordico, lo stadio presenta strutture nuove e all’avanguardia, caratterizzate da un design moderno e innovativo. I due principali trampolini della struttura sono l’HS106 e l’HS134, strutture che permettono agli atleti di planare a più di 90 km/h per distanze che superano di gran lunga i 100 metri.;stadiosalto;;;;0;;;;46.32887671502965;11.60168067650075;;Predazzo;;38037;;Località Stalimen, ;4
4;;Passo San Pellegrino;False;Il Passo San Pellegrino è una delle località più spettacolari dell’Universiade Invernale Trentino 2013. Circondata dalle Dolomiti, questa località sciistica offre più di 60 km di piste da sci di lunghezza diversa e di livello di difficoltà variabile che si snodano su pedii tra i 1.918 e i 2.513 m.s.l.d.m.. Una di queste piste, la pista «Cima Uomo», ospiterà le gare di discesa libera e slalom gigante di Trentino 2013.;impiantosci;;;;0;;;;46.39306803994184;11.79966541195878;;Moena;;38035;;Passo San Pellegrino;
5;;Palaghiaccio Comunale di Cavalese;False;Il Palaghiaccio Comunale di Cavalese si trova vicino all’impianto delle funivie che collega il Cermis a Cavalese, paese principale della Val di Fiemme, situato a un’altitudine di circa 1.000 m.s.l.d.m. Dotato di una pista artificiale al coperto di dimensioni 30 x 60 metri, questo stadio può ospitare fino a 1.630 spettatori ed è la pista di casa dell’Hockey Club Fiemme, una squadra che per molto tempo ha militato nel campionato nazionale di hockey su ghiaccio.;stadioghiaccio;;;;0;;;;46.28583945210038;11.46457011172124;;Cavalese;;38033;;Via Cermis;
6;;Ice Rink Piné Stadium;False;"L’Ice Rink Piné Stadium si trova a Baselga di Piné (1.000 m.s.l.d.m.), un paese situato sul bellissimo altopiano di Piné e circondato da un meraviglioso paesaggio montano. L’Ice Rink Piné si compone di due strutture: una pista coperta di dimensioni 30 x 60 m aperta tutto l’anno con tribune dotate di una capacità di 1.800 posti a sedere; un anello olimpico all’aperto di 400 metri dotato di sistema artificiale di raffreddamento. Durante l’Universiade Invernale Trentino 2013, la pista coperta ospiterà le gare di curling, mentre la pista all’aperto sarà utilizzata per le gare di pattinaggio velocità.";stadioghiaccio;;;;0;;;;46.12657227184545;11.25197968539958;;Baselga di Piné;;38042;;Via dello Stadio, ;17
7;;Palaghiaccio Comunale di Pergine;False;Il Palaghiaccio Comunale di Pergine si trova a Pergine Valsugana, dinamica cittadina di circa 20.000 abitanti caratterizzata da un bellissimo centro storico in stile rinascimentale. Il Palaghiaccio presenta una pista al coperto di dimensioni 30 x 60 metri ed è dotato di tribune in grado di ospitare fino a 1.000 spettatori.;stadioghiaccio;;;;0;;;;46.07192313475388;11.2355336310515;;Pergine Valsugana;;38057;;Località Costa, ;1
8;;Centro Fondo Lavazé;False;Situato a un’altitudine di 1800 m.s.l.d.m. e a una distanza di circa 10 km da Cavalese, il Centro del Fondo di Lavazé è facilmente raggiungibile seguendo la strada statale del Passo Lavazé che collega Cavalese a Varena. Vista l’altitudine del Passo e le sue ottime piste, Lavazé da anni è diventato un centro di riferimento per gli amanti dello sci nordico. Tutte le piste sono preparate sia per la tecnica classica sia per la tecnica libera e tutte dispongono di una segnaletica completa.;snowpark;;;;0;;;;46.35474;11.492738;;Varena;;38030;;Loc. Passo di Lavazè;
9;;Palaghiaccio di Trento;False;Il Palaghiaccio di Trento si trova nella parte meridionale della città (197 m.s.l.d.m.). Lo stadio è stato inaugurato nel 1995 ed è utilizzato sia d’estate sia d’inverno per praticare diversi tipi di sport. Il Palaghiaccio presenta una pista artificiale coperta di 30x60 m e può ospitare fino a 1200 spettatori. Durante l’Universiade Invernale Trentino 2013, presso il Palaghiaccio di Trento si svolgeranno tutte le gare di short-track e di pattinaggio artistico.;stadioghiaccio;;;;0;;;;46.04093342207616;11.12254142761231;;Trento;;38123;;Via Fersina - Località Ghiaie;
10;;Monte Bondone;False;Con i suoi pendii innevati e le sue ampie piste da discesa, il Monte Bondone è la località perfetta per tutti gli amanti dello sci e dello snowboard, il tutto a una distanza di soli 15 km da Trento. Durante l’Universiade, il Monte Bondone ospiterà le gare di Half-pipe nel suo snowpark, mentre le piste «Lavaman» e «Canalon» saranno utilizzate per lo Slalom Gigante Parallelo e la gara di Snowboard Cross. La lunghezza e la pendenza delle piste rispetta tutti i requisiti di gara internazionali.;snowpark;;;;0;;;;46.02759;11.04461;;Trento;;38123;;Monte Bondone;
